Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007946303107421875,0.0826416015625,0.0,0.0,0.0,0.0,0.0,0.00799313178828125,0.0826416015625,0.0018339157104492188,3.725290298461914e-05,0.0005197525024414062,0.0079498291015625,0.00403594970703125,0.0084991455078125,8.285045623779297e-05,0.003418993776953125,-4.315376281738281e-05,0.00035452842712402344,0.0005140304565429688,0.01654385586065674,0.02046527716581421,0.0035457611083984375,0.0032863616943359375,0.033880652821874996,0.037532599609375,0.0022525787353515625,0.002048492431640625,3.7789344787597656e-05,0.0005157752043945312,3.910064697265625e-05,0.0001004338264465332,0.019287109375,0.0175323486328125,0.000851926097229004,0.00048194187979736327,-5.364418029785156e-07,-3.1948089599609375e-05,0.08902993426875,0.088980481071875,0.089036349228125,0.00016295909881591797,0.003429412841796875,0.004314422607421875,2.676248550415039e-05,2.0265579223632812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-3.5762786865234375e-07,3.039836883544922e-06,-1.7881393432617188e-07,20.03125,0.003223419189453125,0.0018558502197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0142132197453125,0.156494140625,0.0,0.0,0.0,0.0,0.0,0.0142779501125,0.1566162109375,0.0037021636962890625,7.450580596923828e-05,0.00095367431640625,0.01544189453125,0.00864410400390625,0.01513671875,0.00017845630645751953,0.00643816670859375,-9.268522262573242e-05,0.0012378692626953125,0.0016965866088867188,0.016343267666137695,0.020367205180285643,0.00725555419921875,0.006763458251953125,0.054647898281249996,0.05824663485625,0.005146026611328125,0.00420379638671875,8.285045623779297e-05,0.0005438259962280273,8.720159530639648e-05,0.00021135807037353516,0.03729248046875,0.03399658203125,0.001030975289276123,0.0005653490027709961,-1.817941665649414e-05,-8.690357208251953e-05,0.1352691129,0.1356602758625,0.13571643451874998,0.0003554821014404297,0.00693511962890625,0.00879669189453125,4.965066909790039e-05,5.322694778442383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-5.364418029785156e-07,6.079673767089844e-06,-5.960464477539063e-08,40.0625,0.00429534912109375,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.021108984759375,0.1712646484375,0.0,0.0,0.0,0.0,0.0,0.0212033465046875,0.1715087890625,0.005584716796875,0.00011181831359863281,0.0010423660278320312,0.02081298828125,0.01446533203125,0.01506805419921875,0.0002779960632324219,0.00927887826875,-0.00013720989227294922,0.00605010986328125,0.006107330322265625,0.016095623388024904,0.02014792155352783,0.01117706298828125,0.01056671142578125,0.07379736565625,0.07714275275,0.009002685546875,0.00646209716796875,0.00014519691467285156,0.0005254526416259766,0.00014734268188476562,0.0003261566162109375,0.050384521484375,0.046142578125,0.001157006504309082,0.0006256374339599609,-5.143880844116211e-05,-0.0001354217529296875,0.18516775224999998,0.1827034727,0.182943332925,0.0006241798400878906,0.0110015869140625,0.01372528076171875,9.34600830078125e-05,1.3887882232666016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.0132789611816406e-06,4.589557647705078e-06,0.0,60.15625,0.00820159912109375,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.033371087778125,0.0784912109375,0.0,0.0,0.0,0.0,0.0,0.033571484246875,0.07861328125,0.007495880126953125,0.00014925003051757812,0.001129150390625,0.0237579345703125,0.0216522216796875,0.008392333984375,0.0003876686096191406,0.0114559455828125,-0.00016951560974121094,0.0260009765625,0.0243682861328125,0.016031758879833984,0.02007146922128906,0.0153045654296875,0.0148162841796875,0.0891025448,0.09201311874375,0.01454925537109375,0.009124755859375,0.00025725364685058594,0.0005803001864379883,0.00024187564849853516,0.0004425048828125,0.059967041015625,0.05584716796875,0.0012785007709472656,0.0007471495104370117,-0.0001760721206665039,-0.0002491474151611328,0.239106621575,0.2278507799375,0.228213109075,0.0009660720825195312,0.018402099609375,0.020904541015625,0.00018715858459472656,-8.302927017211914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,0.0,-1.5497207641601562e-06,1.5497207641601562e-06,80.25,0.0128936767578125,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.057503928931250003,-0.0007543563842773438,0.0,0.0,0.0,0.0,0.0,0.0578252895125,-0.0005879402160644531,0.009033203125,0.00018680095672607422,0.0015811920166015625,0.0280303955078125,0.0288848876953125,0.0024261474609375,0.0003955364227294922,0.01261958429140625,-0.00025582313537597656,0.05401611328125,0.05023193359375,0.01596135272520752,0.019958958036621094,0.018585205078125,0.0183258056640625,0.10129164160625,0.1041937843375,0.0208587646484375,0.01214599609375,0.00019848346710205078,0.0005924761034057617,0.0003476142883300781,0.0005578994750976562,0.0714111328125,0.06695556640625,0.0016037862314697265,0.0009180675806091308,-0.00030303001403808594,-0.0003211498260498047,0.29092530905,0.2701383978625,0.270256757775,0.00121307373046875,0.0273895263671875,0.0292205810546875,0.0002644062042236328,-0.0007152557373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-07,0.0,2.1457672119140625e-06,100.3125,0.0166015625,0.02294921875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0719108449625,-0.0006322860717773438,0.0,0.0,0.0,0.0,0.0,0.07223116674375,-0.0004940032958984375,0.00835418701171875,0.00018703937530517578,0.0017061233520507812,0.02532958984375,0.0281982421875,0.0011281967163085938,0.00035572052001953125,0.01135872993359375,-0.00023663043975830078,0.06756591796875,0.0606689453125,0.016008023141864013,0.019934292928692626,0.018310546875,0.0183563232421875,0.09158836401875001,0.09598245094374999,0.02191162109375,0.01220703125,0.00021123886108398438,0.0005865258225341797,0.00043837230686035155,0.000591278076171875,0.0650634765625,0.061126708984375,0.0014920445446289063,0.00091537999453125,-0.00022494792938232422,-0.00021851062774658203,0.285115137725,0.2615814990875,0.26182159781250003,0.0012645721435546875,0.0269775390625,0.02813720703125,0.0006132125854492188,-0.000881195068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-4.76837158203125e-07,-1.9073486328125e-06,3.337860107421875e-06,100.25,0.0263671875,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0832625229375,-0.0005044937133789062,0.0,0.0,0.0,0.0,0.0,0.083642691575,-0.0003952980041503906,0.007904052734375,0.00018703937530517578,0.0017118453979492188,0.0231781005859375,0.0273895263671875,0.000949859619140625,0.00034356117248535156,0.01027109414453125,-0.0002180337905883789,0.07830810546875,0.0693359375,0.015839317827941894,0.01969878374071655,0.0181121826171875,0.018402099609375,0.08127692905,0.08649962024999999,0.0226898193359375,0.01207733154296875,0.00023984909057617188,0.0005852632564208984,0.0005407938111816407,0.0006284713745117188,0.059295654296875,0.055938720703125,0.0014504514096679688,0.0008984359601074219,-0.00021517276763916016,-0.00018918514251708984,0.2737806774875,0.24899256225,0.24935458968750002,0.001300811767578125,0.0261077880859375,0.026947021484375,0.0008440017700195312,-0.0009813308715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.0728836059570312e-06,5.7220458984375e-06,3.0994415283203125e-06,100.25,0.0283203125,0.015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.09069074205625,-0.00045752525329589844,0.0,0.0,0.0,0.0,0.0,0.09113105235,-0.0003409385681152344,0.00788116455078125,0.00018727779388427734,0.0016307830810546875,0.021881103515625,0.0262908935546875,0.0008301734924316406,0.00032830238342285156,0.0094451904296875,-0.00021469593048095703,0.087158203125,0.07757568359375,0.01590230506345215,0.01964983340274658,0.0181121826171875,0.0185699462890625,0.073187539371875,0.078292544903125,0.02349853515625,0.011962890625,0.00023853778839111328,0.0005671605788330078,0.0006546898286132813,0.0006933212280273438,0.055938720703125,0.052490234375,0.0014271411681152345,0.0008712685245727539,-0.0002396106719970703,-0.00017940998077392578,0.2662439793,0.238300509775,0.2385405228,0.0013284683227539062,0.02752685546875,0.0279693603515625,0.0008244514465332031,-0.0010290145874023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,0.0,2.9802322387695312e-06,100.25,0.0263671875,0.01708984375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09447307975625,-0.00042700767517089844,0.0,0.0,0.0,0.0,0.0,0.0947903620375,-0.0003218650817871094,0.00797271728515625,0.00018703937530517578,0.0015745162963867188,0.0209808349609375,0.02520751953125,0.0006742477416992188,0.00028896331787109375,0.00885009765625,-0.00022268295288085938,0.0924072265625,0.08367919921875,0.016046171989398193,0.01973306575984497,0.01800537109375,0.0185546875,0.0677682645375,0.07220762409375,0.02392578125,0.011810302734375,0.00025463104248046875,0.0005927809678955078,0.0008250818706054688,0.0008153915405273438,0.053863525390625,0.050048828125,0.0011915295408813477,0.0006932065874755859,-0.00022983551025390625,-0.00015497207641601562,0.2668829038625,0.2314998358125,0.2317397706375,0.001377105712890625,0.031097412109375,0.03118896484375,0.0007429122924804688,-0.0009608268737792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.5497207641601562e-06,-3.814697265625e-06,3.337860107421875e-06,100.25,0.02734375,0.0234375
