Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0037997271796875003,0.05987548828125,0.0,0.0,0.0,0.0,0.0,0.003831297071484375,0.059967041015625,0.0013427734375,3.737211227416992e-05,0.0001500844955444336,0.00209808349609375,0.00286865234375,7.522106170654297e-05,0.00014925003051757812,0.0022707699,-2.5272369384765625e-05,0.00666046142578125,0.006664276123046875,0.016543379023498537,0.02043475958768921,0.002330780029296875,0.002216339111328125,0.020880164540625,0.02360895458984375,0.004741668701171875,0.001678466796875,0.00013256072998046875,0.0005563659674865723,0.00015676021575927734,0.00018656253814697266,0.00580596923828125,0.0046844482421875,0.0008254616349487305,0.0005053069005493164,4.827976226806641e-06,-1.245737075805664e-05,0.097971584659375,0.097708508415625,0.09779489415,0.0003497600555419922,0.002742767333984375,0.00310516357421875,3.153085708618164e-05,1.6748905181884766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-5.364418029785156e-07,0.0,-1.0728836059570312e-06,20.015625,0.003856658935546875,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.005672112567578125,0.1256103515625,0.0,0.0,0.0,0.0,0.0,0.005713954751171875,0.125732421875,0.0026111602783203125,7.474422454833984e-05,0.00024259090423583984,0.0038356781005859375,0.0054168701171875,0.00014328956604003906,0.0002911090850830078,0.00434771260703125,-5.269050598144531e-05,0.01235198974609375,0.01235198974609375,0.016371043430603027,0.02034670118248291,0.004627227783203125,0.00437164306640625,0.02795264681640625,0.029621146575,0.010040283203125,0.0034027099609375,0.00026679039001464844,0.0006393126371582031,0.0003139972686767578,0.0003821849822998047,0.01062774658203125,0.00820159912109375,0.0009869870614318847,0.0006200660666748047,1.3530254364013672e-05,-3.075599670410156e-05,0.15119928868125,0.15183459226875,0.15195178608124998,0.0007290840148925781,0.00518035888671875,0.005954742431640625,6.216764450073242e-05,3.0517578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-7.748603820800781e-07,3.039836883544922e-06,-2.205371856689453e-06,40.0625,0.00742340087890625,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.007498144915625,0.1968994140625,0.0,0.0,0.0,0.0,0.0,0.00755435968828125,0.197021484375,0.0037899017333984375,0.00011223554611206055,0.00030493736267089844,0.0053558349609375,0.007640838623046875,0.00019669532775878906,0.0004410743713378906,0.00652466684296875,-8.249282836914062e-05,0.01690673828125,0.0169525146484375,0.016177162542077638,0.020194413176452635,0.006870269775390625,0.006450653076171875,0.0347959008125,0.03533367071875,0.0156707763671875,0.005153656005859375,0.0004036426544189453,0.0006640930453735352,0.00045680999755859375,0.0005669593811035156,0.0147247314453125,0.0108489990234375,0.001148006202947998,0.0007354291896362304,2.6166439056396484e-05,-3.445148468017578e-05,0.20396658037499998,0.206385113325,0.2065029032375,0.0011339187622070312,0.007282257080078125,0.00850677490234375,8.118152618408203e-05,2.8014183044433594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.5497207641601562e-06,3.4570693969726562e-06,-3.2186508178710938e-06,60.0625,0.01259613037109375,0.0090789794921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.009239312875781249,0.27197265625,0.0,0.0,0.0,0.0,0.0,0.0093100096375,0.272216796875,0.004909515380859375,0.0001494884490966797,0.00036025047302246094,0.00678253173828125,0.0096893310546875,0.00025916099548339844,0.000606536865234375,0.0087398811296875,-0.00011855363845825195,0.0201416015625,0.0202789306640625,0.01612879524152832,0.02015205470102539,0.00907135009765625,0.00846099853515625,0.0415408992921875,0.040957210540625,0.0216064453125,0.006908416748046875,0.0005192756652832031,0.0006445539935058594,0.0005812644958496094,0.0007343292236328125,0.0181884765625,0.01271820068359375,0.001231413101574707,0.0008000784349975586,3.0994415283203125e-05,-6.54458999633789e-05,0.2563185356375,0.2610539049375,0.2612941637625,0.0015716552734375,0.00901031494140625,0.0107269287109375,0.0001270771026611328,4.1484832763671875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-2.2649765014648438e-06,-9.179115295410156e-06,-3.6954879760742188e-06,80.125,0.016204833984375,0.01171875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0108578107671875,0.347900390625,0.0,0.0,0.0,0.0,0.0,0.01094266011796875,0.34814453125,0.00603485107421875,0.00018703937530517578,0.0004248619079589844,0.008209228515625,0.011749267578125,0.0003108978271484375,0.0007581710815429688,0.0109792644671875,-0.00015246868133544922,0.0219268798828125,0.02227783203125,0.01609635724562378,0.020137533552368164,0.01123809814453125,0.01042938232421875,0.048862442387499996,0.0472327247671875,0.0278472900390625,0.00867462158203125,0.0006380081176757812,0.000554686758618164,0.0006847381591796875,0.0008835792541503906,0.0212860107421875,0.01422882080078125,0.001316849471520996,0.000858582145123291,1.9252300262451172e-05,-8.666515350341797e-05,0.308259293425,0.315670624425,0.31591105465,0.0020599365234375,0.010467529296875,0.0127410888671875,0.00014698505401611328,4.303455352783203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.6226043701171875e-06,-1.9073486328125e-06,-5.602836608886719e-06,100.125,0.02294921875,0.01806640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0104026662515625,0.34619140625,0.0,0.0,0.0,0.0,0.0,0.010494106196875,0.3466796875,0.00601959228515625,0.00018727779388427734,0.0004086494445800781,0.008026123046875,0.01171875,0.00030994415283203125,0.000774383544921875,0.0111679950703125,-0.00015366077423095703,0.018951416015625,0.01959228515625,0.016120616315844726,0.02009302009772949,0.01123809814453125,0.01038360595703125,0.049870834721875,0.048405546646875,0.0287322998046875,0.00872802734375,0.000637054443359375,0.0004761380204101563,0.0006698767471679688,0.0008726119995117188,0.0200347900390625,0.01291656494140625,0.001229545689038086,0.0008024887973266602,3.8743019104003906e-05,-7.68899917602539e-05,0.30684365335,0.31492622565,0.31516632437500003,0.0021724700927734375,0.01001739501953125,0.0124053955078125,0.00018262863159179688,7.081031799316406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.9073486328125e-06,-3.814697265625e-06,-5.364418029785156e-06,100.125,0.01806640625,0.02099609375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01002796483203125,0.315673828125,0.0,0.0,0.0,0.0,0.0,0.010125845871875,0.316162109375,0.00603485107421875,0.00018727779388427734,0.0003542900085449219,0.0076446533203125,0.0116424560546875,0.0003533363342285156,0.0007867813110351562,0.01121713906640625,-0.00014150142669677734,0.0174713134765625,0.0183563232421875,0.01597605088305664,0.019866093978601073,0.01125335693359375,0.0104217529296875,0.05100349155,0.049909044078125,0.0295257568359375,0.0087432861328125,0.000637054443359375,0.0004794054072998047,0.0006647714723144532,0.000850677490234375,0.0184173583984375,0.01174163818359375,0.001168640649169922,0.0007919224598937988,-1.4960765838623047e-05,-0.00014531612396240234,0.303932044675,0.312957406,0.3129532225,0.00231170654296875,0.0093841552734375,0.0115509033203125,0.0002009868621826172,4.0590763092041016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.2649765014648438e-06,2.288818359375e-05,-5.125999450683594e-06,100.1875,0.021484375,0.01904296875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01226819566953125,0.2529296875,0.0,0.0,0.0,0.0,0.0,0.0123804419984375,0.253173828125,0.006099700927734375,0.00018739700317382812,0.0004818439483642578,0.007709503173828125,0.01230621337890625,0.0004405975341796875,0.000751495361328125,0.010986328125,-0.0001366138458251953,0.0222625732421875,0.02294921875,0.016005003866400146,0.019793540201300048,0.01123046875,0.0105743408203125,0.05069608429375,0.050277408184375,0.029876708984375,0.00879669189453125,0.0006175041198730469,0.0004894361220458984,0.0006990356843261719,0.0008301734924316406,0.0181427001953125,0.0121612548828125,0.001114574410913086,0.0008267438549255371,-0.00013208389282226562,-0.00025272369384765625,0.30384163555,0.31032199415,0.310562007175,0.0024394989013671875,0.01039886474609375,0.01184844970703125,0.00020003318786621094,-0.00012087821960449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,0.0,-5.364418029785156e-06,100.25,0.02783203125,0.02490234375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0235654869828125,0.1817626953125,0.0,0.0,0.0,0.0,0.0,0.0237606989515625,0.1820068359375,0.00603485107421875,0.0001875162124633789,0.0007276535034179688,0.008819580078125,0.01381683349609375,0.000583648681640625,0.0006937980651855469,0.01035308837890625,-0.0001423358917236328,0.0302276611328125,0.030609130859375,0.016091411914782715,0.019803578054614256,0.01113128662109375,0.01070404052734375,0.048877883678125,0.04901426471875,0.0287933349609375,0.00876617431640625,0.0005693435668945312,0.0005634554826660156,0.0007750139689941406,0.0008044242858886719,0.0204620361328125,0.01503753662109375,0.0010850756453125,0.0007957265764892578,-0.00020051002502441406,-0.00030159950256347656,0.305090911675,0.307793781125,0.308277856575,0.0024356842041015625,0.01303863525390625,0.01366424560546875,0.0003070831298828125,-0.00042724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.384185791015625e-06,-1.9073486328125e-06,-3.5762786865234375e-06,100.375,0.030029296875,0.03076171875
