Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00796537659375,0.0816650390625,0.0,0.0,0.0,0.0,0.0,0.00800839057734375,0.08172607421875,0.0013628005981445312,3.731250762939453e-05,0.0005669593811035156,0.007129669189453125,0.0039520263671875,0.006275177001953125,0.00012695789337158203,0.0027495144068359375,-2.5987625122070312e-05,0.00157928466796875,0.002246856689453125,0.016551127627319338,0.020443104237957765,0.002475738525390625,0.002239227294921875,0.02693027440390625,0.03009393994140625,0.0014295578002929688,0.0017242431640625,5.632638931274414e-05,0.0005412859923583984,3.6835670471191406e-05,7.802248001098633e-05,0.0158538818359375,0.01480865478515625,0.00089633155758667,0.0005150224576477051,1.3589859008789062e-05,-1.049041748046875e-05,0.08402505145625,0.08431129161875,0.084336642196875,0.0001099705696105957,0.0029659271240234375,0.0037937164306640625,1.2159347534179688e-05,0.00014317035675048828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,0.0,-3.5762786865234375e-07,-3.5762786865234375e-07,20.03125,0.003124237060546875,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0139385615421875,0.1673583984375,0.0,0.0,0.0,0.0,0.0,0.01399566251484375,0.1676025390625,0.0027008056640625,7.456541061401367e-05,0.0011653900146484375,0.0144195556640625,0.00754547119140625,0.0134429931640625,0.0002522468566894531,0.005251795858984375,-5.447864532470703e-05,0.002849578857421875,0.00417327880859375,0.016392560707366943,0.020368635691760253,0.005008697509765625,0.00449371337890625,0.040716623867187496,0.043201468840625,0.0031681060791015625,0.0035190582275390625,0.0001189112663269043,0.0005865625265319824,6.74128532409668e-05,0.0001684427261352539,0.032745361328125,0.030487060546875,0.001157635159423828,0.0007057775458618165,2.9206275939941406e-05,-3.075599670410156e-05,0.12446589024375,0.12577258055,0.12588977436249998,0.0002529621124267578,0.00579071044921875,0.007537841796875,7.992982864379883e-05,0.0003936290740966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-2.980232238769531e-07,6.079673767089844e-06,-1.1920928955078125e-06,40.0625,0.0078125,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.020315527728125,0.2568359375,0.0,0.0,0.0,0.0,0.0,0.0204098894734375,0.257080078125,0.00415802001953125,0.00011181831359863281,0.0016689300537109375,0.02197265625,0.0115814208984375,0.02081298828125,0.0003371238708496094,0.008023842868359376,-8.738040924072266e-05,0.0036182403564453125,0.005199432373046875,0.016201242818566896,0.0202233214291687,0.0077362060546875,0.00691986083984375,0.056890627375,0.05889324103125,0.004497528076171875,0.005329132080078125,0.00018012523651123047,0.0007012863437133789,7.551908493041992e-05,0.00022482872009277344,0.050506591796875,0.046722412109375,0.0013135283014892578,0.000767258069946289,4.965066909790039e-05,-2.2709369659423828e-05,0.16429372881249998,0.16854331645,0.168783176675,0.00028705596923828125,0.00858306884765625,0.011138916015625,3.927946090698242e-05,0.00041222572326660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-4.172325134277344e-07,2.2649765014648438e-06,-1.4901161193847656e-06,60.03125,0.0092315673828125,0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0266724793796875,0.34912109375,0.0,0.0,0.0,0.0,0.0,0.026766064325,0.34912109375,0.005542755126953125,0.00014901161193847656,0.002094268798828125,0.029754638671875,0.016204833984375,0.0277557373046875,0.0004532337188720703,0.010616712184375,-0.00011712312698364258,0.0031642913818359375,0.00536346435546875,0.016149895285778808,0.020193658743078612,0.01042938232421875,0.00930023193359375,0.07366065026875,0.07528948593125,0.006450653076171875,0.007221221923828125,0.00021076202392578125,0.0006686938746398926,7.522106170654297e-05,0.0002796649932861328,0.06854248046875,0.0634765625,0.0014334728473632812,0.000826244874053955,6.80685043334961e-05,-1.4662742614746094e-05,0.205903496575,0.212591990875,0.2129543200125,0.0003638267517089844,0.01120758056640625,0.0146484375,3.135204315185547e-05,0.0004668235778808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-7.748603820800781e-07,1.5497207641601562e-06,-1.6093254089355469e-06,80.125,0.0128936767578125,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033181419165625003,0.444091796875,0.0,0.0,0.0,0.0,0.0,0.0332891567,0.444580078125,0.00690460205078125,0.0001863241195678711,0.00240325927734375,0.037506103515625,0.021209716796875,0.03497314453125,0.0005521774291992188,0.0132070476703125,-0.0001499652862548828,0.0025882720947265625,0.00482940673828125,0.016171459098040773,0.020279392606933594,0.01314544677734375,0.01171112060546875,0.09177015723125,0.09314642105625,0.008636474609375,0.00914764404296875,0.000255584716796875,0.0006974994875,7.432699203491211e-05,0.0003325939178466797,0.08648681640625,0.08001708984375,0.001563731910180664,0.0008961330713317871,8.273124694824219e-05,-4.5180320739746094e-05,0.2480786293625,0.258541718175,0.2589042187125,0.0004372596740722656,0.0135955810546875,0.0179595947265625,4.5299530029296875e-05,0.0005507469177246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,-3.814697265625e-06,-1.9073486328125e-06,100.0625,0.015625,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.033306108634375,0.4521484375,0.0,0.0,0.0,0.0,0.0,0.033443324946875,0.452392578125,0.00685882568359375,0.0001863241195678711,0.0022945404052734375,0.037628173828125,0.022064208984375,0.035186767578125,0.0005421638488769531,0.01326607856640625,-0.00015306472778320312,0.0016946792602539062,0.0036678314208984375,0.01689762246513672,0.021344479219433592,0.01328277587890625,0.0117950439453125,0.09464012183125001,0.09647073219374999,0.0090789794921875,0.00926971435546875,0.00024509429931640625,0.0006854695328613282,6.214778903808594e-05,0.0003192424774169922,0.0867919921875,0.08013916015625,0.0014953824047363282,0.0008693056041198731,9.244680404663086e-05,-3.2961368560791016e-05,0.2500809580375,0.2623139209625,0.26267609000000003,0.00042724609375,0.01316070556640625,0.0176239013671875,6.669759750366211e-05,0.0005283355712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.430511474609375e-06,7.62939453125e-06,-1.3113021850585938e-06,100.125,0.016357421875,0.0126953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0334578354375,0.460693359375,0.0,0.0,0.0,0.0,0.0,0.033563345871875,0.4609375,0.006847381591796875,0.0001863241195678711,0.0022373199462890625,0.037506103515625,0.02301025390625,0.0345458984375,0.0005645751953125,0.01330759316796875,-0.00015115737915039062,0.0012378692626953125,0.003246307373046875,0.019145587473632812,0.02330516277285156,0.0133514404296875,0.01184844970703125,0.0970239993625,0.09943907337499999,0.00954437255859375,0.009368896484375,0.00024580955505371094,0.0006977968257568359,6.765214095458985e-05,0.00031280517578125,0.0859375,0.07928466796875,0.0014092049954833985,0.0008285793164306641,0.00010466575622558594,-3.0517578125e-05,0.252174232175,0.2654720544375,0.2657120115625,0.0004336833953857422,0.01263427734375,0.017181396484375,3.3736228942871094e-05,0.00042247772216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,1.33514404296875e-05,-2.5033950805664062e-06,100.125,0.014892578125,0.01513671875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.033775458853125,0.468994140625,0.0,0.0,0.0,0.0,0.0,0.033910593365625,0.469482421875,0.00679779052734375,0.0001862049102783203,0.0020809173583984375,0.03643798828125,0.024261474609375,0.0309600830078125,0.000568389892578125,0.0134735107421875,-0.00015604496002197266,0.0007305145263671875,0.0027370452880859375,0.021231675562109375,0.0250007807828125,0.01338958740234375,0.01183319091796875,0.09891385773125,0.101699527325,0.01067352294921875,0.00946044921875,0.00024819374084472656,0.00068040940390625,8.379654095458985e-05,0.0003120899200439453,0.08172607421875,0.0750732421875,0.001310196855065918,0.0007464563984130859,7.051229476928711e-05,-5.739927291870117e-05,0.2555017918,0.2688180879,0.2689360306125,0.0004723072052001953,0.01210784912109375,0.0167236328125,1.7881393432617188e-07,0.00023317337036132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.9073486328125e-06,3.814697265625e-06,-2.2649765014648438e-06,100.125,0.01806640625,0.01220703125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.034261898115625,0.47509765625,0.0,0.0,0.0,0.0,0.0,0.034396074928125,0.475341796875,0.006763458251953125,0.0001863241195678711,0.00193023681640625,0.03497314453125,0.0253448486328125,0.0273590087890625,0.0005521774291992188,0.01361083984375,-0.0001595020294189453,0.0005936622619628906,0.002330780029296875,0.023112004604296875,0.0264170710203125,0.01336669921875,0.01177978515625,0.0999948270375,0.10345762409375,0.0120391845703125,0.00949859619140625,0.00029659271240234375,0.0007112750017089843,0.0001222835040588379,0.0003211498260498047,0.07666015625,0.07012939453125,0.001176151542529297,0.0006395624071777343,3.8743019104003906e-05,-8.666515350341797e-05,0.2594366148,0.2723933905,0.2727553956375,0.0005202293395996094,0.011749267578125,0.0163726806640625,-1.1444091796875e-05,0.00014460086822509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.1457672119140625e-06,1.9073486328125e-06,-2.2649765014648438e-06,100.0625,0.02099609375,0.0107421875
