Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00777464173046875,0.0877685546875,0.0,0.0,0.0,0.0,0.0,0.007821470411328125,0.087890625,0.0016374588012695312,3.731250762939453e-05,0.0007309913635253906,0.01009368896484375,0.00530242919921875,0.0099029541015625,0.00010603666305541992,0.002884936159765625,-2.872943878173828e-05,0.0025882720947265625,0.0034427642822265625,0.01655226011557007,0.020443104237957765,0.003116607666015625,0.0028553009033203125,0.029241980946875,0.03233698193359375,0.00110626220703125,0.0019817352294921875,3.3020973205566406e-05,0.0005637569434387207,1.6510486602783203e-05,5.733966827392578e-05,0.02215576171875,0.02093505859375,0.0009562342255859376,0.0006046082387451172,1.1682510375976562e-05,-2.2232532501220703e-05,0.083689358096875,0.087698742790625,0.087754610946875,5.46574592590332e-05,0.0030994415283203125,0.003963470458984375,7.569789886474609e-06,0.0001316070556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-5.960464477539063e-08,-7.748603820800781e-07,-2.980232238769531e-07,20.03125,0.0012693405151367188,0.0020503997802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0134807978703125,0.1790771484375,0.0,0.0,0.0,0.0,0.0,0.0135455282375,0.1793212890625,0.0032749176025390625,7.450580596923828e-05,0.001537322998046875,0.020599365234375,0.01029205322265625,0.0206298828125,0.00021266937255859375,0.0055150099703125,-5.8531761169433594e-05,0.00463104248046875,0.006439208984375,0.016381176220214844,0.020353853739855956,0.00635528564453125,0.00579071044921875,0.045645212734374996,0.0480537637625,0.002471923828125,0.004032135009765625,6.520748138427734e-05,0.0005904964330871582,2.288818359375e-05,0.00011920928955078125,0.045806884765625,0.04327392578125,0.0013035473298339843,0.000920711894921875,1.9431114196777344e-05,-3.272294998168945e-05,0.12336725743125,0.1322423071125,0.13235950092499998,0.00013375282287597656,0.005954742431640625,0.007732391357421875,3.6716461181640625e-05,0.00034689903259277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.1920928955078125e-07,-1.5497207641601562e-06,-8.344650268554688e-07,40.0625,0.0048828125,0.00449371337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0192931888609375,0.273681640625,0.0,0.0,0.0,0.0,0.0,0.01938755060625,0.27392578125,0.00504302978515625,0.00011181831359863281,0.0025043487548828125,0.03155517578125,0.0156097412109375,0.03131103515625,0.0002758502960205078,0.0084091272921875,-9.328126907348633e-05,0.006069183349609375,0.00853729248046875,0.016188070192071535,0.020200790873443602,0.00974273681640625,0.00885009765625,0.064428469171875,0.06646160040625,0.003162384033203125,0.006084442138671875,0.0001004934310913086,0.0007261414805847168,7.68899917602539e-06,0.0001481771469116211,0.07080078125,0.066650390625,0.0014148561976074219,0.0009137662868041992,3.790855407714844e-05,-4.9054622650146484e-05,0.16252370928124998,0.178064800825,0.17830466105,0.00013875961303710938,0.00870513916015625,0.0112457275390625,4.839897155761719e-05,0.00045299530029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-9.5367431640625e-07,0.0,-1.0728836059570312e-06,60.03125,0.005420684814453125,0.004100799560546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0250855653171875,0.370361328125,0.0,0.0,0.0,0.0,0.0,0.025209667840625,0.37060546875,0.00676727294921875,0.00014901161193847656,0.0035858154296875,0.043426513671875,0.0210418701171875,0.043975830078125,0.0003819465637207031,0.011104993434375,-0.00012874603271484375,0.005496978759765625,0.009033203125,0.016143040751629638,0.02015992251413574,0.0131683349609375,0.01194000244140625,0.0843418026125,0.0860927085875,0.00411224365234375,0.0081634521484375,0.00011432170867919922,0.0006716145022338867,-1.609325408935547e-05,0.00017142295837402344,0.09844970703125,0.0928955078125,0.0015913059467285156,0.0010064297152099608,7.200241088867188e-05,-4.202127456665039e-05,0.2033400200125,0.2249210924375,0.2251613512625,0.00015652179718017578,0.0112762451171875,0.01462554931640625,8.362531661987305e-05,0.0006012916564941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-8.344650268554688e-07,-4.589557647705078e-06,-6.556510925292969e-07,80.0625,0.0085906982421875,0.009765625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0309688947515625,0.469482421875,0.0,0.0,0.0,0.0,0.0,0.0311071498640625,0.4697265625,0.00853729248046875,0.0001863241195678711,0.004787445068359375,0.056640625,0.0268402099609375,0.059722900390625,0.0004737377166748047,0.013771622865625,-0.00016248226165771484,0.0036182403564453125,0.0078277587890625,0.016108874221026612,0.020128831274230957,0.01666259765625,0.01506805419921875,0.10654066504375,0.10852728043125,0.0048065185546875,0.01023101806640625,0.00010943412780761719,0.0006816446519897461,-5.429983139038086e-05,0.00018084049224853516,0.1290283203125,0.12200927734375,0.0017995278849121093,0.0011567841829345704,9.000301361083984e-05,-7.200241088867188e-05,0.245271012175,0.2734342963,0.2737967968375,0.00014543533325195312,0.01367950439453125,0.017852783203125,0.00011366605758666992,0.0007505416870117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.3113021850585938e-06,9.5367431640625e-06,-1.0728836059570312e-06,100.0625,0.010009765625,0.0087890625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030986772696875,0.4755859375,0.0,0.0,0.0,0.0,0.0,0.0311392477984375,0.475830078125,0.008636474609375,0.0001862049102783203,0.005184173583984375,0.0594482421875,0.0273895263671875,0.06634521484375,0.0004749298095703125,0.01373910102734375,-0.0001710653305053711,0.00147247314453125,0.0047607421875,0.016219202398303222,0.020084198610302733,0.016845703125,0.01519775390625,0.11124168433125001,0.11410989234999999,0.00420379638671875,0.010223388671875,8.0108642578125e-05,0.0006780785569091797,-7.36315917602539e-05,0.00015079975128173828,0.135986328125,0.12890625,0.001826307392529297,0.0012224631244140624,6.073713302612305e-05,-7.933378219604492e-05,0.2473954111625,0.27684028815,0.27720245718750003,8.33272933959961e-05,0.01328277587890625,0.017425537109375,9.417533874511719e-05,0.000698089599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,-7.62939453125e-06,-9.5367431640625e-07,100.125,0.011962890625,0.0087890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0310622055546875,0.482421875,0.0,0.0,0.0,0.0,0.0,0.03121349235625,0.48291015625,0.0087738037109375,0.00018596649169921875,0.005706787109375,0.0628662109375,0.02801513671875,0.0743408203125,0.00046825408935546875,0.01362039834375,-0.00017261505126953125,0.0005965232849121094,0.003223419189453125,0.02032623627734375,0.022736772880273436,0.01702880859375,0.01534271240234375,0.11588386264375,0.11988585071874999,0.0033016204833984375,0.01018524169921875,4.214048385620117e-05,0.000681941990246582,-8.690270294799804e-05,0.00011414289474487305,0.1435546875,0.1363525390625,0.0019082150815429688,0.0013585838177734375,4.363059997558594e-05,-0.00010132789611816406,0.2498548962375,0.28024256225,0.2803604490625,1.7702579498291016e-05,0.01287841796875,0.0170745849609375,6.0558319091796875e-05,0.0005431175231933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,0.0,-5.960464477539062e-07,100.125,0.008544921875,0.01171875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.031456122915625,0.489013671875,0.0,0.0,0.0,0.0,0.0,0.0316065162171875,0.4892578125,0.0089874267578125,0.00018596649169921875,0.0063323974609375,0.0670166015625,0.0289459228515625,0.0831298828125,0.0004723072052001953,0.0135345458984375,-0.00018358230590820312,0.0003571510314941406,0.0028171539306640625,0.02606489699765625,0.02786180373203125,0.0172271728515625,0.01552581787109375,0.1209475491375,0.12605255466875,0.0023040771484375,0.010162353515625,-1.4066696166992188e-05,0.0006672963820556641,-9.060664965820312e-05,8.237361907958984e-05,0.1512451171875,0.14404296875,0.0019650134825683592,0.001507726921484375,4.118680953979492e-05,-0.00011110305786132812,0.2535486668,0.28395480665,0.2843168899875,-4.941225051879883e-05,0.01265716552734375,0.016937255859375,7.808208465576172e-06,0.00034308433532714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.1920928955078125e-06,0.0,-1.1920928955078125e-07,100.0625,0.016845703125,0.0078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.032064632490625,0.496337890625,0.0,0.0,0.0,0.0,0.0,0.03222932688125,0.49658203125,0.00925445556640625,0.00018584728240966797,0.007144927978515625,0.07232666015625,0.0300140380859375,0.09423828125,0.0004839897155761719,0.01342010498046875,-0.0001804828643798828,0.0002617835998535156,0.00260162353515625,0.03256100973125,0.03384047189921875,0.01739501953125,0.01568603515625,0.12581269813125,0.13238828815625,0.001186370849609375,0.01013946533203125,-5.811452865600586e-05,0.0006807574235839843,-7.971663708496094e-05,5.555152893066406e-05,0.16064453125,0.1533203125,0.002213272361621094,0.0019522951037109376,5.829334259033203e-05,-0.00010865926742553711,0.2580938413625,0.2881404608125,0.2883803956375,-0.00011718273162841797,0.01271820068359375,0.01715087890625,-2.396106719970703e-05,0.00020503997802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,-3.814697265625e-06,-8.344650268554688e-07,100.0625,0.01123046875,0.01123046875
