Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008800795294921875,0.06787109375,0.0,0.0,0.0,0.0,0.0,0.008851438673046875,0.06793212890625,0.0014820098876953125,3.725290298461914e-05,0.0006690025329589844,0.007904052734375,0.003101348876953125,0.0092620849609375,0.00011861324310302734,0.0024996517359375,-3.266334533691406e-05,0.003223419189453125,0.0041046142578125,0.016548087790435793,0.020426772565289308,0.0029277801513671875,0.0027980804443359375,0.029180945790625,0.0325734931640625,0.0008683204650878906,0.0017194747924804688,6.824731826782227e-05,0.0005481405265075684,5.805492401123047e-05,7.158517837524414e-05,0.0206451416015625,0.019683837890625,0.0009667246430664063,0.0007047440419677734,-2.6404857635498047e-05,-3.981590270996094e-05,0.08597817645625,0.090384289665625,0.09040964024375,8.213520050048828e-05,0.003734588623046875,0.004634857177734375,3.337860107421875e-06,3.695487976074219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-2.384185791015625e-07,0.0,-1.7881393432617188e-07,20.03125,0.00390625,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0167156611515625,0.11651611328125,0.0,0.0,0.0,0.0,0.0,0.0167956503078125,0.1165771484375,0.0029144287109375,7.450580596923828e-05,0.0010700225830078125,0.013916015625,0.00675201416015625,0.012298583984375,0.00023627281188964844,0.004553706259375,-6.961822509765625e-05,0.0083160400390625,0.01009368896484375,0.016372473942077637,0.02032083276665039,0.00580596923828125,0.00557708740234375,0.044134592617187496,0.046924613371875,0.00269317626953125,0.0035400390625,0.00015819072723388672,0.0006209544065673828,0.0001285076141357422,0.00014281272888183594,0.035919189453125,0.034393310546875,0.0010795530747680663,0.0006786574324890137,-6.455183029174805e-05,-8.153915405273438e-05,0.1287993863375,0.1385899633625,0.13870715717499998,0.00018525123596191406,0.007404327392578125,0.009002685546875,5.4001808166503906e-05,2.199411392211914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-3.5762786865234375e-07,0.0,-4.172325134277344e-07,40.09375,0.0089874267578125,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.029043555071875,0.1258544921875,0.0,0.0,0.0,0.0,0.0,0.0291989519734375,0.1258544921875,0.004276275634765625,0.0001118779182434082,0.001220703125,0.0177001953125,0.011505126953125,0.0082550048828125,0.00034165382385253906,0.00623474985078125,-0.00010758638381958008,0.0187530517578125,0.0208740234375,0.016158804311486818,0.02010655593005371,0.008514404296875,0.00830841064453125,0.057104250421875,0.058984793765625,0.005706787109375,0.005451202392578125,0.00022113323211669922,0.000630654839654541,0.0002269744873046875,0.0002110004425048828,0.044891357421875,0.0433349609375,0.0013154356501220703,0.0008273395518798828,-0.00015544891357421875,-0.00016617774963378906,0.17454763506249998,0.1877083555125,0.187826145425,0.00029921531677246094,0.01198577880859375,0.0138397216796875,0.00019156932830810547,-0.0001233816146850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-4.76837158203125e-07,2.2649765014648438e-06,-4.76837158203125e-07,60.1875,0.016998291015625,0.0158233642578125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04975902723125,0.0953369140625,0.0,0.0,0.0,0.0,0.0,0.05002045885625,0.09552001953125,0.00540924072265625,0.00014925003051757812,0.0014362335205078125,0.019927978515625,0.017059326171875,0.0020580291748046875,0.0004050731658935547,0.007393292994921875,-0.0001512765884399414,0.03558349609375,0.037017822265625,0.016082780455761718,0.01998718825357666,0.0108642578125,0.0108489990234375,0.066794195190625,0.067812679290625,0.0098724365234375,0.007434844970703125,0.00023484230041503906,0.0005646837695068359,0.00035691261291503906,0.0002770423889160156,0.050384521484375,0.048797607421875,0.0015717556232421874,0.0009800844622192381,-0.0002307891845703125,-0.00019812583923339844,0.222505059075,0.237006053375,0.2371242418875,0.0004010200500488281,0.0169219970703125,0.018707275390625,0.0004067420959472656,-0.0005140304565429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.761882781982422e-06,-5.960464477539062e-07,7.62939453125e-06,-1.7881393432617188e-07,80.3125,0.0226593017578125,0.0265655517578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07642482736875,0.048919677734375,0.0,0.0,0.0,0.0,0.0,0.07680722310625,0.04901123046875,0.00644683837890625,0.00018680095672607422,0.0017538070678710938,0.021392822265625,0.0216827392578125,0.0010232925415039062,0.0004565715789794922,0.008217423646875,-0.00019633769989013672,0.054931640625,0.054931640625,0.015999022860705567,0.019883617765625,0.01294708251953125,0.01320648193359375,0.073001846684375,0.072974301915625,0.01541900634765625,0.00942230224609375,0.0002732276916503906,0.0005532562471435547,0.0005574226379394531,0.0003955364227294922,0.0545654296875,0.05230712890625,0.0019072930826660155,0.0012037526430175782,-0.0002982616424560547,-0.000213623046875,0.272126480925,0.2855192572375,0.2857596874625,0.0005540847778320312,0.0220489501953125,0.0234375,0.0006999969482421875,-0.0007996559143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.7881393432617188e-06,-3.814697265625e-06,9.5367431640625e-07,100.3125,0.0234375,0.02392578125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08613203636875,0.005481719970703125,0.0,0.0,0.0,0.0,0.0,0.08645235815,0.00556182861328125,0.006259918212890625,0.00018703937530517578,0.0016145706176757812,0.01861572265625,0.0203704833984375,0.000911712646484375,0.00040721893310546875,0.007540217970703125,-0.00020492076873779297,0.06219482421875,0.060699462890625,0.016050402044299316,0.01984399189185791,0.01247406005859375,0.0128936767578125,0.06650291480000001,0.06586160133437499,0.0178070068359375,0.0094451904296875,0.0002646446228027344,0.0005285901078125,0.0006899039078125,0.00048160552978515625,0.047882080078125,0.044921875,0.001853010273388672,0.0011876540118652343,-0.00021517276763916016,-0.00015020370483398438,0.2770584971,0.286361772525,0.28660187125000003,0.0006690025329589844,0.0229644775390625,0.023712158203125,0.0006513595581054688,-0.0008997917175292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.0728836059570312e-06,1.9073486328125e-06,-2.384185791015625e-07,100.3125,0.01953125,0.01904296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.09022053075,-0.0006175041198730469,0.0,0.0,0.0,0.0,0.0,0.09066173454375,-0.0005474090576171875,0.00630950927734375,0.00018703937530517578,0.00146484375,0.0167236328125,0.018890380859375,0.0008258819580078125,0.0003662109375,0.007246039212890625,-0.00021648406982421875,0.06536865234375,0.06341552734375,0.015902796774627685,0.019615814075189208,0.01216888427734375,0.01262664794921875,0.06156257358125,0.06031553821875,0.01934814453125,0.0095062255859375,0.00026726722717285156,0.00046700764118652344,0.0007720598329101563,0.0005364418029785156,0.042510986328125,0.03887939453125,0.0017098508237304688,0.0010954889157348633,-0.00022494792938232422,-0.0001647472381591797,0.2840345837375,0.2884212731875,0.28853916,0.0008101463317871094,0.02435302734375,0.0246734619140625,0.0005021095275878906,-0.000988006591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,-1.1444091796875e-05,-4.76837158203125e-07,100.25,0.025390625,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.089409003775,-0.0006108283996582031,0.0,0.0,0.0,0.0,0.0,0.08972724375625,-0.0005183219909667969,0.00649261474609375,0.00018703937530517578,0.001346588134765625,0.01537322998046875,0.0179443359375,0.000865936279296875,0.00040721893310546875,0.007251739501953125,-0.0002281665802001953,0.0657958984375,0.06414794921875,0.015952372965063476,0.0196107923604187,0.01198577880859375,0.01241302490234375,0.058478066715625,0.056625064434375,0.0206298828125,0.00958251953125,0.0002994537353515625,0.00042506310568847657,0.0008587761323242188,0.0005888938903808594,0.03741455078125,0.033447265625,0.0014958057188964845,0.000898150219366455,-0.00019562244415283203,-0.00016963481903076172,0.29407601055,0.291034884775,0.2911528274875,0.000980377197265625,0.0258941650390625,0.0257415771484375,0.0003876686096191406,-0.000980377197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.7881393432617188e-06,-1.9073486328125e-06,-8.344650268554688e-07,100.3125,0.0302734375,0.0146484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0846464196,-0.00043964385986328125,0.0,0.0,0.0,0.0,0.0,0.08496370188125,-0.0003452301025390625,0.006801605224609375,0.000186920166015625,0.001316070556640625,0.014251708984375,0.0172576904296875,0.0008673667907714844,0.0004901885986328125,0.0074005126953125,-0.00021898746490478516,0.06292724609375,0.06170654296875,0.016101127471881103,0.019706243669696043,0.0118865966796875,0.01224517822265625,0.05781953406875,0.055422956125,0.0215606689453125,0.00958251953125,0.00035881996154785156,0.00044996823901367184,0.000955735251953125,0.0006489753723144531,0.03289794921875,0.0287628173828125,0.0013382761763183594,0.00073349932734375,-0.00019562244415283203,-0.00015020370483398438,0.30679989605,0.29534260925,0.295582544075,0.0011625289916992188,0.027557373046875,0.026947021484375,0.0004096031188964844,-0.0006971359252929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.1457672119140625e-06,5.7220458984375e-06,-1.9073486328125e-06,100.25,0.0205078125,0.01806640625
