Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,-0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00914793274609375,0.0914306640625,0.0,0.0,0.0,0.0,0.0,0.009194761426953125,0.09149169921875,0.0026836395263671875,3.713369369506836e-05,0.0034027099609375,0.022430419921875,0.00372314453125,0.032470703125,5.817413330078125e-05,0.002770495241796875,-2.8431415557861328e-05,2.1576881408691406e-05,0.0002932548522949219,0.016704907610839845,0.020503126115246583,0.004070281982421875,0.0037174224853515625,0.038458289540624996,0.0426442939453125,4.398822784423828e-05,0.0019931793212890625,-2.181529998779297e-05,0.0005065960890991211,-4.4286251068115234e-05,-4.0531158447265625e-06,0.05010986328125,0.0484619140625,0.005913433322265625,0.00576708573203125,1.5676021575927734e-05,-1.1205673217773438e-05,0.08964028583125,0.09480933849375,0.09486520665,-0.00010508298873901367,0.0037288665771484375,0.00453948974609375,-1.4483928680419922e-05,4.583597183227539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-06,1.1920928955078125e-07,1.9073486328125e-06,1.7881393432617188e-07,20.015625,9.763240814208984e-05,0.0002930164337158203
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0164104853703125,0.1878662109375,0.0,0.0,0.0,0.0,0.0,0.0164599569484375,0.18798828125,0.005496978759765625,7.426738739013672e-05,0.006969451904296875,0.04571533203125,0.00722503662109375,0.0657958984375,0.00011283159255981445,0.00532427510703125,-5.4717063903808594e-05,-5.2988529205322266e-05,0.0003123283386230469,0.01702013801220703,0.02075570825493164,0.00833892822265625,0.007556915283203125,0.064688181484375,0.069263480559375,9.948015213012695e-05,0.00406646728515625,-3.7610530853271484e-05,0.0005267790678222656,-9.542703628540039e-05,-1.6689300537109375e-06,0.10223388671875,0.09869384765625,0.011407249875,0.0114836086234375,1.8417835235595703e-05,-2.6345252990722656e-05,0.1361236050875,0.1468907446125,0.14694690326874998,-0.00019550323486328125,0.00731658935546875,0.00896453857421875,-2.658367156982422e-05,8.666515350341797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,2.980232238769531e-07,3.814697265625e-06,0.0,40.03125,0.0007810592651367188,0.0005860328674316406
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0237792728453125,0.28857421875,0.0,0.0,0.0,0.0,0.0,0.023873634590625,0.288818359375,0.0084991455078125,0.0001112222671508789,0.01116180419921875,0.0689697265625,0.0101776123046875,0.0989990234375,0.00013303756713867188,0.00832520395234375,-8.797645568847656e-05,6.479024887084961e-05,0.0003750324249267578,0.017228230848046876,0.021163465491210936,0.0128021240234375,0.011566162109375,0.092535158625,0.0980167761875,0.00013184547424316406,0.006069183349609375,-6.014108657836914e-05,0.000555731801171875,-0.00016641616821289062,-3.1888484954833984e-05,0.155517578125,0.1497802734375,0.0168991892359375,0.0171416076640625,5.143880844116211e-05,-1.722574234008789e-05,0.18272634599999998,0.199549175825,0.1996669657375,-0.0003495216369628906,0.01116180419921875,0.01351165771484375,-2.2232532501220703e-05,0.00014722347259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.450580596923828e-06,-4.172325134277344e-07,5.7220458984375e-06,4.76837158203125e-07,60.0,-0.0002930164337158203,-0.0020503997802734375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.031143304575,0.390869140625,0.0,0.0,0.0,0.0,0.0,0.0312368895203125,0.39111328125,0.01152801513671875,0.00014829635620117188,0.01534271240234375,0.09283447265625,0.01273345947265625,0.132568359375,0.0001538991928100586,0.0111202522234375,-0.00011998414993286133,6.979703903198242e-05,0.0004703998565673828,0.01826955566328125,0.022118054304296874,0.017364501953125,0.01568603515625,0.1207187557375,0.1272304039,0.0001882314682006836,0.00807952880859375,-6.502866744995117e-05,0.0005665911181396484,-0.00022864341735839844,-4.929304122924805e-05,0.209716796875,0.2017822265625,0.02205095789375,0.022420471234375,7.05718994140625e-05,-1.9550323486328125e-05,0.229340996575,0.2518986315,0.252138890325,-0.0004792213439941406,0.01468658447265625,0.017852783203125,-3.647804260253906e-05,0.0001742839813232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.079673767089844e-06,-7.748603820800781e-07,0.0,7.748603820800781e-07,80.0,0.001953125,-0.00820159912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.038521995337500003,0.4951171875,0.0,0.0,0.0,0.0,0.0,0.038629732871875,0.4951171875,0.014678955078125,0.00018537044525146484,0.019622802734375,0.1171875,0.01512908935546875,0.166259765625,0.00021076202392578125,0.01397761651796875,-0.00015461444854736328,6.532669067382812e-05,0.0005750656127929688,0.020722929377734376,0.024564251310546875,0.0221099853515625,0.0199737548828125,0.15005873145,0.157782651525,0.0002536773681640625,0.0101165771484375,-6.222724914550781e-05,0.0005735218263671875,-0.0002903938293457031,-6.377696990966797e-05,0.2646484375,0.25439453125,0.026746217490625,0.0272843610109375,9.429454803466797e-05,-4.273653030395508e-05,0.27530030905,0.30419601505,0.304436445275,-0.0006089210510253906,0.01800537109375,0.022064208984375,-2.3066997528076172e-05,0.00022709369659423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.1920928955078125e-06,1.9073486328125e-06,1.3113021850585938e-06,100.0,0.001953125,-0.00439453125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0384635793375,0.5009765625,0.0,0.0,0.0,0.0,0.0,0.03860079565,0.50146484375,0.01486968994140625,0.00018525123596191406,0.0200958251953125,0.11834716796875,0.01465606689453125,0.1661376953125,0.00018846988677978516,0.01409005317578125,-0.00016009807586669922,3.1113624572753906e-05,0.0005631446838378906,0.02347892892265625,0.02719717849921875,0.0225372314453125,0.0203704833984375,0.1524404148,0.1604966111,0.0002448558807373047,0.01015472412109375,-6.151199340820312e-05,0.0005626839646240235,-0.000290473289453125,-6.437301635742188e-05,0.26611328125,0.255615234375,0.025859377003125,0.0263746695453125,6.467103958129883e-05,-3.600120544433594e-05,0.2742508799125,0.303451616275,0.30369171500000003,-0.0006079673767089844,0.0174560546875,0.02154541015625,-3.236532211303711e-05,0.0002148151397705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-9.5367431640625e-07,-1.9073486328125e-06,1.5497207641601562e-06,100.0,0.0009765625,-0.00439453125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.038249095203125,0.50732421875,0.0,0.0,0.0,0.0,0.0,0.038385123215625,0.50732421875,0.01503753662109375,0.00018537044525146484,0.0205841064453125,0.11962890625,0.0145111083984375,0.1651611328125,0.00021374225616455078,0.01416971475,-0.00016033649444580078,5.4836273193359375e-06,0.0005741119384765625,0.025827029734375,0.0295517295453125,0.0229949951171875,0.020782470703125,0.1540308353,0.1627935655625,0.0002570152282714844,0.01023101806640625,-4.3511390686035156e-05,0.0005614213985107422,-0.00027388247360839846,-6.133317947387695e-05,0.26611328125,0.255615234375,0.0246028027890625,0.025156572709375,2.473592758178711e-05,-7.325410842895508e-05,0.272682044675,0.301238656,0.30172275375,-0.0005865097045898438,0.016693115234375,0.020782470703125,-2.5510787963867188e-05,0.00017821788787841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486328125e-06,-1.430511474609375e-06,-1.52587890625e-05,2.0265579223632812e-06,100.0,0.0009765625,-0.00048828125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.038169990103125,0.513671875,0.0,0.0,0.0,0.0,0.0,0.038305124615625,0.513671875,0.01509857177734375,0.00018525123596191406,0.02099609375,0.120849609375,0.0147552490234375,0.1611328125,0.00020706653594970703,0.0143585205078125,-0.00016641616821289062,-5.918741226196289e-05,0.000545501708984375,0.027461076196875,0.031615465841406246,0.0234222412109375,0.021209716796875,0.15524930695,0.1645657382625,0.0002574920654296875,0.01032257080078125,-3.129243850708008e-05,0.0005497560225585938,-0.00025392337634277343,-6.0439109802246094e-05,0.264404296875,0.25390625,0.022906270959375,0.023392645134375,5.9485435485839844e-05,-4.8220157623291016e-05,0.271859213675,0.29860324415,0.2990873978,-0.0005445480346679688,0.0158233642578125,0.019866943359375,-3.9517879486083984e-05,0.00013124942779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.430511474609375e-06,-1.33514404296875e-05,2.9802322387695312e-06,100.0,-0.0029296875,-0.00146484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.038412288740625,0.51904296875,0.0,0.0,0.0,0.0,0.0,0.038546465553125,0.51953125,0.015106201171875,0.00018537044525146484,0.0210723876953125,0.1202392578125,0.0157012939453125,0.1502685546875,0.00021076202392578125,0.01457977294921875,-0.00017654895782470703,-2.866983413696289e-05,0.0005383491516113281,0.0267474110984375,0.031620318090625,0.0238494873046875,0.0216217041015625,0.15578095985,0.165530378,0.0002968311309814453,0.010467529296875,-9.298324584960938e-06,0.0005415209733886718,-0.0002146615528564453,-4.655122756958008e-05,0.256591796875,0.24658203125,0.020295891075,0.02073014239375,3.933906555175781e-05,-9.274482727050781e-05,0.271399505425,0.295586749875,0.295582544075,-0.00048089027404785156,0.01499176025390625,0.018951416015625,-1.633167266845703e-05,8.755922317504883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.0265579223632812e-06,3.814697265625e-06,2.2649765014648438e-06,100.0625,0.00439453125,-0.00048828125
