Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00778990051953125,0.0902099609375,0.0,0.0,0.0,0.0,0.0,0.00784054389765625,0.0902099609375,0.0017213821411132812,3.725290298461914e-05,0.0009469985961914062,0.0095672607421875,0.004322052001953125,0.01042938232421875,0.0001016855239868164,0.0030737636744140625,-3.2067298889160156e-05,0.0015850067138671875,0.0021076202392578125,0.01654629965109253,0.020448647469921876,0.003047943115234375,0.0027599334716796875,0.02921146336875,0.03253534619140625,0.0008783340454101562,0.001922607421875,3.0219554901123047e-05,0.0005350275046569824,1.245737075805664e-05,6.020069122314453e-05,0.0224151611328125,0.0210418701171875,0.0012180178254394532,0.0008067871938232422,8.702278137207031e-06,-2.1219253540039062e-05,0.086130764346875,0.0891330689625,0.089158419540625,7.349252700805664e-05,0.003376007080078125,0.004222869873046875,6.258487701416016e-06,0.0001347064971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,5.960464477539063e-08,7.748603820800781e-07,-2.384185791015625e-07,20.03125,0.0009765625,0.002635955810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01353420363203125,0.18359375,0.0,0.0,0.0,0.0,0.0,0.01359893399921875,0.183837890625,0.0034275054931640625,7.450580596923828e-05,0.0018510818481445312,0.0189056396484375,0.00830841064453125,0.020477294921875,0.0002086162567138672,0.00587359151328125,-6.16908073425293e-05,0.00274658203125,0.003917694091796875,0.016377659546173096,0.02037072185432739,0.006183624267578125,0.00557708740234375,0.045248484218749996,0.048023246184375,0.002208709716796875,0.00391387939453125,6.67572021484375e-05,0.0005775622251708984,2.0563602447509766e-05,0.00013434886932373047,0.0445556640625,0.041717529296875,0.0017384228181152343,0.0012459148368164064,2.3305416107177734e-05,-3.6597251892089844e-05,0.1283111050875,0.134805783675,0.13492297748749998,0.0001747608184814453,0.00649261474609375,0.00827789306640625,4.2557716369628906e-05,0.0003943443298339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-5.960464477539063e-08,4.589557647705078e-06,-6.556510925292969e-07,40.0625,0.003612518310546875,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01949155311875,0.279296875,0.0,0.0,0.0,0.0,0.0,0.0195859148640625,0.279541015625,0.005237579345703125,0.00011157989501953125,0.002788543701171875,0.02789306640625,0.0125579833984375,0.028472900390625,0.0002791881561279297,0.00896607309296875,-9.804964065551758e-05,0.00347137451171875,0.00501251220703125,0.01616923512432251,0.020255329123413084,0.0094146728515625,0.00846099853515625,0.063146730890625,0.06548503790625,0.0031566619873046875,0.0058441162109375,0.00010263919830322266,0.0006353636065917969,5.245208740234375e-06,0.00017511844635009766,0.06610107421875,0.06158447265625,0.0015593378565429688,0.0009928020457763672,1.8835067749023438e-05,-6.371736526489258e-05,0.17003103349999998,0.1813606992625,0.1816005594875,0.00021374225616455078,0.00946807861328125,0.012054443359375,4.1484832763671875e-05,0.0004260540008544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.1324882507324219e-06,0.0,-1.1920928955078125e-06,60.0625,0.0092315673828125,0.0038089752197265625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025314447153125,0.37744140625,0.0,0.0,0.0,0.0,0.0,0.0254232908875,0.377685546875,0.00695037841796875,0.000148773193359375,0.003582000732421875,0.0364990234375,0.01702880859375,0.03619384765625,0.0003681182861328125,0.01184504470390625,-0.00013375282287597656,0.0031185150146484375,0.00540924072265625,0.016177313422375487,0.020625553999121093,0.01261138916015625,0.01132965087890625,0.0811679744875,0.08322405624375,0.00482177734375,0.0078582763671875,0.00012803077697753906,0.0006472362025207519,-9.417533874511719e-06,0.00022029876708984375,0.0870361328125,0.0810546875,0.0016065647357910156,0.000899022145324707,4.076957702636719e-05,-7.712841033935547e-05,0.2135939262625,0.229193553375,0.2294338122,0.0002875328063964844,0.0122222900390625,0.0157012939453125,5.626678466796875e-05,0.0005359649658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.1324882507324219e-06,6.079673767089844e-06,-1.5497207641601562e-06,80.125,0.0085906982421875,0.00624847412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03113674143125,0.4775390625,0.0,0.0,0.0,0.0,0.0,0.0312902553328125,0.477783203125,0.008636474609375,0.00018596649169921875,0.004222869873046875,0.0455322265625,0.0219268798828125,0.045013427734375,0.00046443939208984375,0.014687150209375,-0.0001747608184814453,0.0025997161865234375,0.00518035888671875,0.017386022944628907,0.022374615080078125,0.01580810546875,0.01418304443359375,0.100498184575,0.102606870275,0.006580352783203125,0.00989532470703125,0.0001442432403564453,0.0006804525590942383,-3.403425216674805e-05,0.00025582313537597656,0.108642578125,0.1011962890625,0.0017094056620117187,0.000927246695904541,7.784366607666016e-05,-7.933378219604492e-05,0.2585766762375,0.2789274603625,0.2791678905875,0.0003523826599121094,0.01471710205078125,0.019134521484375,6.914138793945312e-05,0.0006227493286132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.384185791015625e-06,-1.9073486328125e-06,-1.71661376953125e-05,-1.0728836059570312e-06,100.0625,0.0087890625,0.01025390625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.031047807853125,0.484130859375,0.0,0.0,0.0,0.0,0.0,0.0312002829546875,0.484375,0.0086212158203125,0.00018596649169921875,0.004055023193359375,0.046417236328125,0.0226593017578125,0.04730224609375,0.0004730224609375,0.01462411079296875,-0.00018417835235595703,0.0018091201782226562,0.0041046142578125,0.020842973112109375,0.025556858675,0.015869140625,0.0142059326171875,0.10349021948750001,0.10623635719374999,0.006710052490234375,0.0099639892578125,0.00011307001113891602,0.0006598395356079102,-4.8955268823242185e-05,0.00023257732391357422,0.111083984375,0.10345458984375,0.0016305657390869141,0.0008818225795227051,7.539987564086914e-05,-5.984306335449219e-05,0.26192177835,0.282943803775,0.28330597281250003,0.0003390312194824219,0.014129638671875,0.0186614990234375,6.0558319091796875e-05,0.000518798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,-3.814697265625e-06,-1.3113021850585938e-06,100.0625,0.01123046875,0.0107421875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0310164291875,0.491455078125,0.0,0.0,0.0,0.0,0.0,0.0311677159890625,0.491943359375,0.00868988037109375,0.00018584728240966797,0.00412750244140625,0.048675537109375,0.023529052734375,0.052276611328125,0.0004706382751464844,0.01451303750390625,-0.0001951456069946289,0.0010890960693359375,0.00348663330078125,0.02533111908984375,0.0296737998578125,0.015960693359375,0.01427459716796875,0.10709480014375,0.11060850696874999,0.00629425048828125,0.010009765625,7.444620132446289e-05,0.0006538085979125977,-5.805405487670898e-05,0.00020420551300048828,0.11669921875,0.10882568359375,0.0016008935330810547,0.000867322335534668,9.489059448242188e-05,-5.251169204711914e-05,0.2659681774875,0.2874447106875,0.2875625975,0.00031065940856933594,0.01355743408203125,0.0181732177734375,2.0265579223632812e-05,0.00034427642822265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-8.344650268554688e-07,7.62939453125e-06,-1.5497207641601562e-06,100.0625,0.012451171875,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03136457018125,0.499267578125,0.0,0.0,0.0,0.0,0.0,0.0315149634828125,0.5,0.008880615234375,0.00018584728240966797,0.004436492919921875,0.052642822265625,0.02496337890625,0.060394287109375,0.0005011558532714844,0.01447296142578125,-0.0002033710479736328,0.0005521774291992188,0.0029735565185546875,0.0319013838140625,0.035712450704687496,0.016143798828125,0.0144500732421875,0.11185331085625,0.116347964825,0.005523681640625,0.010101318359375,3.141164779663086e-05,0.000631891223059082,-6.372495486450195e-05,0.0001678466796875,0.125244140625,0.11712646484375,0.001524415948388672,0.0008200085300659179,5.829334259033203e-05,-8.177757263183594e-05,0.2717371433625,0.292988009775,0.2932280228,0.00026679039001464844,0.0132598876953125,0.0179443359375,-1.6689300537109375e-06,0.00020635128021240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.5033950805664062e-06,0.0,-3.5762786865234375e-07,100.0625,0.013671875,0.01708984375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0320341149125,0.5048828125,0.0,0.0,0.0,0.0,0.0,0.032198809303125,0.505859375,0.0091400146484375,0.0001857280731201172,0.00518035888671875,0.059051513671875,0.02667236328125,0.075439453125,0.0005388259887695312,0.01434326171875,-0.0002129077911376953,0.0003643035888671875,0.00263214111328125,0.0410296376609375,0.044254595434375,0.01629638671875,0.014617919921875,0.11775605750625,0.12384336628125,0.00408935546875,0.0100860595703125,-1.5437602996826172e-05,0.0006465443574829101,-5.223889584350586e-05,0.00012922286987304688,0.1387939453125,0.13037109375,0.0015285342024414063,0.0008523509890258789,2.8967857360839844e-05,-9.644031524658203e-05,0.27847958355,0.299492999875,0.2997329347,0.00019979476928710938,0.013397216796875,0.018157958984375,-9.000301361083984e-06,0.0001819133758544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.6689300537109375e-06,-5.7220458984375e-06,-5.960464477539062e-07,100.125,0.01171875,0.009765625
