Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00811033508984375,0.0802001953125,0.0,0.0,0.0,0.0,0.0,0.008149534376171875,0.08026123046875,0.0009207725524902344,3.74913215637207e-05,0.00011473894119262695,0.002017974853515625,0.0016651153564453125,0.0001239776611328125,0.00010764598846435547,0.00215632898203125,-1.621246337890625e-05,0.004306793212890625,0.00525665283203125,0.016561379626220705,0.02043487879697876,0.0021839141845703125,0.0020351409912109375,0.02255100194296875,0.02565363232421875,0.003551483154296875,0.0013666152954101562,0.0001285076141357422,0.0005431337363464355,0.00012564659118652344,0.00021529197692871094,0.00547027587890625,0.00467681884765625,0.000830110797241211,0.0005137707601074219,0.00087738037109375,0.0008478164672851562,0.064402248721875,0.069723889275,0.069749239853125,0.0001786947250366211,0.002475738525390625,0.0037021636962890625,1.9669532775878906e-06,4.5180320739746094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-4.76837158203125e-07,-3.5762786865234375e-07,-8.344650268554688e-07,20.03125,0.00244140625,0.0023441314697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0144573603703125,0.1617431640625,0.0,0.0,0.0,0.0,0.0,0.0145068319484375,0.161865234375,0.0017719268798828125,7.50422477722168e-05,0.0001685619354248047,0.0038604736328125,0.003513336181640625,0.00023102760314941406,0.00021457672119140625,0.004084498495703125,-3.606081008911133e-05,0.0079803466796875,0.00982666015625,0.016406508194244385,0.02034837011253662,0.004367828369140625,0.004055023193359375,0.031958078945312496,0.03432085360625,0.00765228271484375,0.0027637481689453125,0.00025200843811035156,0.0006076029661376953,0.00025391578674316406,0.0004343986511230469,0.01065826416015625,0.0089569091796875,0.0009868082474975585,0.0006354440650268555,0.002384185791015625,0.002323150634765625,0.08357233555625,0.094766721175,0.094761844675,0.0003769397735595703,0.004772186279296875,0.007251739501953125,9.357929229736328e-06,9.083747863769531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-7.748603820800781e-07,0.0,-1.3709068298339844e-06,40.0625,0.0068359375,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0210937259703125,0.2423095703125,0.0,0.0,0.0,0.0,0.0,0.0211575701375,0.242431640625,0.0026073455810546875,0.00011259317398071289,0.0001589059829711914,0.005588531494140625,0.0055694580078125,0.00032520294189453125,0.00033211708068847656,0.00609742074921875,-6.198883056640625e-05,0.01139068603515625,0.0140228271484375,0.016218587770196535,0.020192088595306395,0.006572723388671875,0.006092071533203125,0.041845461359375,0.04326824103125,0.0123748779296875,0.004169464111328125,0.0003750324249267578,0.0006353636065917969,0.0003960132598876953,0.0006699562072753906,0.01544189453125,0.01273345947265625,0.0011282770655273438,0.0007489594440002441,0.00461578369140625,0.004528045654296875,0.101519070609375,0.11812827738750001,0.11812399698750001,0.0006093978881835938,0.007049560546875,0.010833740234375,9.238719940185547e-06,0.00013840198516845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-1.430511474609375e-06,6.854534149169922e-06,-2.2649765014648438e-06,60.0625,0.0090789794921875,0.0099639892578125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0280915467625,0.2998046875,0.0,0.0,0.0,0.0,0.0,0.0281851317078125,0.30029296875,0.0034732818603515625,0.00015032291412353516,3.5881996154785156e-05,0.006580352783203125,0.007488250732421875,0.0003917217254638672,0.0003998279571533203,0.00819819411796875,-9.804964065551758e-05,0.0156097412109375,0.018707275390625,0.01617260465543823,0.020130477819616698,0.00885009765625,0.00823211669921875,0.05193213464375,0.051943538665625,0.0179595947265625,0.005527496337890625,0.0004982948303222656,0.0006589783175415039,0.0005645751953125,0.000934600830078125,0.0185089111328125,0.0147247314453125,0.0011879017108886718,0.0007730179262695312,0.006622314453125,0.006481170654296875,0.1166700981375,0.1370304674375,0.13708762079375,0.0009016990661621094,0.0092926025390625,0.0144500732421875,4.3332576751708984e-05,0.0001875162124633789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.079673767089844e-06,-1.3113021850585938e-06,9.179115295410156e-06,-2.562999725341797e-06,80.125,0.0207061767578125,0.01328277587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.037209739478125003,0.261962890625,0.0,0.0,0.0,0.0,0.0,0.0373174770125,0.26220703125,0.004398345947265625,0.00018799304962158203,-0.0002582073211669922,0.006435394287109375,0.0083160400390625,0.0003979206085205078,0.0005106925964355469,0.01026210138125,-0.00013017654418945312,0.0249481201171875,0.02740478515625,0.01612842454451294,0.02007524669857788,0.0113067626953125,0.0106964111328125,0.060031875981249996,0.058631040196875,0.024200439453125,0.00678253173828125,0.0006184577941894531,0.0007197916246459961,0.0007524490356445312,0.001201629638671875,0.01885986328125,0.014556884765625,0.001327220679711914,0.0008616219820068359,0.005016326904296875,0.004863739013671875,0.12783937155,0.14861740176875,0.148674726525,0.0012950897216796875,0.0130767822265625,0.0189361572265625,0.00010144710540771484,3.707408905029297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.430511474609375e-06,-1.1444091796875e-05,-2.6226043701171875e-06,100.125,0.025390625,0.02001953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.051250444571875,0.1156005859375,0.0,0.0,0.0,0.0,0.0,0.051540248775,0.1158447265625,0.003910064697265625,0.00018835067749023438,-0.00012969970703125,0.005115509033203125,0.0071258544921875,0.0004296302795410156,0.0003943443298339844,0.00919961128125,-0.00018262863159179688,0.0421142578125,0.04217529296875,0.016147140382769775,0.019951995508190917,0.0109405517578125,0.01071929931640625,0.05435691870625,0.05374612281875,0.0247802734375,0.0066680908203125,0.0005340576171875,0.0008435410508056641,0.0008243719864257813,0.0011806488037109375,0.0172271728515625,0.01328277587890625,0.0014548512462890626,0.000936122410913086,0.0020809173583984375,0.00202178955078125,0.1219071299125,0.138900835025,0.13895782828125,0.0012607574462890625,0.01800537109375,0.022552490234375,0.0004010200500488281,-0.0003376007080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-9.5367431640625e-07,3.814697265625e-06,-8.344650268554688e-07,100.25,0.02587890625,0.02587890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.075816233875,0.00521087646484375,0.0,0.0,0.0,0.0,0.0,0.0761964025125,0.00531768798828125,0.0034732818603515625,0.00018846988677978516,0.0002815723419189453,0.004337310791015625,0.00588226318359375,0.0003180503845214844,0.0003974437713623047,0.007913611234375,-0.0002168416976928711,0.059051513671875,0.05511474609375,0.015997687369110107,0.01967088876696167,0.01024627685546875,0.01052093505859375,0.04642585483125,0.0465826280625,0.0237274169921875,0.0064697265625,0.0004546642303466797,0.0008491926234863281,0.0010429033387695313,0.00125885009765625,0.01690673828125,0.01325225830078125,0.0013578257916870117,0.000773325810723877,0.0026264190673828125,0.002613067626953125,0.12052140014375,0.134978890375,0.13509677718750002,0.001251220703125,0.02288818359375,0.0263519287109375,0.0008587837219238281,-0.0005793571472167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-4.76837158203125e-07,7.62939453125e-06,1.1920928955078125e-07,100.25,0.01708984375,0.025390625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10265363268125,-0.0008764266967773438,0.0,0.0,0.0,0.0,0.0,0.103093942975,-0.0007581710815429688,0.00347137451171875,0.00018858909606933594,0.0007724761962890625,0.003757476806640625,0.0044097900390625,0.00026035308837890625,0.0003478527069091797,0.007335662841796875,-0.00027108192443847656,0.0697021484375,0.061767578125,0.01601400416776123,0.019594460687750243,0.00975799560546875,0.01025390625,0.0379244778484375,0.038680728496875,0.0228118896484375,0.0064239501953125,0.0003376007080078125,0.0007155165396789551,0.0012612266938476563,0.0013513565063476562,0.0159149169921875,0.01255035400390625,0.00136849019765625,0.0007135546344970703,0.003368377685546875,0.00337982177734375,0.11530403789375,0.132343478525,0.13240038608125,0.0012683868408203125,0.0234222412109375,0.0265960693359375,0.000980377197265625,-0.0009303092956542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.7881393432617188e-06,5.7220458984375e-06,1.0728836059570312e-06,100.25,0.0361328125,0.0283203125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.119558528975,-0.0007395744323730469,0.0,0.0,0.0,0.0,0.0,0.120058916725,-0.0006184577941894531,0.0035343170166015625,0.00018858909606933594,0.0011949539184570312,0.0034275054931640625,0.0031585693359375,0.00022017955780029297,0.0003643035888671875,0.006744384765625,-0.0002796649932861328,0.076416015625,0.06707763671875,0.016154235210375976,0.01968120971889038,0.00926971435546875,0.00992584228515625,0.031421828990625,0.03253477253125,0.0215301513671875,0.006343841552734375,0.0003991127014160156,0.0008723267518920898,0.0015651331401367187,0.001556396484375,0.01525115966796875,0.01258087158203125,0.0013361304091064454,0.0006688282877624511,0.006923675537109375,0.006927490234375,0.10947323589374999,0.12835042175,0.12834621595,0.001251220703125,0.024322509765625,0.0272064208984375,0.0009307861328125,-0.0008869171142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,-1.9073486328125e-06,9.5367431640625e-07,100.25,0.0419921875,0.02099609375
