Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004604628302734375,0.08770751953125,0.0,0.0,0.0,0.0,0.0,0.004640012891796875,0.0877685546875,0.0015163421630859375,3.743171691894531e-05,0.0004267692565917969,0.00513458251953125,0.00545501708984375,0.001552581787109375,0.00010156631469726562,0.002984118288671875,-3.1113624572753906e-05,0.0023555755615234375,0.0031795501708984375,0.016547908976501467,0.020443461865826417,0.003215789794921875,0.0029315948486328125,0.0306915659078125,0.0337941962890625,0.004451751708984375,0.00201416015625,9.655952453613281e-05,0.0004907412535888672,3.218650817871094e-05,9.453296661376953e-05,0.0112762451171875,0.00998687744140625,0.000819739589050293,0.0005057241330627441,1.4603137969970703e-05,-1.537799835205078e-05,0.08548989520625,0.09487037365,0.09492624180625,0.00021517276763916016,0.002155303955078125,0.002796173095703125,3.0100345611572266e-05,6.198883056640625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-4.76837158203125e-07,7.748603820800781e-07,-7.152557373046875e-07,20.015625,0.002735137939453125,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00750698195234375,0.1778564453125,0.0,0.0,0.0,0.0,0.0,0.00755645353046875,0.1781005859375,0.0030059814453125,7.480382919311523e-05,0.0007500648498535156,0.009429931640625,0.0107421875,0.0013637542724609375,0.00020194053649902344,0.0057896681734375,-6.35385513305664e-05,0.00444793701171875,0.0059661865234375,0.016377242313659668,0.02036517862236328,0.006420135498046875,0.00583648681640625,0.047262644374999996,0.04970171298125,0.00965118408203125,0.004116058349609375,0.00020051002502441406,0.0004981688383300781,6.139278411865234e-05,0.00019109249114990234,0.0206298828125,0.017913818359375,0.0009670195054321289,0.0006181587180419922,3.0159950256347656e-05,-3.8564205169677734e-05,0.126724191025,0.14560900633125,0.14560412983124998,0.0004611015319824219,0.004093170166015625,0.00542449951171875,6.29425048828125e-05,0.0001323223114013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-8.344650268554688e-07,4.589557647705078e-06,-1.6689300537109375e-06,40.03125,0.00449371337890625,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01067960243515625,0.269775390625,0.0,0.0,0.0,0.0,0.0,0.010751075996875,0.27001953125,0.004459381103515625,0.00011235475540161133,0.0010013580322265625,0.013031005859375,0.0158233642578125,0.0007958412170410156,0.00028824806213378906,0.00876770883515625,-9.78708267211914e-05,0.0064239501953125,0.00852203369140625,0.016182526960107423,0.020217420569335936,0.0095977783203125,0.00870513916015625,0.063024660578125,0.06475261603125,0.015655517578125,0.006313323974609375,0.0003077983856201172,0.0004687090197998047,8.678436279296875e-05,0.0002911090850830078,0.0284881591796875,0.0242462158203125,0.001109084369909668,0.0007282766322631836,3.790855407714844e-05,-7.253885269165039e-05,0.16771169756249998,0.1955208555125,0.19588278605,0.0007462501525878906,0.0058135986328125,0.00788116455078125,8.14199447631836e-05,0.00017940998077392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-1.8477439880371094e-06,0.0,-2.205371856689453e-06,60.0625,0.01025390625,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014434930551562499,0.36279296875,0.0,0.0,0.0,0.0,0.0,0.01453614489140625,0.363037109375,0.00589752197265625,0.00014984607696533203,0.0012722015380859375,0.016357421875,0.0207366943359375,0.0009064674377441406,0.000362396240234375,0.0118221565203125,-0.00012874603271484375,0.00884246826171875,0.0113677978515625,0.01613111982267456,0.02017947283762207,0.01279449462890625,0.0115966796875,0.0783603573,0.07956194686875,0.0223388671875,0.008575439453125,0.0004203319549560547,0.0004445208056396484,0.0001150369644165039,0.0003941059112548828,0.03582763671875,0.0299835205078125,0.001177411293408203,0.0007749848795471191,7.200241088867188e-05,-7.522106170654297e-05,0.208833184075,0.244818553375,0.2450588122,0.0010662078857421875,0.00734710693359375,0.0101776123046875,0.0001119375228881836,0.0002491474151611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-2.0265579223632812e-06,9.179115295410156e-06,-3.516674041748047e-06,80.0625,0.0158233642578125,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0186703107671875,0.45556640625,0.0,0.0,0.0,0.0,0.0,0.018793307090625,0.456298828125,0.00736236572265625,0.00018739700317382812,0.0015993118286132812,0.01995849609375,0.0258636474609375,0.0010805130004882812,0.0004413127899169922,0.01490077325625,-0.00016069412231445312,0.01220703125,0.015167236328125,0.01608509196776123,0.020171150572021485,0.0160980224609375,0.01461029052734375,0.0945167392625,0.0956488624625,0.0293121337890625,0.01092529296875,0.0005059242248535156,0.00041974184284667966,0.0001347064971923828,0.0004973411560058594,0.044342041015625,0.036895751953125,0.0012390058054443358,0.0008082162202880859,4.851818084716797e-05,-0.00011599063873291016,0.2485669106125,0.293209686925,0.293205976525,0.0014162063598632812,0.00876617431640625,0.01244354248046875,0.00013840198516845703,0.00034546852111816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.5762786865234375e-06,1.9073486328125e-06,-4.76837158203125e-06,100.125,0.01953125,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0195884572671875,0.45654296875,0.0,0.0,0.0,0.0,0.0,0.0196951560015625,0.457275390625,0.007343292236328125,0.00018739700317382812,0.00156402587890625,0.02020263671875,0.026580810546875,0.0010194778442382812,0.0003986358642578125,0.01499032173046875,-0.00016033649444580078,0.01357269287109375,0.01666259765625,0.01611602675819702,0.020139392511364745,0.0163116455078125,0.01482391357421875,0.09592186011250001,0.09763040016249999,0.030426025390625,0.0111236572265625,0.00048041343688964844,0.00042416277016601566,0.00013081233981933593,0.0005064010620117188,0.0460205078125,0.03857421875,0.001166066742352295,0.0007359700137573242,3.8743019104003906e-05,-0.00013554096221923828,0.246052637725,0.290268022525,0.29063019156250003,0.0014896392822265625,0.00847625732421875,0.01227569580078125,0.0001423358917236328,0.0004248619079589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-3.337860107421875e-06,1.9073486328125e-06,-4.0531158447265625e-06,100.125,0.021240234375,0.01318359375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.020396312,0.456298828125,0.0,0.0,0.0,0.0,0.0,0.0205170812234375,0.456787109375,0.007320404052734375,0.0001875162124633789,0.0015230178833007812,0.0212860107421875,0.02850341796875,0.0010061264038085938,0.0003814697265625,0.01503183633203125,-0.0001595020294189453,0.01485443115234375,0.01824951171875,0.01596931555819702,0.0199161618802124,0.016632080078125,0.01514434814453125,0.09916022983125,0.10181944446874999,0.03106689453125,0.0112762451171875,0.00043582916259765625,0.00047344494282226563,0.00014263478408203125,0.0005183219909667969,0.050506591796875,0.043212890625,0.001132043397277832,0.000709250817590332,4.851818084716797e-05,-0.00016236305236816406,0.2436293103,0.2874447106875,0.287806738125,0.0015306472778320312,0.00841522216796875,0.01233673095703125,0.00016129016876220703,0.0004944801330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.86102294921875e-06,-1.9073486328125e-06,-4.172325134277344e-06,100.125,0.0234375,0.017578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0212785106109375,0.45458984375,0.0,0.0,0.0,0.0,0.0,0.021398386334375,0.455078125,0.0074615478515625,0.00018739700317382812,0.0015840530395507812,0.02386474609375,0.03192138671875,0.00110626220703125,0.0003485679626464844,0.01511383056640625,-0.00016438961029052734,0.015533447265625,0.019256591796875,0.015999937471594238,0.01987263556491699,0.0171051025390625,0.01560211181640625,0.1055666897625,0.1093899570125,0.031158447265625,0.011444091796875,0.0003693103790283203,0.0004889592848876953,0.00014566616223144532,0.00051116943359375,0.057373046875,0.050323486328125,0.00106176469564209,0.0006212866443847656,4.607439041137695e-05,-0.00014770030975341797,0.2439051121125,0.286152072275,0.2865141556125,0.0015230178833007812,0.00860595703125,0.01258087158203125,8.958578109741211e-05,0.00037407875061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-3.337860107421875e-06,3.814697265625e-06,-3.933906555175781e-06,100.125,0.01953125,0.01513671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02245159538125,0.4501953125,0.0,0.0,0.0,0.0,0.0,0.0226010309828125,0.45068359375,0.0077056884765625,0.00018739700317382812,0.0017786026000976562,0.0281829833984375,0.03680419921875,0.00139617919921875,0.0003485679626464844,0.015106201171875,-0.00016891956329345703,0.01523590087890625,0.0191192626953125,0.016098683681445312,0.019935781156726073,0.01763916015625,0.016143798828125,0.115009475475,0.1204864326875,0.0300750732421875,0.01161956787109375,0.00029754638671875,0.0005367526018066406,0.00013664822344970704,0.00047397613525390625,0.06591796875,0.05938720703125,0.001021894721850586,0.00048816660944824215,8.940696716308594e-07,-0.0002014636993408203,0.2473516538625,0.2861873358125,0.2864272706375,0.0014677047729492188,0.0092315673828125,0.01316070556640625,3.7550926208496094e-05,0.00016951560974121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.9802322387695312e-06,0.0,-3.0994415283203125e-06,100.125,0.023681640625,0.01708984375
