Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0033848788520507815,0.0992431640625,0.0,0.0,0.0,0.0,0.0,0.0034259854870117186,0.099365234375,0.0014581680297851562,3.74913215637207e-05,0.0001533031463623047,0.0021114349365234375,0.003261566162109375,4.4226646423339844e-05,0.00010901689529418945,0.0030585048853515625,-1.537799835205078e-05,0.00798797607421875,0.00839996337890625,0.016558816626495363,0.0204406008428772,0.0034427642822265625,0.003177642822265625,0.02348178807578125,0.02663782421875,0.0079193115234375,0.002246856689453125,0.0001666545867919922,0.00047131013939208984,0.00011265277862548828,0.0002238750457763672,0.004001617431640625,0.0026035308837890625,0.0007697908967285157,0.0005190159688476562,8.702278137207031e-06,-3.0040740966796875e-05,0.08500161395625,0.09749488536875,0.097550753525,0.0004029273986816406,0.0018129348754882812,0.002727508544921875,1.1622905731201172e-05,3.838539123535156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.748603820800781e-07,-7.748603820800781e-07,0.0,-1.1324882507324219e-06,20.03125,0.002635955810546875,0.0017576217651367188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00492061720625,0.2001953125,0.0,0.0,0.0,0.0,0.0,0.004981532876171875,0.2005615234375,0.002902984619140625,7.49826431274414e-05,0.0002982616424560547,0.00394439697265625,0.00612640380859375,9.047985076904297e-05,0.00020635128021240234,0.00590410909140625,-3.4868717193603516e-05,0.015838623046875,0.016571044921875,0.016399236427581787,0.020361065901873778,0.006885528564453125,0.00635528564453125,0.033392405117187496,0.0360450967703125,0.0165557861328125,0.00452423095703125,0.00035119056701660156,0.0004613331678588867,0.0002512931823730469,0.0004780292510986328,0.007556915283203125,0.004718780517578125,0.0008722481202392578,0.0006217946013732911,1.5497207641601562e-05,-5.811452865600586e-05,0.12605280430625,0.15146838133125,0.15164661029999998,0.0008382797241210938,0.003406524658203125,0.00527191162109375,2.2232532501220703e-05,7.456541061401367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-1.3113021850585938e-06,-5.364418029785156e-06,-2.0265579223632812e-06,40.0625,0.00449371337890625,0.00547027587890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.00669705848984375,0.30224609375,0.0,0.0,0.0,0.0,0.0,0.006783790840625,0.302978515625,0.004421234130859375,0.0001125335693359375,0.0004496574401855469,0.005695343017578125,0.0088958740234375,0.00011861324310302734,0.0003020763397216797,0.008851632175,-5.7578086853027344e-05,0.0235137939453125,0.024505615234375,0.016223534955712892,0.02021181773272705,0.0103607177734375,0.00955963134765625,0.0434781517890625,0.04570964728125,0.025787353515625,0.006870269775390625,0.00054168701171875,0.0004284162799316406,0.0004000663757324219,0.0007486343383789062,0.01103973388671875,0.006702423095703125,0.00097664284921875,0.0007167729358215332,2.3245811462402344e-05,-8.720159530639648e-05,0.16795583818749998,0.205896832075,0.2061366923,0.0013065338134765625,0.004878997802734375,0.007740020751953125,3.600120544433594e-05,0.00010901689529418945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-2.2649765014648438e-06,2.2649765014648438e-06,-3.2186508178710938e-06,60.0625,0.0098114013671875,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.008941766489062499,0.405517578125,0.0,0.0,0.0,0.0,0.0,0.00904298082890625,0.40576171875,0.00606536865234375,0.0001499652862548828,0.000614166259765625,0.007598876953125,0.012054443359375,0.0001531839370727539,0.0004115104675292969,0.0118221565203125,-7.921457290649414e-05,0.031005859375,0.03216552734375,0.01617469081800537,0.020171485815222167,0.013916015625,0.01285552978515625,0.0543125057375,0.05624651718125,0.035400390625,0.0093231201171875,0.0006937980651855469,0.0004089964373535156,0.0005712509155273438,0.0010433197021484375,0.0153045654296875,0.00925445556640625,0.0010165383571594238,0.0007674150896606445,3.4928321838378906e-05,-0.00013959407806396484,0.2113966606375,0.260931834625,0.2610500231375,0.0017976760864257812,0.006275177001953125,0.01013946533203125,4.7087669372558594e-05,0.00015556812286376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.86102294921875e-06,0.0,-3.993511199951172e-06,80.125,0.01210784912109375,0.0109405517578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01179622629453125,0.5087890625,0.0,0.0,0.0,0.0,0.0,0.0119115932234375,0.50927734375,0.00783538818359375,0.0001875162124633789,0.0008068084716796875,0.01025390625,0.0163116455078125,0.00019025802612304688,0.0005106925964355469,0.0147634441546875,-0.00010454654693603516,0.03790283203125,0.039398193359375,0.01614642514723511,0.020160660154541016,0.01763916015625,0.01629638671875,0.067691788090625,0.0697699562125,0.044891357421875,0.01186370849609375,0.0007753372192382812,0.0003665744997070312,0.0007395744323730469,0.0013341903686523438,0.022186279296875,0.01416778564453125,0.0010647218241210937,0.0008375417055175781,3.3855438232421875e-05,-0.00017940998077392578,0.25674562155,0.31689132755,0.317131757775,0.002288818359375,0.00777435302734375,0.01256561279296875,5.173683166503906e-05,0.00020551681518554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.814697265625e-06,1.9073486328125e-06,-5.0067901611328125e-06,100.125,0.01513671875,0.01708984375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0131187307046875,0.509765625,0.0,0.0,0.0,0.0,0.0,0.01323305883359375,0.5107421875,0.00800323486328125,0.00018739700317382812,0.000850677490234375,0.0123748779296875,0.01947021484375,0.0002086162567138672,0.00048279762268066406,0.0146775165546875,-0.00010973215103149414,0.03570556640625,0.0374755859375,0.01616025340462036,0.02012627948951416,0.0180206298828125,0.0166473388671875,0.07443748511250001,0.07764138649062499,0.04461669921875,0.01206207275390625,0.0006976127624511719,0.0003833931931396485,0.0006913344192871094,0.0012760162353515625,0.0286712646484375,0.0206298828125,0.001018068409375,0.0008000450068908692,1.436471939086914e-05,-0.000213623046875,0.260701075225,0.318588335025,0.31882843375000003,0.0023040771484375,0.0081329345703125,0.012786865234375,4.774332046508789e-05,0.0002053976058959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.814697265625e-06,-3.814697265625e-06,-4.887580871582031e-06,100.125,0.01513671875,0.01806640625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01502521825,0.51171875,0.0,0.0,0.0,0.0,0.0,0.01513835807890625,0.5126953125,0.00811767578125,0.00018727779388427734,0.000972747802734375,0.0174560546875,0.026458740234375,0.0002951622009277344,0.0004706382751464844,0.01452829629296875,-0.00010973215103149414,0.030120849609375,0.032562255859375,0.015999237089874267,0.019871219978051757,0.018585205078125,0.017181396484375,0.08756355014375,0.09303038196874999,0.043243408203125,0.01244354248046875,0.0005712509155273438,0.0004188470882080078,0.0005531915772949219,0.0011110305786132812,0.04119873046875,0.03369140625,0.0009755216000976563,0.000755623231225586,-3.451108932495117e-05,-0.00023806095123291016,0.265357825925,0.320769906,0.321009863125,0.0022792816162109375,0.00909423828125,0.01364898681640625,4.285573959350586e-05,0.00020444393157958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-4.0531158447265625e-06,-7.62939453125e-06,-5.0067901611328125e-06,100.125,0.02197265625,0.0126953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01854718736875,0.515625,0.0,0.0,0.0,0.0,0.0,0.0186670630921875,0.51611328125,0.0081787109375,0.00018703937530517578,0.0012483596801757812,0.0291748046875,0.038330078125,0.0006346702575683594,0.0004057884216308594,0.01442718505859375,-0.00010418891906738281,0.0175933837890625,0.020782470703125,0.015985334333624267,0.019798725805395507,0.0192718505859375,0.0178070068359375,0.10935086945,0.11775177341875,0.039459228515625,0.0130462646484375,0.0004239082336425781,0.00044818970786132813,0.00043224529431152344,0.000946044921875,0.064453125,0.057891845703125,0.0008368167662597657,0.00052734972421875,-5.888938903808594e-05,-0.0002918243408203125,0.2724695652375,0.3244821504,0.32496630405,0.00214385986328125,0.01091766357421875,0.01552581787109375,1.6629695892333984e-05,0.00018966197967529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.4570693969726562e-06,5.7220458984375e-06,-3.933906555175781e-06,100.1875,0.016845703125,0.01611328125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02501507194375,0.5244140625,0.0,0.0,0.0,0.0,0.0,0.02514924875625,0.52490234375,0.00827789306640625,0.00018656253814697266,0.002063751220703125,0.05523681640625,0.053802490234375,0.015716552734375,0.0006194114685058594,0.01418304443359375,-0.00012958049774169922,0.0055999755859375,0.00928497314453125,0.01601154169078369,0.01975631157130737,0.02001953125,0.018402099609375,0.13399140906875,0.14551084675,0.02886962890625,0.01335906982421875,0.0003266334533691406,0.000486923118774414,0.00036541085009765626,0.0008144378662109375,0.1146240234375,0.10931396484375,0.0007857411192504883,0.0004960344225585937,-0.00014925003051757812,-0.00039196014404296875,0.286536224175,0.332207843625,0.33244777845,0.0018091201782226562,0.01373291015625,0.018524169921875,-4.988908767700195e-05,0.00012385845184326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.9802322387695312e-06,5.7220458984375e-06,-1.7881393432617188e-06,100.25,0.015869140625,0.015625
