Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005243590094726563,0.10565185546875,0.0,0.0,0.0,0.0,0.0,0.005294233472851562,0.10577392578125,0.002590179443359375,3.713369369506836e-05,0.0017642974853515625,0.01345062255859375,0.01024627685546875,0.00954437255859375,0.00010710954666137695,0.00325496179453125,-2.0503997802734375e-05,0.003849029541015625,0.00476837158203125,0.016541054442352297,0.02043708416883545,0.004703521728515625,0.00432586669921875,0.038595618642187496,0.042293341796875,0.00243377685546875,0.002880096435546875,-6.020069122314453e-06,0.0005025429732543945,-4.607439041137695e-05,2.2172927856445312e-05,0.030059814453125,0.0286407470703125,0.0009247629731445313,0.0005414869199279785,9.238719940185547e-06,-2.8073787689208984e-05,0.095102932315625,0.10603980724375,0.10603464024375,-2.3126602172851562e-05,0.00432586669921875,0.005046844482421875,4.965066909790039e-05,8.308887481689453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.7881393432617188e-07,1.5497207641601562e-06,-7.152557373046875e-07,20.03125,-0.0005860328674316406,0.00048828125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.008411065204296875,0.215087890625,0.0,0.0,0.0,0.0,0.0,0.00848723966328125,0.2152099609375,0.005222320556640625,7.426738739013672e-05,0.0034885406494140625,0.0278778076171875,0.020172119140625,0.020843505859375,0.00021457672119140625,0.006251246542578125,-4.208087921142578e-05,0.00704193115234375,0.0086212158203125,0.016372354732788086,0.020353257693408202,0.00948333740234375,0.0086822509765625,0.065329050625,0.069019339934375,0.0052490234375,0.005878448486328125,-1.7881393432617188e-07,0.000511877906628418,-8.720159530639648e-05,5.6862831115722656e-05,0.0635986328125,0.060455322265625,0.0011552509736328124,0.0006961215934082032,-1.3113021850585938e-06,-7.981061935424805e-05,0.14717096836875,0.169962033675,0.17007922748749998,-1.5854835510253906e-05,0.0082244873046875,0.0096588134765625,0.00018608570098876953,0.00022602081298828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-3.5762786865234375e-07,5.364418029785156e-06,-1.3113021850585938e-06,40.0625,0.0001952648162841797,0.002147674560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.011648535540625,0.3271484375,0.0,0.0,0.0,0.0,0.0,0.01175052668046875,0.327880859375,0.00791168212890625,0.0001112222671508789,0.00567626953125,0.042510986328125,0.02978515625,0.033294677734375,0.00026702880859375,0.00951538949921875,-7.575750350952148e-05,0.0081787109375,0.00997161865234375,0.01616601647350464,0.020192088595306395,0.014190673828125,0.012939453125,0.09491552971875,0.099115409,0.00665283203125,0.0086822509765625,-2.9385089874267578e-05,0.0005388040820556641,-0.00016236305236816406,3.600120544433594e-05,0.10107421875,0.09619140625,0.0014401285669921875,0.0008698376636047363,3.8623809814453125e-05,-7.253885269165039e-05,0.20030447099999998,0.2354378477,0.235677707925,-9.131431579589844e-05,0.012176513671875,0.01422119140625,0.00028133392333984375,0.0003662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-3.5762786865234375e-07,7.987022399902344e-06,-2.1457672119140625e-06,60.0625,0.0011720657348632812,0.0002930164337158203
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014923211801562499,0.442626953125,0.0,0.0,0.0,0.0,0.0,0.015047314325,0.44287109375,0.0106048583984375,0.0001481771469116211,0.0085601806640625,0.06134033203125,0.037567138671875,0.060211181640625,0.0003712177276611328,0.012569837184375,-0.0001024007797241211,0.005413055419921875,0.0080413818359375,0.016101317500286864,0.02013691512125244,0.0188751220703125,0.01715087890625,0.12688330651875,0.13278460311875,0.006755828857421875,0.01126861572265625,-6.258487701416016e-06,0.000565160606665039,-0.00021326541900634766,3.0875205993652344e-05,0.1505126953125,0.143798828125,0.0018931438678710937,0.001352375073486328,1.9252300262451172e-05,-0.00012159347534179688,0.2549757622,0.302435740875,0.3026759997,-0.00015866756439208984,0.015655517578125,0.018341064453125,0.0009012222290039062,0.0008916854858398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.6093254089355469e-06,-1.2218952178955078e-05,-1.9073486328125e-06,80.125,0.0015621185302734375,-0.002735137939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01819728830625,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0183508022078125,0.55908203125,0.0135345458984375,0.00018513202667236328,0.0128326416015625,0.08837890625,0.044219970703125,0.1082763671875,0.0004875659942626953,0.015541642396875,-0.0001024007797241211,0.0006060600280761719,0.00298309326171875,0.016175452609240724,0.020192489034851074,0.023834228515625,0.021575927734375,0.1631202548875,0.171942807775,0.00514984130859375,0.013702392578125,-1.8894672393798828e-05,0.0005723297334716797,-0.0002753734588623047,1.7404556274414062e-05,0.2159423828125,0.2071533203125,0.005322877646875,0.0054642926515625,-6.4373016357421875e-06,-0.00017154216766357422,0.3119214028,0.3710905463,0.371330976525,-0.0003349781036376953,0.0189666748046875,0.0224456787109375,0.0008516311645507812,0.0008172988891601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.5497207641601562e-06,7.62939453125e-06,-8.344650268554688e-07,100.125,-0.009765625,-0.00048828125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.018047319571875,0.560546875,0.0,0.0,0.0,0.0,0.0,0.0182150534625,0.56103515625,0.01397705078125,0.00018489360809326172,0.0158233642578125,0.10357666015625,0.041046142578125,0.1435546875,0.0005412101745605469,0.01524209175,-9.077787399291992e-05,-5.310773849487305e-05,0.0011806488037109375,0.0287660993328125,0.0326827131671875,0.02386474609375,0.0215606689453125,0.1689199069875,0.1808823532875,0.001983642578125,0.01311492919921875,-5.811452865600586e-05,0.0005414647110839844,-0.000290473289453125,-1.6629695892333984e-05,0.2442626953125,0.2349853515625,0.01271393022578125,0.013328404896875,-2.5928020477294922e-05,-0.00018489360809326172,0.31563271585,0.37351997565,0.37400421500000003,-0.00044727325439453125,0.0186920166015625,0.02227783203125,0.0002999305725097656,0.00038814544677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.430511474609375e-06,0.0,1.1920928955078125e-07,100.0625,-0.0048828125,-0.00390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01838215184375,0.55859375,0.0,0.0,0.0,0.0,0.0,0.018548697434375,0.55859375,0.01467132568359375,0.00018489360809326172,0.019287109375,0.1195068359375,0.036773681640625,0.1734619140625,0.0005660057067871094,0.01480295449609375,-7.581710815429688e-05,-0.0001494884490966797,0.0009775161743164062,0.0413452182109375,0.044825777396875,0.02398681640625,0.0216217041015625,0.1716089603,0.186353135875,0.0004203319549560547,0.012542724609375,-4.106760025024414e-05,0.0005807333034179688,-0.0002648225676025391,-1.1265277862548828e-05,0.27099609375,0.26123046875,0.0231074414609375,0.02414949263125,-6.133317947387695e-05,-0.0001952648162841797,0.3188246228,0.37399256225,0.374232519375,-0.000492095947265625,0.018646240234375,0.0223388671875,0.00020456314086914062,0.0003943443298339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.6689300537109375e-06,-5.7220458984375e-06,1.7881393432617188e-06,100.0625,-0.00634765625,-0.00927734375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.019676337759375,0.552734375,0.0,0.0,0.0,0.0,0.0,0.0198572486390625,0.55322265625,0.01558685302734375,0.00018489360809326172,0.0225830078125,0.1346435546875,0.0323486328125,0.190673828125,0.0005216598510742188,0.0146026611328125,-7.796287536621094e-05,-0.0002582073211669922,0.0008559226989746094,0.0456800703375,0.049399584493749996,0.02435302734375,0.0219573974609375,0.171118447575,0.1882473788875,0.0002627372741699219,0.01207733154296875,2.944469451904297e-05,0.000586114855871582,-0.00022841258837890625,5.185604095458984e-06,0.29248046875,0.2822265625,0.03142067525625,0.03263947130625,-4.303455352783203e-05,-0.00019466876983642578,0.321175619925,0.3733102754,0.373550288425,-0.00048160552978515625,0.01861572265625,0.0222015380859375,0.0001704692840576172,0.0003876686096191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.1920928955078125e-06,-5.7220458984375e-06,4.649162292480469e-06,100.0625,-0.00390625,-0.00390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02171917350625,0.53857421875,0.0,0.0,0.0,0.0,0.0,0.0218991266859375,0.53857421875,0.0170440673828125,0.00018489360809326172,0.02569580078125,0.1448974609375,0.0297088623046875,0.1956787109375,0.00048160552978515625,0.01433563232421875,-5.692243576049805e-05,-0.0002582073211669922,0.0007457733154296875,0.042784398403125,0.0473521296140625,0.0251312255859375,0.022735595703125,0.17042939735,0.1890899483125,0.00021398067474365234,0.01186370849609375,4.3332576751708984e-05,0.0006477364503784179,-0.00018593211407470702,9.775161743164062e-06,0.304443359375,0.29443359375,0.037477287559375,0.038582925596875,-1.7404556274414062e-05,-0.0001952648162841797,0.324622161675,0.372979328,0.3729751222,-0.0005140304565429688,0.0194549560546875,0.022674560546875,0.000141143798828125,0.00043082237243652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.0728836059570312e-06,0.0,4.76837158203125e-06,100.0625,-0.0068359375,0.0029296875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.024428880815625,0.48974609375,0.0,0.0,0.0,0.0,0.0,0.0246534960625,0.489990234375,0.0199432373046875,0.00018513202667236328,0.0279083251953125,0.1441650390625,0.0272064208984375,0.18896484375,0.0004248619079589844,0.01328277587890625,-2.4557113647460938e-05,-0.0004534721374511719,0.0006237030029296875,0.034630592884375,0.039999259604687504,0.0259246826171875,0.0236968994140625,0.1710752844375,0.189624704375,0.00021147727966308594,0.0119171142578125,2.9146671295166016e-05,0.0005664197864990234,-9.310919061279297e-05,3.510713577270508e-05,0.29833984375,0.2900390625,0.04149280440625,0.0425465082875,-0.00018036365509033203,-0.00031304359436035156,0.330532904675,0.373375229575,0.373859226725,-0.0004973411560058594,0.0205841064453125,0.0233154296875,0.0001552104949951172,0.0003197193145751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,2.384185791015625e-07,1.71661376953125e-05,3.337860107421875e-06,100.25,-0.0029296875,0.00537109375
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0259717177453125,0.42822265625,0.0,0.0,0.0,0.0,0.0,0.0261951246921875,0.428466796875,0.022186279296875,0.00018489360809326172,0.029998779296875,0.130615234375,0.027069091796875,0.171142578125,0.0003807544708251953,0.01290130615234375,9.59634780883789e-06,-2.2292137145996094e-05,0.00044918060302734375,0.016943480853967286,0.02083905600131836,0.026702880859375,0.02459716796875,0.1692404653625,0.1888825931,0.00022125244140625,0.01186370849609375,1.2636184692382812e-05,0.0006241779296386719,3.947837791137696e-05,8.072479204711914e-05,0.27197265625,0.266845703125,0.042255850171875,0.043018140671875,-0.00019681453704833984,-0.00029659271240234375,0.334985371675,0.379227254525,0.37946704775,-0.0005116462707519531,0.0222625732421875,0.0236968994140625,7.95125961303711e-05,0.0004405975341796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.384185791015625e-07,7.62939453125e-06,2.9802322387695312e-06,100.25,-0.00146484375,0.00244140625
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.02630511925,0.32177734375,0.0,0.0,0.0,0.0,0.0,0.0265121267078125,0.32177734375,0.02423095703125,0.00018513202667236328,0.0312347412109375,0.115234375,0.0275421142578125,0.1646728515625,0.0005927085876464844,0.01132965087890625,4.6253204345703125e-05,0.0008463859558105469,0.0008640289306640625,0.01698957945090332,0.020793363497729492,0.0251617431640625,0.0234222412109375,0.16507268415,0.1840635091125,0.00019800662994384766,0.01123809814453125,9.721517562866211e-05,0.0006236654815551758,0.00022953527017211914,0.00018844273489990234,0.249267578125,0.2457275390625,0.042091847415625,0.0418609023375,-0.0002224445343017578,-0.0003783702850341797,0.35046067835,0.388284448575,0.38876798752499997,-0.0004119873046875,0.0252532958984375,0.02508544921875,0.000171661376953125,0.0003662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-9.5367431640625e-07,0.0,1.5497207641601562e-06,100.375,-0.0078125,0.0029296875
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.0250907594921875,0.2498779296875,0.0,0.0,0.0,0.0,0.0,0.0252816532609375,0.25,0.023834228515625,0.00018489360809326172,0.032257080078125,0.0965576171875,0.0262451171875,0.1470947265625,0.0019893646240234375,0.01045989990234375,5.6624412536621094e-05,0.021575927734375,0.0178070068359375,0.01748974436345215,0.0211305171286438,0.0237274169921875,0.022308349609375,0.1502532092375,0.1701563652875,0.0001590251922607422,0.01047515869140625,3.933906555175781e-05,0.0005933353482421875,0.0004019073823852539,0.00021146695347900392,0.2203369140625,0.2197265625,0.0402819418625,0.038965347971875,-0.0002932548522949219,-0.0004088878631591797,0.35267258065,0.39688396455,0.397123038775,-0.0005259513854980469,0.0266265869140625,0.0248260498046875,0.00025272369384765625,0.0002846717834472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-07,7.62939453125e-06,-2.5033950805664062e-06,100.4375,0.0068359375,0.01611328125
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.023668805165625,0.1793212890625,0.0,0.0,0.0,0.0,0.0,0.02382858695625,0.1795654296875,0.021484375,0.00018513202667236328,0.0308074951171875,0.08251953125,0.027557373046875,0.12841796875,0.009490966796875,0.009429931640625,8.83340835571289e-05,0.032562255859375,0.0288543701171875,0.017909953329553224,0.021547013850756837,0.02197265625,0.0210418701171875,0.1298229033625,0.14830266316250001,0.00020837783813476562,0.01032257080078125,9.018182754516602e-05,0.0006637384902954102,0.000578301859350586,0.0003343957780151367,0.1976318359375,0.197509765625,0.034888193190625,0.033543574121875,-0.00013768672943115234,-0.0002703666687011719,0.3620508723,0.4099800959,0.4099745601,-0.0003204345703125,0.0267181396484375,0.0244903564453125,0.0003898143768310547,0.0004410743713378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-9.5367431640625e-07,5.7220458984375e-06,-2.1457672119140625e-06,100.3125,-0.01025390625,0.00537109375
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.02176698185625,0.19384765625,0.0,0.0,0.0,0.0,0.0,0.0219109214578125,0.194091796875,0.0203094482421875,0.00018489360809326172,0.03021240234375,0.07147216796875,0.0265045166015625,0.11529541015625,0.01158905029296875,0.0087432861328125,5.507469177246094e-05,0.042022705078125,0.037628173828125,0.01840228219621582,0.021980103134375,0.02117919921875,0.02032470703125,0.11155560054375,0.1302239932125,0.00017154216766357422,0.0098419189453125,6.651878356933594e-05,0.0007189832651489258,0.0006209064358398438,0.00033858731682128904,0.1790771484375,0.1798095703125,0.0326560168875,0.031472551909375,-0.00016391277313232422,-0.0002684593200683594,0.359533082725,0.412522964175,0.4127610996,-0.00013828277587890625,0.0261383056640625,0.023773193359375,0.0002772808074951172,0.0004029273986816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-07,1.52587890625e-05,-3.5762786865234375e-06,100.3125,-0.009765625,0.01123046875
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.02194703558125,0.1768798828125,0.0,0.0,0.0,0.0,0.0,0.0220601681046875,0.1768798828125,0.0184326171875,0.00018489360809326172,0.0289459228515625,0.060791015625,0.02685546875,0.10247802734375,0.010772705078125,0.007781982421875,1.9848346710205078e-05,0.04864501953125,0.04461669921875,0.018936835261505126,0.02246760209067383,0.019622802734375,0.0189971923828125,0.0958833936875,0.1121662538625,0.00011014938354492188,0.009368896484375,-1.5079975128173828e-05,0.0007703875411010743,0.0007470125964355468,0.00047149294189453123,0.1612548828125,0.1617431640625,0.03257969993125,0.0307142093453125,-0.00019681453704833984,-0.0003027915954589844,0.3605765104,0.417734243,0.417972389625,-6.073713302612305e-05,0.0289459228515625,0.0261077880859375,0.0003247261047363281,0.00046825408935546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-9.5367431640625e-07,7.62939453125e-06,-4.410743713378906e-06,100.3125,-0.009765625,0.00732421875
00:00:00:16.283,68,0.0,0.0,0.0,0.0,0.0,0.0233347560640625,0.15625,0.0,0.0,0.0,0.0,0.0,0.0234476366875,0.1563720703125,0.0172119140625,0.00018465518951416016,0.027069091796875,0.0555419921875,0.0234222412109375,0.10009765625,0.01067352294921875,0.00699615478515625,-3.463029861450195e-05,0.051300048828125,0.047393798828125,0.019222555652752684,0.022723887069909667,0.0173492431640625,0.0168304443359375,0.08669232855625,0.0998516920625,0.00015413761138916016,0.0085296630859375,-6.973743438720703e-05,0.0008686438984375001,0.0008470224849121094,0.0005438951008789062,0.15673828125,0.15673828125,0.036680992478125,0.03471242416875,-0.00018346309661865234,-0.00026988983154296875,0.362720973775,0.415607593925,0.416090030175,-0.0001327991485595703,0.0308074951171875,0.027923583984375,0.0007886886596679688,0.0005173683166503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,7.62939453125e-06,-4.172325134277344e-06,100.375,-0.00146484375,0.01025390625
00:00:00:18.300,68,0.0,0.0,0.0,0.0,0.0,0.02419202251875,0.13232421875,0.0,0.0,0.0,0.0,0.0,0.024289481553125,0.1324462890625,0.0157470703125,0.00018477439880371094,0.0262298583984375,0.0535888671875,0.0205535888671875,0.1026611328125,0.0038509368896484375,0.006824493408203125,-0.00010848045349121094,0.059844970703125,0.057464599609375,0.019267495746496582,0.022843856387927245,0.016021728515625,0.0156707763671875,0.08452499569375,0.095437278975,-2.962350845336914e-05,0.0076446533203125,-0.00019359588623046875,0.0008304046055664063,0.0006030347724853516,0.0002902634523925781,0.1658935546875,0.1644287109375,0.04170803416875,0.0392797830875,-8.577108383178711e-05,-0.00020444393157958984,0.372546844225,0.4190680981,0.41906292359999997,-0.0004334449768066406,0.03204345703125,0.029876708984375,0.0024700164794921875,0.001537322998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.3113021850585938e-06,1.1444091796875e-05,-3.6954879760742188e-06,100.3125,-0.001953125,0.01708984375
00:00:00:18.316,68,0.0,0.0,0.0,0.0,0.0,0.02546121734375,0.10662841796875,0.0,0.0,0.0,0.0,0.0,0.0256047235453125,0.106689453125,0.015533447265625,0.00018465518951416016,0.02508544921875,0.057037353515625,0.0170440673828125,0.12255859375,0.0015077590942382812,0.00634765625,-0.00018537044525146484,0.06396484375,0.064453125,0.0195265263579834,0.023166753371258546,0.01479339599609375,0.01450347900390625,0.08780562876875,0.0960966050875,-8.881092071533203e-05,0.0068817138671875,-0.0002503395080566406,0.0009205267642517091,0.00047322751900634767,0.00016496385902099609,0.18994140625,0.1868896484375,0.050221818765625,0.048029433309375,-7.295608520507812e-05,-0.0001513957977294922,0.3836672902,0.417905338075,0.4181441776,-0.0005927085876464844,0.0347900390625,0.033355712890625,0.006534576416015625,0.0054168701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.430511474609375e-06,0.0,-2.9802322387695312e-06,100.25,0.009765625,0.01904296875
00:00:00:19.333,68,0.0,0.0,0.0,0.0,0.0,0.0248882252140625,0.0904541015625,0.0,0.0,0.0,0.0,0.0,0.025032270915625,0.0904541015625,0.015655517578125,0.00018453598022460938,0.0244903564453125,0.078857421875,0.013427734375,0.162353515625,0.0005879402160644531,0.006031036376953125,-0.00018727779388427734,0.0567626953125,0.059814453125,0.019905906152514648,0.023577442352130128,0.01390838623046875,0.01355743408203125,0.10348139330625,0.1110900379625,-0.00019741058349609375,0.0062713623046875,-0.0002644062042236328,0.0009425166399169922,0.0004269787234008789,0.00014481045875854492,0.2459716796875,0.2401123046875,0.065701122475,0.06374777674375,-0.00010037422180175781,-0.00016117095947265625,0.395998056975,0.418575406075,0.4188168794,-0.0004382133483886719,0.037567138671875,0.036651611328125,0.01010894775390625,0.0098419189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-2.384185791015625e-07,3.814697265625e-06,-3.5762786865234375e-07,100.1875,0.0048828125,0.009765625
00:00:00:21.350,68,0.0,0.0,0.0,0.0,0.0,0.0258061762125,0.095703125,0.0,0.0,0.0,0.0,0.0,0.0259201445359375,0.095703125,0.0163116455078125,0.0001842975616455078,0.026031494140625,0.12103271484375,0.00933837890625,0.203125,0.0004668235778808594,0.005771636962890625,-0.00018596649169921875,0.0428466796875,0.04852294921875,0.020308053120837402,0.023987431037121584,0.01392364501953125,0.01346588134765625,0.12042893096875,0.129661452,-0.0002218484878540039,0.00566864013671875,-0.00028824806213378906,0.000994071442614746,0.0003991118485473633,0.00016965745054321288,0.300537109375,0.29345703125,0.08446790224375,0.08330297574375,-9.97781753540039e-05,-0.00017583370208740234,0.411351017675,0.425626870275,0.42562504487499997,-0.00043773651123046875,0.0406494140625,0.040740966796875,0.0104522705078125,0.01084136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,9.5367431640625e-07,9.5367431640625e-06,3.0994415283203125e-06,100.25,0.0068359375,0.015625
00:00:00:21.366,68,0.0,0.0,0.0,0.0,0.0,0.024862241490625,0.107421875,0.0,0.0,0.0,0.0,0.0,0.024991674903125,0.107421875,0.019073486328125,0.00018417835235595703,0.0287933349609375,0.1746826171875,0.007755279541015625,0.237060546875,0.0005559921264648438,0.00533294677734375,-0.00013959407806396484,0.03076171875,0.037750244140625,0.020684324241851806,0.02438229884393921,0.0146026611328125,0.01406097412109375,0.12730721941875,0.137676427175,-0.00018155574798583984,0.005340576171875,-0.0002486705780029297,0.0011312764944580078,0.00031669256743774413,0.00017552009998779297,0.358154296875,0.3515625,0.1018249365625,0.10144758069375,-4.667043685913086e-05,-0.00010007619857788086,0.433862149725,0.43892262505,0.43892209605,-0.000522613525390625,0.043212890625,0.0439453125,0.00920867919921875,0.01015472412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,1.1920928955078125e-06,1.1444091796875e-05,7.510185241699219e-06,100.125,0.016357421875,0.02099609375
00:00:00:22.383,68,0.0,0.0,0.0,0.0,0.0,0.022198043115625,0.1717529296875,0.0,0.0,0.0,0.0,0.0,0.0223124681390625,0.171875,0.0243377685546875,0.00018405914306640625,0.0311126708984375,0.221923828125,0.00981903076171875,0.263427734375,0.001148223876953125,0.005126953125,-8.100271224975586e-05,0.01548004150390625,0.0252532958984375,0.021245263547021484,0.024939747523986817,0.016143798828125,0.0153045654296875,0.13313406235625,0.145034043075,-0.00010466575622558594,0.005218505859375,-0.00023937225341796875,0.0012117550588989258,0.00024937277265625,0.00018921124122924806,0.40087890625,0.39404296875,0.11143209289375,0.1128816715125,3.993511199951172e-06,-7.081031799316406e-05,0.448283374325,0.4529276341,0.453171923725,-0.0006957054138183594,0.044464111328125,0.046142578125,0.00662994384765625,0.00803375244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,4.76837158203125e-07,7.62939453125e-06,9.417533874511719e-06,100.125,0.0068359375,0.01806640625
