Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0035708453437500003,0.09259033203125,0.0,0.0,0.0,0.0,0.0,0.0036005078869140623,0.0926513671875,0.0019626617431640625,3.719329833984375e-05,0.0004317760467529297,0.006275177001953125,0.00778961181640625,0.0002989768981933594,0.000125885009765625,0.002907824343359375,-1.5676021575927734e-05,0.0039825439453125,0.004138946533203125,0.016547551348632814,0.020440124005718995,0.003307342529296875,0.002964019775390625,0.0311035532125,0.034297736328125,0.00464630126953125,0.0025577545166015625,7.104873657226562e-05,0.0005027813918334961,-5.7220458984375e-06,4.410743713378906e-05,0.01422119140625,0.01290130615234375,0.0008109777062683106,0.0004843260655883789,1.1682510375976562e-05,-1.4424324035644531e-05,0.1054483913,0.1118381470875,0.11189401524375,0.0001919269561767578,0.002574920654296875,0.0029087066650390625,1.2576580047607422e-05,1.9550323486328125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-5.960464477539062e-07,1.5497207641601562e-06,-1.0132789611816406e-06,20.0,0.002735137939453125,0.0008788108825683594
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.005200997455273438,0.1900634765625,0.0,0.0,0.0,0.0,0.0,0.0052390249416015625,0.190185546875,0.003887176513671875,7.432699203491211e-05,0.0007810592651367188,0.0128631591796875,0.016082763671875,0.00055694580078125,0.0002491474151611328,0.00561419209921875,-3.421306610107422e-05,0.00696563720703125,0.00728607177734375,0.016377123104370117,0.020360350646136473,0.00666046142578125,0.00594329833984375,0.049398874843749996,0.05202104891875,0.00972747802734375,0.0052642822265625,0.00013637542724609375,0.0005280307653625488,-1.6927719116210938e-05,8.529424667358398e-05,0.028839111328125,0.0261688232421875,0.000937276787689209,0.0005788196524902344,2.9206275939941406e-05,-2.491474151611328e-05,0.16572565586875,0.179727658675,0.17984485248749998,0.0003998279571533203,0.004772186279296875,0.005466461181640625,3.2067298889160156e-05,4.4226646423339844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.2516975402832031e-06,-1.5497207641601562e-06,-1.8477439880371094e-06,40.03125,0.0038089752197265625,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.006887793353125,0.291259765625,0.0,0.0,0.0,0.0,0.0,0.00692874933671875,0.291259765625,0.005794525146484375,0.00011152029037475586,0.001110076904296875,0.020294189453125,0.025360107421875,0.0008158683776855469,0.00037384033203125,0.00844727426484375,-5.5730342864990234e-05,0.00926971435546875,0.00975799560546875,0.016176149263116456,0.02021205615130615,0.0101318359375,0.0090179443359375,0.06891455315625,0.070947684390625,0.0151824951171875,0.0081634521484375,0.00019812583923339844,0.0005261678973632812,-3.0100345611572266e-05,0.00012612342834472656,0.04461669921875,0.04052734375,0.0010491817019104004,0.0006692680339355469,4.965066909790039e-05,-3.731250762939453e-05,0.22471853349999998,0.247889019575,0.2480068094875,0.00061798095703125,0.0066375732421875,0.0077056884765625,4.51207160949707e-05,7.545948028564453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.7285346984863281e-06,-3.4570693969726562e-06,-2.86102294921875e-06,60.0,0.0090789794921875,0.004688262939453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.008823510873828124,0.39501953125,0.0,0.0,0.0,0.0,0.0,0.00887513414921875,0.395263671875,0.007740020751953125,0.00014865398406982422,0.0014638900756835938,0.0290069580078125,0.0360107421875,0.0011453628540039062,0.0004825592041015625,0.0113643928484375,-7.480382919311523e-05,0.01120758056640625,0.011749267578125,0.016117589568310546,0.02017661181467285,0.0137786865234375,0.0122528076171875,0.0902011776125,0.0917079429625,0.0208587646484375,0.0112762451171875,0.0002474784851074219,0.0005105627520507812,-4.2557716369628906e-05,0.00016427040100097656,0.06231689453125,0.05682373046875,0.0010751297229736328,0.000663583798461914,6.22868537902832e-05,-6.54458999633789e-05,0.282075371575,0.31586347525,0.316103734075,0.0008401870727539062,0.00833892822265625,0.00980377197265625,6.020069122314453e-05,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-2.2649765014648438e-06,3.039836883544922e-06,-3.993511199951172e-06,80.0,0.00820159912109375,0.006641387939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01120113352109375,0.499755859375,0.0,0.0,0.0,0.0,0.0,0.0112707240828125,0.5,0.009735107421875,0.00018584728240966797,0.0018863677978515625,0.03955078125,0.048309326171875,0.00186920166015625,0.0006303787231445312,0.0142751629046875,-9.417533874511719e-05,0.012359619140625,0.012969970703125,0.01607138289946289,0.020154580480773926,0.0175933837890625,0.0156707763671875,0.11392591895,0.11560735855625,0.0264129638671875,0.014617919921875,0.00028896331787109375,0.0004900753236816406,-5.173683166503906e-05,0.00020563602447509766,0.08294677734375,0.07611083984375,0.00111908126015625,0.000693179255871582,5.829334259033203e-05,-0.0001062154769897461,0.3382885903,0.38427414005,0.38427042965,0.0010738372802734375,0.010040283203125,0.01195526123046875,8.499622344970703e-05,0.00014281272888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.337860107421875e-06,3.814697265625e-06,-3.933906555175781e-06,100.0625,0.01220703125,0.0087890625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01195143334140625,0.501953125,0.0,0.0,0.0,0.0,0.0,0.012019985103125,0.50244140625,0.00977325439453125,0.00018584728240966797,0.0020389556884765625,0.043975830078125,0.05206298828125,0.0034618377685546875,0.0006351470947265625,0.014296046828125,-9.566545486450195e-05,0.009918212890625,0.01068115234375,0.016094032644274902,0.020119842187878417,0.017974853515625,0.0160369873046875,0.11972557105000001,0.12241067359999999,0.0258331298828125,0.0150909423828125,0.0002617835998535156,0.000473038578881836,-4.2219943963623044e-05,0.00020265579223632812,0.09063720703125,0.08404541015625,0.001078805542401123,0.0006566958362060547,5.829334259033203e-05,-0.00012087821960449219,0.3346756846,0.383529741275,0.38352569937500003,0.0010929107666015625,0.00998687744140625,0.01192474365234375,0.000110626220703125,0.00017583370208740234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-3.2186508178710938e-06,1.9073486328125e-06,-3.4570693969726562e-06,100.0625,0.01171875,0.0078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01292713475390625,0.4990234375,0.0,0.0,0.0,0.0,0.0,0.01298686882109375,0.499267578125,0.00982666015625,0.00018584728240966797,0.00238037109375,0.050384521484375,0.056243896484375,0.01031494140625,0.0006804466247558594,0.014200232328125,-9.900331497192383e-05,0.006683349609375,0.0080108642578125,0.015952209025146484,0.019891843185144042,0.01837158203125,0.016448974609375,0.1270532962375,0.1310552843125,0.0241241455078125,0.01548004150390625,0.00022017955780029297,0.00047392177998046875,-2.9503430029296876e-05,0.00018787384033203125,0.10302734375,0.09686279296875,0.001032563245147705,0.0006323608258300781,4.851818084716797e-05,-0.00011110305786132812,0.332252357175,0.382049202875,0.382533300625,0.0010995864868164062,0.01019287109375,0.0121002197265625,0.00011670589447021484,0.00019407272338867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-3.5762786865234375e-06,7.62939453125e-06,-2.5033950805664062e-06,100.0625,0.009765625,0.009765625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01458753160703125,0.489990234375,0.0,0.0,0.0,0.0,0.0,0.01464637217421875,0.490234375,0.00998687744140625,0.00018584728240966797,0.003173828125,0.058685302734375,0.06036376953125,0.0224456787109375,0.0006847381591796875,0.01413726806640625,-9.59634780883789e-05,0.003765106201171875,0.0055694580078125,0.01597675126477661,0.01986035700809326,0.0189208984375,0.016998291015625,0.1348635647625,0.14070099216875,0.021636962890625,0.0157470703125,0.00017011165618896484,0.00046344849692382813,-2.6174028656005863e-05,0.00016188621520996094,0.11859130859375,0.11309814453125,0.0009815368437744141,0.0005969679493164062,1.436471939086914e-05,-0.00014531612396240234,0.331917807425,0.3811227754,0.381362788425,0.0010843276977539062,0.0106048583984375,0.01244354248046875,4.595518112182617e-05,0.0001404285430908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.4570693969726562e-06,5.7220458984375e-06,-1.9073486328125e-06,100.125,0.0048828125,0.00146484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01769085319375,0.475830078125,0.0,0.0,0.0,0.0,0.0,0.0177792536390625,0.4765625,0.01038360595703125,0.0001857280731201172,0.00437164306640625,0.06524658203125,0.06378173828125,0.032928466796875,0.0006818771362304688,0.01398468017578125,-8.165836334228516e-05,0.001865386962890625,0.0034809112548828125,0.016189044322924805,0.020099217092700194,0.019439697265625,0.0175018310546875,0.1407663114125,0.14844053425,0.02008056640625,0.015838623046875,0.00013625621795654297,0.0005095728837890625,-2.5118782470703126e-05,0.00012731552124023438,0.1279296875,0.12322998046875,0.000995966701373291,0.000659351149243164,-3.451108932495117e-05,-0.0002282857894897461,0.3346319273,0.38128010925,0.38127590345,0.0010652542114257812,0.0109100341796875,0.012481689453125,-1.055002212524414e-05,0.00010865926742553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-3.0994415283203125e-06,0.0,-3.5762786865234375e-07,100.1875,0.008544921875,0.00634765625
