Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004879286505859375,0.05718994140625,0.0,0.0,0.0,0.0,0.0,0.004924207838085937,0.057220458984375,0.0014324188232421875,3.737211227416992e-05,0.0003437995910644531,0.00428009033203125,0.0049285888671875,0.00015044212341308594,0.0001666545867919922,0.0023031948267578125,-2.6941299438476562e-05,0.007518768310546875,0.007762908935546875,0.016529848769134523,0.020426414937420655,0.002651214599609375,0.0025920867919921875,0.0225433725484375,0.0257375556640625,0.003192901611328125,0.0017042160034179688,0.00010633468627929688,0.0005977911956054687,0.0001119375228881836,0.00013077259063720703,0.01049041748046875,0.00954437255859375,0.000875589141204834,0.0005103732953552246,5.543231964111328e-06,-1.710653305053711e-05,0.09501137958125,0.09358863536875,0.093644503525,0.0002684593200683594,0.003749847412109375,0.0042572021484375,5.21540641784668e-05,3.2961368560791016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,-2.980232238769531e-07,-7.748603820800781e-07,-7.748603820800781e-07,20.03125,0.004589080810546875,0.003612518310546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00756801710859375,0.1220703125,0.0,0.0,0.0,0.0,0.0,0.007636562173046875,0.12225341796875,0.0028438568115234375,7.474422454833984e-05,0.0005979537963867188,0.008087158203125,0.00968170166015625,0.0002772808074951172,0.0003941059112548828,0.004549891562109375,-5.1915645599365234e-05,0.0137939453125,0.01397705078125,0.016346009479797363,0.02033299211418457,0.00527191162109375,0.00507354736328125,0.031332468593749996,0.0336952432546875,0.007232666015625,0.0035495758056640625,0.0002028942108154297,0.000583761108227539,0.00022733211517333984,0.00028705596923828125,0.01959228515625,0.017364501953125,0.0010451015900878905,0.0006205429038330079,8.344650268554688e-07,-5.173683166503906e-05,0.14533991368125,0.1438389868,0.14401721576874998,0.0006046295166015625,0.00708770751953125,0.0081634521484375,0.00010412931442260742,4.661083221435547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-6.556510925292969e-07,2.2649765014648438e-06,-1.5497207641601562e-06,40.0625,0.0089874267578125,0.00917816162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01051175575546875,0.1927490234375,0.0,0.0,0.0,0.0,0.0,0.01059085871171875,0.19287109375,0.004238128662109375,0.00011205673217773438,0.0008525848388671875,0.0119781494140625,0.0141448974609375,0.0004277229309082031,0.0005159378051757812,0.00731812387421875,-8.577108383178711e-05,0.018890380859375,0.0185699462890625,0.016140446080895997,0.02017611455050659,0.00785064697265625,0.007465362548828125,0.0413876976875,0.0427952185703125,0.0110321044921875,0.00528717041015625,0.0002884864807128906,0.0008315820971923828,0.0003292560577392578,0.000415802001953125,0.028594970703125,0.0245513916015625,0.0012765734217285156,0.0007861527423400879,2.765655517578125e-05,-7.253885269165039e-05,0.19371267412499998,0.19491050395,0.1952724344875,0.0009007453918457031,0.0103302001953125,0.011749267578125,0.0001538991928100586,8.755922317504883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-2.0265579223632812e-06,-6.854534149169922e-06,-2.9206275939941406e-06,60.0625,0.0120086669921875,0.0105438232421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.013031121957812499,0.265380859375,0.0,0.0,0.0,0.0,0.0,0.0131399656921875,0.265869140625,0.005523681640625,0.0001494884490966797,0.0010395050048828125,0.015716552734375,0.0188140869140625,0.0005645751953125,0.0006814002990722656,0.0098995490984375,-0.0001266002655029297,0.0220184326171875,0.0218048095703125,0.016074435805493163,0.020136438284094237,0.01041412353515625,0.00980377197265625,0.05107764245625,0.05136370468125,0.01558685302734375,0.007091522216796875,0.0003681182861328125,0.0007519615633911133,0.0004153251647949219,0.0005369186401367188,0.036956787109375,0.031005859375,0.0013998558277099609,0.0008462720346984863,3.2961368560791016e-05,-0.00010061264038085938,0.2421583793875,0.2466496080625,0.246767796575,0.0012645721435546875,0.0130462646484375,0.01493072509765625,0.0002155303955078125,0.00011426210403442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-2.2649765014648438e-06,0.0,-3.6954879760742188e-06,80.125,0.0148468017578125,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.015481223853125,0.336669921875,0.0,0.0,0.0,0.0,0.0,0.01561184957109375,0.3369140625,0.006824493408203125,0.000186920166015625,0.00121307373046875,0.01995849609375,0.024200439453125,0.0007143020629882812,0.0007805824279785156,0.01245936700625,-0.000164031982421875,0.02374267578125,0.02398681640625,0.01602369918364258,0.02010153234692383,0.01305389404296875,0.01219940185546875,0.062259659184374996,0.0614691749625,0.0205078125,0.0089874267578125,0.0004413127899169922,0.0006444513536499023,0.0004978179931640625,0.0006618499755859375,0.0455322265625,0.037689208984375,0.001479808570336914,0.0008985768617675781,3.629922866821289e-05,-0.00011354684829711914,0.2900708168625,0.29833664005,0.29833292965,0.001678466796875,0.015716552734375,0.018157958984375,0.00029730796813964844,0.00015497207641601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.6226043701171875e-06,1.9073486328125e-06,-4.649162292480469e-06,100.125,0.01611328125,0.017578125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0150108205484375,0.31494140625,0.0,0.0,0.0,0.0,0.0,0.01515566625546875,0.315185546875,0.006805419921875,0.00018703937530517578,0.001132965087890625,0.020599365234375,0.02532958984375,0.0007524490356445312,0.0007872581481933594,0.012342921828125,-0.0001710653305053711,0.020599365234375,0.021392822265625,0.016053263067248535,0.020083244935986327,0.01314544677734375,0.0122528076171875,0.06494651831562501,0.06436624000624999,0.021209716796875,0.00908660888671875,0.00044798851013183594,0.000543848896875,0.0005025069046386719,0.0006566047668457031,0.045196533203125,0.03753662109375,0.001396796322277832,0.000920863621850586,1.9252300262451172e-05,-0.0001379251480102539,0.287068262725,0.297592241275,0.29783234000000003,0.00177764892578125,0.014984130859375,0.0173187255859375,0.0003097057342529297,0.00016963481903076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-2.2649765014648438e-06,3.814697265625e-06,-4.887580871582031e-06,100.1875,0.022705078125,0.0185546875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01752765965625,0.259033203125,0.0,0.0,0.0,0.0,0.0,0.017694205246875,0.259521484375,0.0067901611328125,0.00018727779388427734,0.0011892318725585938,0.0217132568359375,0.027130126953125,0.0008754730224609375,0.0007586479187011719,0.01201059609765625,-0.00017011165618896484,0.0236358642578125,0.0239410400390625,0.01588515379977417,0.019822105750756835,0.0131072998046875,0.01233673095703125,0.0661402103,0.06617491321874999,0.02130126953125,0.0091400146484375,0.000396728515625,0.0005285196345947266,0.0005169519532714844,0.0006074905395507812,0.0462646484375,0.039276123046875,0.0013676009534301758,0.0009954723218017578,-0.00010770559310913086,-0.00021851062774658203,0.2852552868625,0.29391443725,0.294398535,0.0018587112426757812,0.01549530029296875,0.0172119140625,0.0003256797790527344,7.081031799316406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.6689300537109375e-06,-1.9073486328125e-06,-3.814697265625e-06,100.25,0.02197265625,0.02783203125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.031211982290625,0.1845703125,0.0,0.0,0.0,0.0,0.0,0.031469187115625,0.1846923828125,0.006595611572265625,0.00018727779388427734,0.0014867782592773438,0.0237884521484375,0.0298309326171875,0.00106048583984375,0.0006618499755859375,0.011474609375,-0.0001786947250366211,0.034637451171875,0.033599853515625,0.015886927065100098,0.019720405302160644,0.01275634765625,0.01219940185546875,0.0647952053875,0.065414126934375,0.02032470703125,0.00914764404296875,0.00029659271240234375,0.000502787562475586,0.0005817337434082031,0.000560760498046875,0.0499267578125,0.04364013671875,0.0013539466643310548,0.0009729540485595703,-0.0002200603485107422,-0.0003211498260498047,0.2819910496125,0.28786105665,0.2879789993625,0.001811981201171875,0.0177764892578125,0.0186004638671875,0.00044608116149902344,-0.0002655982971191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.6689300537109375e-06,1.9073486328125e-06,-2.384185791015625e-06,100.375,0.025634765625,0.02734375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0514432946,0.1109619140625,0.0,0.0,0.0,0.0,0.0,0.0518216120375,0.11114501953125,0.006561279296875,0.00018739700317382812,0.0019197463989257812,0.0250396728515625,0.03155517578125,0.0011434555053710938,0.0006089210510253906,0.0106964111328125,-0.00018870830535888672,0.047271728515625,0.04461669921875,0.0159747060203125,0.019734317457385252,0.01251983642578125,0.01226806640625,0.060596633678125,0.061495954171875,0.0192413330078125,0.0090484619140625,0.0002446174621582031,0.0005200633012695312,0.0007020578837890625,0.0005669593811035156,0.05010986328125,0.0443115234375,0.0014582007216064454,0.0009300754458129882,-0.00033974647521972656,-0.0003845691680908203,0.2773809507375,0.277032062375,0.2772719972,0.0017309188842773438,0.02093505859375,0.021148681640625,0.0007195472717285156,-0.00042724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,-5.7220458984375e-06,-8.344650268554688e-07,100.4375,0.017578125,0.02392578125
