Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00710325501171875,0.08441162109375,0.0,0.0,0.0,0.0,0.0,0.007142454298046875,0.0845947265625,0.0010595321655273438,3.7550926208496094e-05,0.00012218952178955078,0.0017242431640625,0.0025348663330078125,6.54458999633789e-05,0.00010126829147338867,0.0028258083521484375,-3.165006637573242e-05,0.00611114501953125,0.00646209716796875,0.01655923385900879,0.02043577286665039,0.002593994140625,0.002353668212890625,0.022894324696875,0.0256765205078125,0.00566864013671875,0.0017194747924804688,0.0001474618911743164,0.0004914565093261719,0.00010859966278076172,0.00021648406982421875,0.0028438568115234375,0.0014972686767578125,0.0008139579385070801,0.0005202676663879394,1.8477439880371094e-05,-2.1219253540039062e-05,0.070810940128125,0.075552746696875,0.075578097275,0.0002982616424560547,0.002410888671875,0.003475189208984375,8.821487426757812e-06,3.8623809814453125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-5.960464477539062e-07,1.5497207641601562e-06,-9.5367431640625e-07,20.03125,0.002880096435546875,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0125652705265625,0.171142578125,0.0,0.0,0.0,0.0,0.0,0.01263000089375,0.1712646484375,0.002048492431640625,7.516145706176758e-05,0.000186920166015625,0.003192901611328125,0.004863739013671875,0.00012564659118652344,0.0001995563507080078,0.005442530722265625,-6.54458999633789e-05,0.011932373046875,0.01259613037109375,0.016405375705993652,0.020350337065814208,0.00519561767578125,0.00469970703125,0.031866526210937496,0.0335426553640625,0.0118865966796875,0.003490447998046875,0.0002903938293457031,0.0005050829771240234,0.0002129077911376953,0.0004329681396484375,0.005283355712890625,0.002532958984375,0.0009522971581726075,0.0006442655524536133,5.257129669189453e-05,-3.8564205169677734e-05,0.096542306259375,0.1073399633625,0.1073350868625,0.00061798095703125,0.004520416259765625,0.00670623779296875,1.1146068572998047e-05,6.848573684692383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-9.5367431640625e-07,1.5497207641601562e-06,-1.6689300537109375e-06,40.0625,0.005176544189453125,0.00742340087890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01851499061875,0.259033203125,0.0,0.0,0.0,0.0,0.0,0.018594093575,0.259033203125,0.0030059814453125,0.00011277198791503906,0.00022041797637939453,0.0045013427734375,0.007045745849609375,0.0001767873764038086,0.0002918243408203125,0.00817261606171875,-0.00010395050048828125,0.0173187255859375,0.0181884765625,0.016225025071832277,0.020201565733825682,0.00782012939453125,0.007049560546875,0.040380617609375,0.040735282046875,0.0186309814453125,0.005313873291015625,0.0004215240478515625,0.0004895706454711914,0.0003101825714111328,0.0006461143493652344,0.007476806640625,0.00325775146484375,0.0010960309527038574,0.0007707747439880371,7.593631744384766e-05,-5.1975250244140625e-05,0.12169118975,0.13894126566875,0.138998020425,0.0009551048278808594,0.00641632080078125,0.00974273681640625,1.6391277313232422e-05,0.00010192394256591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-06,-1.7285346984863281e-06,-1.1324882507324219e-06,-3.0994415283203125e-06,60.0625,0.01259613037109375,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0249940125828125,0.34716796875,0.0,0.0,0.0,0.0,0.0,0.0251028563171875,0.347412109375,0.003917694091796875,0.00015044212341308594,0.0002294778823852539,0.005771636962890625,0.00925445556640625,0.00024199485778808594,0.0003910064697265625,0.010982923121875,-0.0001443624496459961,0.022308349609375,0.023162841796875,0.016198294257336425,0.02017208186166992,0.0104827880859375,0.00942230224609375,0.048422613159375,0.0473201255796875,0.0259246826171875,0.0072021484375,0.0005464553833007812,0.0004783762438720703,0.0004024505615234375,0.0008573532104492188,0.00968170166015625,0.003875732421875,0.0011454632038085937,0.0008133106661376953,8.958578109741211e-05,-0.00011235475540161133,0.1465773247,0.17035566275,0.1704738512625,0.00130462646484375,0.008148193359375,0.01263427734375,2.3543834686279297e-05,0.0001291036605834961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.6093254089355469e-06,1.52587890625e-05,-3.516674041748047e-06,80.125,0.015625,0.017578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.031930198462500003,0.43603515625,0.0,0.0,0.0,0.0,0.0,0.0320837123640625,0.436279296875,0.004817962646484375,0.0001881122589111328,0.0002570152282714844,0.0071563720703125,0.01175689697265625,0.00029778480529785156,0.00045228004455566406,0.01384028741640625,-0.00018656253814697266,0.02679443359375,0.02734375,0.016173724074542237,0.020149692899902344,0.01317596435546875,0.0118255615234375,0.056674942387499996,0.05420599136875,0.0335693359375,0.009124755859375,0.0006489753723144531,0.0004576503969238281,0.0004992485046386719,0.0010709762573242188,0.01233673095703125,0.00472259521484375,0.001225296737145996,0.0008570324243591308,9.733438491821289e-05,-0.0001647472381591797,0.1712964028,0.20165695255,0.20165324215,0.001659393310546875,0.009796142578125,0.01541900634765625,1.8477439880371094e-05,0.00015044212341308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.5033950805664062e-06,-7.62939453125e-06,-4.649162292480469e-06,100.125,0.021728515625,0.02099609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.032970415275,0.437744140625,0.0,0.0,0.0,0.0,0.0,0.0331076315875,0.438232421875,0.004825592041015625,0.0001881122589111328,0.00027370452880859375,0.00746917724609375,0.01247406005859375,0.00031685829162597656,0.0004558563232421875,0.01402901801953125,-0.00018656253814697266,0.02508544921875,0.0251312255859375,0.016204778074267578,0.020118054048535155,0.0132598876953125,0.0118865966796875,0.057195053471875,0.054814238053125,0.0343017578125,0.009246826171875,0.0006198883056640625,0.00046683969582519535,0.0004977385330566407,0.0010738372802734375,0.01343536376953125,0.005382537841796875,0.0011850210193908692,0.0008079724246459961,0.00011688470840454102,-0.00012576580047607422,0.169880762725,0.2007904834625,0.2010305821875,0.0016832351684570312,0.00955963134765625,0.01517486572265625,8.106231689453125e-06,0.00015819072723388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.6226043701171875e-06,1.9073486328125e-06,-4.5299530029296875e-06,100.125,0.02490234375,0.01904296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0341902573125,0.438720703125,0.0,0.0,0.0,0.0,0.0,0.034356802903125,0.439453125,0.00495147705078125,0.0001881122589111328,0.0003204345703125,0.00833892822265625,0.01415252685546875,0.00036072731018066406,0.00045418739318847656,0.01417734414453125,-0.0001957416534423828,0.0224456787109375,0.02227783203125,0.016064206152679443,0.01989625392885742,0.0133819580078125,0.01200103759765625,0.05960944858125,0.057660508921875,0.034515380859375,0.00937652587890625,0.0005884170532226562,0.00048488903461914063,0.0004997858155761719,0.001068115234375,0.0159454345703125,0.0074005126953125,0.0011467061398925781,0.0007622989514404297,9.733438491821289e-05,-0.00015497207641601562,0.16751847045625,0.1990658044375,0.19918369125000002,0.0017080307006835938,0.00952911376953125,0.01512908935546875,-4.589557647705078e-06,0.00016057491302490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-3.0994415283203125e-06,3.814697265625e-06,-4.410743713378906e-06,100.125,0.02490234375,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.036461005728125,0.437255859375,0.0,0.0,0.0,0.0,0.0,0.03662665781875,0.4375,0.00518035888671875,0.0001881122589111328,0.0003597736358642578,0.01029205322265625,0.0175323486328125,0.000514984130859375,0.0004265308380126953,0.01425933837890625,-0.00019216537475585938,0.0188140869140625,0.01873779296875,0.01611747783109131,0.019860953054541015,0.0136260986328125,0.01221466064453125,0.065314004215625,0.064315494121875,0.034210205078125,0.00954437255859375,0.0005335807800292969,0.0004872903548339844,0.0005097313325195313,0.00106048583984375,0.020233154296875,0.0115509033203125,0.0011036071562744141,0.00067993761484375,8.028745651245117e-05,-0.00016236305236816406,0.16437630351875,0.1954538300875,0.1955717728,0.0017299652099609375,0.009765625,0.015411376953125,-4.7147274017333984e-05,0.00013494491577148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,1.1444091796875e-05,-4.649162292480469e-06,100.125,0.020751953125,0.021484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.042410091475,0.42529296875,0.0,0.0,0.0,0.0,0.0,0.042635821021875,0.425537109375,0.0054779052734375,0.0001881122589111328,0.0004494190216064453,0.01409912109375,0.0228729248046875,0.0007038116455078125,0.00034618377685546875,0.013946533203125,-0.00017559528350830078,0.0160369873046875,0.0162506103515625,0.016232376899676514,0.019926602041430663,0.01401519775390625,0.0126495361328125,0.0736276395375,0.07428281940625,0.03350830078125,0.0098419189453125,0.00045108795166015625,0.0005353220903320312,0.0005210981822509766,0.0010509490966796875,0.025970458984375,0.018218994140625,0.000989529399737549,0.0006175086886108398,9.489059448242188e-05,-0.00015020370483398438,0.158606536675,0.187676593625,0.187672387825,0.001743316650390625,0.011016845703125,0.0167083740234375,-0.00019824504852294922,7.051229476928711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.1457672119140625e-06,3.814697265625e-06,-3.4570693969726562e-06,100.125,0.021240234375,0.02001953125
