Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00739317200390625,0.08892822265625,0.0,0.0,0.0,0.0,0.0,0.007432371290234375,0.08905029296875,0.0017147064208984375,3.719329833984375e-05,0.0008072853088378906,0.00807952880859375,0.004100799560546875,0.00775909423828125,0.0001049041748046875,0.0032625911890625,-3.224611282348633e-05,0.0012836456298828125,0.0013399124145507812,0.016546538069671633,0.02044536921445923,0.002880096435546875,0.0025615692138671875,0.02982181493125,0.033199103515625,0.0015773773193359375,0.0018558502197265625,5.060434341430664e-05,0.0005294246680480957,5.364418029785156e-06,5.3882598876953125e-05,0.0186767578125,0.0170745849609375,0.0009211866944580079,0.000543096245336914,1.0669231414794922e-05,-2.3186206817626953e-05,0.091501858096875,0.0932834595875,0.093308810165625,0.0001049041748046875,0.003574371337890625,0.00433349609375,3.0159950256347656e-05,0.00016760826110839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-2.980232238769531e-07,-3.5762786865234375e-07,-4.172325134277344e-07,20.03125,0.0025386810302734375,0.0011720657348632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0127941523625,0.180419921875,0.0,0.0,0.0,0.0,0.0,0.01285125333515625,0.180419921875,0.003387451171875,7.432699203491211e-05,0.0013408660888671875,0.01497650146484375,0.00850677490234375,0.0116424560546875,0.00021779537200927734,0.00625506123984375,-6.520748138427734e-05,0.002735137939453125,0.0028820037841796875,0.0163781363833313,0.020369112528918456,0.005771636962890625,0.00511932373046875,0.045889353359374996,0.0487861856375,0.004100799560546875,0.0038089752197265625,0.00011432170867919922,0.0005848339918334961,8.52346420288086e-06,0.00011539459228515625,0.033843994140625,0.0305938720703125,0.0011047062348632812,0.0005930055579467774,2.5272369384765625e-05,-3.272294998168945e-05,0.13899225743125,0.14353381101875,0.14365100483124998,0.00023865699768066406,0.00687408447265625,0.00844573974609375,7.402896881103516e-05,0.0003592967987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-8.344650268554688e-07,-3.039836883544922e-06,-1.0132789611816406e-06,40.03125,0.005859375,0.00390625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0181945560484375,0.2744140625,0.0,0.0,0.0,0.0,0.0,0.0182736590046875,0.2744140625,0.00501251220703125,0.00011157989501953125,0.0015811920166015625,0.020660400390625,0.0133819580078125,0.0118255615234375,0.00032067298889160156,0.00927124887421875,-9.715557098388672e-05,0.004161834716796875,0.00445556640625,0.016186639680596925,0.02022886466113281,0.008636474609375,0.0076446533203125,0.06159033440625,0.0638370886875,0.007617950439453125,0.00583648681640625,0.00018405914306640625,0.0006192703525024414,1.0907649993896484e-05,0.0001817941665649414,0.045166015625,0.040283203125,0.0012710897944091797,0.0006731423358459472,4.2319297790527344e-05,-3.731250762939453e-05,0.18663259599999998,0.1947884336375,0.19490622355,0.0004062652587890625,0.0098876953125,0.01230621337890625,0.00010734796524047852,0.000492095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.3113021850585938e-06,-2.2649765014648438e-06,-1.1920928955078125e-06,60.03125,0.0099639892578125,0.005565643310546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0237122743015625,0.37060546875,0.0,0.0,0.0,0.0,0.0,0.0237906004578125,0.37109375,0.006591796875,0.000148773193359375,0.0016918182373046875,0.0252227783203125,0.018524169921875,0.0095367431640625,0.0004470348358154297,0.012234143825,-0.00012612342834472656,0.0054931640625,0.00592803955078125,0.016138928031140136,0.02019616213815918,0.011444091796875,0.010101318359375,0.0767734432375,0.0784022789,0.0122222900390625,0.00794219970703125,0.0002722740173339844,0.000640381668371582,1.8715858459472656e-05,0.0002605915069580078,0.053314208984375,0.046875,0.0013466884845703124,0.0006977968645629882,6.42538070678711e-05,-7.325410842895508e-05,0.234712090325,0.246771678375,0.247256077825,0.0006136894226074219,0.0126495361328125,0.015899658203125,0.00013244152069091797,0.0005340576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.9073486328125e-06,-1.5497207641601562e-06,-2.0265579223632812e-06,80.0625,0.0134735107421875,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0293514631109375,0.47021484375,0.0,0.0,0.0,0.0,0.0,0.029474459434375,0.470947265625,0.0081024169921875,0.0001862049102783203,0.001750946044921875,0.0287322998046875,0.023773193359375,0.0057830810546875,0.0005412101745605469,0.0151601726703125,-0.00015366077423095703,0.006626129150390625,0.007110595703125,0.01609546317595215,0.020179137594421387,0.01418304443359375,0.01247406005859375,0.0915870517625,0.09265813980625,0.0176544189453125,0.01007080078125,0.0003685951232910156,0.000646239492993164,3.0338764190673828e-05,0.0003478527069091797,0.059173583984375,0.050933837890625,0.001437846900415039,0.0007164250673339843,9.489059448242188e-05,-6.711483001708984e-05,0.2832348793625,0.2998014838,0.300041914025,0.0008616447448730469,0.01500701904296875,0.0190277099609375,0.00014972686767578125,0.0005726814270019531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-3.0994415283203125e-06,-5.7220458984375e-06,-2.2649765014648438e-06,100.0625,0.021484375,0.00732421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0294456350015625,0.47802734375,0.0,0.0,0.0,0.0,0.0,0.0295523337359375,0.478759765625,0.00795745849609375,0.0001862049102783203,0.0015010833740234375,0.02606201171875,0.024017333984375,0.002349853515625,0.0005397796630859375,0.015150539015625,-0.00015115737915039062,0.005924224853515625,0.0063323974609375,0.016112986921313476,0.02014034618568115,0.01398468017578125,0.01224517822265625,0.09036766089375001,0.09164895484999999,0.019744873046875,0.010162353515625,0.0003924369812011719,0.0006281298645874024,4.3670349157714846e-05,0.00037479400634765625,0.052642822265625,0.04412841796875,0.0013629408840454102,0.0007158236438232422,8.028745651245117e-05,-8.666515350341797e-05,0.2840165049125,0.301498491275,0.30173859000000003,0.0009565353393554688,0.01419830322265625,0.0181884765625,0.00016307830810546875,0.000583648681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.9073486328125e-06,7.62939453125e-06,-2.9802322387695312e-06,100.0625,0.017578125,0.01318359375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0295363266484375,0.486572265625,0.0,0.0,0.0,0.0,0.0,0.02962657829375,0.4873046875,0.007843017578125,0.0001862049102783203,0.0013608932495117188,0.0236663818359375,0.02398681640625,0.0011959075927734375,0.0005321502685546875,0.01524545937890625,-0.00015306472778320312,0.004779815673828125,0.00518035888671875,0.01601020434451294,0.01996038852663574,0.0137786865234375,0.011993408203125,0.0889673587375,0.09040587024999999,0.021697998046875,0.01024627685546875,0.0004112720489501953,0.0006080322307250977,7.224169860229492e-05,0.00040340423583984375,0.0472412109375,0.038330078125,0.0012821278928222656,0.0007055553296142578,5.340576171875e-05,-0.0001062154769897461,0.2856214978,0.30270349975,0.302943456875,0.0010509490966796875,0.013427734375,0.0173492431640625,0.000171661376953125,0.0005955696105957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.9802322387695312e-06,7.62939453125e-06,-2.7418136596679688e-06,100.0625,0.023193359375,0.01318359375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0297318797515625,0.495361328125,0.0,0.0,0.0,0.0,0.0,0.0298364966859375,0.495849609375,0.007801055908203125,0.0001862049102783203,0.0012569427490234375,0.02154541015625,0.02410888671875,0.0009336471557617188,0.0005369186401367188,0.0154571533203125,-0.0001575946807861328,0.0038166046142578125,0.004184722900390625,0.016103709158148193,0.020002573690527343,0.0136260986328125,0.01177978515625,0.0877444241375,0.08943146091875,0.0238800048828125,0.01035308837890625,0.0004334449768066406,0.0005843267165283203,9.941295788574219e-05,0.0004265308380126953,0.042144775390625,0.032928466796875,0.001168278195855713,0.000664082779333496,9.244680404663086e-05,-0.00010132789611816406,0.288949057425,0.304706759775,0.3049467728,0.0011510848999023438,0.0127410888671875,0.016632080078125,0.000141143798828125,0.0005588531494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.6954879760742188e-06,-1.9073486328125e-06,-3.6954879760742188e-06,100.0625,0.017333984375,0.0146484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0300809899125,0.5029296875,0.0,0.0,0.0,0.0,0.0,0.0301693903578125,0.50341796875,0.00783538818359375,0.0001863241195678711,0.0011606216430664062,0.0199127197265625,0.0243988037109375,0.0007939338684082031,0.0005450248718261719,0.01561737060546875,-0.00016009807586669922,0.0033473968505859375,0.0036773681640625,0.016251271572070312,0.02012139002055664,0.01349639892578125,0.01158905029296875,0.08687226844375,0.08887022175,0.0259246826171875,0.010406494140625,0.0004699230194091797,0.0005765685045166015,0.00012854199176025392,0.0004410743713378906,0.03790283203125,0.028594970703125,0.001054081230029297,0.0006104753405273437,8.755922317504883e-05,-0.00013554096221923828,0.2936163023,0.30706135925,0.307301294075,0.0012388229370117188,0.01218414306640625,0.0160675048828125,0.00010210275650024414,0.00040149688720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-3.2186508178710938e-06,2.09808349609375e-05,-3.6954879760742188e-06,100.0625,0.0205078125,0.015625
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0300898915578125,0.50732421875,0.0,0.0,0.0,0.0,0.0,0.0301924364921875,0.5078125,0.007778167724609375,0.00018644332885742188,0.0012903213500976562,0.01910400390625,0.0243682861328125,0.0008931159973144531,0.0005741119384765625,0.01519775390625,-0.00016832351684570312,0.0032405853271484375,0.0038967132568359375,0.016495581688238524,0.020317329062695313,0.01342010498046875,0.01153564453125,0.08666366334375,0.08971015359375001,0.0273895263671875,0.0106658935546875,0.00045108795166015625,0.0005146829548339844,0.0001415542958679199,0.00040411949157714844,0.03558349609375,0.0273590087890625,0.000861092923248291,0.0005394196263061523,2.4080276489257812e-05,-0.00017452239990234375,0.301724310925,0.310386948325,0.310870945475,0.001377105712890625,0.01171875,0.01561737060546875,7.218122482299805e-05,0.0002465248107910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.5033950805664062e-06,-7.62939453125e-06,-3.0994415283203125e-06,100.125,0.01220703125,0.01611328125
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.031113929659375,0.509765625,0.0,0.0,0.0,0.0,0.0,0.03121526629375,0.509765625,0.00811004638671875,0.0001863241195678711,0.0013780593872070312,0.0209808349609375,0.0269927978515625,0.0008716583251953125,0.0005054473876953125,0.01491546630859375,-0.00015604496002197266,0.0016164779663085938,0.002635955810546875,0.017588522319726563,0.021849473939550782,0.0136260986328125,0.01168060302734375,0.09251927395625,0.09629226106875,0.0269927978515625,0.01067352294921875,0.0004119873046875,0.0005533676116455078,0.00019069536170654298,0.0004511676593261719,0.039794921875,0.031951904296875,0.0007650569437255859,0.0005117439013977051,4.363059997558594e-05,-0.00015497207641601562,0.3069091998,0.31306514515,0.31306079775,0.0013895034790039062,0.012054443359375,0.015960693359375,-3.516674041748047e-06,1.9550323486328125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.0265579223632812e-06,3.814697265625e-06,-2.9802322387695312e-06,100.125,0.01171875,0.01513671875
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.03246967003125,0.50927734375,0.0,0.0,0.0,0.0,0.0,0.0325393483875,0.50927734375,0.00879669189453125,0.0001863241195678711,0.0015964508056640625,0.0256805419921875,0.0318603515625,0.0020847320556640625,0.0006175041198730469,0.01462554931640625,-0.00011944770812988281,0.0003082752227783203,0.0012979507446289062,0.024707427275,0.02912585441875,0.0134735107421875,0.011444091796875,0.0987885044625,0.102642610675,0.0254364013671875,0.010711669921875,0.00034546852111816406,0.0005818230209228515,0.0002278067354736328,0.0004925456325439453,0.0474853515625,0.039520263671875,0.0005720863301147461,0.00041648152298583987,5.704164505004883e-05,-0.00017452239990234375,0.3128630221,0.315530542325,0.31576994064999997,0.0013942718505859375,0.01273345947265625,0.016510009765625,1.722574234008789e-05,-5.960464477539062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-3.4570693969726562e-06,7.62939453125e-06,-2.86102294921875e-06,100.125,0.00439453125,0.00634765625
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.033925598359375,0.49853515625,0.0,0.0,0.0,0.0,0.0,0.034055456971875,0.4990234375,0.00939178466796875,0.0001862049102783203,0.001720428466796875,0.0297393798828125,0.035552978515625,0.00970458984375,0.0006327629089355469,0.0146026611328125,-0.00011706352233886719,0.00010317564010620117,0.001049041748046875,0.033412529168749996,0.0376063734328125,0.0135650634765625,0.01154327392578125,0.106674107675,0.11113536919375,0.0232391357421875,0.01096343994140625,0.0002803802490234375,0.0005756923733886719,0.0002328686098022461,0.00047503869267578126,0.056793212890625,0.049102783203125,0.0004015469268920898,0.0003843938970153809,2.777576446533203e-05,-0.00021541118621826172,0.3199577369,0.32071208955,0.3211953044,0.0013399124145507812,0.0132904052734375,0.01708984375,5.358457565307617e-05,1.615285873413086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.1457672119140625e-06,-1.9073486328125e-06,-2.0265579223632812e-06,100.125,0.00439453125,0.00146484375
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.03541807274375,0.47021484375,0.0,0.0,0.0,0.0,0.0,0.03554733695625,0.470703125,0.00974273681640625,0.00018596649169921875,0.00215911865234375,0.033447265625,0.03887939453125,0.024200439453125,0.0007905960083007812,0.01428985595703125,-0.00012493133544921875,5.5849552154541016e-05,0.0011739730834960938,0.03440887663125,0.0377158466296875,0.013671875,0.01171875,0.11364858695625,0.11888371785,0.01947021484375,0.01099395751953125,0.0002548694610595703,0.0006680300247192383,0.00023348898932495118,0.0004120010255126953,0.06646728515625,0.059295654296875,0.00035659986787109376,0.000365781095904541,7.033348083496094e-06,-0.00021123886108398438,0.3298243098,0.3279488459,0.32843159135,0.00127410888671875,0.01436614990234375,0.018035888671875,0.00011086463928222656,2.5331974029541016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.9073486328125e-06,0.0,-1.1920928955078125e-06,100.125,0.0009765625,0.00439453125
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.038704237715625,0.384033203125,0.0,0.0,0.0,0.0,0.0,0.03886343610625,0.38427734375,0.01000213623046875,0.00018584728240966797,0.00411224365234375,0.035797119140625,0.04119873046875,0.035125732421875,0.0007047653198242188,0.01366424560546875,-0.00011914968490600586,0.00015079975128173828,0.0009388923645019531,0.02068037171953125,0.02432995665,0.01412200927734375,0.012420654296875,0.117720151325,0.12491393461875,0.01568603515625,0.0107879638671875,0.00024187564849853516,0.0008285962068908691,0.00022072085081787109,0.0003426404326660156,0.07598876953125,0.07080078125,0.0006641178739807129,0.0005586028966186523,-1.4960765838623047e-05,-0.00017940998077392578,0.342931520225,0.332444839175,0.3326829746,0.0013284683227539062,0.0180206298828125,0.02056884765625,0.00014078617095947266,-9.775161743164062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,0.0,5.7220458984375e-06,-1.9073486328125e-06,100.125,0.008056640625,0.0078125
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.044194350034375,0.285400390625,0.0,0.0,0.0,0.0,0.0,0.044383776503125,0.285888671875,0.00991058349609375,0.00018548965454101562,0.00927734375,0.04547119140625,0.04315185546875,0.0648193359375,0.0010223388671875,0.012451171875,-8.0108642578125e-05,0.001369476318359375,0.0021514892578125,0.019070588084381102,0.022575605707006837,0.0140838623046875,0.01267242431640625,0.1266451124375,0.1385334413625,0.0070343017578125,0.01038360595703125,0.00018477439880371094,0.0008860205519653321,0.00026272485763549803,0.00022502773574829103,0.09661865234375,0.094482421875,0.0012476839400390625,0.0007886245522216798,-2.7418136596679688e-06,-0.0001709461212158203,0.359844088525,0.34205064925,0.342288795875,0.001068115234375,0.021881103515625,0.02337646484375,0.0004260540008544922,-2.199411392211914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,3.5762786865234375e-07,-5.7220458984375e-06,2.1457672119140625e-06,100.125,-0.01416015625,-0.00634765625
