Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00730161926953125,0.091552734375,0.0,0.0,0.0,0.0,0.0,0.007348447950390625,0.09161376953125,0.0018796920776367188,3.719329833984375e-05,0.0011692047119140625,0.0112152099609375,0.005523681640625,0.0129852294921875,9.948015213012695e-05,0.0030318020044921875,-3.272294998168945e-05,0.0008001327514648438,0.00160980224609375,0.016558041766113283,0.020447336167736817,0.003139495849609375,0.00283050537109375,0.031607093251562496,0.0350759345703125,0.0005354881286621094,0.0019407272338867188,1.4424324035644531e-05,0.0005369944579345703,-1.5854835510253906e-05,1.7583370208740234e-05,0.025909423828125,0.0245361328125,0.0012924044221191407,0.0008873726735595703,6.794929504394531e-06,-2.759695053100586e-05,0.090464260440625,0.09578590099375,0.09584176915,2.6285648345947266e-05,0.0033512115478515625,0.004032135009765625,6.973743438720703e-06,9.906291961669922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-5.960464477539063e-08,0.0,-2.384185791015625e-07,20.03125,0.0,0.0018558502197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0125347529484375,0.186279296875,0.0,0.0,0.0,0.0,0.0,0.012599483315625,0.186279296875,0.003749847412109375,7.432699203491211e-05,0.002338409423828125,0.0224761962890625,0.01078033447265625,0.025970458984375,0.0001976490020751953,0.00578203877890625,-6.622076034545898e-05,0.001316070556640625,0.0028896331787109375,0.016408355938232422,0.02037912610924072,0.00638580322265625,0.005733489990234375,0.050070261562499996,0.053211234465625,0.001422882080078125,0.003948211669921875,3.1948089599609375e-05,0.0005748800161560058,-3.7670135498046875e-05,4.6253204345703125e-05,0.05230712890625,0.0494384765625,0.0018943485688476562,0.0013951648673339845,1.7464160919189453e-05,-4.3451786041259766e-05,0.136978097275,0.1483555883625,0.14841174701874998,7.241964340209961e-05,0.006420135498046875,0.00783538818359375,1.6450881958007812e-05,0.0002181529998779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.7881393432617188e-07,1.5497207641601562e-06,-5.364418029785156e-07,40.0625,0.0017576217651367188,0.0025386810302734375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.017935156634375,0.283203125,0.0,0.0,0.0,0.0,0.0,0.0180295183796875,0.283447265625,0.0057830810546875,0.00011146068572998047,0.00350189208984375,0.033843994140625,0.0162200927734375,0.0380859375,0.0002655982971191406,0.0087143030734375,-0.00010204315185546875,0.001312255859375,0.003398895263671875,0.016238495721551515,0.020246269217407225,0.009735107421875,0.0087127685546875,0.07013525628125,0.072992362125,0.001800537109375,0.00592041015625,3.796815872192383e-05,0.0006287474910217285,-8.434057235717773e-05,4.506111145019531e-05,0.07879638671875,0.0743408203125,0.001972278835546875,0.0014317306499023437,3.057718276977539e-05,-4.762411117553711e-05,0.18260427568749998,0.2018685117625,0.201986301675,5.0008296966552734e-05,0.0093231201171875,0.0113983154296875,8.344650268554688e-07,0.0001926422119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-2.384185791015625e-07,4.589557647705078e-06,-9.5367431640625e-07,60.03125,0.00498199462890625,0.00439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0233460633640625,0.383056640625,0.0,0.0,0.0,0.0,0.0,0.023439648309375,0.38330078125,0.007732391357421875,0.00014853477478027344,0.00466156005859375,0.045562744140625,0.0218658447265625,0.051361083984375,0.0003619194030761719,0.0114864631609375,-0.00013685226440429688,0.0009927749633789062,0.0034732818603515625,0.017076985930615234,0.021059475813085936,0.01303863525390625,0.0116424560546875,0.0906894588625,0.0934169273375,0.002605438232421875,0.0079498291015625,4.398822784423828e-05,0.0006530178530639648,-0.0001304149627685547,4.398822784423828e-05,0.10662841796875,0.10040283203125,0.0020772030109374997,0.0014949493837890624,4.273653030395508e-05,-6.73532485961914e-05,0.230317559075,0.2571476549375,0.2573879137625,4.857778549194336e-05,0.01209259033203125,0.0148773193359375,-1.3113021850585938e-06,0.0002391338348388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-7.62939453125e-06,-1.0728836059570312e-06,80.0625,0.004688262939453125,0.005859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0288936994390625,0.485595703125,0.0,0.0,0.0,0.0,0.0,0.0290319545515625,0.48583984375,0.0097198486328125,0.0001857280731201172,0.00579071044921875,0.05859375,0.0277862548828125,0.06817626953125,0.0004553794860839844,0.01423701593203125,-0.00017321109771728516,0.0006890296936035156,0.0033111572265625,0.020608488459765626,0.024365887052734375,0.01629638671875,0.0145111083984375,0.1128272861375,0.11572942886875,0.0032024383544921875,0.0099639892578125,4.076957702636719e-05,0.000676757071118164,-0.00018930435180664062,2.6524066925048828e-05,0.13720703125,0.1292724609375,0.002320710898828125,0.0016696225465820313,6.073713302612305e-05,-7.444620132446289e-05,0.2800610512375,0.3144499213,0.31493449215,4.0590763092041016e-05,0.014678955078125,0.018218994140625,1.6629695892333984e-05,0.00032830238342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.0728836059570312e-06,7.62939453125e-06,-1.1920928955078125e-06,100.0625,0.00927734375,0.005859375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0290489064859375,0.492431640625,0.0,0.0,0.0,0.0,0.0,0.0291861227984375,0.492919921875,0.00981903076171875,0.0001857280731201172,0.00594329833984375,0.06134033203125,0.0282745361328125,0.0753173828125,0.00048613548278808594,0.014173976515625,-0.0001780986785888672,0.000560760498046875,0.0030803680419921875,0.0249514020671875,0.02850943435859375,0.0163116455078125,0.01451873779296875,0.11624656714375001,0.11972512672499999,0.0027294158935546875,0.009979248046875,1.4662742614746094e-05,0.0006708067902465821,-0.00020929176326904298,-2.2649765014648438e-06,0.144287109375,0.135986328125,0.002425691700390625,0.00182327794375,4.363059997558594e-05,-7.200241088867188e-05,0.2835282236625,0.3183441944,0.31858429312500003,1.4066696166992188e-05,0.01433563232421875,0.0179443359375,3.129243850708008e-05,0.00036263465881347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.1920928955078125e-06,-7.62939453125e-06,-1.430511474609375e-06,100.0625,0.0068359375,0.005859375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0293074448125,0.499755859375,0.0,0.0,0.0,0.0,0.0,0.0294282140359375,0.5,0.0099945068359375,0.00018548965454101562,0.00637054443359375,0.06536865234375,0.0287322998046875,0.08514404296875,0.0005040168762207031,0.014139197171875,-0.00018477439880371094,0.00041556358337402344,0.0028858184814453125,0.02987823823046875,0.033168062553125,0.0164031982421875,0.01457977294921875,0.12003425326875,0.12434141712499999,0.0018739700317382812,0.0099945068359375,-2.2113323211669922e-05,0.0006831340831420898,-0.00021415861954345703,-2.485513687133789e-05,0.153564453125,0.1448974609375,0.0027646146176757815,0.0022540840008789063,4.607439041137695e-05,-8.177757263183594e-05,0.287330482175,0.3217464685,0.321986425625,-2.014636993408203e-05,0.01412200927734375,0.017791748046875,4.839897155761719e-05,0.00036978721618652344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.1920928955078125e-06,7.62939453125e-06,-8.344650268554688e-07,100.0625,0.0087890625,0.01171875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0298234324859375,0.5068359375,0.0,0.0,0.0,0.0,0.0,0.0299585669984375,0.50732421875,0.010284423828125,0.00018537044525146484,0.00698089599609375,0.07080078125,0.029571533203125,0.0968017578125,0.0005035400390625,0.01418304443359375,-0.00018906593322753906,0.00022518634796142578,0.002483367919921875,0.0359297041265625,0.038901537618749996,0.0165557861328125,0.01468658447265625,0.1243655178875,0.12959259373125,0.0009813308715820312,0.0100555419921875,-6.467103958129883e-05,0.000677667590246582,-0.00022078319384765625,-5.4955482482910156e-05,0.1639404296875,0.1549072265625,0.0031442317748046874,0.002717939629003906,5.340576171875e-05,-0.00010132789611816406,0.2926111668,0.3254587129,0.3254545853,-6.0439109802246094e-05,0.014129638671875,0.01788330078125,1.6629695892333984e-05,0.00027823448181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.7881393432617188e-06,-3.814697265625e-06,-3.5762786865234375e-07,100.0625,0.00634765625,0.0078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.030599788740625,0.51416015625,0.0,0.0,0.0,0.0,0.0,0.030733965553125,0.51416015625,0.0108184814453125,0.00018525123596191406,0.00797271728515625,0.0777587890625,0.0304718017578125,0.11102294921875,0.0005269050598144531,0.01418304443359375,-0.0001900196075439453,0.00011777877807617188,0.0019254684448242188,0.0432879384421875,0.0459178034421875,0.016754150390625,0.0148468017578125,0.12874238563125,0.13531797565625,0.0005612373352050781,0.01015472412109375,-8.863210678100586e-05,0.0006660946809692382,-0.00021680732006835936,-7.784366607666016e-05,0.17578125,0.1663818359375,0.003911766319140625,0.003598336973828125,5.5849552154541016e-05,-9.644031524658203e-05,0.2984991148,0.3290340155,0.329273950325,-0.00011533498764038086,0.01441192626953125,0.0183258056640625,-1.2636184692382812e-05,0.00016355514526367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.430511474609375e-06,-1.1444091796875e-05,8.344650268554688e-07,100.0625,0.005859375,0.00537109375
