Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004566481330078125,0.038055419921875,0.0,0.0,0.0,0.0,0.0,0.004617124708203125,0.03814697265625,0.0019121170043945312,3.719329833984375e-05,0.00160980224609375,0.0117340087890625,0.00684356689453125,0.0196990966796875,0.0003037452697753906,0.0021639583765625,-3.2901763916015625e-05,9.900331497192383e-05,0.0005388259887695312,0.016522696211761476,0.020384691686077882,0.003597259521484375,0.0035495758056640625,0.034979285634374996,0.038936408203125,0.0002913475036621094,0.0016689300537109375,5.4836273193359375e-06,0.000530080319140625,7.450580596923828e-05,5.370378494262695e-05,0.0281524658203125,0.0275421142578125,0.002023395785644531,0.0017559315572265625,-3.2782554626464844e-05,-4.506111145019531e-05,0.096079494815625,0.09859351818125,0.09858835118125,7.987022399902344e-06,0.004364013671875,0.0048675537109375,4.8220157623291016e-05,8.690357208251953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.205371856689453e-06,-2.980232238769531e-07,1.5497207641601562e-06,-5.960464477539063e-08,20.046875,0.002635955810546875,0.00439453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00736965285078125,0.05328369140625,0.0,0.0,0.0,0.0,0.0,0.0074572714015625,0.053314208984375,0.003887176513671875,7.432699203491211e-05,0.0032196044921875,0.0240325927734375,0.01474761962890625,0.0391845703125,0.0009546279907226562,0.00391283711875,-5.710124969482422e-05,0.0002982616424560547,0.0016813278198242188,0.016307326065338135,0.020244121588824462,0.00730133056640625,0.00726318359375,0.057089304531249996,0.06142046298125,0.000408172607421875,0.003406524658203125,2.1696090698242188e-05,0.0005705884817321777,0.0001533031463623047,9.953975677490234e-05,0.056640625,0.0556640625,0.0033715900849609374,0.003179012676171875,-7.18832015991211e-05,-9.79304313659668e-05,0.15040583165,0.1545811743,0.15469836811249998,3.504753112792969e-05,0.0090179443359375,0.01006317138671875,0.0001304149627685547,0.00019097328186035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-6.556510925292969e-07,-7.748603820800781e-07,1.1920928955078125e-07,40.125,0.005664825439453125,0.00742340087890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01244962196640625,0.00922393798828125,0.0,0.0,0.0,0.0,0.0,0.0125973894734375,0.00927734375,0.005878448486328125,0.00011157989501953125,0.0051422119140625,0.036376953125,0.0241851806640625,0.053253173828125,0.002727508544921875,0.0053268519015625,-7.587671279907227e-05,0.0027027130126953125,0.0072021484375,0.01600979269954834,0.02003735493746948,0.01088714599609375,0.01103973388671875,0.07697119378125,0.081781424625,0.00041031837463378906,0.005218505859375,5.048513412475586e-05,0.0005694408694702148,0.00023949146270751953,0.00012129545211791992,0.083984375,0.08392333984375,0.004625400783789062,0.0045359405498046875,-0.0001876354217529297,-0.00020003318786621094,0.20775076006249998,0.210291363325,0.21053122355,8.106231689453125e-05,0.01432037353515625,0.01548004150390625,0.0004744529724121094,0.0002053976058959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-7.152557373046875e-07,-2.2649765014648438e-06,2.384185791015625e-07,60.21875,0.0084991455078125,0.00937652587890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.030258294809375,-0.00057220458984375,0.0,0.0,0.0,0.0,0.0,0.030519726434375,-0.0005402565002441406,0.0078277587890625,0.00014901161193847656,0.0082550048828125,0.05059814453125,0.03436279296875,0.064208984375,0.00429534912109375,0.006466321559375,-0.00010120868682861328,0.016754150390625,0.023223876953125,0.015926735495739745,0.019915185842687987,0.01385498046875,0.0141754150390625,0.09526709558125,0.1018397789,0.0005078315734863281,0.0072021484375,-7.927417755126953e-06,0.0005475176318115234,0.0002913475036621094,0.00010859966278076172,0.11053466796875,0.1114501953125,0.00638781092109375,0.00596386723046875,-0.0002875328063964844,-0.00023436546325683594,0.2651075981375,0.2610539049375,0.261416234075,2.586841583251953e-05,0.0207366943359375,0.021820068359375,0.0022869110107421875,0.00012302398681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,2.980232238769531e-07,4.589557647705078e-06,1.7881393432617188e-06,80.25,0.0187530517578125,0.0167999267578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.062478294165625003,-0.0005674362182617188,0.0,0.0,0.0,0.0,0.0,0.06289120748125,-0.0005397796630859375,0.009674072265625,0.0001863241195678711,0.01241302490234375,0.0628662109375,0.042083740234375,0.07537841796875,0.00478363037109375,0.007305711000390625,-6.604194641113281e-05,0.041412353515625,0.0469970703125,0.01586348189848633,0.01985917986126709,0.016693115234375,0.0173492431640625,0.1077003330125,0.1171332374625,0.0006108283996582031,0.00908660888671875,-3.3855438232421875e-05,0.0005329906679199218,0.00039124488830566406,0.00014281272888183594,0.1336669921875,0.1353759765625,0.009004060508203125,0.00785229313984375,-0.00030541419982910156,-0.0002142190933227539,0.3099682778,0.302487030675,0.3027274609,3.540515899658203e-05,0.027191162109375,0.0287933349609375,0.00174713134765625,-0.0005211830139160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.0728836059570312e-06,-9.5367431640625e-06,4.0531158447265625e-06,100.25,0.02197265625,0.02734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0860710012125,-0.00046062469482421875,0.0,0.0,0.0,0.0,0.0,0.08645235815,-0.0004367828369140625,0.0096588134765625,0.00018644332885742188,0.0140838623046875,0.0631103515625,0.04058837890625,0.07147216796875,0.0038700103759765625,0.00665902290234375,-3.4332275390625e-05,0.0550537109375,0.058135986328125,0.01590782773399658,0.01983219017219238,0.0164794921875,0.0173187255859375,0.09872947730000001,0.10953225563124999,0.0005350112915039062,0.0090789794921875,5.662441253662109e-06,0.0005562466629882813,0.0004617373276123047,0.0001684427261352539,0.13037109375,0.1326904296875,0.010661623096875,0.00915512608828125,-0.00031757354736328125,-0.0002257823944091797,0.291951075225,0.2841645069,0.28440460562500003,4.696846008300781e-05,0.027618408203125,0.02935791015625,0.0013418197631835938,-0.00079345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.430511474609375e-06,-2.384185791015625e-06,-2.86102294921875e-05,5.9604644775390625e-06,100.25,0.0302734375,0.02197265625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.10029133153125,-0.00043964385986328125,0.0,0.0,0.0,0.0,0.0,0.10079357048125,-0.0004477500915527344,0.00980377197265625,0.00018656253814697266,0.015533447265625,0.065185546875,0.039306640625,0.0728759765625,0.0033130645751953125,0.005971930326171875,-2.092123031616211e-05,0.063232421875,0.0655517578125,0.015764812021972656,0.019610926494317626,0.0164031982421875,0.0173492431640625,0.09256843295625,0.10426085071874999,0.0004715919494628906,0.009002685546875,1.817941665649414e-05,0.0005934886973999023,0.0005217203248535157,0.00018799304962158203,0.1312255859375,0.13427734375,0.014120014703125,0.012339189896875,-0.0003287792205810547,-0.0002142190933227539,0.27634415405,0.2666927575625,0.266810644375,6.562471389770508e-05,0.028594970703125,0.0300750732421875,0.0012941360473632812,-0.0008063316345214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,0.0,4.649162292480469e-06,100.25,0.0244140625,0.02197265625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10436261705625,-0.00038123130798339844,0.0,0.0,0.0,0.0,0.0,0.10486396250625,-0.0004086494445800781,0.01010894775390625,0.00018656253814697266,0.016754150390625,0.07000732421875,0.03839111328125,0.07958984375,0.00406646728515625,0.00539398193359375,-1.817941665649414e-05,0.0675048828125,0.07025146484375,0.015798116144384765,0.019568055830114745,0.01641845703125,0.0174407958984375,0.0899416897625,0.10194366795,0.0004372596740722656,0.0089569091796875,-1.329183578491211e-05,0.0005986318312744141,0.0006256027619628906,0.0002486705780029297,0.1376953125,0.1412353515625,0.01872536275625,0.016617742790625,-0.00030541419982910156,-0.00019109249114990234,0.2672205418,0.2541696504,0.2542875931125,8.0108642578125e-05,0.030364990234375,0.0311279296875,0.0013418197631835938,-0.0008149147033691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.7881393432617188e-06,0.0,4.172325134277344e-06,100.25,0.0341796875,0.02783203125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10338421256875,-0.00042629241943359375,0.0,0.0,0.0,0.0,0.0,0.1038235651625,-0.0004661083221435547,0.01059722900390625,0.00018644332885742188,0.0176239013671875,0.07611083984375,0.03692626953125,0.09149169921875,0.005664825439453125,0.0050506591796875,-2.866983413696289e-05,0.0650634765625,0.0689697265625,0.015905087795214844,0.019645208513446043,0.016448974609375,0.0174560546875,0.08906953406875,0.100833112375,0.0003592967987060547,0.008819580078125,-3.343820571899414e-05,0.0007194408380432129,0.0007158861613769531,0.0002913475036621094,0.14599609375,0.1492919921875,0.0236070483015625,0.021065835753125,-0.00030303001403808594,-0.0002014636993408203,0.2673711851125,0.251153156125,0.25139309095,0.00013637542724609375,0.0333251953125,0.033447265625,0.0022754669189453125,-0.00036072731018066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.1920928955078125e-06,3.814697265625e-06,4.410743713378906e-06,100.3125,0.02734375,0.0322265625
