Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006725599982421875,0.0877685546875,0.0,0.0,0.0,0.0,0.0,0.00676479926875,0.087890625,0.0011272430419921875,3.7550926208496094e-05,0.0001232624053955078,0.002758026123046875,0.003124237060546875,8.934736251831055e-05,0.0001055598258972168,0.002495837038671875,-2.2590160369873047e-05,0.00492095947265625,0.005779266357421875,0.016553392603820802,0.020439706773205567,0.0024471282958984375,0.002269744873046875,0.02160495702109375,0.024471076171875,0.00469970703125,0.0017566680908203125,0.000133514404296875,0.0005841417319519043,0.00011456012725830078,0.0001989603042602539,0.004467010498046875,0.0035648345947265625,0.0007865398019104004,0.0004842664609436035,2.7298927307128906e-05,-1.049041748046875e-05,0.06687417255,0.073630139275,0.073655489853125,0.0003113746643066406,0.0015583038330078125,0.0027484893798828125,-1.3649463653564453e-05,9.000301361083984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.7881393432617188e-07,7.748603820800781e-07,-7.152557373046875e-07,20.03125,0.004589080810546875,0.003124237060546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0113445674015625,0.1763916015625,0.0,0.0,0.0,0.0,0.0,0.01140166837421875,0.1766357421875,0.002262115478515625,7.50422477722168e-05,0.00018846988677978516,0.00519561767578125,0.006305694580078125,0.00016570091247558594,0.0002199411392211914,0.00477495870078125,-4.374980926513672e-05,0.0099334716796875,0.01171875,0.01639118980053711,0.020351290740130614,0.0050048828125,0.004619598388671875,0.029776072109375,0.0314674600515625,0.01015472412109375,0.003620147705078125,0.0002677440643310547,0.0006883672598083496,0.0002357959747314453,0.0004203319549560547,0.0085601806640625,0.00667572021484375,0.000869983143737793,0.0005982507666870118,4.482269287109375e-05,-2.682209014892578e-05,0.0907134488375,0.105020627425,0.105015750925,0.0006871223449707031,0.0030231475830078125,0.005535125732421875,-6.198883056640625e-06,0.0003209114074707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-8.344650268554688e-07,-9.179115295410156e-06,-1.3113021850585938e-06,40.0625,0.0080108642578125,0.0095672607421875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0163635013609375,0.260009765625,0.0,0.0,0.0,0.0,0.0,0.01645786310625,0.260498046875,0.0036640167236328125,0.00011259317398071289,0.0003020763397216797,0.007556915283203125,0.0094451904296875,0.00022482872009277344,0.0003058910369873047,0.00765381723359375,-7.587671279907227e-05,0.0160369873046875,0.0184326171875,0.01621089877102051,0.020198287478363035,0.00782012939453125,0.007190704345703125,0.039404055109375,0.0396824256015625,0.0160064697265625,0.0055084228515625,0.00039649009704589844,0.0008228798190551758,0.0003147125244140625,0.0005960464477539062,0.013031005859375,0.00974273681640625,0.0009975044748901367,0.0008027824382324219,4.673004150390625e-05,-6.961822509765625e-05,0.118273221,0.13942954691875,0.139486301675,0.0010433197021484375,0.0050506591796875,0.00891876220703125,5.996227264404297e-05,0.0008611679077148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-1.0132789611816406e-06,0.0,-2.9206275939941406e-06,60.0625,0.0105438232421875,0.0105438232421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0223084657078125,0.31005859375,0.0,0.0,0.0,0.0,0.0,0.02243256823125,0.31005859375,0.005123138427734375,0.00015032291412353516,0.0002963542938232422,0.0098876953125,0.01324462890625,0.0002332925796508789,0.0004253387451171875,0.01018183669609375,-9.387731552124023e-05,0.0222015380859375,0.0257110595703125,0.016166763400250243,0.02013250437753906,0.01088714599609375,0.01009368896484375,0.0496738338625,0.04855608749375,0.023040771484375,0.00749969482421875,0.0005106925964355469,0.0006843102915710449,0.000400543212890625,0.0007781982421875,0.017364501953125,0.013427734375,0.0010185053104370117,0.0008975320292053222,1.9252300262451172e-05,-0.00014352798461914062,0.1452345512625,0.171576365875,0.1718166247,0.0015115737915039062,0.007556915283203125,0.01285552978515625,5.173683166503906e-05,0.0009284019470214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.7285346984863281e-06,-4.589557647705078e-06,-3.337860107421875e-06,80.125,0.0226593017578125,0.01523590087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034188499243750003,0.28271484375,0.0,0.0,0.0,0.0,0.0,0.0343877895125,0.283203125,0.006603240966796875,0.00018787384033203125,0.000396728515625,0.012603759765625,0.01788330078125,0.00026988983154296875,0.00044989585876464844,0.01203975030703125,-0.000118255615234375,0.034271240234375,0.038177490234375,0.01612598075407715,0.020050272352416992,0.01403045654296875,0.01322174072265625,0.059848770512499996,0.05823431168125,0.03021240234375,0.00954437255859375,0.0005750656127929688,0.000605946753125,0.0004978179931640625,0.0008997917175292969,0.0225067138671875,0.018890380859375,0.001182560206842041,0.001067615634350586,-0.00013208389282226562,-0.0003113746643066406,0.174470230925,0.200924530675,0.2010428905875,0.001953125,0.0129852294921875,0.019134521484375,-8.469820022583008e-05,0.00015079975128173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.9073486328125e-06,-9.5367431640625e-06,-3.2186508178710938e-06,100.25,0.0341796875,0.02783203125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.05317305199375,0.16064453125,0.0,0.0,0.0,0.0,0.0,0.05355440893125,0.1607666015625,0.00679779052734375,0.00018799304962158203,0.000537872314453125,0.013885498046875,0.0200347900390625,0.000270843505859375,0.0003314018249511719,0.01062630805859375,-0.00014019012451171875,0.04840087890625,0.050689697265625,0.016123358129504394,0.019921477930065917,0.013916015625,0.01354217529296875,0.058446274175,0.058049101334375,0.03033447265625,0.0096435546875,0.00044155120849609375,0.0005664986618896485,0.0006193320083984375,0.0008974075317382812,0.025665283203125,0.023040771484375,0.0010962100986755372,0.0010124163562255858,-0.0002200603485107422,-0.00032591819763183594,0.177693262725,0.1993256397125,0.1993215978125,0.001865386962890625,0.0185546875,0.0242767333984375,8.100271224975586e-05,-0.00018739700317382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-9.5367431640625e-07,1.9073486328125e-06,-1.3113021850585938e-06,100.3125,0.03173828125,0.03515625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07795246434375,0.0509033203125,0.0,0.0,0.0,0.0,0.0,0.0783936681375,0.051025390625,0.007152557373046875,0.0001881122589111328,0.001003265380859375,0.01551055908203125,0.0223846435546875,0.0001939535140991211,0.0002570152282714844,0.00927927285546875,-0.0001405477523803711,0.0621337890625,0.061492919921875,0.015956500559570312,0.019605502471643065,0.01380157470703125,0.01390838623046875,0.0547876712375,0.055005479625,0.029937744140625,0.0096893310546875,0.00029277801513671875,0.0005766801875732422,0.0008011468995605469,0.0009264945983886719,0.028594970703125,0.0265045166015625,0.0012382588742675781,0.000999465833001709,-0.0003421306610107422,-0.00036978721618652344,0.1810072399875,0.1990658044375,0.19906162093750002,0.0017576217651367188,0.02264404296875,0.0278167724609375,0.0003197193145751953,-0.0002541542053222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.3113021850585938e-06,-9.5367431640625e-06,5.960464477539062e-07,100.375,0.018310546875,0.02783203125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10204328111875,-0.0004324913024902344,0.0,0.0,0.0,0.0,0.0,0.10254462656875,-0.0003914833068847656,0.007904052734375,0.00018835067749023438,0.0019254684448242188,0.01751708984375,0.024810791015625,0.0002932548522949219,0.00013589859008789062,0.0083160400390625,-0.00015366077423095703,0.07257080078125,0.0687255859375,0.01594378989621582,0.019541710577124023,0.013641357421875,0.01406097412109375,0.05032987335625,0.051559146465625,0.0297698974609375,0.00977325439453125,0.00023663043975830078,0.0005061254225830078,0.0009865684907226563,0.0009860992431640625,0.03070068359375,0.029083251953125,0.0012440356993652345,0.0009197867054199218,-0.0003910064697265625,-0.00042366981506347656,0.184456869925,0.2015573457125,0.2015532181125,0.0016908645629882812,0.024261474609375,0.02935791015625,0.0003924369812011719,-0.00024318695068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.1920928955078125e-06,-1.9073486328125e-06,1.5497207641601562e-06,100.375,0.01806640625,0.02587890625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.1167509117875,-0.0007104873657226562,0.0,0.0,0.0,0.0,0.0,0.1172512995375,-0.0006799697875976562,0.00862884521484375,0.00018835067749023438,0.00258636474609375,0.0194244384765625,0.0271453857421875,0.0004487037658691406,6.54458999633789e-05,0.007633209228515625,-0.0001804828643798828,0.0794677734375,0.07391357421875,0.016068166103320312,0.019611055051989745,0.01387786865234375,0.0144500732421875,0.047107864146875,0.0489532295625,0.029937744140625,0.01001739501953125,0.00019359588623046875,0.0004750021898193359,0.0014220819926757812,0.001338958740234375,0.033355712890625,0.032440185546875,0.0011498062895385743,0.0007680104166687011,-0.00043487548828125,-0.0004284381866455078,0.1863164976125,0.205010578,0.2050063722,0.0016393661499023438,0.0247039794921875,0.029449462890625,0.00020945072174072266,-0.0005779266357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.430511474609375e-06,1.9073486328125e-06,1.5497207641601562e-06,100.375,0.03125,0.0302734375
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.1227870351125,-0.000637054443359375,0.0,0.0,0.0,0.0,0.0,0.1232863085625,-0.000667572021484375,0.00930023193359375,0.0001881122589111328,0.00308990478515625,0.021575927734375,0.0295867919921875,0.0004639625549316406,0.00012409687042236328,0.006866455078125,-0.00020039081573486328,0.084228515625,0.0782470703125,0.01639943939621582,0.019889963759655762,0.0142974853515625,0.01500701904296875,0.045983731703125,0.04845038796875,0.03009033203125,0.01035308837890625,0.00026798248291015625,0.0005146829548339844,0.00211834233984375,0.00194549560546875,0.0361328125,0.036224365234375,0.0010008658152465821,0.0005784010639892578,-0.0004055500030517578,-0.0004284381866455078,0.19173895936250002,0.2105334327,0.2106512189125,0.0015954971313476562,0.0253448486328125,0.028961181640625,0.0002765655517578125,-0.0006799697875976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.2649765014648438e-06,-1.1444091796875e-05,2.7418136596679688e-06,100.375,0.0341796875,0.02978515625
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.120377845675,-0.00055694580078125,0.0,0.0,0.0,0.0,0.0,0.1207538405125,-0.000545501708984375,0.01018524169921875,0.00018799304962158203,0.0034847259521484375,0.0236663818359375,0.03143310546875,0.0005273818969726562,0.0001863241195678711,0.0061187744140625,-0.00021350383758544922,0.08673095703125,0.08087158203125,0.016647663001947022,0.020105561242712403,0.01488494873046875,0.01568603515625,0.047078600128125,0.050180200521874996,0.02960205078125,0.01059722900390625,0.0004749298095703125,0.0005424003570068359,0.0027075610919921876,0.002481063441796875,0.038604736328125,0.039398193359375,0.0007983163355102539,0.00027374255480957035,-0.0003371238708496094,-0.00032591819763183594,0.2044922076125,0.222000692025,0.22224048525,0.001560211181640625,0.0270843505859375,0.02947998046875,0.0003097057342529297,-0.0007929801940917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.0265579223632812e-06,0.0,1.3113021850585938e-06,100.375,0.033203125,0.0263671875
