Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006714155890625,0.0716552734375,0.0,0.0,0.0,0.0,0.0,0.006753355176953125,0.07171630859375,0.0013475418090820312,3.731250762939453e-05,0.0004467964172363281,0.00482940673828125,0.003665924072265625,0.003002166748046875,0.00011456012725830078,0.00256831628671875,-3.212690353393555e-05,0.004688262939453125,0.00493621826171875,0.016545882418579103,0.020435474843426515,0.002628326416015625,0.002475738525390625,0.02529758397421875,0.028651984375,0.0019989013671875,0.0016536712646484375,7.241964340209961e-05,0.000559226990435791,6.973743438720703e-05,9.85860824584961e-05,0.01213836669921875,0.01102447509765625,0.0009022324174194336,0.0005098964581970215,3.874301910400391e-06,-2.0265579223632812e-05,0.08768716083125,0.09029273693125,0.0903486050875,0.0001595020294189453,0.0033359527587890625,0.00411224365234375,3.552436828613281e-05,0.00016820430755615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-1.7881393432617188e-07,-3.5762786865234375e-07,-6.556510925292969e-07,20.03125,0.00400543212890625,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0113750849796875,0.1468505859375,0.0,0.0,0.0,0.0,0.0,0.0114245565578125,0.14697265625,0.002658843994140625,7.456541061401367e-05,0.0007925033569335938,0.00897979736328125,0.00736236572265625,0.004055023193359375,0.0002282857894897461,0.0048741408296875,-6.514787673950195e-05,0.00873565673828125,0.0092926025390625,0.016375871406829834,0.020349562205432128,0.005245208740234375,0.00492095947265625,0.037146067226562496,0.0401039346609375,0.004730224609375,0.003353118896484375,0.00016045570373535156,0.0006705454710205078,0.0001380443572998047,0.0002015829086303711,0.022613525390625,0.0203094482421875,0.0011079248856811523,0.0006159533461853028,9.655952453613281e-06,-4.83393669128418e-05,0.13185114415,0.1383458227375,0.13840198139374998,0.00034809112548828125,0.00632476806640625,0.0079345703125,8.171796798706055e-05,0.0003871917724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-8.344650268554688e-07,-3.039836883544922e-06,-1.0728836059570312e-06,40.0625,0.006053924560546875,0.005859375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0158904789,0.2254638671875,0.0,0.0,0.0,0.0,0.0,0.01596195246171875,0.2255859375,0.003940582275390625,0.0001118779182434082,0.0010480880737304688,0.0123748779296875,0.0111541748046875,0.0030059814453125,0.0003421306610107422,0.007234200534375,-9.912252426147461e-05,0.01198577880859375,0.0129852294921875,0.01617817582103882,0.02019459199038696,0.00783538818359375,0.0073089599609375,0.0489560570625,0.051477469546875,0.00829315185546875,0.00508880615234375,0.00026226043701171875,0.0007686395923095703,0.0002046823501586914,0.0003104209899902344,0.03106689453125,0.02752685546875,0.0012989847681640625,0.0007412704448242187,1.7404556274414062e-05,-6.663799285888672e-05,0.17686697099999998,0.18807456645,0.1881923563625,0.0005755424499511719,0.00897216796875,0.011444091796875,0.00012242794036865234,0.0006070137023925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-7.748603820800781e-07,0.0,-2.086162567138672e-06,60.0625,0.01039886474609375,0.0114288330078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.020309564340625,0.306884765625,0.0,0.0,0.0,0.0,0.0,0.020418408075,0.30712890625,0.00516510009765625,0.00014913082122802734,0.0011920928955078125,0.01486968994140625,0.014892578125,0.00090789794921875,0.0004658699035644531,0.0095638557390625,-0.00013267993927001953,0.01450347900390625,0.016082763671875,0.016119794940167236,0.020157538328344726,0.0103759765625,0.0096435546875,0.0606601619875,0.062685726165625,0.01279449462890625,0.00682830810546875,0.0003600120544433594,0.000788081978125,0.0002703666687011719,0.0004291534423828125,0.037353515625,0.03240966796875,0.0013998558277099609,0.0008013301325378418,2.3186206817626953e-05,-9.66787338256836e-05,0.2228712700125,0.239203319,0.2393215075125,0.0008482933044433594,0.01120758056640625,0.01456451416015625,0.00013697147369384766,0.0007123947143554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-9.5367431640625e-07,3.039836883544922e-06,-2.562999725341797e-06,80.125,0.0177764892578125,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.024758567603125,0.390625,0.0,0.0,0.0,0.0,0.0,0.0248663051375,0.390869140625,0.0063629150390625,0.00018656253814697266,0.00128936767578125,0.0166015625,0.0182952880859375,0.0009074211120605469,0.0005812644958496094,0.011879533021875,-0.00016033649444580078,0.016845703125,0.01898193359375,0.016079608340441896,0.020125016576965332,0.01287841796875,0.011932373046875,0.0724220127,0.074133969884375,0.01824951171875,0.00860595703125,0.0004749298095703125,0.0007197916246459961,0.0003409385681152344,0.0005555152893066406,0.04180908203125,0.035400390625,0.0014919679178710937,0.000878430491833496,1.9252300262451172e-05,-0.00011599063873291016,0.2693188637375,0.2911344916125,0.2913749218375,0.0011739730834960938,0.01296234130859375,0.017181396484375,0.00013005733489990234,0.0007452964782714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-2.0265579223632812e-06,3.814697265625e-06,-4.410743713378906e-06,100.125,0.02099609375,0.02197265625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.024822221915625,0.397216796875,0.0,0.0,0.0,0.0,0.0,0.0249136618609375,0.397705078125,0.00627899169921875,0.00018656253814697266,0.001148223876953125,0.01490020751953125,0.017852783203125,0.0007643699645996094,0.0005664825439453125,0.0118698993671875,-0.00016224384307861328,0.01629638671875,0.0183868408203125,0.016110543130877685,0.020081695215222167,0.01280975341796875,0.01181793212890625,0.07217918433125001,0.07404031227187499,0.0202789306640625,0.0086822509765625,0.00048279762268066406,0.0006436270722290039,0.00034681957248535155,0.0005750656127929688,0.037384033203125,0.0307464599609375,0.0014108630184448243,0.0008812265330749512,-2.980232238769531e-07,-0.00013065338134765625,0.2711991221,0.293685991275,0.29368194937500003,0.00128173828125,0.01203155517578125,0.01617431640625,7.063150405883789e-05,0.0005993843078613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.1457672119140625e-06,-3.814697265625e-06,-3.5762786865234375e-06,100.125,0.02490234375,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0252333481328125,0.40478515625,0.0,0.0,0.0,0.0,0.0,0.0253388585671875,0.405029296875,0.0062103271484375,0.00018680095672607422,0.001087188720703125,0.0138092041015625,0.0173797607421875,0.0007100105285644531,0.0005407333374023438,0.011880896390625,-0.00016248226165771484,0.0157012939453125,0.0178070068359375,0.015972355395080566,0.019852980956750487,0.01270294189453125,0.0116729736328125,0.071846997409375,0.07410948353124999,0.021759033203125,0.00872802734375,0.00048279762268066406,0.0005812101405761719,0.0003584035981689453,0.0005831718444824219,0.033905029296875,0.0270538330078125,0.0013419709561767578,0.000862434754663086,1.9252300262451172e-05,-0.0001404285430908203,0.27439102905,0.29586756225,0.296107519375,0.0013570785522460938,0.01137542724609375,0.0154571533203125,2.0623207092285156e-05,0.0004100799560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,0.0,-3.814697265625e-06,100.125,0.028076171875,0.01904296875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.025840888540625,0.413330078125,0.0,0.0,0.0,0.0,0.0,0.0259607642640625,0.413818359375,0.006237030029296875,0.00018680095672607422,0.00110626220703125,0.0133209228515625,0.01727294921875,0.0006809234619140625,0.0005507469177246094,0.01202392578125,-0.00016641616821289062,0.01398468017578125,0.0160980224609375,0.01600118916913452,0.019813865385168456,0.01256561279296875,0.011474609375,0.072455117496875,0.075118716778125,0.0227203369140625,0.00872802734375,0.0004820823669433594,0.000550709696875,0.00037311748669433594,0.0005779266357421875,0.03143310546875,0.0243682861328125,0.0012610826277709962,0.0007946765560363769,-2.980232238769531e-07,-0.0001404285430908203,0.280648276175,0.29957980665,0.299819819675,0.0014066696166992188,0.01096343994140625,0.01500701904296875,-7.033348083496094e-06,0.00029277801513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.4570693969726562e-06,-5.7220458984375e-06,-3.814697265625e-06,100.125,0.021728515625,0.01953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0266172447953125,0.4208984375,0.0,0.0,0.0,0.0,0.0,0.02673616281875,0.421142578125,0.006351470947265625,0.00018656253814697266,0.001186370849609375,0.0132904052734375,0.0178375244140625,0.0006861686706542969,0.0005469322204589844,0.01207733154296875,-0.00017774105072021484,0.01068115234375,0.01244354248046875,0.016140764560656738,0.019899303114123534,0.012359619140625,0.01122283935546875,0.074146438365625,0.077548200265625,0.0233001708984375,0.00870513916015625,0.0004858970642089844,0.0005646475755615234,0.0003861532664794922,0.0005617141723632812,0.0299224853515625,0.0229644775390625,0.0011839001463500977,0.0007225320727050781,-1.4960765838623047e-05,-0.00015985965728759766,0.29019833355,0.30413167175,0.304371606575,0.0014390945434570312,0.0108489990234375,0.01476287841796875,-2.6702880859375e-05,0.00013506412506103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-3.6954879760742188e-06,-9.5367431640625e-06,-3.5762786865234375e-06,100.125,0.02490234375,0.02001953125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0270076161671875,0.41650390625,0.0,0.0,0.0,0.0,0.0,0.0271101611015625,0.417236328125,0.006237030029296875,0.00018680095672607422,0.00138092041015625,0.013671875,0.018951416015625,0.0007548332214355469,0.0005469322204589844,0.0114288330078125,-0.00018203258514404297,0.006038665771484375,0.00823974609375,0.0164653621333374,0.020232094420666504,0.0120697021484375,0.01100921630859375,0.077203214125,0.08220282937500001,0.0239105224609375,0.00890350341796875,0.0004382133483886719,0.0005330411854248047,0.0004117421506347656,0.000522613525390625,0.0290985107421875,0.023284912109375,0.000932201264465332,0.0005812024822937011,-4.4226646423339844e-05,-0.00018918514251708984,0.3053864203,0.310875229575,0.310870945475,0.0016222000122070312,0.01062774658203125,0.0142669677734375,0.00010210275650024414,0.0003826618194580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,3.814697265625e-06,-3.337860107421875e-06,100.1875,0.020263671875,0.021484375
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0284131239953125,0.4140625,0.0,0.0,0.0,0.0,0.0,0.02852971941875,0.414306640625,0.006748199462890625,0.00018644332885742188,0.0015268325805664062,0.0164031982421875,0.022674560546875,0.0009484291076660156,0.0004775524139404297,0.01141357421875,-0.0001652240753173828,0.002185821533203125,0.0036525726318359375,0.016791429405145265,0.02058108709873047,0.0121002197265625,0.01087188720703125,0.08665989895625,0.09238601106875,0.022369384765625,0.00897216796875,0.00037407875061035156,0.0005533676116455078,0.0004294715686767578,0.0005236469073730468,0.036712646484375,0.031341552734375,0.0008620933054199219,0.00048611390414428715,-3.451108932495117e-05,-0.00020873546600341797,0.31520998105,0.31697139515,0.317211188375,0.001514434814453125,0.011383056640625,0.01483154296875,-4.8041343688964844e-05,-1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.86102294921875e-06,-3.814697265625e-06,-2.6226043701171875e-06,100.25,0.02392578125,0.02197265625
