Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0107577349921875,0.0758056640625,0.0,0.0,0.0,0.0,0.0,0.010823637159375,0.075927734375,0.0017518997192382812,3.743171691894531e-05,0.0002396106719970703,0.006397247314453125,0.00725555419921875,0.00019669532775878906,0.0001055002212524414,0.0032110927759765625,-2.9385089874267578e-05,0.0091552734375,0.00879669189453125,0.016550293162292482,0.020441256493969728,0.003879547119140625,0.003673553466796875,0.0269531625875,0.028987677734375,0.004852294921875,0.0025482177734375,6.824731826782227e-05,0.00045664739677734375,6.306171417236328e-05,0.0001156926155090332,0.0119476318359375,0.0101318359375,0.0007823078721313477,0.00043002623419799804,2.682209014892578e-05,-1.1742115020751953e-05,0.086863186221875,0.09096412365,0.09101999180625,0.0002238750457763672,0.00431060791015625,0.00516510009765625,4.8160552978515625e-05,-4.76837158203125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1920928955078125e-07,-4.172325134277344e-07,0.0,-6.556510925292969e-07,20.03125,0.004199981689453125,0.00449371337890625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0196300898625,0.157470703125,0.0,0.0,0.0,0.0,0.0,0.019740596596875,0.1575927734375,0.0035305023193359375,7.49826431274414e-05,0.000453948974609375,0.0129547119140625,0.01485443115234375,0.0003845691680908203,0.00021708011627197266,0.006129176230078125,-5.245208740234375e-05,0.0174102783203125,0.0168914794921875,0.016387255893981933,0.02036595348274536,0.00780487060546875,0.00736236572265625,0.040991282070312496,0.041248343840625,0.01021575927734375,0.0052642822265625,0.00013434886932373047,0.0004303387525756836,0.00012195110321044922,0.0002429485321044922,0.023956298828125,0.0202484130859375,0.0008736786317138672,0.0004746307334228516,4.309415817260742e-05,-2.7120113372802734e-05,0.13032526524375,0.1395665258625,0.13968371967499998,0.0004792213439941406,0.0082244873046875,0.010040283203125,8.618831634521484e-05,6.556510925292969e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-8.940696716308594e-07,-1.5497207641601562e-06,-1.5497207641601562e-06,40.0625,0.0119171142578125,0.0085906982421875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02901303749375,0.243896484375,0.0,0.0,0.0,0.0,0.0,0.0291684343953125,0.244140625,0.005451202392578125,0.00011223554611206055,0.0007071495056152344,0.019775390625,0.0227813720703125,0.0005235671997070312,0.0002734661102294922,0.0095077601046875,-8.374452590942383e-05,0.0245208740234375,0.02337646484375,0.016198799028131105,0.0202235598477478,0.011566162109375,0.0108489990234375,0.05695166253125,0.05565837775,0.01537322998046875,0.007781982421875,0.00016438961029052734,0.00041935637392578125,0.00013077259063720703,0.0003008842468261719,0.0367431640625,0.03082275390625,0.0010302870295166016,0.0005600723247070312,8.33272933959961e-05,-4.32133674621582e-05,0.17430349443749998,0.189295269575,0.1894130594875,0.00061798095703125,0.01221466064453125,0.014862060546875,0.00012022256851196289,8.463859558105469e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,-1.3113021850585938e-06,2.2649765014648438e-06,-2.384185791015625e-06,60.0625,0.0164031982421875,0.0128936767578125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03852855848125,0.33203125,0.0,0.0,0.0,0.0,0.0,0.03878999010625,0.332275390625,0.00730133056640625,0.0001494884490966797,0.0009975433349609375,0.027099609375,0.03155517578125,0.0007023811340332031,0.0003821849822998047,0.01245539626640625,-0.00010776519775390625,0.030242919921875,0.029266357421875,0.016155080889874267,0.020190559301550292,0.0153961181640625,0.0144195556640625,0.073233404175,0.070833919525,0.0208740234375,0.01056671142578125,0.00020384788513183594,0.00039039978818359374,0.0001494884490966797,0.00037217140197753906,0.050445556640625,0.042816162109375,0.001064639305493164,0.0005629711580810546,0.00011301040649414062,-4.00543212890625e-05,0.219575371575,0.23969160025,0.2400539293875,0.0008058547973632812,0.015777587890625,0.0193634033203125,0.00012946128845214844,1.7583370208740234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.2649765014648438e-06,1.5497207641601562e-06,-2.7418136596679688e-06,80.125,0.0232391357421875,0.017974853515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.048440208228125003,0.419921875,0.0,0.0,0.0,0.0,0.0,0.048670016075,0.42041015625,0.00914764404296875,0.00018703937530517578,0.001338958740234375,0.035614013671875,0.04229736328125,0.0009226799011230469,0.0004706382751464844,0.01514491388125,-0.00012803077697753906,0.0352783203125,0.035064697265625,0.016129497428118898,0.02017663419934082,0.0193328857421875,0.01812744140625,0.092197403325,0.0893012062125,0.0263214111328125,0.01354217529296875,0.0002409219741821289,0.0003770649171875,0.00017309188842773438,0.00043582916259765625,0.066650390625,0.057647705078125,0.001116041423272705,0.000568367129711914,0.00010710954666137695,-6.222724914550781e-05,0.2656567543625,0.291256561925,0.29149699215,0.0009889602661132812,0.0193023681640625,0.0239410400390625,0.00013506412506103516,7.414817810058594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-2.9802322387695312e-06,-5.7220458984375e-06,-3.4570693969726562e-06,100.125,0.02587890625,0.021484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04902266136875,0.421875,0.0,0.0,0.0,0.0,0.0,0.04928194799375,0.422119140625,0.00914764404296875,0.000186920166015625,0.0014438629150390625,0.03875732421875,0.046478271484375,0.001018524169921875,0.00046825408935546875,0.0146469989765625,-0.00011980533599853516,0.033111572265625,0.034149169921875,0.016165021776202392,0.02013569702338867,0.0195770263671875,0.018402099609375,0.09848533667500001,0.09702004859999999,0.0262298583984375,0.01395416259765625,0.00020253658294677734,0.0003926915177246094,0.00014595191959228515,0.0003998279571533203,0.07305908203125,0.06494140625,0.0010482283596313477,0.0005167441302734375,9.244680404663086e-05,-4.762411117553711e-05,0.267537012725,0.293685991275,0.29392609000000003,0.0009608268737792969,0.0191802978515625,0.02398681640625,9.173154830932617e-05,7.551908493041992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.7418136596679688e-06,-3.814697265625e-06,-3.2186508178710938e-06,100.125,0.0234375,0.021484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04999836278125,0.421142578125,0.0,0.0,0.0,0.0,0.0,0.05025646110625,0.421875,0.009246826171875,0.000186920166015625,0.0015726089477539062,0.043212890625,0.05157470703125,0.001247406005859375,0.00047659873962402344,0.01407053262109375,-0.000118255615234375,0.0306854248046875,0.03314208984375,0.01601860859942627,0.019901499137597655,0.0199127197265625,0.0187835693359375,0.10709480014375,0.10737364368749999,0.0258941650390625,0.01439666748046875,0.00012743473052978516,0.0004088335078857422,0.00012761441359863282,0.0003631114959716797,0.08203125,0.074951171875,0.0009968600629272461,0.0005079063275390625,7.295608520507812e-05,-7.200241088867188e-05,0.2688978649875,0.295135140375,0.2953750975,0.0009331703186035156,0.0194091796875,0.0243988037109375,6.330013275146484e-05,9.644031524658203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.9802322387695312e-06,1.1444091796875e-05,-3.4570693969726562e-06,100.1875,0.02734375,0.025390625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0516892772125,0.42041015625,0.0,0.0,0.0,0.0,0.0,0.0519464820375,0.4208984375,0.00933074951171875,0.00018680095672607422,0.0016870498657226562,0.04852294921875,0.05694580078125,0.00150299072265625,0.0004620552062988281,0.01357269287109375,-0.00011396408081054688,0.0270843505859375,0.031280517578125,0.0160625223486084,0.01985582705509033,0.02032470703125,0.01922607421875,0.1172854397625,0.11946075779375,0.0248565673828125,0.014801025390625,5.2928924560546875e-05,0.00041361901389160157,0.00011848644421386719,0.00033092498779296875,0.09454345703125,0.08868408203125,0.0008493337416625977,0.0004412806171630859,7.295608520507812e-05,-5.251169204711914e-05,0.270882651175,0.29665011915,0.296890132175,0.0008978843688964844,0.01995849609375,0.0251312255859375,2.4080276489257812e-05,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.2186508178710938e-06,-9.5367431640625e-06,-9.5367431640625e-07,100.1875,0.021240234375,0.02392578125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.053915218428125,0.419921875,0.0,0.0,0.0,0.0,0.0,0.05420198313125,0.42041015625,0.0094451904296875,0.00018680095672607422,0.0018978118896484375,0.0560302734375,0.061279296875,0.0111541748046875,0.0005512237548828125,0.0130767822265625,-0.000118255615234375,0.0203094482421875,0.0264129638671875,0.01617616971965332,0.019905263578601073,0.0207061767578125,0.0196533203125,0.12800996375625,0.132083112375,0.02105712890625,0.0149688720703125,3.981590270996094e-05,0.0004299410783691406,0.00012323717837524415,0.0002951622009277344,0.114990234375,0.110107421875,0.0007789461897460938,0.00044668177668457027,4.851818084716797e-05,-6.711483001708984e-05,0.2740850523,0.298516437375,0.2987563722,0.0008006095886230469,0.0208587646484375,0.0263214111328125,5.0067901611328125e-06,7.68899917602539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,3.814697265625e-06,-3.5762786865234375e-07,100.1875,0.02294921875,0.0224609375
