Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007953932501953125,0.0673828125,0.0,0.0,0.0,0.0,0.0,0.008016019971875,0.06744384765625,0.00102996826171875,3.7610530853271484e-05,3.254413604736328e-05,0.0021686553955078125,0.0031795501708984375,3.314018249511719e-05,0.0001888275146484375,0.0019198177515625,-1.5079975128173828e-05,0.00916290283203125,0.010162353515625,0.01654331941885376,0.02042790505354004,0.002716064453125,0.00273895263671875,0.018763007558203124,0.021705420654296877,0.00543212890625,0.0015316009521484375,0.0001455545425415039,0.0005282325751525879,0.0002281665802001953,0.0003612041473388672,0.00310516357421875,0.0022182464599609375,0.00079714942868042,0.0005215193639282226,0.0025119781494140625,0.002490997314453125,0.0667673610265625,0.060843274040625,0.060838107040625,0.0005140304565429688,0.0037384033203125,0.005558013916015625,1.0132789611816406e-05,6.80685043334961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,0.0,-1.0728836059570312e-06,20.046875,0.0028324127197265625,0.00390625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.013892785175,0.13671875,0.0,0.0,0.0,0.0,0.0,0.01399566251484375,0.136962890625,0.002185821533203125,7.522106170654297e-05,3.921985626220703e-05,0.0036983489990234375,0.005855560302734375,4.166364669799805e-05,0.0006890296936035156,0.0035714217134765625,-2.872943878173828e-05,0.0169677734375,0.0191497802734375,0.016381116615570068,0.020329833068011473,0.005458831787109375,0.00547027587890625,0.0239624734765625,0.0260048135671875,0.011505126953125,0.003170013427734375,0.0004076957702636719,0.0005582503202636719,0.0005016326904296875,0.0007925033569335938,0.005161285400390625,0.003414154052734375,0.0008973416756896973,0.0006559480628295899,0.002666473388671875,0.00262451171875,0.09114069493125,0.076700314925,0.076695438425,0.0010890960693359375,0.00713348388671875,0.0108184814453125,-1.919269561767578e-05,9.66787338256836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-8.344650268554688e-07,6.079673767089844e-06,-2.205371856689453e-06,40.125,0.00634765625,0.0085906982421875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0200256107359375,0.209716796875,0.0,0.0,0.0,0.0,0.0,0.020150490059375,0.2100830078125,0.003513336181640625,0.00011271238327026367,0.00021767616271972656,0.0042877197265625,0.007282257080078125,3.069639205932617e-05,0.00043964385986328125,0.005780800876171875,-5.7220458984375e-05,0.02606201171875,0.029083251953125,0.016193911447259523,0.02016329955187988,0.008392333984375,0.008392333984375,0.030523439875000002,0.032556571109375,0.01776123046875,0.004718780517578125,0.00162506103515625,0.0007393737117248535,0.0007405281066894531,0.0011568069458007812,0.006404876708984375,0.003566741943359375,0.0011583178064941406,0.000828591249420166,0.0006299018859863281,0.0005507469177246094,0.1203484163125,0.09884116801250001,0.09886740519062501,0.0015316009521484375,0.0105438232421875,0.015716552734375,-5.412101745605469e-05,0.00014865398406982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-2.0265579223632812e-06,0.0,-3.516674041748047e-06,60.125,0.007617950439453125,0.0105438232421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0286561219578125,0.2376708984375,0.0,0.0,0.0,0.0,0.0,0.028810742059375,0.2379150390625,0.005157470703125,0.00015044212341308594,0.0002665519714355469,0.005443572998046875,0.0095977783203125,9.930133819580078e-05,0.0006732940673828125,0.0061458869890625,-2.9206275939941406e-05,0.04376220703125,0.04779052734375,0.01612480173032837,0.020136438284094237,0.01107025146484375,0.01122283935546875,0.0340946102296875,0.036074398040625,0.022918701171875,0.00609588623046875,0.0023288726806640625,0.0008200896723693848,0.001071929931640625,0.0016307830810546875,0.00807952880859375,0.0048828125,0.0011449267620056152,0.0010151319933471678,0.01036834716796875,0.0102691650390625,0.14175554735625,0.10559736196875,0.10571555048125,0.00211334228515625,0.0155181884765625,0.0224151611328125,5.638599395751953e-05,0.0002608299255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-3.337860107421875e-06,3.039836883544922e-06,-5.245208740234375e-06,80.1875,0.0003905296325683594,0.0015621185302734375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.037759055884375003,0.23046875,0.0,0.0,0.0,0.0,0.0,0.037958346153125,0.2308349609375,0.0061492919921875,0.00018787384033203125,0.0006604194641113281,0.006534576416015625,0.01251220703125,0.000148773193359375,0.0010967254638671875,0.006138413637109375,-1.6927719116210938e-05,0.061676025390625,0.06683349609375,0.01606065406340332,0.0200936049291687,0.01312255859375,0.01366424560546875,0.038959488285937496,0.042945005040625,0.027435302734375,0.0073089599609375,0.0037326812744140625,0.0009977876878784178,0.00150299072265625,0.002117156982421875,0.009796142578125,0.006866455078125,0.0013430755152221679,0.0012006532014892579,0.0103607177734375,0.010284423828125,0.1736157387375,0.1292692572375,0.1292655468375,0.0024738311767578125,0.0219268798828125,0.0299224853515625,0.0003216266632080078,0.0003783702850341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-3.337860107421875e-06,-7.62939453125e-06,-6.318092346191406e-06,100.25,0.00927734375,0.01611328125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.038677202384375,0.2088623046875,0.0,0.0,0.0,0.0,0.0,0.03890597143125,0.209228515625,0.00614166259765625,0.0001876354217529297,0.0008387565612792969,0.0080108642578125,0.014556884765625,0.00030994415283203125,0.0009489059448242188,0.005445949171875,-5.4836273193359375e-06,0.06439208984375,0.0687255859375,0.016075137971881103,0.020038660661694335,0.01259613037109375,0.01317596435546875,0.04257713355,0.047856230240625,0.0250396728515625,0.007007598876953125,0.0018606185913085938,0.000808731938256836,0.0015539328384765625,0.0021343231201171875,0.016845703125,0.01438140869140625,0.0014271946911132813,0.001146407597680664,0.00868988037109375,0.0086212158203125,0.185017481475,0.14500435065,0.14506134390625,0.0023651123046875,0.0251922607421875,0.03277587890625,0.0006022453308105469,0.0005478858947753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,-3.814697265625e-06,-7.510185241699219e-06,100.25,0.01025390625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.036479075671875,0.188720703125,0.0,0.0,0.0,0.0,0.0,0.036676138840625,0.1890869140625,0.00675201416015625,0.00018727779388427734,0.001529693603515625,0.01209259033203125,0.0189971923828125,0.0008935928344726562,0.002826690673828125,0.0046329715859375,7.152557373046875e-06,0.0645751953125,0.07147216796875,0.01591501572680664,0.019832476958947753,0.01279449462890625,0.01357269287109375,0.051949536471875,0.0604986436875,0.0226898193359375,0.00667572021484375,0.0022411346435546875,0.000888233665814209,0.0013919481385742188,0.001903533935546875,0.0310211181640625,0.0312347412109375,0.0016402325986328125,0.0013800414898925781,0.0009374618530273438,0.0008983612060546875,0.2059095837375,0.168426156,0.16842197250000002,0.002262115478515625,0.029296875,0.0369873046875,0.0009627342224121094,0.00130462646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.3113021850585938e-06,-7.62939453125e-06,-6.556510925292969e-06,100.25,0.00244140625,0.01708984375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0380174022125,0.17431640625,0.0,0.0,0.0,0.0,0.0,0.038244089459375,0.174560546875,0.006866455078125,0.00018656253814697266,0.003711700439453125,0.0267333984375,0.0333251953125,0.051788330078125,0.008575439453125,0.004383087158203125,1.0371208190917969e-05,0.048126220703125,0.058135986328125,0.015991414007391357,0.01980242129337158,0.012786865234375,0.01369476318359375,0.0708987210125,0.08247345310625,0.007415771484375,0.006694793701171875,0.0005865097045898438,0.0008861050330261231,0.0011773033540039063,0.00156402587890625,0.086669921875,0.08990478515625,0.007575002648828125,0.00824829698984375,0.00011533498764038086,2.962350845336914e-05,0.2268152683625,0.2101022675875,0.2102202103,0.0019197463989257812,0.03204345703125,0.038970947265625,0.00429534912109375,0.0059356689453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,8.344650268554688e-07,-1.9073486328125e-06,-1.1920928955078125e-06,100.25,-0.0283203125,-0.00634765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0358182946,0.17578125,0.0,0.0,0.0,0.0,0.0,0.03601350656875,0.1759033203125,0.00771331787109375,0.0001863241195678711,0.01129150390625,0.062347412109375,0.02606201171875,0.15966796875,0.011993408203125,0.004058837890625,-4.106760025024414e-05,0.0300140380859375,0.04022216796875,0.01608527263637085,0.019879633581347655,0.01232147216796875,0.01290130615234375,0.08235566688125,0.095462018625,0.0005741119384765625,0.00632476806640625,0.00028133392333984375,0.0011263617479248048,0.0009295092082519531,0.0012645721435546875,0.1793212890625,0.1826171875,0.058046135215625,0.061074380675,-4.667043685913086e-05,-8.058547973632812e-05,0.24527645855,0.250176593625,0.25041652845,0.001316070556640625,0.03497314453125,0.041473388671875,0.0117950439453125,0.0166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,1.6689300537109375e-06,5.7220458984375e-06,3.933906555175781e-06,100.25,-0.00439453125,0.009765625
