Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00979643128125,0.103515625,0.0,0.0,0.0,0.0,0.0,0.00983944526484375,0.1036376953125,0.002590179443359375,3.695487976074219e-05,0.003192901611328125,0.02001953125,0.00446319580078125,0.029022216796875,5.6743621826171875e-05,0.003220629519140625,-2.4497509002685547e-05,0.00013780593872070312,0.0003132820129394531,0.016586711600250246,0.020484052628918458,0.0036678314208984375,0.0031986236572265625,0.039328040517187496,0.0438344794921875,6.759166717529297e-05,0.0019817352294921875,-1.2576580047607422e-05,0.0005218548781616211,-8.165836334228516e-05,-5.0187110900878906e-05,0.046112060546875,0.044219970703125,0.004669842013671875,0.004397609413671875,2.4616718292236328e-05,-3.6954879760742188e-06,0.09708657489375,0.10152320568125,0.101548556259375,-0.0001214742660522461,0.004364013671875,0.005069732666015625,-1.2040138244628906e-05,1.0848045349121094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-2.384185791015625e-07,1.1324882507324219e-06,2.384185791015625e-07,20.0,0.0005860328674316406,-0.0002930164337158203
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.017951623065625,0.208740234375,0.0,0.0,0.0,0.0,0.0,0.018031612221875,0.208984375,0.00521087646484375,7.396936416625977e-05,0.00640869140625,0.04071044921875,0.0089569091796875,0.05767822265625,0.0001023411750793457,0.006201655478125,-4.851818084716797e-05,0.0002894401550292969,0.0006361007690429688,0.016440900074279785,0.02044314149772949,0.0074462890625,0.00647735595703125,0.065969919765625,0.071216605559375,0.00013267993927001953,0.0040130615234375,-2.6404857635498047e-05,0.0005658201101501465,-0.0001709461212158203,-0.00010585784912109375,0.0933837890625,0.08935546875,0.00860726208203125,0.0083250392875,5.066394805908203e-05,-1.0013580322265625e-05,0.1493071988375,0.15897570555,0.15915393451874998,-0.00025653839111328125,0.0086212158203125,0.010040283203125,-2.3126602172851562e-05,2.2232532501220703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-2.980232238769531e-07,-3.039836883544922e-06,5.960464477539062e-07,40.0,0.0003905296325683594,-0.0009765625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0265868900328125,0.3154296875,0.0,0.0,0.0,0.0,0.0,0.026681251778125,0.31591796875,0.00787353515625,0.00011092424392700195,0.009674072265625,0.06201171875,0.0135955810546875,0.08538818359375,0.00013959407806396484,0.0092636194796875,-7.49826431274414e-05,0.0004367828369140625,0.0009918212890625,0.01628111304256592,0.020328285208618162,0.0113677978515625,0.0098876953125,0.09332861565625,0.099359549625,0.0002104043960571289,0.006092071533203125,-4.285573959350586e-05,0.000578918007989502,-0.0002644062042236328,-0.00016951560974121094,0.1412353515625,0.13525390625,0.012306293728125,0.012014654539062499,5.161762237548828e-05,-2.7120113372802734e-05,0.20103689287499998,0.216150738325,0.21639059855,-0.00040030479431152344,0.0127716064453125,0.01488494873046875,-3.0279159545898438e-05,3.36766242980957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-4.76837158203125e-07,6.854534149169922e-06,1.0728836059570312e-06,60.0,0.0005860328674316406,-0.0008788108825683594
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.035812494028125,0.42333984375,0.0,0.0,0.0,0.0,0.0,0.0359213377625,0.42333984375,0.0106048583984375,0.00014793872833251953,0.01303863525390625,0.0841064453125,0.01837158203125,0.11212158203125,0.0001671314239501953,0.012386731715625,-9.900331497192383e-05,0.0006685256958007812,0.0014743804931640625,0.01624192485731201,0.020317278776342772,0.01548004150390625,0.0134735107421875,0.12163428308125,0.1283290367125,0.00028586387634277344,0.0082550048828125,-4.947185516357422e-05,0.0005949629290527344,-0.0003609657287597656,-0.00023615360260009766,0.1900634765625,0.1815185546875,0.01566515467109375,0.01534802250390625,7.349252700805664e-05,-2.586841583251953e-05,0.252290215325,0.2730167955625,0.2733791247,-0.0005459785461425781,0.016876220703125,0.019683837890625,-3.844499588012695e-05,4.202127456665039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.5497207641601562e-06,-7.62939453125e-06,2.086162567138672e-06,80.0,-0.0007810592651367188,-0.0011720657348632812
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.045815696509375003,0.5322265625,0.0,0.0,0.0,0.0,0.0,0.045953951621875,0.53271484375,0.01338958740234375,0.00018489360809326172,0.016510009765625,0.10687255859375,0.023223876953125,0.137451171875,0.00020432472229003906,0.015602677553125,-0.00012218952178955078,0.0008988380432128906,0.001995086669921875,0.016218725581347657,0.020325168974121094,0.019775390625,0.0172576904296875,0.1511573642625,0.158759214025,0.0003528594970703125,0.010467529296875,-5.310773849487305e-05,0.0005894958711669922,-0.0004589557647705078,-0.00030732154846191406,0.2393798828125,0.2286376953125,0.018628541709375,0.0182206403078125,0.00011199712753295898,-4.762411117553711e-05,0.303864762175,0.3300749213,0.33055949215,-0.0006885528564453125,0.0208587646484375,0.02435302734375,-3.463029861450195e-05,3.9696693420410156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.0728836059570312e-06,9.5367431640625e-06,2.5033950805664062e-06,100.0,0.001953125,-0.00146484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04731367699375,0.53564453125,0.0,0.0,0.0,0.0,0.0,0.047481410884375,0.5361328125,0.0135345458984375,0.00018513202667236328,0.0166168212890625,0.1087646484375,0.0236663818359375,0.1337890625,0.00018513202667236328,0.015821925734375,-0.00012922286987304688,0.0009822845458984375,0.0021209716796875,0.016231063722613525,0.020295437471386717,0.020233154296875,0.017669677734375,0.154149399175,0.1618393845375,0.00035762786865234375,0.01064300537109375,-4.1365623474121094e-05,0.0005841416367431641,-0.0004576047134033203,-0.0003170967102050781,0.24072265625,0.2294921875,0.0173602314953125,0.016868443959375,7.170438766479492e-05,-7.56978988647461e-05,0.30391396585,0.3300629444,0.33005890250000003,-0.0006794929504394531,0.020599365234375,0.02410888671875,-3.522634506225586e-05,-3.993511199951172e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.5497207641601562e-06,1.9073486328125e-06,2.2649765014648438e-06,100.0,-0.0009765625,0.00048828125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.048960765125,0.53857421875,0.0,0.0,0.0,0.0,0.0,0.0490967931375,0.5390625,0.0137176513671875,0.00018513202667236328,0.0165863037109375,0.1102294921875,0.024688720703125,0.126953125,0.00016367435455322266,0.0160007694375,-0.00013113021850585938,0.0011167526245117188,0.0023136138916015625,0.016132215052368164,0.020129188880639647,0.0207061767578125,0.01812744140625,0.1570825931125,0.1647466905625,0.0003745555877685547,0.010833740234375,-4.214048385620117e-05,0.0005886011165283203,-0.00044506701340332034,-0.00031948089599609375,0.239990234375,0.2286376953125,0.0154475293515625,0.0149179252484375,4.0590763092041016e-05,-0.00010436773300170898,0.30466446655,0.329314827875,0.329554785,-0.0006589889526367188,0.0202789306640625,0.02374267578125,-4.3511390686035156e-05,-1.2516975402832031e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.3113021850585938e-06,0.0,2.0265579223632812e-06,100.0,0.0029296875,0.00244140625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05089582018125,0.54052734375,0.0,0.0,0.0,0.0,0.0,0.051061472271875,0.541015625,0.01389312744140625,0.00018513202667236328,0.016357421875,0.1107177734375,0.0265045166015625,0.1158447265625,0.00018024444580078125,0.0162353515625,-0.00012981891632080078,0.0013399124145507812,0.002613067626953125,0.016175055917944336,0.02010580893527832,0.021209716796875,0.01861572265625,0.1596438382,0.167617496075,0.0003943443298339844,0.01102447509765625,-2.5928020477294922e-05,0.0005818233214477539,-0.0004282073576660156,-0.0003237724304199219,0.235107421875,0.22412109375,0.01244637105703125,0.0118722593921875,3.510713577270508e-05,-0.00011599063873291016,0.306527182425,0.328632541025,0.32887255405,-0.000614166259765625,0.019866943359375,0.0233612060546875,-7.981061935424805e-05,-7.385015487670898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.1920928955078125e-06,1.1444091796875e-05,1.430511474609375e-06,100.0,0.00146484375,0.00244140625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0532743492875,0.53857421875,0.0,0.0,0.0,0.0,0.0,0.053439043678125,0.53857421875,0.01395416259765625,0.00018525123596191406,0.0158538818359375,0.108642578125,0.029510498046875,0.09881591796875,0.00019979476928710938,0.0164642333984375,-0.00012350082397460938,0.00215911865234375,0.0030193328857421875,0.01624858936305542,0.020112806951708983,0.0216064453125,0.019012451171875,0.160907912975,0.16894834675,0.0004897117614746094,0.01122283935546875,-1.3709068298339844e-06,0.0005782374345703125,-0.0004068269276123047,-0.0003292560577392578,0.2230224609375,0.212646484375,0.0081346361921875,0.00743210772578125,1.6808509826660156e-05,-0.00014770030975341797,0.30875302105,0.3270808905,0.327320825325,-0.000518798828125,0.0195770263671875,0.023101806640625,-0.00010907649993896484,-0.0001226663589477539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.430511474609375e-06,1.52587890625e-05,2.0265579223632812e-06,100.0625,0.0048828125,0.00244140625
