Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01233701966015625,0.1072998046875,0.0,0.0,0.0,0.0,0.0,0.0123952924328125,0.107421875,0.003185272216796875,3.701448440551758e-05,0.0032100677490234375,0.0211944580078125,0.0025386810302734375,0.0309295654296875,2.300739288330078e-05,0.00373561365,-3.9637088775634766e-05,3.4332275390625e-05,0.00011110305786132812,0.02094017525,0.02593799683515625,0.004230499267578125,0.0037136077880859375,0.043890418446874996,0.0481374580078125,7.325410842895508e-05,0.0021190643310546875,-1.9848346710205078e-05,0.0005093975074035645,-9.459257125854492e-05,-4.9233436584472656e-05,0.05084228515625,0.04779052734375,0.00469654489453125,0.004395702065039062,1.2755393981933594e-05,-2.1755695343017578e-05,0.099344875675,0.101065442009375,0.101121310165625,-0.00013434886932373047,0.00403594970703125,0.004756927490234375,5.304813385009766e-06,-9.059906005859375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-2.384185791015625e-07,7.748603820800781e-07,4.172325134277344e-07,20.0,0.0001952648162841797,0.0006837844848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.023139611346875,0.216796875,0.0,0.0,0.0,0.0,0.0,0.0232348592921875,0.217041015625,0.00644683837890625,7.402896881103516e-05,0.00646209716796875,0.04327392578125,0.005222320556640625,0.06201171875,4.1544437408447266e-05,0.007220179648046875,-8.213520050048828e-05,5.1021575927734375e-05,0.000225067138671875,0.02614775489453125,0.03230804208671875,0.008575439453125,0.007537841796875,0.07564399203125,0.08046343173125,0.00015246868133544922,0.004314422607421875,-3.552436828613281e-05,0.0005389980200012207,-0.0001964569091796875,-0.00010597705841064453,0.10302734375,0.0968017578125,0.008447044796875,0.00811904563515625,1.329183578491211e-05,-5.4717063903808594e-05,0.1548003629,0.1590977758625,0.15915393451874998,-0.00027370452880859375,0.0079193115234375,0.009368896484375,1.055002212524414e-05,-2.491474151611328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-4.76837158203125e-07,-3.039836883544922e-06,7.152557373046875e-07,40.0,0.0003905296325683594,-0.0001952648162841797
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0343230960875,0.328125,0.0,0.0,0.0,0.0,0.0,0.034432716621875,0.328369140625,0.00978851318359375,0.00011092424392700195,0.0097198486328125,0.0662841796875,0.0081634521484375,0.093017578125,4.7326087951660156e-05,0.0107589808078125,-0.00012552738189697266,7.361173629760742e-05,0.0003361701965332031,0.032384023084375005,0.0396819133671875,0.0130462646484375,0.011444091796875,0.10870947503125,0.11406902228125,0.00022339820861816406,0.006595611572265625,-5.21540641784668e-05,0.0005360622683959961,-0.0003032684326171875,-0.00017154216766357422,0.1558837890625,0.1466064453125,0.01161201882578125,0.011244085691406249,1.4424324035644531e-05,-8.571147918701172e-05,0.21055837724999998,0.217615582075,0.2179775126125,-0.0004093647003173828,0.011627197265625,0.0138092041015625,1.3649463653564453e-05,-5.53131103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,-7.152557373046875e-07,5.7220458984375e-06,9.5367431640625e-07,60.0,0.00439453125,-0.0020503997802734375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.045639154184375,0.43994140625,0.0,0.0,0.0,0.0,0.0,0.045809033075,0.440185546875,0.0132293701171875,0.0001480579376220703,0.0128936767578125,0.08978271484375,0.01119232177734375,0.1236572265625,6.80088996887207e-05,0.0143245979265625,-0.00017392635345458984,6.687641143798828e-05,0.0004286766052246094,0.0394563842765625,0.0479092225171875,0.0176239013671875,0.01548004150390625,0.1428134823,0.148958919525,0.0003066062927246094,0.0089569091796875,-6.210803985595703e-05,0.0005305899126953125,-0.0004050731658935547,-0.0002351999282836914,0.2086181640625,0.196044921875,0.0139485409015625,0.01350170902734375,2.5153160095214844e-05,-0.0001055002212524414,0.2666945122,0.2766789049375,0.2769191637625,-0.00052642822265625,0.0150299072265625,0.017913818359375,1.0371208190917969e-05,-9.810924530029297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-7.748603820800781e-07,4.589557647705078e-06,1.0728836059570312e-06,80.0,0.00429534912109375,-0.002735137939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.057076682837500003,0.5498046875,0.0,0.0,0.0,0.0,0.0,0.057306490684375,0.5498046875,0.01678466796875,0.00018513202667236328,0.0158233642578125,0.11328125,0.01418304443359375,0.1533203125,7.033348083496094e-05,0.0178914959125,-0.00023114681243896484,4.458427429199219e-05,0.0005116462707519531,0.0460105575515625,0.0557417720625,0.0223236083984375,0.0196380615234375,0.1780128330125,0.1848822609,0.0003781318664550781,0.01132965087890625,-5.525350570678711e-05,0.0005234539247558593,-0.0004911422729492188,-0.00028777122497558594,0.26025390625,0.244384765625,0.01534027266640625,0.014756895190625,2.5331974029541016e-05,-0.00012087821960449219,0.3226635903,0.33544601505,0.335686445275,-0.0006046295166015625,0.01800537109375,0.021636962890625,1.2993812561035156e-05,-0.000152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.1920928955078125e-06,1.52587890625e-05,2.5033950805664062e-06,100.0,0.0,-0.00146484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.057537065665625,0.54296875,0.0,0.0,0.0,0.0,0.0,0.057796352290625,0.54296875,0.0170440673828125,0.00018513202667236328,0.0153045654296875,0.11309814453125,0.0142974853515625,0.14990234375,8.988380432128906e-05,0.0180497089375,-0.0002493858337402344,-3.355741500854492e-05,0.0003991127014160156,0.04394859445,0.053724583284375,0.022613525390625,0.01995849609375,0.1797841648,0.1872300095375,0.00038361549377441406,0.011474609375,-3.1888484954833984e-05,0.00051333131875,-0.00047453243251953126,-0.00026917457580566406,0.257568359375,0.2418212890625,0.01301910600703125,0.012351842396875,9.47713851928711e-06,-0.00014770030975341797,0.3219803721,0.334213335025,0.33445343375000003,-0.000522613525390625,0.0174102783203125,0.02117919921875,2.2709369659423828e-05,-0.00014281272888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.1457672119140625e-06,-5.7220458984375e-06,2.2649765014648438e-06,100.0,0.0048828125,0.0029296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0588484604375,0.50927734375,0.0,0.0,0.0,0.0,0.0,0.059076041184375,0.509765625,0.01727294921875,0.00018525123596191406,0.0145721435546875,0.11077880859375,0.0144805908203125,0.142333984375,9.232759475708008e-05,0.018411658109375,-0.00026226043701171875,-9.09566879272461e-05,0.00025010108947753906,0.037454227,0.0469314902875,0.023101806640625,0.0204620361328125,0.1802759524875,0.187817979625,0.00038123130798339844,0.0117645263671875,-8.404254913330078e-06,0.0004963331264160156,-0.0004689088713134766,-0.0002617835998535156,0.251220703125,0.2364501953125,0.01038924077734375,0.00962312544375,-4.4226646423339844e-05,-0.00020873546600341797,0.32126602905,0.33004724975,0.3305313475,-0.0004210472106933594,0.0171356201171875,0.0210723876953125,1.5437602996826172e-05,-0.0001690387725830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.3113021850585938e-06,9.5367431640625e-06,1.5497207641601562e-06,100.0625,0.00634765625,0.00732421875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0613328319,0.442138671875,0.0,0.0,0.0,0.0,0.0,0.061590036725,0.44287109375,0.017425537109375,0.00018513202667236328,0.01401519775390625,0.1068115234375,0.01502227783203125,0.1307373046875,0.00011551380157470703,0.0186614990234375,-0.0002701282501220703,-0.00020074844360351562,6.079673767089844e-06,0.02626326125546875,0.035193651876562496,0.02374267578125,0.0212249755859375,0.17771024445,0.18495148045,0.00036907196044921875,0.01224517822265625,9.894371032714844e-06,0.00046011063681640626,-0.00044847293688964843,-0.0002453327178955078,0.2410888671875,0.22802734375,0.007330862023828125,0.006466833366796875,-0.00011259317398071289,-0.00022089481353759766,0.3228846043,0.3235055879,0.32398974155,-0.0002856254577636719,0.01776123046875,0.0215606689453125,-2.9742717742919922e-05,-0.0002257823944091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.0728836059570312e-06,5.7220458984375e-06,2.6226043701171875e-06,100.125,0.013427734375,0.01220703125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.067312435225,0.367919921875,0.0,0.0,0.0,0.0,0.0,0.06762971750625,0.3681640625,0.017669677734375,0.00018513202667236328,0.0142364501953125,0.10345458984375,0.01715087890625,0.11834716796875,9.232759475708008e-05,0.018157958984375,-0.00022327899932861328,-0.00012874603271484375,-7.68899917602539e-05,0.017425244655566406,0.02346640268535156,0.0242156982421875,0.02191162109375,0.17335908485,0.1805450264375,0.0004153251647949219,0.0128326416015625,3.159046173095703e-05,0.00048620786303710934,-0.0004249467396240234,-0.0002636909484863281,0.2281494140625,0.217041015625,0.0044324724958984376,0.0034209535509765626,-0.00015783309936523438,-0.0002586841583251953,0.323645599175,0.315117999875,0.315602075325,-0.00013184547424316406,0.0202178955078125,0.0233612060546875,-0.00010418891906738281,-0.0003638267517089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.5762786865234375e-07,1.52587890625e-05,3.0994415283203125e-06,100.1875,0.0205078125,0.02001953125
