Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0032160784980468753,0.06085205078125,0.0,0.0,0.0,0.0,0.0,0.0032505094127929686,0.060882568359375,0.00090789794921875,3.7610530853271484e-05,0.00012767314910888672,0.0013427734375,0.0018644332885742188,4.851818084716797e-05,0.0001423358917236328,0.0019331691919921875,-2.491474151611328e-05,0.00806427001953125,0.0086517333984375,0.016547551348632814,0.020427428216381837,0.002384185791015625,0.0023288726806640625,0.018358649648046874,0.021224768798828127,0.00467681884765625,0.0014495849609375,0.0001494884490966797,0.0005548162467224121,0.00028777122497558594,0.0003407001495361328,0.004093170166015625,0.0031948089599609375,0.0008395879357604981,0.0005231882939819336,5.304813385009766e-06,-2.1219253540039062e-05,0.078745510440625,0.08260230724375,0.082627657821875,0.00034427642822265625,0.0021266937255859375,0.0027332305908203125,3.904104232788086e-05,4.166364669799805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-4.76837158203125e-07,-1.5497207641601562e-06,-9.5367431640625e-07,20.03125,0.003711700439453125,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.004521981341992188,0.1253662109375,0.0,0.0,0.0,0.0,0.0,0.00457336026875,0.1256103515625,0.0017499923706054688,7.522106170654297e-05,0.00020766258239746094,0.0024356842041015625,0.003421783447265625,9.22083854675293e-05,0.0002884864807128906,0.0036439009615234375,-5.257129669189453e-05,0.0152740478515625,0.016448974609375,0.016381951080596924,0.02033764127647705,0.004734039306640625,0.004604339599609375,0.0230927225,0.0250282510671875,0.0097503662109375,0.0029296875,0.00030612945556640625,0.000653021705456543,0.0005846023559570312,0.0006947517395019531,0.007598876953125,0.00565338134765625,0.0010028418969421386,0.0006447423896118165,1.7464160919189453e-05,-4.1484832763671875e-05,0.1126861050875,0.12143908445625,0.1214952431125,0.0007171630859375,0.00395965576171875,0.005207061767578125,7.849931716918945e-05,7.981061935424805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-7.748603820800781e-07,7.748603820800781e-07,-1.7881393432617188e-06,40.0625,0.00839996337890625,0.0078125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.00584256630234375,0.1934814453125,0.0,0.0,0.0,0.0,0.0,0.005902595772265625,0.193603515625,0.002529144287109375,0.00011289119720458984,0.0002620220184326172,0.003391265869140625,0.004787445068359375,0.00012552738189697266,0.0004248619079589844,0.005460366305859375,-8.541345596313477e-05,0.0213623046875,0.023162841796875,0.016193732633325197,0.02017301510897827,0.0070343017578125,0.006805419921875,0.027784487238281252,0.0286808386875,0.01509857177734375,0.004425048828125,0.000457763671875,0.0007371683398681641,0.0008730888366699219,0.0010461807250976562,0.0106658935546875,0.007549285888671875,0.0011670200846313477,0.0007669004420776367,1.8835067749023438e-05,-7.981061935424805e-05,0.14561697099999998,0.160486675825,0.16054343058125,0.0011138916015625,0.005489349365234375,0.00740814208984375,0.00011342763900756836,0.00011116266250610352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,-1.5497207641601562e-06,6.854534149169922e-06,-3.516674041748047e-06,60.0625,0.0090789794921875,0.01113128662109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.007187005746875,0.26416015625,0.0,0.0,0.0,0.0,0.0,0.00727296129765625,0.264404296875,0.003276824951171875,0.00015044212341308594,0.00030231475830078125,0.00443267822265625,0.00616455078125,0.0001748800277709961,0.0005688667297363281,0.007362775416796875,-0.00012028217315673828,0.026275634765625,0.0286865234375,0.0161484647743042,0.02012904730814209,0.00931549072265625,0.00896453857421875,0.032553472534375,0.0323665122984375,0.02069091796875,0.00594329833984375,0.0006017684936523438,0.0007976187212890625,0.00113677978515625,0.0013751983642578125,0.01357269287109375,0.009185791015625,0.001250963425061035,0.000826244874053955,8.958578109741211e-05,-4.976987838745117e-05,0.17733904345,0.1987980455625,0.198916234075,0.0015287399291992188,0.006763458251953125,0.00937652587890625,0.00013828277587890625,0.00013911724090576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.9073486328125e-06,-3.039836883544922e-06,-4.470348358154297e-06,80.125,0.01953125,0.0144500732421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.00857662180234375,0.337158203125,0.0,0.0,0.0,0.0,0.0,0.00866910054765625,0.33740234375,0.003986358642578125,0.0001881122589111328,0.0003399848937988281,0.00565338134765625,0.007762908935546875,0.00023055076599121094,0.0006780624389648438,0.00933894464296875,-0.0001558065414428711,0.0299835205078125,0.032958984375,0.01611560954588623,0.020094200975616455,0.01157379150390625,0.0110931396484375,0.038043960942187496,0.03687200699375,0.026458740234375,0.0074462890625,0.0007281303405761719,0.0008079468942687988,0.0013561248779296875,0.001659393310546875,0.01666259765625,0.0108795166015625,0.001311961890649414,0.0008375417055175781,0.001117706298828125,0.0009388923645019531,0.2068188637375,0.2354704291125,0.2354667187125,0.0019683837890625,0.0078582763671875,0.01119232177734375,0.00012218952178955078,0.00013530254364013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.1457672119140625e-06,0.0,-5.841255187988281e-06,100.125,0.023193359375,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.008575426261328125,0.341796875,0.0,0.0,0.0,0.0,0.0,0.0086783102984375,0.342529296875,0.003871917724609375,0.0001881122589111328,0.0003478527069091797,0.005977630615234375,0.00804901123046875,0.0002696514129638672,0.0006952285766601562,0.0095505634296875,-0.00016736984252929688,0.0273895263671875,0.0301513671875,0.016139212965014648,0.02007287372779541,0.0115509033203125,0.011016845703125,0.0391744235890625,0.038151640396875,0.02691650390625,0.007415771484375,0.000705718994140625,0.0007516902932067871,0.0012764136124023438,0.0015811920166015625,0.016876220703125,0.0107421875,0.0012686463360107422,0.0007954554492431641,0.004497528076171875,0.00434112548828125,0.2019852549125,0.231185991275,0.23142609,0.0020236968994140625,0.007480621337890625,0.01087188720703125,0.00011855363845825195,0.00014829635620117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.9802322387695312e-06,1.9073486328125e-06,-5.841255187988281e-06,100.1875,0.021240234375,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0087233383671875,0.3447265625,0.0,0.0,0.0,0.0,0.0,0.00882121940703125,0.344970703125,0.0038127899169921875,0.00018835067749023438,0.0003745555877685547,0.006420135498046875,0.00849151611328125,0.0002980232238769531,0.0007033348083496094,0.00978281289453125,-0.0001722574234008789,0.0256500244140625,0.0281219482421875,0.01598457434725952,0.019860610351281737,0.01160430908203125,0.0110321044921875,0.040596997409375,0.039838243296875,0.027191162109375,0.0074005126953125,0.0006685256958007812,0.0006913595241210938,0.0011811861146484375,0.0014829635620117188,0.017425537109375,0.01104736328125,0.001232119595855713,0.0007516893246704102,0.007602691650390625,0.007434844970703125,0.196998450925,0.2259212731875,0.22616123031250002,0.002086639404296875,0.007167816162109375,0.01061248779296875,8.863210678100586e-05,0.00014734268188476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.6226043701171875e-06,-3.814697265625e-06,-5.125999450683594e-06,100.1875,0.017333984375,0.02587890625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.00958264879453125,0.341552734375,0.0,0.0,0.0,0.0,0.0,0.009679636334375,0.341796875,0.003917694091796875,0.00018835067749023438,0.0003902912139892578,0.006824493408203125,0.00899505615234375,0.00037026405334472656,0.0006847381591796875,0.01018524169921875,-0.00016677379608154297,0.0253448486328125,0.0273590087890625,0.01602681916638794,0.019838422498815917,0.01178741455078125,0.01120758056640625,0.0423190090984375,0.041793521465625,0.0275726318359375,0.007480621337890625,0.0006475448608398438,0.0006001815520385742,0.0011162681977539063,0.0014095306396484375,0.0175628662109375,0.0111846923828125,0.0011536750578857423,0.0007137930530761718,0.00998687744140625,0.0097808837890625,0.1926355808625,0.21950168165,0.2196196243625,0.0021686553955078125,0.007049560546875,0.0105438232421875,6.669759750366211e-05,0.00014734268188476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-3.814697265625e-06,-3.814697265625e-06,-4.172325134277344e-06,100.1875,0.01806640625,0.02294921875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01176281364296875,0.32470703125,0.0,0.0,0.0,0.0,0.0,0.0118588434828125,0.324951171875,0.00399017333984375,0.00018835067749023438,0.00044155120849609375,0.007030487060546875,0.00940704345703125,0.0004253387451171875,0.0006861686706542969,0.01045989990234375,-0.0001634359359741211,0.0265655517578125,0.02783203125,0.016153579559283447,0.019925409948535155,0.0120086669921875,0.01143646240234375,0.042347121959375,0.0422241035859375,0.027679443359375,0.00754547119140625,0.0006690025329589844,0.0008064040147705078,0.0010987863994140624,0.001369476318359375,0.01611328125,0.01026153564453125,0.0010487764166442872,0.000639204779309082,0.01319122314453125,0.01303863525390625,0.1887579038625,0.2097713201875,0.2098891847,0.0022449493408203125,0.007579803466796875,0.01091766357421875,6.914138793945312e-05,0.00011777877807617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.86102294921875e-06,-1.9073486328125e-06,-4.410743713378906e-06,100.1875,0.019775390625,0.021484375
