Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00663023255078125,0.0980224609375,0.0,0.0,0.0,0.0,0.0,0.006677061231640625,0.09814453125,0.00159454345703125,3.731250762939453e-05,0.00035953521728515625,0.005290985107421875,0.00446319580078125,0.0033168792724609375,9.006261825561523e-05,0.0033522365748046875,-3.063678741455078e-05,0.004924774169921875,0.00553131103515625,0.016553750231689455,0.020434282750531007,0.0036869049072265625,0.0034027099609375,0.03018802586875,0.033199103515625,0.0038852691650390625,0.0022602081298828125,7.88569450378418e-05,0.0005070133216125488,5.900859832763672e-06,0.00010693073272705078,0.01690673828125,0.015380859375,0.000854369887664795,0.0004817034612182617,1.9490718841552734e-05,-2.3186206817626953e-05,0.081064846378125,0.08882789318125,0.08894479649375,0.00010460615158081055,0.003154754638671875,0.004261016845703125,2.3305416107177734e-05,5.9485435485839844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-06,-2.980232238769531e-07,3.5762786865234375e-07,-7.152557373046875e-07,20.03125,0.0027828216552734375,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0113140498234375,0.197998046875,0.0,0.0,0.0,0.0,0.0,0.01137115079609375,0.1982421875,0.0031986236572265625,7.456541061401367e-05,0.0006761550903320312,0.0110015869140625,0.00920867919921875,0.006542205810546875,0.00018131732940673828,0.0064610548921875,-6.341934204101562e-05,0.00829315185546875,0.0095062255859375,0.016393573986328125,0.020352661646960448,0.007457733154296875,0.006885528564453125,0.048300242031249996,0.0507393106375,0.0080108642578125,0.00461578369140625,0.00015473365783691406,0.0005304149511535644,6.318092346191406e-06,0.00020813941955566406,0.035491943359375,0.032318115234375,0.0010354456376342773,0.0005563487014099122,3.1113624572753906e-05,-4.4465065002441406e-05,0.11921686680625,0.1356602758625,0.13583850483124998,0.00021588802337646484,0.00612640380859375,0.00833892822265625,5.2928924560546875e-05,0.00011861324310302734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-7.152557373046875e-07,3.039836883544922e-06,-1.1324882507324219e-06,40.0625,0.005565643310546875,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.016043066790625,0.29931640625,0.0,0.0,0.0,0.0,0.0,0.01614505793046875,0.29931640625,0.004852294921875,0.0001118779182434082,0.0010118484497070312,0.017547607421875,0.01419830322265625,0.00971221923828125,0.0002608299255371094,0.0095993128390625,-9.936094284057617e-05,0.0099945068359375,0.01177978515625,0.016196474446984865,0.02018773745623779,0.01134490966796875,0.010467529296875,0.06781592034375,0.069788016421875,0.01216888427734375,0.007030487060546875,0.0002334117889404297,0.0005365391055541992,6.020069122314453e-06,0.00030303001403808594,0.05615234375,0.051116943359375,0.0012499897501586914,0.0006368431071777344,6.133317947387695e-05,-6.961822509765625e-05,0.15837331865624998,0.18416831645,0.1842861063625,0.00032806396484375,0.00897979736328125,0.01226043701171875,8.893013000488281e-05,0.00016999244689941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,-1.3709068298339844e-06,2.2649765014648438e-06,-1.4901161193847656e-06,60.125,0.00673675537109375,0.0090789794921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0208741395359375,0.39990234375,0.0,0.0,0.0,0.0,0.0,0.020998242059375,0.400390625,0.006591796875,0.00014925003051757812,0.0013866424560546875,0.02496337890625,0.0194244384765625,0.01247406005859375,0.0003681182861328125,0.012722425075,-0.00014126300811767578,0.01088714599609375,0.01320648193359375,0.016149180030041503,0.020150922212774657,0.0154266357421875,0.01425933837890625,0.0881259823,0.08969378280625,0.016387939453125,0.00948333740234375,0.0002989768981933594,0.0005334509356445312,3.993511199951172e-06,0.0003921985626220703,0.0775146484375,0.07061767578125,0.0013960411304443359,0.0006411724520263671,4.076957702636719e-05,-0.0001239776611328125,0.197602715325,0.2329777330625,0.233095921575,0.0004458427429199219,0.0117645263671875,0.01611328125,0.00012481212615966797,0.00022351741790771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.1324882507324219e-06,9.179115295410156e-06,-2.086162567138672e-06,80.125,0.01035308837890625,0.0183563232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0256588361578125,0.489990234375,0.0,0.0,0.0,0.0,0.0,0.0258276088484375,0.49072265625,0.008453369140625,0.00018656253814697266,0.001667022705078125,0.032135009765625,0.025238037109375,0.012237548828125,0.0004851818084716797,0.0158925945453125,-0.0001804828643798828,0.01316070556640625,0.0158538818359375,0.016116205592333985,0.020125016576965332,0.0198974609375,0.01849365234375,0.1081886142625,0.1093207374625,0.0214080810546875,0.012054443359375,0.0003650188446044922,0.0005244075990722656,2.4080276489257812e-05,0.0005092620849609375,0.0960693359375,0.0875244140625,0.00159210372109375,0.0007205973924682617,6.80685043334961e-05,-0.00015497207641601562,0.23526124655,0.2791716009875,0.279534101525,0.0006198883056640625,0.01482391357421875,0.020233154296875,0.00014066696166992188,0.00028443336486816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-9.5367431640625e-07,1.1444091796875e-05,-2.384185791015625e-06,100.25,0.01171875,0.017578125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.02802656761875,0.4580078125,0.0,0.0,0.0,0.0,0.0,0.028194301509375,0.45849609375,0.00862884521484375,0.00018680095672607422,0.0013675689697265625,0.0299835205078125,0.0267333984375,0.004642486572265625,0.0005106925964355469,0.016066066359375,-0.0001780986785888672,0.017852783203125,0.0198974609375,0.016121510385516357,0.02006977428626709,0.0205230712890625,0.019195556640625,0.10654197730000001,0.10770120094374999,0.0238494873046875,0.01238250732421875,0.0004253387451171875,0.0005369347580810547,4.6292953527832034e-05,0.0005469322204589844,0.08758544921875,0.0797119140625,0.0015230389599121094,0.0007545666629272461,-2.473592758178711e-05,-0.00024771690368652344,0.23067177835,0.271225053775,0.27158722281250003,0.0007648468017578125,0.01538848876953125,0.02081298828125,0.00017344951629638672,0.0002624988555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.5497207641601562e-06,5.7220458984375e-06,-2.9802322387695312e-06,100.25,0.012939453125,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.038981517078125,0.408447265625,0.0,0.0,0.0,0.0,0.0,0.039209097825,0.40869140625,0.0085601806640625,0.000186920166015625,0.001270294189453125,0.02667236328125,0.0289306640625,0.0012645721435546875,0.0004448890686035156,0.0155582645546875,-0.00018322467803955078,0.0302886962890625,0.03125,0.015963831930877685,0.019765362128930663,0.0207061767578125,0.01959228515625,0.1014185306125,0.10279600696874999,0.0266571044921875,0.0126953125,0.0004229545593261719,0.0005134992641113281,0.000131607924798584,0.0005998611450195312,0.07623291015625,0.06951904296875,0.0014537892697753906,0.0008716138699584961,-0.00010770559310913086,-0.0002918243408203125,0.2229994274875,0.2576595544375,0.2578995115625,0.0008573532104492188,0.0178680419921875,0.023345947265625,0.00021374225616455078,8.577108383178711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,-7.62939453125e-06,-1.1920928955078125e-06,100.3125,0.028564453125,0.03173828125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.052574286978125,0.364990234375,0.0,0.0,0.0,0.0,0.0,0.05286200938125,0.365234375,0.00839996337890625,0.00018727779388427734,0.0013370513916015625,0.024505615234375,0.0303955078125,0.0008544921875,0.00037670135498046875,0.014862060546875,-0.00017380714416503906,0.043212890625,0.043243408203125,0.015997493681158447,0.019680649004095458,0.020660400390625,0.0198211669921875,0.0950686428875,0.09675567966875,0.02886962890625,0.0128936767578125,0.0003643035888671875,0.0004446134291748047,0.00023137764141845703,0.0006422996520996094,0.06622314453125,0.060302734375,0.0014073524260498048,0.0008813417095397949,-0.00019073486328125,-0.00034046173095703125,0.2165613621125,0.2452585175875,0.2454985306125,0.0008997917175292969,0.02081298828125,0.0262298583984375,0.00022780895233154297,-0.00017333030700683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.6689300537109375e-06,-5.7220458984375e-06,-1.3113021850585938e-06,100.4375,0.041015625,0.0341796875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0647489586625,0.322509765625,0.0,0.0,0.0,0.0,0.0,0.0651272761,0.32275390625,0.00852203369140625,0.00018727779388427734,0.00145721435546875,0.0236663818359375,0.031494140625,0.0006847381591796875,0.00031375885009765625,0.01403045654296875,-0.00016641616821289062,0.0517578125,0.0513916015625,0.016108458843188476,0.019718462621875,0.0207366943359375,0.02008056640625,0.089618850475,0.09161680378125,0.03033447265625,0.01297760009765625,0.0003056526184082031,0.00040848340624999996,0.0003518209910888672,0.0006871223449707031,0.05780029296875,0.052459716796875,0.0012979834364501954,0.0007884548098266601,-0.00022983551025390625,-0.00034546852111816406,0.2156133726125,0.2371150701875,0.2372329347,0.0009531974792480469,0.024078369140625,0.029144287109375,0.00013744831085205078,-0.0003821849822998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.430511474609375e-06,3.814697265625e-06,-1.6689300537109375e-06,100.5,0.0361328125,0.037109375
