Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007953932501953125,0.09088134765625,0.0,0.0,0.0,0.0,0.0,0.007996946485546875,0.0909423828125,0.0016937255859375,3.725290298461914e-05,0.0008025169372558594,0.0095672607421875,0.004795074462890625,0.008544921875,0.0001157522201538086,0.0029974697291015625,-2.8967857360839844e-05,0.0015163421630859375,0.002178192138671875,0.01654594202322388,0.020441196889324952,0.0029582977294921875,0.002696990966796875,0.02933353368125,0.0325734931640625,0.0013294219970703125,0.00193023681640625,3.8623809814453125e-05,0.0005526108748657227,1.0132789611816406e-05,5.638599395751953e-05,0.021636962890625,0.02020263671875,0.00130909372265625,0.0009021546254638672,6.079673767089844e-06,-2.288818359375e-05,0.08805337176875,0.0920627564625,0.09211862461875,7.641315460205078e-05,0.0034847259521484375,0.00437164306640625,2.5212764739990234e-05,0.00019431114196777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,-1.1920928955078125e-07,-5.960464477539063e-08,-4.172325134277344e-07,20.03125,0.0011644363403320312,0.0025424957275390625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0138164912296875,0.1844482421875,0.0,0.0,0.0,0.0,0.0,0.013881221596875,0.1846923828125,0.003360748291015625,7.450580596923828e-05,0.0015697479248046875,0.0188446044921875,0.0093231201171875,0.01678466796875,0.00022912025451660156,0.005694300741796875,-5.716085433959961e-05,0.0028743743896484375,0.004222869873046875,0.01638135503414917,0.02036571506416626,0.00598907470703125,0.00543212890625,0.045309519374999996,0.0479774698171875,0.0030422210693359375,0.003932952880859375,7.873773574829102e-05,0.0005772045973022461,1.4960765838623047e-05,0.0001251697540283203,0.04327392578125,0.040283203125,0.0018232998322753905,0.0013646472892089845,1.4424324035644531e-05,-4.3272972106933594e-05,0.13240046055625,0.1412755102375,0.14127063373749998,0.00019037723541259766,0.00676727294921875,0.0086212158203125,0.00014030933380126953,0.0005979537963867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410743713378906e-06,-1.7881393432617188e-07,2.086162567138672e-06,-9.5367431640625e-07,40.0625,0.004734039306640625,0.004547119140625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.020010351946875,0.280517578125,0.0,0.0,0.0,0.0,0.0,0.0201047136921875,0.28076171875,0.005130767822265625,0.00011152029037475586,0.0022716522216796875,0.02777099609375,0.0142669677734375,0.02392578125,0.000316619873046875,0.0086532679171875,-9.28640365600586e-05,0.003711700439453125,0.005352020263671875,0.01618824900600586,0.02021867226687622,0.00916290283203125,0.00830841064453125,0.063207766046875,0.06548503790625,0.00440216064453125,0.00592803955078125,0.0001226663589477539,0.0006923456469970703,2.384185791015625e-07,0.00016582012176513672,0.0645751953125,0.05987548828125,0.0015111773035644531,0.0009812387446899414,4.017353057861328e-05,-4.2378902435302734e-05,0.17564626787499998,0.1911263242625,0.191244114175,0.0002244710922241211,0.009918212890625,0.0126495361328125,0.00012981891632080078,0.0007104873657226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-7.152557373046875e-07,-2.086162567138672e-06,-7.152557373046875e-07,60.03125,0.0088653564453125,0.005168914794921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0261384217625,0.378662109375,0.0,0.0,0.0,0.0,0.0,0.026247265496875,0.37890625,0.00678253173828125,0.000148773193359375,0.0028858184814453125,0.03631591796875,0.019317626953125,0.0301971435546875,0.0004286766052246094,0.0113949104265625,-0.0001291036605834961,0.0038547515869140625,0.006084442138671875,0.01613034496229248,0.020184837255651854,0.01226806640625,0.0111083984375,0.0811679744875,0.08322405624375,0.006481170654296875,0.0079803466796875,0.00015294551849365234,0.0006634486658996582,-1.5914440155029297e-05,0.00020945072174072266,0.08477783203125,0.07855224609375,0.0015417148822753906,0.0008809023333129882,4.881620407104492e-05,-5.328655242919922e-05,0.220551934075,0.24164472525,0.241884984075,0.0003066062927246094,0.01287841796875,0.0165252685546875,0.00015223026275634766,0.0008645057678222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.649162292480469e-06,-1.430511474609375e-06,2.0265579223632812e-06,-1.4901161193847656e-06,80.0625,0.0101470947265625,0.0111541748046875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032387962134375003,0.47900390625,0.0,0.0,0.0,0.0,0.0,0.03249569966875,0.479736328125,0.0083770751953125,0.00018596649169921875,0.0033512115478515625,0.044464111328125,0.0246429443359375,0.0362548828125,0.0005078315734863281,0.014137833803125,-0.00016248226165771484,0.0036468505859375,0.00615692138671875,0.016098741431414796,0.020178541547973633,0.01537322998046875,0.01387786865234375,0.1001319736375,0.102118589025,0.00882720947265625,0.01004791259765625,0.0001862049102783203,0.000687128279309082,-2.9861927032470703e-05,0.00025582313537597656,0.103759765625,0.095947265625,0.0016738812937255858,0.0009159218133972168,6.598234176635742e-05,-6.389617919921875e-05,0.2661450356125,0.2929655463,0.293205976525,0.00039577484130859375,0.0155792236328125,0.0201568603515625,0.00019657611846923828,0.0010128021240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8014183044433594e-06,-1.8477439880371094e-06,7.62939453125e-06,-2.1457672119140625e-06,100.0625,0.0132904052734375,0.0097808837890625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0323600637125,0.485595703125,0.0,0.0,0.0,0.0,0.0,0.032497280025,0.48583984375,0.0082550048828125,0.00018596649169921875,0.0030460357666015625,0.043121337890625,0.0252685546875,0.0338134765625,0.0005283355712890625,0.0141892353046875,-0.0001633167266845703,0.00276947021484375,0.0048980712890625,0.016204003213885498,0.020258482591625975,0.01538848876953125,0.0138702392578125,0.10147605933125001,0.10391702125624999,0.009674072265625,0.01013946533203125,0.00018870830535888672,0.0006796282776733399,-3.304082866821289e-05,0.00025582313537597656,0.10015869140625,0.09228515625,0.0016133996013916016,0.0008569674426513672,7.086992263793945e-05,-6.288290023803711e-05,0.2679032236625,0.294662553775,0.29490265250000003,0.00042247772216796875,0.014984130859375,0.0195770263671875,0.00018978118896484375,0.00091552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.304813385009766e-06,-1.6689300537109375e-06,1.055002212524414e-05,-2.0265579223632812e-06,100.0625,0.0120086669921875,0.00982666015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03229816746875,0.4921875,0.0,0.0,0.0,0.0,0.0,0.03243419548125,0.492431640625,0.00814056396484375,0.00018596649169921875,0.00272369384765625,0.040771484375,0.02606201171875,0.02862548828125,0.0005426406860351562,0.0142765262734375,-0.00016415119171142578,0.0021800994873046875,0.004215240478515625,0.016326049357177734,0.02048228679628906,0.0153350830078125,0.01377105712890625,0.10172370639375,0.10456602649999999,0.0109405517578125,0.01023101806640625,0.0002092123031616211,0.0006883792918823242,-1.668843140258789e-05,0.0002651214599609375,0.09356689453125,0.085693359375,0.0015796742795410156,0.0008524211743408203,5.078315734863281e-05,-9.107589721679688e-05,0.2703627087375,0.296111702875,0.29635166,0.0004773139953613281,0.01436614990234375,0.01898193359375,0.00020360946655273438,0.0008649826049804688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3974647521972656e-06,-1.7285346984863281e-06,-7.152557373046875e-07,-2.0265579223632812e-06,100.0625,0.0149993896484375,0.013519287109375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.032310615103125,0.498779296875,0.0,0.0,0.0,0.0,0.0,0.032445749615625,0.4990234375,0.00804901123046875,0.0001862049102783203,0.0022792816162109375,0.03662109375,0.0272979736328125,0.0188140869140625,0.0005593299865722656,0.01444244384765625,-0.00016558170318603516,0.0018281936645507812,0.0037250518798828125,0.016926789697851562,0.02086755629550781,0.015167236328125,0.01355743408203125,0.10098905304375,0.1040188632625,0.013580322265625,0.01038360595703125,0.0002651214599609375,0.0006819591246704102,3.241733715820312e-05,0.00030612945556640625,0.08123779296875,0.07330322265625,0.0014326247954345704,0.0007688081402038574,6.175041198730469e-05,-8.893013000488281e-05,0.2741785496125,0.298847384775,0.2990873978,0.0005974769592285156,0.01373291015625,0.01837158203125,0.0002205371856689453,0.0007920265197753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.662441253662109e-06,-1.8477439880371094e-06,7.152557373046875e-06,-2.5033950805664062e-06,100.125,0.01158905029296875,0.01546478271484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.032491878584375,0.50439453125,0.0,0.0,0.0,0.0,0.0,0.032656572975,0.5048828125,0.00799560546875,0.0001862049102783203,0.0019779205322265625,0.033111572265625,0.0287322998046875,0.01108551025390625,0.0005617141723632812,0.0145416259765625,-0.0001666545867919922,0.0014638900756835938,0.0031585693359375,0.017365163173632812,0.021008783971972655,0.01500701904296875,0.0133514404296875,0.10054414344375,0.10406797565625,0.0162506103515625,0.01049041748046875,0.00032901763916015625,0.0007112750017089843,7.90105319519043e-05,0.00033164024353027344,0.07080078125,0.06298828125,0.0012579291151611329,0.0006564901262939453,4.9948692321777344e-05,-0.00011271238327026367,0.279212005425,0.3016902655,0.30217434095,0.0006976127624511719,0.013214111328125,0.0178070068359375,0.00011706352233886719,0.0003876686096191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344650268554688e-07,-2.9802322387695312e-06,1.7881393432617188e-06,-2.682209014892578e-06,100.125,0.0157470703125,0.0143585205078125
