Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009075453498046875,0.06280517578125,0.0,0.0,0.0,0.0,0.0,0.009133726270703125,0.0628662109375,0.0009398460388183594,3.7789344787597656e-05,2.8967857360839844e-05,0.002231597900390625,0.0032196044921875,5.716085433959961e-05,0.0001125335693359375,0.0024710415064453125,-2.9981136322021484e-05,0.01122283935546875,0.01126861572265625,0.01655857820791626,0.02043839547102051,0.003398895263671875,0.0033359527587890625,0.018846930898046874,0.021163733642578127,0.005840301513671875,0.002166748046875,0.00012934207916259766,0.0004977149970275879,0.0002130270004272461,0.00029540061950683594,0.0034885406494140625,0.0024852752685546875,0.0007495253175048829,0.00044760960440673827,4.4465065002441406e-05,1.3470649719238281e-05,0.062754299503125,0.0629642457203125,0.062974337509375,0.0003826618194580078,0.002872467041015625,0.00421142578125,5.2809715270996094e-05,2.3365020751953125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-06,-2.384185791015625e-07,7.748603820800781e-07,-8.940696716308594e-07,20.03125,0.00537109375,0.00449371337890625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0159222041203125,0.1304931640625,0.0,0.0,0.0,0.0,0.0,0.01600982267109375,0.1307373046875,0.00189208984375,7.557868957519531e-05,1.3053417205810547e-05,0.004180908203125,0.00617218017578125,9.125471115112305e-05,0.00021076202392578125,0.004736811728125,-6.29425048828125e-05,0.021728515625,0.0218353271484375,0.01640513728741455,0.020358026064990233,0.00689697265625,0.006732940673828125,0.0245117898828125,0.0252418741140625,0.0122528076171875,0.004474639892578125,0.0002512931823730469,0.0004948309782226562,0.0004227161407470703,0.0006074905395507812,0.006683349609375,0.004566192626953125,0.000793689198425293,0.0004841674765869141,6.92605972290039e-05,1.0967254638671875e-05,0.082565255478125,0.084299191878125,0.08432483295625,0.0008149147033691406,0.005458831787109375,0.00818634033203125,0.00011366605758666992,5.519390106201172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-7.152557373046875e-07,3.814697265625e-06,-2.1457672119140625e-06,40.0625,0.0085906982421875,0.009765625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.022756933978125,0.20361328125,0.0,0.0,0.0,0.0,0.0,0.0228818133015625,0.2041015625,0.0029964447021484375,0.00011324882507324219,3.975629806518555e-05,0.006137847900390625,0.008819580078125,0.0001386404037475586,0.0002875328063964844,0.00756226449921875,-0.00010627508163452148,0.03155517578125,0.03131103515625,0.01622097195598755,0.020199419966613768,0.0103607177734375,0.01007080078125,0.0317288842109375,0.03082469855078125,0.018890380859375,0.006702423095703125,0.0003719329833984375,0.0006221909800964355,0.0005974769592285156,0.0008606910705566406,0.010223388671875,0.0065155029296875,0.0008964149973510742,0.0005445751170654297,0.0001023411750793457,1.245737075805664e-05,0.108751736625,0.11507651957500001,0.11513327433125001,0.0012149810791015625,0.00824737548828125,0.01230621337890625,9.912252426147461e-05,4.649162292480469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.0132789611816406e-06,1.0311603546142578e-05,-2.7418136596679688e-06,60.03125,0.016998291015625,0.01377105712890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.028732415903125,0.27587890625,0.0,0.0,0.0,0.0,0.0,0.0288870360046875,0.276123046875,0.004055023193359375,0.00015091896057128906,3.224611282348633e-05,0.00766754150390625,0.010955810546875,0.00016880035400390625,0.0003936290740966797,0.010250501246875,-0.00015485286712646484,0.04083251953125,0.0406494140625,0.016177611445599364,0.020159326467687987,0.013916015625,0.0135040283203125,0.038229742065625,0.035708187103125,0.026153564453125,0.00907135009765625,0.0004868507385253906,0.0005241526110595703,0.0007390975952148438,0.0010919570922851562,0.01348876953125,0.0082855224609375,0.0008793880695312499,0.0005181484652099609,8.761882781982422e-05,-4.398822784423828e-05,0.1362013481375,0.14771161978125,0.14789084345,0.0016832351684570312,0.01029205322265625,0.0157470703125,0.00011044740676879883,5.125999450683594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-2.562999725341797e-06,-4.589557647705078e-06,-3.2186508178710938e-06,80.125,0.01953125,0.017578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034859885962500003,0.343017578125,0.0,0.0,0.0,0.0,0.0,0.035089693809375,0.343505859375,0.0051727294921875,0.00018870830535888672,6.103515625e-05,0.0091094970703125,0.013092041015625,0.0002110004425048828,0.0004718303680419922,0.01300105401796875,-0.00020885467529296875,0.050872802734375,0.05059814453125,0.016160789866625978,0.02014730871411133,0.01763916015625,0.0170745849609375,0.045108780278124996,0.0410986915640625,0.03363037109375,0.01148223876953125,0.0005855560302734375,0.0004252254701660156,0.0008678436279296875,0.0013093948364257812,0.016754150390625,0.01010894775390625,0.0008823316111083983,0.0004927884401367187,7.295608520507812e-05,-0.0001062154769897461,0.16562013326875,0.1817594916125,0.181877851525,0.0021915435791015625,0.0124053955078125,0.0193023681640625,0.00012743473052978516,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.6226043701171875e-06,-1.9073486328125e-06,-4.887580871582031e-06,100.125,0.02587890625,0.021484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03498457543125,0.328125,0.0,0.0,0.0,0.0,0.0,0.0351828269,0.328369140625,0.0053558349609375,0.00018858909606933594,9.244680404663086e-05,0.00876617431640625,0.012939453125,0.00017130374908447266,0.0004973411560058594,0.0132126728046875,-0.00020945072174072266,0.051361083984375,0.0509033203125,0.01617098224067993,0.020099695817944335,0.01800537109375,0.017425537109375,0.046025619878125,0.04214944313125,0.03436279296875,0.0116729736328125,0.0005755424499511719,0.0003857773789306641,0.0008243719864257813,0.0012645721435546875,0.016998291015625,0.01036834716796875,0.0008535595897949219,0.00047907399477539064,4.851818084716797e-05,-0.00011843442916870117,0.17110146585,0.1871186084625,0.1871145665625,0.002288818359375,0.012420654296875,0.0193634033203125,0.00016677379608154297,5.614757537841797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.5762786865234375e-06,1.9073486328125e-06,-4.410743713378906e-06,100.125,0.026123046875,0.021484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.037821849109375,0.2763671875,0.0,0.0,0.0,0.0,0.0,0.03804942985625,0.276611328125,0.005702972412109375,0.00018870830535888672,0.0001552104949951172,0.00893402099609375,0.01352691650390625,0.00016033649444580078,0.0005216598510742188,0.01315500527734375,-0.00021350383758544922,0.053131103515625,0.052276611328125,0.016000429182769775,0.019833073005395507,0.018463134765625,0.01800537109375,0.046029126315625,0.0426306016953125,0.034637451171875,0.011962890625,0.0005540847778320312,0.00036639500080566407,0.0007858881104980469,0.0011911392211914062,0.0172271728515625,0.01148223876953125,0.0008572659848632813,0.0004761966565185547,2.8967857360839844e-05,-0.0001404285430908203,0.1746595837375,0.1871029138125,0.18722080062500002,0.002376556396484375,0.01332855224609375,0.0199432373046875,0.0001938343048095703,-4.392862319946289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.86102294921875e-06,3.814697265625e-06,-3.5762786865234375e-06,100.1875,0.025390625,0.02490234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04906476549375,0.184326171875,0.0,0.0,0.0,0.0,0.0,0.049383005475,0.1846923828125,0.0062103271484375,0.00018870830535888672,0.00041985511779785156,0.0099334716796875,0.014984130859375,0.0001671314239501953,0.0005121231079101562,0.01262664794921875,-0.0002295970916748047,0.058013916015625,0.056549072265625,0.01601829570218506,0.019752055368536376,0.01898193359375,0.0188140869140625,0.0445315335125,0.042220767559375,0.03411865234375,0.01230621337890625,0.0005192756652832031,0.00037380311118164063,0.0008277817170410156,0.0011453628540039062,0.017913818359375,0.01311492919921875,0.0007910403990722657,0.00046631456796874995,1.9252300262451172e-05,-0.00014281272888183594,0.177620932425,0.18043918165,0.1805571243625,0.002376556396484375,0.01715087890625,0.02325439453125,0.00035119056701660156,-0.00010955333709716797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-3.5762786865234375e-06,-1.33514404296875e-05,-3.4570693969726562e-06,100.25,0.024169921875,0.0244140625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06517620475625,0.08935546875,0.0,0.0,0.0,0.0,0.0,0.06561555735,0.089599609375,0.00662994384765625,0.00018870830535888672,0.0006957054138183594,0.011688232421875,0.0175933837890625,0.000202178955078125,0.0004687309265136719,0.0118255615234375,-0.00024700164794921875,0.0648193359375,0.062469482421875,0.016116982307391357,0.01978116670817871,0.0192413330078125,0.019378662109375,0.04134004188125,0.040194684640625,0.031829833984375,0.0125274658203125,0.0004413127899169922,0.00040419187182617184,0.0009295092082519531,0.0011262893676757812,0.0189971923828125,0.0148468017578125,0.0007417528914062501,0.0004063890368164062,3.695487976074219e-05,-8.422136306762695e-05,0.1793584898,0.1707088201875,0.1708266847,0.0022449493408203125,0.021331787109375,0.0265655517578125,0.0005993843078613281,-0.00022733211517333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.86102294921875e-06,-1.71661376953125e-05,-2.2649765014648438e-06,100.25,0.027099609375,0.02197265625
