Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0063937213203125,0.07281494140625,0.0,0.0,0.0,0.0,0.0,0.006440550001171875,0.0728759765625,0.0010118484497070312,3.7610530853271484e-05,0.0004127025604248047,0.005359649658203125,0.004878997802734375,0.0028095245361328125,0.0001004338264465332,0.0025282619654296875,-3.254413604736328e-05,0.0117950439453125,0.01221466064453125,0.016550233557647707,0.020423732728405763,0.0035610198974609375,0.0034332275390625,0.02477878514609375,0.02772882763671875,0.0033111572265625,0.0019779205322265625,9.387731552124023e-05,0.0005088014609558105,0.00013685226440429688,0.0002199411392211914,0.0139617919921875,0.0130767822265625,0.0008588998406677247,0.0005215193639282226,0.002727508544921875,0.002681732177734375,0.06296792255,0.065481945915625,0.06550729649375,0.0001977682113647461,0.0034542083740234375,0.00460052490234375,4.684925079345703e-05,5.924701690673828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-1.1920928955078125e-07,1.9073486328125e-06,-7.152557373046875e-07,20.03125,0.0033206939697265625,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.010810509784375,0.14990234375,0.0,0.0,0.0,0.0,0.0,0.01088286954609375,0.1500244140625,0.002010345458984375,7.522106170654297e-05,0.0007958412170410156,0.01090240478515625,0.0093841552734375,0.00591278076171875,0.0001977682113647461,0.00485125264609375,-6.341934204101562e-05,0.0232696533203125,0.024078369140625,0.016389699684417725,0.020330190695880126,0.007213592529296875,0.006916046142578125,0.036718821132812496,0.038806937590625,0.00684356689453125,0.004016876220703125,0.0001976490020751953,0.0005302361372192383,0.0002923011779785156,0.0004723072052001953,0.029388427734375,0.027435302734375,0.0010400947999267577,0.0006583918532653809,0.007068634033203125,0.00698089599609375,0.082992501571875,0.088754758284375,0.0887803993625,0.0004150867462158203,0.0067138671875,0.0090484619140625,9.751319885253906e-05,0.0001347064971923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-2.980232238769531e-07,2.2649765014648438e-06,-1.0132789611816406e-06,40.0625,0.00527191162109375,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.015249609759375,0.230224609375,0.0,0.0,0.0,0.0,0.0,0.015328712715625,0.23046875,0.0030364990234375,0.00011277198791503906,0.0013170242309570312,0.0167236328125,0.013763427734375,0.00800323486328125,0.0002601146697998047,0.007588967380078125,-9.655952453613281e-05,0.03497314453125,0.035308837890625,0.016192600145074464,0.02015954445925903,0.01094818115234375,0.01043701171875,0.050268312921875,0.051599539859375,0.00982666015625,0.005908966064453125,0.0002918243408203125,0.0006031174937683105,0.00042510032653808594,0.000675201416015625,0.04718017578125,0.043731689453125,0.0012855141184448242,0.0008148821811218262,0.0130157470703125,0.0128631591796875,0.10508962725,0.11477134379375001,0.11482809855000001,0.0005369186401367188,0.01012420654296875,0.01342010498046875,0.00013887882232666016,0.00020384788513183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-7.152557373046875e-07,3.4570693969726562e-06,-2.086162567138672e-06,60.03125,0.01113128662109375,0.00673675537109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.019394036996875,0.31298828125,0.0,0.0,0.0,0.0,0.0,0.01950288073125,0.313232421875,0.00411224365234375,0.00015032291412353516,0.0018825531005859375,0.022918701171875,0.01837158203125,0.009063720703125,0.0003447532653808594,0.01019709548515625,-0.00012803077697753906,0.04608154296875,0.04632568359375,0.0161448288909729,0.020108424101049804,0.0148773193359375,0.01416015625,0.06438330651875,0.06503557968125,0.0134429931640625,0.00798797607421875,0.000362396240234375,0.000565160606665039,0.0005178451538085938,0.0008544921875,0.06536865234375,0.06060791015625,0.001425366615673828,0.0008843594027099609,0.0193023681640625,0.019073486328125,0.12747332079375,0.14136396353125,0.1414211168875,0.0006847381591796875,0.01312255859375,0.0175018310546875,0.00017142295837402344,0.0002675056457519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.6093254089355469e-06,-9.179115295410156e-06,-2.9802322387695312e-06,80.125,0.01523590087890625,0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0234920881109375,0.3974609375,0.0,0.0,0.0,0.0,0.0,0.023615084434375,0.397705078125,0.005252838134765625,0.00018787384033203125,0.0023403167724609375,0.0288543701171875,0.0236663818359375,0.00807952880859375,0.0004241466522216797,0.0129323894671875,-0.0001558065414428711,0.056915283203125,0.0570068359375,0.016113642592608644,0.02008341253491211,0.0189971923828125,0.018035888671875,0.07968519629375,0.07971868668125,0.01763916015625,0.01019287109375,0.00043582916259765625,0.000585204336743164,0.0005936622619628906,0.0010166168212890625,0.08203125,0.0758056640625,0.0015453736795898437,0.0009223591150329589,0.025482177734375,0.02520751953125,0.1492016762375,0.1685758978625,0.168694257775,0.000823974609375,0.01580810546875,0.0212860107421875,0.00020587444305419922,0.00037288665771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,3.814697265625e-06,-3.6954879760742188e-06,100.125,0.01953125,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0231895314859375,0.40380859375,0.0,0.0,0.0,0.0,0.0,0.0233420065875,0.404052734375,0.005405426025390625,0.00018787384033203125,0.0022640228271484375,0.0287933349609375,0.0247802734375,0.004749298095703125,0.00041866302490234375,0.013258449171875,-0.00015819072723388672,0.056488037109375,0.056121826171875,0.016132358430865478,0.02005695928764038,0.01953125,0.018524169921875,0.08261619605000001,0.08310403297499999,0.0184326171875,0.01039886474609375,0.0004057884216308594,0.0005736512192626953,0.0005430380630859375,0.000972747802734375,0.08209228515625,0.07568359375,0.001456281757763672,0.0008195357257324219,0.026092529296875,0.0258331298828125,0.1487625986625,0.170639116275,0.170635074375,0.0008106231689453125,0.01511383056640625,0.0206451416015625,0.00019884109497070312,0.0004096031188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.384185791015625e-06,5.7220458984375e-06,-3.2186508178710938e-06,100.125,0.01708984375,0.01953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0233412582890625,0.410888671875,0.0,0.0,0.0,0.0,0.0,0.023492545090625,0.4111328125,0.0055999755859375,0.00018787384033203125,0.00228118896484375,0.0293426513671875,0.0258331298828125,0.002902984619140625,0.0004284381866455078,0.01358225137109375,-0.0001710653305053711,0.0562744140625,0.05548095703125,0.015978435068847656,0.01983068881960449,0.0202484130859375,0.019195556640625,0.0865259524875,0.08765928821874999,0.0186920166015625,0.010589599609375,0.0003974437713623047,0.0006099395793579102,0.0005007394898925782,0.0009350776672363281,0.0848388671875,0.078125,0.0013926349042358399,0.0007364305356079102,0.02752685546875,0.027252197265625,0.14701065795625,0.17086756225,0.17098544906250002,0.000804901123046875,0.01441192626953125,0.0200347900390625,0.00020003318786621094,0.00039386749267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.86102294921875e-06,-1.1444091796875e-05,-2.0265579223632812e-06,100.1875,0.0185546875,0.02197265625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0242997508453125,0.418701171875,0.0,0.0,0.0,0.0,0.0,0.0244348853578125,0.4189453125,0.005828857421875,0.00018787384033203125,0.0026836395263671875,0.03106689453125,0.02618408203125,0.00325775146484375,0.00038933753967285156,0.01384735107421875,-0.00018787384033203125,0.056121826171875,0.054595947265625,0.01601918977185669,0.01980993147861328,0.0209503173828125,0.019866943359375,0.0916506741375,0.093887027325,0.01800537109375,0.0106353759765625,0.00037026405334472656,0.0006123408995727539,0.00048302845166015625,0.0009083747863769531,0.091064453125,0.08416748046875,0.0013067397856689454,0.0006603872913574218,0.0308074951171875,0.0305023193359375,0.14630989726875,0.1705514863375,0.17066942905,0.0007810592651367188,0.014007568359375,0.0197296142578125,0.00020039081573486328,0.0003833770751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,0.0,-3.337860107421875e-06,100.1875,0.01611328125,0.0185546875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0260526696,0.42626953125,0.0,0.0,0.0,0.0,0.0,0.0262021052015625,0.4267578125,0.00615692138671875,0.0001876354217529297,0.0035419464111328125,0.033782958984375,0.026092529296875,0.005458831787109375,0.0003638267517089844,0.0141143798828125,-0.0001951456069946289,0.0555419921875,0.05328369140625,0.016130691375689697,0.01986985841960449,0.0216217041015625,0.0205078125,0.09718720985,0.1007110420625,0.01666259765625,0.01061248779296875,0.0003380775451660156,0.000622106453125,0.0004600630260009766,0.0008606910705566406,0.09869384765625,0.09161376953125,0.0012591212080566407,0.0005613611132324218,0.034088134765625,0.033782958984375,0.14597225933125,0.1697322576875,0.1698501222,0.0007300376892089844,0.01369476318359375,0.0194854736328125,0.00016415119171142578,0.00035762786865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.1457672119140625e-06,-1.9073486328125e-06,-2.5033950805664062e-06,100.1875,0.015380859375,0.01611328125
