Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005024245001953125,0.07562255859375,0.0,0.0,0.0,0.0,0.0,0.005065351636914062,0.07574462890625,0.0016355514526367188,3.731250762939453e-05,0.0008325576782226562,0.00543212890625,0.00543975830078125,0.0046844482421875,9.226799011230469e-05,0.0029249904810546875,-2.8252601623535156e-05,0.009857177734375,0.01044464111328125,0.016542663767761232,0.020421884984417726,0.003692626953125,0.0034885406494140625,0.032583655751562496,0.0360982734375,0.002716064453125,0.00188446044921875,7.152557373046875e-05,0.000512079716418457,2.6464462280273438e-05,7.128715515136719e-05,0.0190277099609375,0.0177001953125,0.001247581729248047,0.0008539940724853516,1.3113021850585938e-05,-2.7358531951904297e-05,0.088816311221875,0.098685070915625,0.09877145665,6.407499313354492e-05,0.0042572021484375,0.00498199462890625,7.212162017822266e-05,5.4001808166503906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-3.5762786865234375e-07,2.682209014892578e-06,-7.748603820800781e-07,20.03125,0.003711700439453125,0.0033206939697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00808681593671875,0.154541015625,0.0,0.0,0.0,0.0,0.0,0.008155361001171875,0.154541015625,0.003253936767578125,7.456541061401367e-05,0.0016832351684570312,0.0109100341796875,0.0108795166015625,0.0095977783203125,0.00017702579498291016,0.00556841573203125,-5.9485435485839844e-05,0.0189666748046875,0.0201568603515625,0.016370447384155273,0.020325005091784667,0.007457733154296875,0.00702667236328125,0.052542185390624996,0.05592729891875,0.005603790283203125,0.003810882568359375,0.00013899803161621094,0.0005455545309265137,4.8160552978515625e-05,0.00013899803161621094,0.038726806640625,0.03594970703125,0.0016311344575195312,0.0011197914084716798,1.7940998077392578e-05,-6.93202018737793e-05,0.1334380582125,0.15409289305,0.15427112201874998,0.00013136863708496094,0.0082550048828125,0.00974273681640625,0.00013959407806396484,0.00010693073272705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-7.152557373046875e-07,-7.748603820800781e-07,-1.4901161193847656e-06,40.0625,0.005664825439453125,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0111144779234375,0.236572265625,0.0,0.0,0.0,0.0,0.0,0.0111935808796875,0.23681640625,0.00487518310546875,0.0001118779182434082,0.00258636474609375,0.0166015625,0.0164031982421875,0.014892578125,0.0002582073211669922,0.00823365121796875,-9.524822235107422e-05,0.027191162109375,0.0289306640625,0.0161750763795105,0.020155014506256102,0.01129150390625,0.01061248779296875,0.073461672296875,0.07683757696875,0.00852203369140625,0.005771636962890625,0.00020837783813476562,0.0005533476153808594,6.300210952758789e-05,0.00020051002502441406,0.059326171875,0.05511474609375,0.0018664209864257813,0.0011735233287353515,3.2067298889160156e-05,-9.447336196899414e-05,0.17796560381249998,0.210291363325,0.21053122355,0.00019729137420654297,0.01202392578125,0.01427459716796875,0.00020325183868408203,0.00014865398406982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.5497207641601562e-06,-7.987022399902344e-06,-2.086162567138672e-06,60.0625,0.0106964111328125,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014129754770312499,0.322021484375,0.0,0.0,0.0,0.0,0.0,0.01423096911015625,0.322509765625,0.006519317626953125,0.00014913082122802734,0.003543853759765625,0.0226593017578125,0.021942138671875,0.0208740234375,0.00035691261291503906,0.010921887965625,-0.0001348257064819336,0.034515380859375,0.036651611328125,0.016125636195355224,0.02011766282098999,0.01515960693359375,0.0142059326171875,0.0950839901125,0.09872698593125,0.0113525390625,0.00774383544921875,0.00026607513427734375,0.0005700481875366211,7.408857345581055e-05,0.0002605915069580078,0.0811767578125,0.07525634765625,0.0020190288776367185,0.0010889225435791014,2.1219253540039062e-05,-0.0001455545425415039,0.2223829887625,0.2671574205625,0.267275609075,0.000263214111328125,0.01554107666015625,0.018524169921875,0.0002903938293457031,0.0002040863037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.3113021850585938e-06,-3.039836883544922e-06,-2.86102294921875e-06,80.125,0.0144500732421875,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0170833967046875,0.410400390625,0.0,0.0,0.0,0.0,0.0,0.0172216518171875,0.410888671875,0.00815582275390625,0.00018644332885742188,0.004558563232421875,0.0290985107421875,0.0273895263671875,0.0275726318359375,0.00042176246643066406,0.0137258464984375,-0.00018084049224853516,0.041290283203125,0.04351806640625,0.016079906363665773,0.02007953823300171,0.019012451171875,0.01776123046875,0.1177100986375,0.12158880386875,0.01403045654296875,0.0096893310546875,0.0003204345703125,0.0005903303361938476,7.766485214233398e-05,0.00031566619873046875,0.10430908203125,0.0965576171875,0.002236787558984375,0.0010920535387084962,3.141164779663086e-05,-0.00015747547149658203,0.2659008949875,0.324947968175,0.324944257775,0.00033020973205566406,0.018798828125,0.02252197265625,0.0003490447998046875,0.00024044513702392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.5033950805664062e-06,-3.814697265625e-06,-2.9802322387695312e-06,100.125,0.015869140625,0.01806640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0166892873453125,0.417236328125,0.0,0.0,0.0,0.0,0.0,0.0168265036578125,0.417724609375,0.00817108154296875,0.00018644332885742188,0.004772186279296875,0.0299224853515625,0.0272064208984375,0.0288543701171875,0.0004291534423828125,0.013929835890625,-0.00019299983978271484,0.039947509765625,0.041534423828125,0.016112986921313476,0.020061548845288085,0.0190277099609375,0.017730712890625,0.11935936011250001,0.12381448219374999,0.01380157470703125,0.00966644287109375,0.00031256675720214844,0.0005899828919311524,6.018083576049805e-05,0.00029730796813964844,0.107177734375,0.098876953125,0.002112886524609375,0.000938268178125,7.539987564086914e-05,-0.00011843442916870117,0.264119043975,0.32566841315,0.32590851187500003,0.00032019615173339844,0.0181427001953125,0.02178955078125,0.0003294944763183594,0.0001971721649169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967254638671875e-05,-1.9073486328125e-06,5.7220458984375e-06,-3.2186508178710938e-06,100.125,0.0146484375,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01626880955859375,0.4228515625,0.0,0.0,0.0,0.0,0.0,0.01638957878203125,0.42333984375,0.0081787109375,0.00018644332885742188,0.00504302978515625,0.0305633544921875,0.02703857421875,0.0287628173828125,0.0004265308380126953,0.01417734414453125,-0.00020313262939453125,0.039154052734375,0.0400390625,0.01594916918826294,0.019817814216333007,0.0190887451171875,0.017730712890625,0.1202173587375,0.12525694446875,0.0137786865234375,0.00962066650390625,0.0003058910369873047,0.0005907468837402344,7.331458220825196e-05,0.0002982616424560547,0.109130859375,0.10040283203125,0.0019935689328613284,0.0008026512959533692,0.0005612373352050781,0.00036263465881347656,0.2612074353,0.32516443725,0.32516025375,0.0003197193145751953,0.017578125,0.021148681640625,0.0002970695495605469,0.000152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.9073486328125e-06,0.0,-2.7418136596679688e-06,100.125,0.0185546875,0.01611328125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.016166816275,0.42724609375,0.0,0.0,0.0,0.0,0.0,0.01629432139296875,0.427490234375,0.00823974609375,0.00018644332885742188,0.0052947998046875,0.0310516357421875,0.0269927978515625,0.0259552001953125,0.0003948211669921875,0.01454925537109375,-0.00020766258239746094,0.038665771484375,0.03887939453125,0.015981340822424316,0.019790440759771728,0.01922607421875,0.017852783203125,0.1202151272625,0.12568634373125,0.014312744140625,0.00963592529296875,0.0002918243408203125,0.0005628690444091797,9.345249340820313e-05,0.0003075599670410156,0.10845947265625,0.09930419921875,0.0019054088377929688,0.0006732618946289062,0.0024013519287109375,0.00218963623046875,0.2590418308625,0.324238009775,0.3244780228,0.00035309791564941406,0.0170745849609375,0.02056884765625,0.00030350685119628906,0.00015807151794433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.6689300537109375e-06,3.814697265625e-06,-2.86102294921875e-06,100.1875,0.01708984375,0.015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0164243737015625,0.430419921875,0.0,0.0,0.0,0.0,0.0,0.0165585505140625,0.430908203125,0.00836944580078125,0.00018644332885742188,0.005237579345703125,0.030670166015625,0.0270843505859375,0.0173492431640625,0.00038623809814453125,0.014984130859375,-0.00021564960479736328,0.038604736328125,0.03826904296875,0.016100948657946777,0.019878322279162596,0.019378662109375,0.017974853515625,0.1175729520375,0.1231719795625,0.0160980224609375,0.0097503662109375,0.0003066062927246094,0.0005348452531738281,0.00013539652590942384,0.00034308433532714844,0.10174560546875,0.09228515625,0.0017440645979492188,0.000483875075024414,0.0038776397705078125,0.0036678314208984375,0.25797177105,0.32366292175,0.323902856575,0.00045299530029296875,0.01654052734375,0.02001953125,0.00028204917907714844,0.00011903047561645508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.1457672119140625e-06,-1.1444091796875e-05,-2.5033950805664062e-06,100.1875,0.017578125,0.01806640625
