Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009338667609375,0.0919189453125,0.0,0.0,0.0,0.0,0.0,0.0093893109875,0.0919189453125,0.002025604248046875,3.719329833984375e-05,0.0013027191162109375,0.0136871337890625,0.0038204193115234375,0.0154266357421875,9.047985076904297e-05,0.003022265261328125,-3.552436828613281e-05,0.0004105567932128906,0.0008153915405273438,0.016650846198028566,0.02053149792615967,0.0031185150146484375,0.002803802490234375,0.032156409657812496,0.0354726630859375,0.00012230873107910156,0.0019254684448242188,1.3113021850585938e-05,0.0005177421576721191,-9.5367431640625e-06,2.47955322265625e-05,0.03179931640625,0.0301055908203125,0.0019671290009765623,0.0015985752950195312,6.258487701416016e-06,-1.8298625946044922e-05,0.09122719989375,0.09200172130625,0.0920575894625,7.927417755126953e-06,0.0037136077880859375,0.004543304443359375,-1.436471939086914e-05,1.3828277587890625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-5.960464477539063e-08,-3.5762786865234375e-07,5.960464477539063e-08,20.03125,0.0010738372802734375,0.0015621185302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0166851435734375,0.1861572265625,0.0,0.0,0.0,0.0,0.0,0.01675750333515625,0.186279296875,0.004062652587890625,7.432699203491211e-05,0.0026874542236328125,0.0277862548828125,0.007232666015625,0.03155517578125,0.00017559528350830078,0.00576677998984375,-7.12275505065918e-05,0.0006837844848632812,0.0015239715576171875,0.01667061637524414,0.020620763339160155,0.00638580322265625,0.005718231201171875,0.051596140468749996,0.054431937590625,0.0002989768981933594,0.00391387939453125,2.682209014892578e-05,0.0005499652746398926,-2.3365020751953125e-05,5.84721565246582e-05,0.06475830078125,0.06121826171875,0.0033487019013671874,0.002973019023828125,4.76837158203125e-06,-3.272294998168945e-05,0.1381988004,0.14035998289375,0.14041614154999998,3.409385681152344e-05,0.007221221923828125,0.00894927978515625,-3.838539123535156e-05,2.771615982055664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-1.1920928955078125e-07,4.589557647705078e-06,-2.384185791015625e-07,40.0625,0.0011720657348632812,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02419126015,0.281982421875,0.0,0.0,0.0,0.0,0.0,0.024300880684375,0.2822265625,0.006256103515625,0.00011146068572998047,0.004299163818359375,0.0416259765625,0.01049041748046875,0.047943115234375,0.00023031234741210938,0.008760079440625,-0.00011217594146728516,0.0005059242248535156,0.0014886856079101562,0.01661859454128418,0.02068185996142578,0.00989532470703125,0.00887298583984375,0.07318701409375,0.075830496890625,0.00036525726318359375,0.00591278076171875,4.458427429199219e-05,0.0005921502391296387,-5.608797073364258e-05,6.532669067382812e-05,0.09783935546875,0.09228515625,0.004087528469335937,0.003732946775390625,2.1755695343017578e-05,-3.731250762939453e-05,0.18431326006249998,0.1889290586375,0.18904684855,-1.8656253814697266e-05,0.01053619384765625,0.01305389404296875,-4.565715789794922e-05,2.1576881408691406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,-4.172325134277344e-07,3.4570693969726562e-06,1.1920928955078125e-07,60.03125,0.004100799560546875,0.005859375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.031662103403125,0.37744140625,0.0,0.0,0.0,0.0,0.0,0.0317709471375,0.3779296875,0.00833892822265625,0.00014841556549072266,0.0056610107421875,0.055084228515625,0.0140533447265625,0.06158447265625,0.0002999305725097656,0.01149409255546875,-0.00015270709991455078,0.0005826950073242188,0.0018596649169921875,0.017078416442089843,0.021115742597753905,0.01346588134765625,0.0121002197265625,0.09490088464375,0.09738421249375,0.0005269050598144531,0.00792694091796875,3.230571746826172e-05,0.0006080759509033203,-9.119510650634766e-05,7.933378219604492e-05,0.129638671875,0.12225341796875,0.004219155525585937,0.003963058514648438,1.150369644165039e-05,-5.8591365814208984e-05,0.23104998095,0.237494334625,0.237490452825,-3.7550926208496094e-05,0.01361083984375,0.0170440673828125,-8.046627044677734e-05,2.771615982055664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-9.5367431640625e-07,-3.039836883544922e-06,6.556510925292969e-07,80.125,0.00429534912109375,0.004688262939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.039223899634375003,0.470703125,0.0,0.0,0.0,0.0,0.0,0.039392672325,0.470947265625,0.0102996826171875,0.00018548965454101562,0.0065765380859375,0.06719970703125,0.0181121826171875,0.07183837890625,0.0003905296325683594,0.0142141277484375,-0.00019025802612304688,0.0007014274597167969,0.0023193359375,0.01755291595,0.021518215543945313,0.017120361328125,0.01544189453125,0.117099747075,0.11926946793125,0.0009202957153320312,0.009979248046875,5.751848220825195e-05,0.0006437360979125976,-0.00012373924255371094,9.763240814208984e-05,0.15771484375,0.148681640625,0.0033640306009765624,0.00327465642109375,3.141164779663086e-05,-8.666515350341797e-05,0.2781079262375,0.285885468175,0.2862479687125,-3.2961368560791016e-05,0.016265869140625,0.0207672119140625,-9.077787399291992e-05,7.62939453125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.1920928955078125e-06,-1.9073486328125e-06,1.1920928955078125e-07,100.125,0.00927734375,0.0078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.039592729728125,0.464111328125,0.0,0.0,0.0,0.0,0.0,0.039729946040625,0.46435546875,0.010162353515625,0.0001857280731201172,0.005855560302734375,0.06414794921875,0.0189208984375,0.0643310546875,0.0003974437713623047,0.01420449409375,-0.0001933574676513672,0.0006623268127441406,0.002197265625,0.017363969205859375,0.021236714021679686,0.0173492431640625,0.0156707763671875,0.11752830542500001,0.11984719703749999,0.0017576217651367188,0.01015472412109375,7.963180541992188e-05,0.0006365937241455078,-0.00012226898189697267,0.00010389089584350586,0.1495361328125,0.1407470703125,0.0020876141552246094,0.0017527060443359374,-2.2292137145996094e-05,-0.00011962652206420898,0.27852334085,0.285873491275,0.28623566031250003,2.3484230041503906e-05,0.01551055908203125,0.0200653076171875,-9.018182754516602e-05,3.9696693420410156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.3113021850585938e-06,-1.1444091796875e-05,3.5762786865234375e-07,100.125,0.0087890625,0.009765625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.040446360828125,0.4560546875,0.0,0.0,0.0,0.0,0.0,0.040582388840625,0.456298828125,0.01001739501953125,0.00018584728240966797,0.00508880615234375,0.05975341796875,0.01983642578125,0.0550537109375,0.00042366981506347656,0.0141239383828125,-0.0001957416534423828,0.0007352828979492188,0.002185821533203125,0.01654205658984375,0.02048514781923828,0.0173797607421875,0.0157623291015625,0.1165552493625,0.11897032337499999,0.00302886962890625,0.0103302001953125,0.0001150369644165039,0.0006575040858886719,-9.882363190307617e-05,0.00011706352233886719,0.1378173828125,0.129638671875,0.0017208180783691406,0.0010834487774902344,-2.980232238769531e-07,-0.00011473894119262695,0.279517982175,0.2857357263125,0.285853613125,0.00010436773300170898,0.01479339599609375,0.0193023681640625,-0.00011980533599853516,-3.039836883544922e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-4.76837158203125e-07,1.52587890625e-05,-5.960464477539062e-07,100.125,0.0126953125,0.01416015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.041832099478125,0.44873046875,0.0,0.0,0.0,0.0,0.0,0.042058786725,0.448974609375,0.0098419189453125,0.00018584728240966797,0.00417327880859375,0.05413818359375,0.021392822265625,0.04376220703125,0.00047850608825683594,0.014007568359375,-0.00019359588623046875,0.000980377197265625,0.002704620361328125,0.016344094690527344,0.020283430776708983,0.0171966552734375,0.01560211181640625,0.114477822575,0.11689728123125,0.005161285400390625,0.01050567626953125,0.00014007091522216797,0.000637374850378418,-5.6095560333251956e-05,0.0001379251480102539,0.12213134765625,0.1143798828125,0.0015043887877441407,0.0008746659893249511,-3.5703182220458984e-05,-0.00013303756713867188,0.2828455418,0.286640353525,0.28688036655,0.0002262592315673828,0.01447296142578125,0.01898193359375,-0.00015425682067871094,-4.696846008300781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.9073486328125e-06,-1.1444091796875e-05,-1.1920928955078125e-07,100.1875,0.014404296875,0.01513671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.042623714521875,0.4443359375,0.0,0.0,0.0,0.0,0.0,0.042818926490625,0.444580078125,0.00972747802734375,0.00018584728240966797,0.0036258697509765625,0.050323486328125,0.0231475830078125,0.037750244140625,0.00046563148498535156,0.013824462890625,-0.0001914501190185547,0.001033782958984375,0.002544403076171875,0.016431277599291992,0.020319277441210936,0.016876220703125,0.01531982421875,0.11275117469375,0.11566465534375,0.00673675537109375,0.01059722900390625,0.00016987323760986328,0.0006532200776977539,-3.8285488891601617e-07,0.0001537799835205078,0.11114501953125,0.10382080078125,0.0013246863173095704,0.0007566855341613769,-4.178285598754883e-05,-0.00014770030975341797,0.28922177105,0.289727374875,0.2900893800125,0.0003020763397216797,0.01441192626953125,0.018829345703125,-0.00016164779663085938,-0.00011843442916870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.9073486328125e-06,0.0,-1.5497207641601562e-06,100.1875,0.01318359375,0.01416015625
