Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007328322150390625,0.09979248046875,0.0,0.0,0.0,0.0,0.0,0.00736752143671875,0.0999755859375,0.0015106201171875,3.737211227416992e-05,0.0001208186149597168,0.002750396728515625,0.0038700103759765625,9.328126907348633e-05,0.0001354217529296875,0.003266405886328125,-2.2232532501220703e-05,0.00403594970703125,0.003963470458984375,0.01655988951010132,0.02046772095625,0.00274658203125,0.0024204254150390625,0.0241455454,0.0267751533203125,0.006206512451171875,0.0023784637451171875,0.000125885009765625,0.00048585367271728516,5.97834587097168e-05,0.0001766681671142578,0.00559234619140625,0.004093170166015625,0.0007365911095886231,0.00048015374045410155,1.3589859008789062e-05,-1.341104507446289e-05,0.099253322940625,0.08956031505625,0.089585665634375,0.0004749298095703125,0.00214385986328125,0.0031795501708984375,-2.8252601623535156e-05,-1.5854835510253906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-4.172325134277344e-07,2.2649765014648438e-06,-8.344650268554688e-07,20.03125,0.0035648345947265625,0.003124237060546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01246608839765625,0.205078125,0.0,0.0,0.0,0.0,0.0,0.0125231893703125,0.205322265625,0.0030841827392578125,7.474422454833984e-05,0.0001857280731201172,0.00519561767578125,0.00756072998046875,0.0001455545425415039,0.0002703666687011719,0.00637713155234375,-4.1425228118896484e-05,0.00682830810546875,0.006744384765625,0.016400428520477295,0.020425498522875975,0.005519866943359375,0.00481414794921875,0.035238718593749996,0.036792777434375,0.01332855224609375,0.004970550537109375,0.0002493858337402344,0.0004948309782226562,0.00012218952178955078,0.0003886222839355469,0.01116943359375,0.0080108642578125,0.0007725891541748047,0.0005846609076782227,1.3530254364013672e-05,-4.2498111724853516e-05,0.15559381993125,0.13456164305,0.13467883686249998,0.0010194778442382812,0.004062652587890625,0.00621795654296875,-6.318092346191406e-05,-3.2842159271240234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-9.5367431640625e-07,-1.5497207641601562e-06,-1.7881393432617188e-06,40.0625,0.00498199462890625,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0183166263609375,0.313720703125,0.0,0.0,0.0,0.0,0.0,0.0183957293171875,0.313720703125,0.00467681884765625,0.00011217594146728516,0.00030803680419921875,0.007305145263671875,0.0108795166015625,0.00023102760314941406,0.0003807544708251953,0.01000367074921875,-5.996227264404297e-05,0.0086822509765625,0.0082244873046875,0.016205951585504152,0.0203337688359375,0.00830078125,0.0071563720703125,0.048742434015625,0.049524344546875,0.0206756591796875,0.007389068603515625,0.000354766845703125,0.0005150814334350586,0.00015664100646972656,0.0005574226379394531,0.016448974609375,0.01125335693359375,0.0008700697443603516,0.0007592114429016113,4.082918167114258e-05,-4.464387893676758e-05,0.21055837724999998,0.1787972227,0.179037082925,0.0015087127685546875,0.00616455078125,0.009307861328125,-7.903575897216797e-05,8.821487426757812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.5497207641601562e-06,0.0,-2.1457672119140625e-06,60.03125,0.0098114013671875,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02406322645,0.42431640625,0.0,0.0,0.0,0.0,0.0,0.024172070184375,0.424560546875,0.00635528564453125,0.0001494884490966797,0.0004248619079589844,0.00965118408203125,0.01462554931640625,0.00030517578125,0.000507354736328125,0.01345484695,-7.557868957519531e-05,0.0081787109375,0.0079345703125,0.016191678141766357,0.020894490156347655,0.01107025146484375,0.009490966796875,0.062643804565625,0.06320452499375,0.028411865234375,0.00995635986328125,0.0004620552062988281,0.0005317820055908203,0.00020766258239746094,0.0007529258728027344,0.022216796875,0.01528167724609375,0.0008519699329345703,0.0008584909868774414,4.857778549194336e-05,-6.54458999633789e-05,0.268891777825,0.2237003893125,0.223818577825,0.002086639404296875,0.00823211669921875,0.0125274658203125,-0.00010710954666137695,4.202127456665039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.86102294921875e-06,-4.589557647705078e-06,-2.9802322387695312e-06,80.0625,0.0146484375,0.01015472412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0302669904546875,0.533203125,0.0,0.0,0.0,0.0,0.0,0.0304052455671875,0.533203125,0.00821685791015625,0.00018656253814697266,0.0006346702575683594,0.01258087158203125,0.0193023681640625,0.00045299530029296875,0.0006318092346191406,0.0167776043109375,-9.137392044067383e-05,0.007259368896484375,0.00732421875,0.016225520510852052,0.021422848112304688,0.013885498046875,0.0119171142578125,0.07834242285625,0.0794135109,0.035736083984375,0.01241302490234375,0.0005421638488769531,0.0005589782930419922,0.0002532005310058594,0.0009365081787109375,0.0285186767578125,0.0202789306640625,0.0008773248209472655,0.0009870301546142579,7.033348083496094e-06,-0.00013303756713867188,0.329255387175,0.2698942572375,0.2701346874625,0.0026569366455078125,0.010589599609375,0.0161590576171875,-0.00015401840209960938,2.4437904357910156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.337860107421875e-06,0.0,-3.814697265625e-06,100.0625,0.01611328125,0.0146484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0312461721109375,0.52978515625,0.0,0.0,0.0,0.0,0.0,0.031368129634375,0.52978515625,0.008636474609375,0.000186920166015625,0.0007672309875488281,0.01412200927734375,0.0215301513671875,0.0003724098205566406,0.0006871223449707031,0.01569222602734375,-9.173154830932617e-05,0.005035400390625,0.00551605224609375,0.016321603178027343,0.020606812135693358,0.01433563232421875,0.01251983642578125,0.08249412573750001,0.08578957984999999,0.03546142578125,0.012542724609375,0.0004978179931640625,0.0005927247055908203,0.00024143856052246093,0.0009279251098632812,0.0307464599609375,0.0236663818359375,0.0007693978313720704,0.0008940415317016602,-2.7179718017578125e-05,-0.0001819133758544922,0.337849512725,0.2734223194,0.27378448843750003,0.002773284912109375,0.01062774658203125,0.0163726806640625,-0.00011217594146728516,-8.302927017211914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.9802322387695312e-06,5.7220458984375e-06,-3.2186508178710938e-06,100.125,0.011962890625,0.00927734375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.033671458484375,0.521484375,0.0,0.0,0.0,0.0,0.0,0.033807486496875,0.52197265625,0.0098419189453125,0.0001863241195678711,0.0011425018310546875,0.01496124267578125,0.02227783203125,0.0006589889526367188,0.000640869140625,0.0155582645546875,-7.063150405883789e-05,0.0030517578125,0.004180908203125,0.016289571314575195,0.020497068748193358,0.0140838623046875,0.0123443603515625,0.08573249545625,0.09071104603124999,0.0340576171875,0.0120697021484375,0.0004010200500488281,0.0006148271602294922,0.00015217152724609375,0.0007910728454589844,0.0367431640625,0.0295257568359375,0.00088301519140625,0.0010412486889892578,-4.4226646423339844e-05,-0.00019407272338867188,0.34177384155,0.273894906,0.274134863125,0.002521514892578125,0.01160430908203125,0.0172882080078125,-0.00022268295288085938,-5.4836273193359375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.2186508178710938e-06,-3.814697265625e-06,-3.933906555175781e-06,100.125,0.017822265625,0.01171875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.035057197134375,0.482177734375,0.0,0.0,0.0,0.0,0.0,0.035222849225,0.482421875,0.01032257080078125,0.00018644332885742188,0.0009007453918457031,0.017974853515625,0.025543212890625,0.0004687309265136719,0.0006170272827148438,0.0155792236328125,-9.077787399291992e-05,0.001377105712890625,0.0018606185913085938,0.01636006873532715,0.020556658468359374,0.014129638671875,0.0121612548828125,0.0981204007,0.10212677341875,0.0328369140625,0.0126953125,0.0003368854522705078,0.0005421266280273438,0.00022422508404541016,0.0008826255798339844,0.044036865234375,0.035491943359375,0.0007452640318847657,0.000913409008428955,-8.33272933959961e-05,-0.00026726722717285156,0.364144369925,0.2772409394625,0.2776030228,0.002773284912109375,0.013336181640625,0.0188446044921875,-0.0002092123031616211,-0.00021517276763916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.6226043701171875e-06,1.1444091796875e-05,-3.933906555175781e-06,100.1875,0.01416015625,0.01220703125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0377714196,0.4453125,0.0,0.0,0.0,0.0,0.0,0.03796663156875,0.446044921875,0.010284423828125,0.0001863241195678711,0.0011625289916992188,0.022735595703125,0.0305023193359375,0.0013818740844726562,0.0008368492126464844,0.01493072509765625,-0.00010603666305541992,0.0017042160034179688,0.0028667449951171875,0.016376918163256836,0.02044182459086914,0.0137176513671875,0.01189422607421875,0.10725801063125,0.112063581125,0.02740478515625,0.0125274658203125,0.000263214111328125,0.0005720385515136718,0.0001763449168701172,0.0007495880126953125,0.061553955078125,0.053253173828125,0.0007381766127197266,0.0008140848070800781,-0.00011748075485229492,-0.000274658203125,0.368567474175,0.2803279608125,0.28068996595,0.00252532958984375,0.0149993896484375,0.0204315185546875,-0.0001652240753173828,-0.00020015239715576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.1920928955078125e-06,7.62939453125e-06,-3.0994415283203125e-06,100.25,0.017822265625,0.01513671875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.039748705034375,0.425537109375,0.0,0.0,0.0,0.0,0.0,0.039912285125,0.426025390625,0.010650634765625,0.00018584728240966797,0.0019550323486328125,0.03350830078125,0.033416748046875,0.03851318359375,0.001682281494140625,0.014404296875,-0.00012803077697753906,0.0013256072998046875,0.00269317626953125,0.016630466999365233,0.02062345851826172,0.01389312744140625,0.01232147216796875,0.11876815553125,0.125171579375,0.0165252685546875,0.01203155517578125,0.0003273487091064453,0.0006254283848266602,0.00012325566992187498,0.0005807876586914062,0.105712890625,0.0968017578125,0.0008376086932067871,0.0007854675999389648,-0.00016510486602783203,-0.00026726722717285156,0.3815582953,0.295250229575,0.295734226725,0.0021820068359375,0.016204833984375,0.021820068359375,-8.803606033325195e-05,-9.274482727050781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-7.152557373046875e-07,1.9073486328125e-06,-2.0265579223632812e-06,100.25,0.00390625,0.0166015625
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.03755313864375,0.41748046875,0.0,0.0,0.0,0.0,0.0,0.037715510434375,0.41748046875,0.01132965087890625,0.00018548965454101562,0.004894256591796875,0.04913330078125,0.03082275390625,0.07440185546875,0.0008215904235839844,0.0139923095703125,-0.00013685226440429688,0.0010890960693359375,0.0020885467529296875,0.018109228496484376,0.022435983644140626,0.01482391357421875,0.01349639892578125,0.12614964505,0.1360261477875,0.00804901123046875,0.01165008544921875,0.00018787384033203125,0.0006583909957397461,5.092246970825196e-05,0.0003887019916015625,0.1485595703125,0.14013671875,0.001915426587890625,0.0026719950419921874,-0.0002071857452392578,-0.0002961158752441406,0.388208027925,0.30525264515,0.305736579,0.0018892288208007812,0.0171051025390625,0.0220184326171875,-0.0001366138458251953,-0.00010251998901367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,0.0,1.33514404296875e-05,3.5762786865234375e-07,100.25,0.00634765625,0.01806640625
