Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00867491028515625,0.0789794921875,0.0,0.0,0.0,0.0,0.0,0.00872555366328125,0.07904052734375,0.0015306472778320312,3.731250762939453e-05,0.0003955364227294922,0.00682830810546875,0.004436492919921875,0.003047943115234375,0.00012564659118652344,0.002877306765234375,-2.956390380859375e-05,0.00492095947265625,0.004863739013671875,0.016544928744262697,0.02043928954069214,0.002872467041015625,0.002685546875,0.02577060643515625,0.02873590771484375,0.0021953582763671875,0.001964569091796875,5.704164505004883e-05,0.0005144042975646973,5.543231964111328e-05,8.702278137207031e-05,0.01474761962890625,0.01346588134765625,0.0008478729813842774,0.00044909972052612304,4.827976226806641e-06,-2.1219253540039062e-05,0.088114406925,0.089163586540625,0.08918893711875,0.00014519691467285156,0.0033779144287109375,0.004199981689453125,2.205371856689453e-06,2.0563602447509766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1920928955078125e-07,-5.960464477539063e-08,-3.5762786865234375e-07,-4.172325134277344e-07,20.03125,0.003124237060546875,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01507534132734375,0.160400390625,0.0,0.0,0.0,0.0,0.0,0.0151477010890625,0.1605224609375,0.003032684326171875,7.456541061401367e-05,0.0007734298706054688,0.0133056640625,0.0086822509765625,0.00569915771484375,0.0002522468566894531,0.005450160116796875,-6.097555160522461e-05,0.00982666015625,0.00974273681640625,0.016374321686065674,0.020356476344226073,0.005828857421875,0.00542449951171875,0.037924265468749996,0.0399971231375,0.00492095947265625,0.004032135009765625,0.00011909008026123047,0.000538580787487793,0.00011473894119262695,0.0001971721649169922,0.029266357421875,0.026641845703125,0.0010028418969421386,0.0005251158675476075,9.655952453613281e-06,-4.2498111724853516e-05,0.13276667149375,0.13584338133125,0.13589953998749998,0.000339508056640625,0.00653076171875,0.0082550048828125,1.7404556274414062e-05,0.00013005733489990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-3.5762786865234375e-07,6.079673767089844e-06,-1.0132789611816406e-06,40.0625,0.0084991455078125,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.021597266009375,0.2437744140625,0.0,0.0,0.0,0.0,0.0,0.0216916277546875,0.244140625,0.004604339599609375,0.00011181831359863281,0.0009617805480957031,0.018768310546875,0.01342010498046875,0.00579833984375,0.0003330707550048828,0.008393868503125,-9.679794311523438e-05,0.0146942138671875,0.0142364501953125,0.016175135984155275,0.020204903593933104,0.00891876220703125,0.00830841064453125,0.051611086359375,0.052820242984375,0.007709503173828125,0.006092071533203125,0.0001850128173828125,0.0006679673472839355,0.0001418590545654297,0.0002741813659667969,0.0421142578125,0.037841796875,0.001187524082434082,0.0006159814815063476,2.3245811462402344e-05,-4.9054622650146484e-05,0.17662283037499998,0.1842903867625,0.184408176675,0.0004878044128417969,0.009613037109375,0.01213836669921875,1.621246337890625e-05,0.0002541542053222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-8.344650268554688e-07,-2.2649765014648438e-06,-1.4901161193847656e-06,60.0625,0.01157379150390625,0.0090789794921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.028183099496875,0.324951171875,0.0,0.0,0.0,0.0,0.0,0.028322460809375,0.3251953125,0.006053924560546875,0.00014901161193847656,0.0010738372802734375,0.02276611328125,0.0182647705078125,0.003429412841796875,0.0004363059997558594,0.0110134407,-0.00012046098709106445,0.0193634033203125,0.018890380859375,0.0161181856147583,0.02014931288736572,0.011962890625,0.01111602783203125,0.063956060425,0.06418108749375,0.01201629638671875,0.00826263427734375,0.0002791881561279297,0.0007540477259582519,0.0001844167709350586,0.0003800392150878906,0.0517578125,0.0460205078125,0.0012650301212280273,0.0006626301241455078,4.661083221435547e-05,-6.93202018737793e-05,0.222505059075,0.233588084625,0.23382834345,0.0007257461547851562,0.0124664306640625,0.0158538818359375,6.258487701416016e-05,0.0005040168762207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.179115295410156e-06,-1.1324882507324219e-06,1.2218952178955078e-05,-2.562999725341797e-06,80.125,0.0197296142578125,0.013671875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.035378684790625003,0.402587890625,0.0,0.0,0.0,0.0,0.0,0.03554745748125,0.403076171875,0.00737762451171875,0.0001863241195678711,0.0011110305786132812,0.0252532958984375,0.0231475830078125,0.0011425018310546875,0.0005426406860351562,0.0135427410296875,-0.00013840198516845703,0.024322509765625,0.023834228515625,0.01606738938826294,0.020130142576416016,0.01493072509765625,0.01384735107421875,0.0759620517625,0.07520208511875,0.0172882080078125,0.0104522705078125,0.0003883838653564453,0.0007951318956420898,0.00023043155670166016,0.0004839897155761719,0.058197021484375,0.051177978515625,0.0013693015589233398,0.0007593404115722656,9.47713851928711e-06,-0.00013065338134765625,0.269196793425,0.2835661322375,0.28368449215,0.0009975433349609375,0.014892578125,0.0190582275390625,8.106231689453125e-06,0.0003674030303955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,9.5367431640625e-06,-2.7418136596679688e-06,100.125,0.02294921875,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.036235796134375,0.3994140625,0.0,0.0,0.0,0.0,0.0,0.036373012446875,0.399658203125,0.007198333740234375,0.00018644332885742188,0.0009522438049316406,0.02252197265625,0.0230712890625,0.0008864402770996094,0.0005245208740234375,0.0133347431171875,-0.0001499652862548828,0.025177001953125,0.0246429443359375,0.016108695386889648,0.02008992065620117,0.0148468017578125,0.013763427734375,0.07516990698750001,0.07455911109999999,0.01947021484375,0.01052093505859375,0.00040531158447265625,0.000714139366998291,0.0002485911178955078,0.0005006790161132812,0.052734375,0.045623779296875,0.0012887331013000489,0.0007493214541870117,-1.0073184967041016e-05,-0.00013554096221923828,0.2713211924125,0.28562935065,0.28586944937500003,0.001068115234375,0.014251708984375,0.0182952880859375,-6.121397018432617e-05,0.00010985136032104492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.1457672119140625e-06,3.814697265625e-06,-2.0265579223632812e-06,100.1875,0.0263671875,0.0224609375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.036753733875,0.398681640625,0.0,0.0,0.0,0.0,0.0,0.0368897618875,0.399169921875,0.007045745849609375,0.00018644332885742188,0.0008640289306640625,0.0203857421875,0.0227203369140625,0.0007338523864746094,0.0004954338073730469,0.01319315225,-0.00015819072723388672,0.026214599609375,0.025665283203125,0.01595161297869873,0.019848093375878905,0.01476287841796875,0.01367950439453125,0.07413581576875,0.07386534290624999,0.021331787109375,0.01055908203125,0.0004088878631591797,0.0006044559520385742,0.00028497067580566404,0.0005207061767578125,0.048248291015625,0.0408935546875,0.001281889474243164,0.0008019956448608399,4.589557647705078e-06,-0.00013554096221923828,0.2748793103,0.287810921625,0.2879288084375,0.0011320114135742188,0.0138702392578125,0.017822265625,-7.492303848266602e-05,4.696846008300781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.384185791015625e-06,3.814697265625e-06,-2.7418136596679688e-06,100.1875,0.02734375,0.02587890625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0367966990875,0.40087890625,0.0,0.0,0.0,0.0,0.0,0.0369318336,0.4013671875,0.00698089599609375,0.00018644332885742188,0.0008063316345214844,0.0188751220703125,0.0223388671875,0.0006198883056640625,0.0004930496215820312,0.01325225830078125,-0.0001575946807861328,0.0263519287109375,0.0257568359375,0.01601400416776123,0.019810408315771483,0.01465606689453125,0.01354217529296875,0.073675820621875,0.073592837871875,0.0233001708984375,0.010528564453125,0.0004284381866455078,0.0005299672804931641,0.0003225727479248047,0.0005445480346679688,0.043548583984375,0.03594970703125,0.001163092591760254,0.0007159388202880859,-2.962350845336914e-05,-0.00016963481903076172,0.2815027683625,0.291523166025,0.2916411087375,0.0012073516845703125,0.01378631591796875,0.0176239013671875,-0.00010114908218383789,5.185604095458984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-3.2186508178710938e-06,-1.52587890625e-05,-2.86102294921875e-06,100.1875,0.0234375,0.025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.036550716475,0.4052734375,0.0,0.0,0.0,0.0,0.0,0.0366848932875,0.405517578125,0.006988525390625,0.00018644332885742188,0.0008497238159179688,0.0181427001953125,0.0224456787109375,0.0006074905395507812,0.0004987716674804688,0.013275146484375,-0.00015485286712646484,0.0248870849609375,0.0241241455078125,0.01613957246776123,0.01988022962779541,0.0144805908203125,0.013336181640625,0.0743600614125,0.0748321358125,0.0242919921875,0.01042938232421875,0.0004417896270751953,0.0005160101854248046,0.0003608808970947266,0.0005478858947753906,0.0406494140625,0.0330810546875,0.0010938971327392579,0.000659649172467041,-1.4960765838623047e-05,-0.00015020370483398438,0.291907317925,0.296075031125,0.296070825325,0.0012493133544921875,0.01385498046875,0.017608642578125,-9.655952453613281e-05,-1.7702579498291016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.5033950805664062e-06,1.71661376953125e-05,-3.6954879760742188e-06,100.1875,0.02978515625,0.02490234375
