Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004064848639648438,0.0841064453125,0.0,0.0,0.0,0.0,0.0,0.004121214063671875,0.084228515625,0.002315521240234375,3.731250762939453e-05,0.0004820823669433594,0.007740020751953125,0.00839996337890625,0.0004520416259765625,0.0001270771026611328,0.00330836755625,-2.2232532501220703e-05,0.00878143310546875,0.0092620849609375,0.0165265109090271,0.020418427915020753,0.00470733642578125,0.004535675048828125,0.034658851064062496,0.038081916015625,0.00542449951171875,0.0027408599853515625,4.404783248901367e-05,0.0004860324866516113,4.100799560546875e-05,0.00012600421905517578,0.019744873046875,0.018157958984375,0.0008662312119750977,0.00046286839346923827,0.003101348876953125,0.003047943115234375,0.096750881534375,0.104971692009375,0.105027560165625,0.0001232624053955078,0.004970550537109375,0.00572967529296875,6.16312026977539e-05,9.500980377197266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-4.172325134277344e-07,1.5497207641601562e-06,-9.5367431640625e-07,20.046875,0.0029296875,0.0035152435302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.005572930438671875,0.167724609375,0.0,0.0,0.0,0.0,0.0,0.005668178383984375,0.16796875,0.004669189453125,7.456541061401367e-05,0.0009107589721679688,0.0148773193359375,0.016937255859375,0.0006537437438964844,0.0002605915069580078,0.0063389845796875,-4.38690185546875e-05,0.017852783203125,0.0185699462890625,0.016332300411499023,0.020309805907366942,0.0095672607421875,0.0092010498046875,0.055838083828124996,0.058948539153125,0.0122833251953125,0.0056610107421875,0.0001023411750793457,0.0004745653989990234,0.00010603666305541992,0.00029349327087402344,0.038970947265625,0.03570556640625,0.0010250744294433593,0.0005219568213745118,0.006023406982421875,0.00592041015625,0.15119928868125,0.168497189925,0.16861438373749998,0.0002968311309814453,0.0095977783203125,0.0111541748046875,0.00012481212615966797,0.00017189979553222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.0728836059570312e-06,3.039836883544922e-06,-1.7881393432617188e-06,40.125,0.006153106689453125,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.006937384417578125,0.23388671875,0.0,0.0,0.0,0.0,0.0,0.00706607843828125,0.234375,0.00714111328125,0.00011181831359863281,0.0014066696166992188,0.0215301513671875,0.0265350341796875,0.0007219314575195312,0.00030303001403808594,0.009492501315625,-6.23464584350586e-05,0.030029296875,0.030487060546875,0.016116961850854494,0.020127953997528075,0.01497650146484375,0.0144500732421875,0.0784970726875,0.0814152136875,0.0205230712890625,0.00870513916015625,0.00015795230865478516,0.0004508276263671875,0.00015807151794433594,0.0004246234893798828,0.057708740234375,0.05303955078125,0.001251897098791504,0.0006786855678100586,0.00403594970703125,0.003875732421875,0.20653005693749998,0.2343392148875,0.234701145425,0.00046062469482421875,0.0153045654296875,0.01751708984375,0.00022518634796142578,0.00027751922607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.8477439880371094e-06,2.2649765014648438e-06,-2.4437904357910156e-06,60.15625,0.01039886474609375,0.0146484375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.009063836801562499,0.2203369140625,0.0,0.0,0.0,0.0,0.0,0.00925660387578125,0.220703125,0.0095367431640625,0.00014913082122802734,0.0018739700317382812,0.029449462890625,0.03692626953125,0.0011692047119140625,0.0003991127014160156,0.01170771560234375,-7.998943328857422e-05,0.046630859375,0.04718017578125,0.016038315390759277,0.02001162615793457,0.020355224609375,0.019927978515625,0.0994785213625,0.1026942710875,0.028106689453125,0.01186370849609375,0.00021898746490478516,0.0004123342974609375,0.0002694129943847656,0.0005841255187988281,0.080078125,0.07574462890625,0.0014289428943603515,0.0008887701464233398,0.0015745162963867188,0.0013952255249023438,0.2709669731375,0.3007267565,0.300967015325,0.0006470680236816406,0.0224456787109375,0.0247802734375,0.0005288124084472656,0.00031828880310058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.9073486328125e-06,-1.5497207641601562e-06,-2.562999725341797e-06,80.25,0.0146484375,0.0203094482421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.021889915259375,0.1331787109375,0.0,0.0,0.0,0.0,0.0,0.0221807582625,0.13330078125,0.0115509033203125,0.00018644332885742188,0.0027027130126953125,0.03936767578125,0.04815673828125,0.001712799072265625,0.0004279613494873047,0.0129323894671875,-0.00011670589447021484,0.07275390625,0.0728759765625,0.015939179797351075,0.0198567360708313,0.0249176025390625,0.02496337890625,0.1157569736375,0.12061224136875,0.033172607421875,0.0148468017578125,0.0002167224884033203,0.00031555292377929685,0.0003669261932373047,0.0006260871887207031,0.10528564453125,0.1024169921875,0.0018577020182128905,0.0011628638567016602,-0.00010526180267333984,-0.0002624988555908203,0.340485855925,0.36864914005,0.368889570275,0.0006403923034667969,0.032196044921875,0.033172607421875,0.0022602081298828125,0.0003197193145751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.430511474609375e-06,3.814697265625e-06,-1.3113021850585938e-06,100.375,0.014892578125,0.0234375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.045757280509375,0.0120391845703125,0.0,0.0,0.0,0.0,0.0,0.04610811986875,0.012176513671875,0.01119232177734375,0.00018656253814697266,0.005092620849609375,0.040557861328125,0.04803466796875,0.0019445419311523438,0.00037789344787597656,0.01106881294140625,-7.277727127075195e-05,0.089599609375,0.088134765625,0.015923682569506836,0.0197817646427124,0.0237884521484375,0.02447509765625,0.10452781714375001,0.11148538063124999,0.0277862548828125,0.014251708984375,0.00017714500427246094,0.00020672502602539066,0.0005311171341308594,0.0005893707275390625,0.1090087890625,0.10858154296875,0.0022053929333007813,0.0010776238376098632,-5.4001808166503906e-05,-0.00018548965454101562,0.33907021585,0.3622895069,0.36252960562500003,0.0004105567932128906,0.03643798828125,0.035858154296875,0.00569915771484375,0.0010013580322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-4.76837158203125e-07,-1.9073486328125e-06,8.344650268554688e-07,100.375,0.01513671875,0.017578125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.060282786609375,-0.000705718994140625,0.0,0.0,0.0,0.0,0.0,0.060693472825,-0.0006208419799804688,0.01094818115234375,0.00018644332885742188,0.00806427001953125,0.042724609375,0.046295166015625,0.007587432861328125,0.0004265308380126953,0.0098209598671875,-4.839897155761719e-05,0.09814453125,0.09521484375,0.015813687830688476,0.0195499509427124,0.02301025390625,0.0239105224609375,0.09647468295625,0.10511534290624999,0.02044677734375,0.0134735107421875,0.00015056133270263672,0.00018734264790039063,0.0006433138001953125,0.0005598068237304688,0.11529541015625,0.11669921875,0.002736004388183594,0.001190975556665039,0.0002028942108154297,9.97781753540039e-05,0.333717200925,0.357146859125,0.35738681625,0.00021314620971679688,0.037872314453125,0.036590576171875,0.005840301513671875,0.0006241798400878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,-3.814697265625e-06,2.0265579223632812e-06,100.375,0.024658203125,0.02294921875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06420148424375,-0.000583648681640625,0.0,0.0,0.0,0.0,0.0,0.0646417945375,-0.0005307197570800781,0.010894775390625,0.0001863241195678711,0.0111236572265625,0.04766845703125,0.042022705078125,0.0254364013671875,0.0006465911865234375,0.00902557373046875,-3.0040740966796875e-05,0.102783203125,0.09954833984375,0.015863204416479492,0.019522875509375,0.0224761962890625,0.0234375,0.09134549835625,0.10102814060625,0.013671875,0.0123748779296875,0.00017642974853515625,0.000226460429296875,0.0007400436799316406,0.0005173683166503906,0.1256103515625,0.1282958984375,0.005675283410546875,0.0036153471607421874,0.0010290145874023438,0.0009293556213378906,0.3355799168,0.358417697275,0.358901850925,5.036592483520508e-05,0.040008544921875,0.03759765625,0.006641387939453125,0.0007777214050292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,-3.814697265625e-06,2.2649765014648438e-06,100.3125,0.0205078125,0.017578125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06297893913125,-0.0005154609680175781,0.0,0.0,0.0,0.0,0.0,0.06335725656875,-0.0004744529724121094,0.01126861572265625,0.00018596649169921875,0.0135345458984375,0.0521240234375,0.03753662109375,0.0419921875,0.0007047653198242188,0.0084991455078125,-2.8252601623535156e-05,0.10772705078125,0.1043701171875,0.016010826435046387,0.01963298956126709,0.022308349609375,0.0233001708984375,0.0868112332875,0.09710996784375,0.009246826171875,0.01151275634765625,0.00015246868133544922,0.00032408322924804684,0.0008422480083007813,0.0005083084106445312,0.1348876953125,0.137939453125,0.01230791500078125,0.00982773760859375,0.0014781951904296875,0.0013856887817382812,0.3443975523,0.36565510925,0.365895044075,-3.6597251892089844e-05,0.04278564453125,0.03924560546875,0.00865936279296875,0.00144195556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.430511474609375e-06,-1.9073486328125e-06,2.7418136596679688e-06,100.3125,0.011474609375,0.01318359375
