Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.002864172675292969,0.10369873046875,0.0,0.0,0.0,0.0,0.0,0.0029062329845703123,0.10382080078125,0.0019330978393554688,3.737211227416992e-05,0.0003249645233154297,0.00397491455078125,0.005649566650390625,0.00010979175567626953,9.530782699584961e-05,0.0034209011255859375,-1.9311904907226562e-05,0.00562286376953125,0.006195068359375,0.016544213488525392,0.02043863388959961,0.0038242340087890625,0.0034637451171875,0.029119910634375,0.0320546943359375,0.007965087890625,0.0025348663330078125,0.00011426210403442383,0.0004772706038696289,3.349781036376953e-05,0.00014257431030273438,0.0082550048828125,0.006450653076171875,0.0008001892655639649,0.0004774119267944336,1.4603137969970703e-05,-3.0994415283203125e-05,0.088816311221875,0.10018043224375,0.1002363004,0.000255584716796875,0.0026493072509765625,0.003406524658203125,4.3392181396484375e-05,5.5909156799316406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-7.152557373046875e-07,7.748603820800781e-07,-1.1324882507324219e-06,20.03125,0.0025386810302734375,0.0028324127197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.003841057880078125,0.2099609375,0.0,0.0,0.0,0.0,0.0,0.0039038808986328125,0.210205078125,0.0038967132568359375,7.474422454833984e-05,0.0005884170532226562,0.008148193359375,0.0118408203125,0.0002129077911376953,0.0001761913299560547,0.00662127217734375,-4.4465065002441406e-05,0.0105743408203125,0.011688232421875,0.016370328174865723,0.020354270972369384,0.00783538818359375,0.00710296630859375,0.046347117031249996,0.048572562590625,0.016632080078125,0.00527191162109375,0.0002142190933227539,0.0004779032591064453,6.35981559753418e-05,0.00028443336486816406,0.0174102783203125,0.0137481689453125,0.0009137329530029297,0.0005585540732666016,2.1338462829589844e-05,-6.592273712158203e-05,0.13520807774375,0.1593419164875,0.15945911029999998,0.0005373954772949219,0.005115509033203125,0.00666046142578125,7.796287536621094e-05,0.00010502338409423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-1.3113021850585938e-06,1.5497207641601562e-06,-2.0265579223632812e-06,40.0625,0.003612518310546875,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.004936575701757813,0.313232421875,0.0,0.0,0.0,0.0,0.0,0.005025215401171875,0.313720703125,0.005931854248046875,0.00011217594146728516,0.0008640289306640625,0.0132904052734375,0.019561767578125,0.0003266334533691406,0.00023543834686279297,0.00983582406953125,-7.075071334838867e-05,0.01447296142578125,0.016204833984375,0.01616744698497925,0.020199181548034666,0.01212310791015625,0.0110015869140625,0.06659521721875,0.06835369025,0.02569580078125,0.00820159912109375,0.0002837181091308594,0.00045440390505371094,8.89897346496582e-05,0.0004215240478515625,0.0289459228515625,0.023651123046875,0.0010389297030090332,0.0006443532924194336,1.1563301086425781e-05,-0.0001252889633178711,0.18333669756249998,0.2209114805125,0.221029270425,0.000858306884765625,0.00762176513671875,0.01001739501953125,0.00011402368545532227,0.00018310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-2.0265579223632812e-06,-4.589557647705078e-06,-2.86102294921875e-06,60.0625,0.0083465576171875,0.0105438232421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.006641504037890625,0.386474609375,0.0,0.0,0.0,0.0,0.0,0.006757977166796875,0.386962890625,0.00807952880859375,0.0001494884490966797,0.0012569427490234375,0.0201263427734375,0.0297088623046875,0.0005564689636230469,0.0002837181091308594,0.01286738357109375,-7.557868957519531e-05,0.017425537109375,0.02020263671875,0.01609708557050781,0.02013214674967041,0.016754150390625,0.01531982421875,0.091299810425,0.09323382186875,0.03411865234375,0.01129913330078125,0.0003070831298828125,0.0004063738329833984,0.0001214146614074707,0.0005578994750976562,0.04388427734375,0.03814697265625,0.0011557152027099609,0.0007124596071777343,3.88026237487793e-05,-0.00016307830810546875,0.2325148247,0.2808292955625,0.280947484075,0.0012264251708984375,0.01091766357421875,0.01422119140625,0.00019681453704833984,0.0002684593200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-2.086162567138672e-06,3.039836883544922e-06,-3.933906555175781e-06,80.125,0.0203094482421875,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0108883283453125,0.349365234375,0.0,0.0,0.0,0.0,0.0,0.011072359825,0.35009765625,0.01019287109375,0.00018703937530517578,0.0018100738525390625,0.0295257568359375,0.043487548828125,0.001064300537109375,0.0002803802490234375,0.01514491388125,-6.514787673950195e-05,0.0202789306640625,0.024566650390625,0.01599306239622803,0.020033821470458985,0.0216217041015625,0.02020263671875,0.11996839941875,0.1234808937125,0.03973388671875,0.01454925537109375,0.00028967857360839844,0.0003916084505126953,0.00017070770263671875,0.0006628036499023438,0.06463623046875,0.0609130859375,0.0013998191370483398,0.0009528766931579589,-0.00010770559310913086,-0.0003600120544433594,0.2871411293625,0.336178436925,0.336663007775,0.001605987548828125,0.0161285400390625,0.019775390625,0.00034618377685546875,0.0003113746643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.9073486328125e-06,-1.9073486328125e-06,-4.172325134277344e-06,100.25,0.025146484375,0.02734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0301475392984375,0.1561279296875,0.0,0.0,0.0,0.0,0.0,0.0304373435015625,0.1563720703125,0.01012420654296875,0.00018703937530517578,0.0028171539306640625,0.037506103515625,0.050933837890625,0.0016317367553710938,0.0002486705780029297,0.01351021919140625,-9.965896606445312e-05,0.0229949951171875,0.0281982421875,0.01597625386619873,0.01988792051505737,0.0209503173828125,0.0202178955078125,0.12350975073750001,0.12973489235,0.032135009765625,0.01454925537109375,0.00021195411682128906,0.00034739198769531254,0.00017646949771728515,0.0005192756652832031,0.07818603515625,0.0787353515625,0.0018749447826660157,0.0013450102740722655,-0.00022494792938232422,-0.00041866302490234375,0.2975663096,0.3368988819,0.33738312125000003,0.0014133453369140625,0.0201568603515625,0.02264404296875,0.0009050369262695312,-0.00012087821960449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-9.5367431640625e-07,-3.814697265625e-06,-1.3113021850585938e-06,100.3125,0.02001953125,0.0283203125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06391437840625,0.0037212371826171875,0.0,0.0,0.0,0.0,0.0,0.0643555822,0.003795623779296875,0.0095977783203125,0.000186920166015625,0.0089874267578125,0.04571533203125,0.052764892578125,0.0287933349609375,0.0005965232849121094,0.0115299442421875,-8.100271224975586e-05,0.0283050537109375,0.032562255859375,0.015750745325805664,0.019597515449243163,0.0190277099609375,0.0190582275390625,0.1167993899875,0.127759385875,0.01678466796875,0.0133209228515625,0.00026607513427734375,0.00032324123798828125,0.0002895006288085937,0.00034236907958984375,0.0963134765625,0.100830078125,0.0023650250791015627,0.0011406692364746094,-0.0002834796905517578,-0.0004088878631591797,0.2963636853,0.333221077875,0.333461035,0.0010280609130859375,0.0230255126953125,0.0247650146484375,0.0009150505065917969,-0.0002448558807373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-7.152557373046875e-07,-1.1444091796875e-05,2.5033950805664062e-06,100.3125,0.00341796875,0.01318359375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08690656236875,-0.000583648681640625,0.0,0.0,0.0,0.0,0.0,0.08728583750625,-0.0005574226379394531,0.0099029541015625,0.00018656253814697266,0.0168914794921875,0.06500244140625,0.0421142578125,0.0902099609375,0.0007295608520507812,0.01035308837890625,-7.766485214233398e-05,0.02154541015625,0.0235595703125,0.015761876520361328,0.01952776309024658,0.017730712890625,0.0178070068359375,0.112036416325,0.12702911716875,0.0031986236572265625,0.01148223876953125,3.600120544433594e-05,0.00039812180625,0.00026678280041503907,8.207559585571289e-05,0.1318359375,0.1375732421875,0.01628395650625,0.01308533312265625,-0.00025653839111328125,-0.0004138946533203125,0.294320151175,0.331562228525,0.33180224155,0.0005507469177246094,0.02532958984375,0.0258331298828125,0.0002608299255371094,-0.0008726119995117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.384185791015625e-07,7.62939453125e-06,4.410743713378906e-06,100.25,0.0166015625,0.02001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.089285091475,-0.0005202293395996094,0.0,0.0,0.0,0.0,0.0,0.0896634089125,-0.0005283355712890625,0.01165771484375,0.0001863241195678711,0.022857666015625,0.08001708984375,0.0335693359375,0.133544921875,0.0009331703186035156,0.0092315673828125,-5.7220458984375e-05,0.01763916015625,0.0190277099609375,0.015888636913256836,0.019622022306628416,0.0169830322265625,0.0170440673828125,0.10860078406875,0.1254913155,0.00030803680419921875,0.0105743408203125,4.655122756958008e-05,0.0005317458116455078,0.0003434763408203125,2.5033950805664062e-05,0.1634521484375,0.16943359375,0.03427294185625,0.0305415437609375,-0.00022792816162109375,-0.0003345012664794922,0.299719817925,0.3368465155,0.3368423097,0.0002758502960205078,0.0278778076171875,0.0262298583984375,0.00029015541076660156,-0.000888824462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.1920928955078125e-07,5.7220458984375e-06,4.291534423828125e-06,100.25,0.017578125,0.01953125
