Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00698881409375,0.06732177734375,0.0,0.0,0.0,0.0,0.0,0.00703182807734375,0.0673828125,0.0011997222900390625,3.74913215637207e-05,0.00016999244689941406,0.00312042236328125,0.00394439697265625,0.00013184547424316406,0.00011855363845825195,0.0022612331568359375,-3.135204315185547e-05,0.00914764404296875,0.00970458984375,0.016547372534698488,0.02043297144834595,0.0027484893798828125,0.002651214599609375,0.0213379282125,0.023910315673828127,0.0039520263671875,0.0018568038940429688,0.0001226663589477539,0.00048656892845458984,0.00012564659118652344,0.0001760721206665039,0.0078125,0.0068359375,0.000825223216369629,0.0005022074590209961,2.0444393157958984e-05,-3.159046173095703e-06,0.083079006534375,0.084463879509375,0.084519747665625,0.0002856254577636719,0.003215789794921875,0.00411224365234375,3.415346145629883e-05,2.765655517578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.7881393432617188e-07,-3.5762786865234375e-07,-8.344650268554688e-07,20.03125,0.00390625,0.0025386810302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0119854365421875,0.1412353515625,0.0,0.0,0.0,0.0,0.0,0.01204253751484375,0.141357421875,0.00234222412109375,7.49826431274414e-05,0.0002980232238769531,0.0061798095703125,0.00782012939453125,0.0004172325134277344,0.00024187564849853516,0.00431719502890625,-6.210803985595703e-05,0.017181396484375,0.018310546875,0.016378315197265625,0.02034449581062622,0.005481719970703125,0.005229949951171875,0.0295471902734375,0.0308418497,0.00809478759765625,0.003795623779296875,0.00023114681243896484,0.0004918507459838867,0.00023996829986572266,0.0003592967987060547,0.015716552734375,0.0135498046875,0.0009587344598083496,0.000604092021875,4.285573959350586e-05,-1.3172626495361328e-05,0.1226958707125,0.12674914305,0.12680530170624998,0.0005998611450195312,0.00609588623046875,0.0079498291015625,6.777048110961914e-05,7.230043411254883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-4.76837158203125e-07,-3.039836883544922e-06,-1.6689300537109375e-06,40.0625,0.00820159912109375,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0174316165953125,0.2216796875,0.0,0.0,0.0,0.0,0.0,0.0174954607625,0.2218017578125,0.0035247802734375,0.00011235475540161133,0.0004916191101074219,0.0097198486328125,0.0116424560546875,0.0004982948303222656,0.0003192424774169922,0.006898507175,-0.00010538101196289062,0.024017333984375,0.0252532958984375,0.01618658007595215,0.02019113492098999,0.0082244873046875,0.007762908935546875,0.0396329369453125,0.0397129431796875,0.011749267578125,0.00565338134765625,0.0003371238708496094,0.0005243797580200195,0.0003070831298828125,0.0004737377166748047,0.0248870849609375,0.021148681640625,0.0011381714365600586,0.000733223817779541,6.282329559326172e-05,-1.537799835205078e-05,0.16288992021874998,0.1713509336375,0.1713466532375,0.0008535385131835938,0.00902557373046875,0.01172637939453125,9.948015213012695e-05,7.194280624389648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-1.1324882507324219e-06,-1.1324882507324219e-06,-2.7418136596679688e-06,60.03125,0.00791168212890625,0.004100799560546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022689935434375,0.3056640625,0.0,0.0,0.0,0.0,0.0,0.0227835203796875,0.30615234375,0.004688262939453125,0.00014984607696533203,0.000644683837890625,0.01320648193359375,0.01544189453125,0.0008339881896972656,0.0004382133483886719,0.00932734450859375,-0.00014531612396240234,0.02880859375,0.0306396484375,0.016149954890423583,0.020163260374243163,0.0109100341796875,0.0102081298828125,0.049582281128125,0.048403499603125,0.0157318115234375,0.007610321044921875,0.0004451274871826172,0.000500310753149414,0.0003762245178222656,0.0006074905395507812,0.034027099609375,0.0287628173828125,0.001225452637097168,0.000792508645111084,9.739398956298828e-05,-2.0503997802734375e-05,0.2041945122,0.217474803375,0.2175929918875,0.00115203857421875,0.0114593505859375,0.0150909423828125,0.00012385845184326172,8.082389831542969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.7285346984863281e-06,-3.039836883544922e-06,-3.516674041748047e-06,80.0625,0.0128936767578125,0.0078125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.027993430884375,0.393798828125,0.0,0.0,0.0,0.0,0.0,0.0281164272078125,0.39404296875,0.005908966064453125,0.00018727779388427734,0.0008153915405273438,0.0169219970703125,0.0195159912109375,0.0014905929565429688,0.0005602836608886719,0.011818497865625,-0.00018537044525146484,0.0318603515625,0.03436279296875,0.01611757649916382,0.020139560110290528,0.0136260986328125,0.0126495361328125,0.060794815434374996,0.05847845230625,0.0197296142578125,0.00959014892578125,0.0005512237548828125,0.0004948436952636718,0.0004336833953857422,0.0007295608520507812,0.043487548828125,0.03662109375,0.001313809634637451,0.000850952750592041,0.00011199712753295898,-3.2961368560791016e-05,0.2463696449875,0.2656217963,0.2657401562125,0.0014505386352539062,0.013641357421875,0.018218994140625,0.00013625621795654297,0.00010144710540771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-9.5367431640625e-07,1.1444091796875e-05,-4.291534423828125e-06,100.0625,0.01318359375,0.00927734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0278587209390625,0.40478515625,0.0,0.0,0.0,0.0,0.0,0.0279959372515625,0.4052734375,0.006015777587890625,0.00018727779388427734,0.000850677490234375,0.0173187255859375,0.019866943359375,0.0015821456909179688,0.000560760498046875,0.012037746046875,-0.00018537044525146484,0.028045654296875,0.0305328369140625,0.01615018021965332,0.020122941629406737,0.0136260986328125,0.01256561279296875,0.06302391089375001,0.0610093064125,0.0198974609375,0.00966644287109375,0.0005464553833007812,0.0004913968094726563,0.00041095417026367186,0.0007066726684570312,0.04412841796875,0.0369873046875,0.0012692423824584961,0.0008153037959533692,9.97781753540039e-05,-5.984306335449219e-05,0.248005762725,0.2695160694,0.26987823843750003,0.0014562606811523438,0.01300048828125,0.0175628662109375,0.00014662742614746094,0.00014591217041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1444091796875e-05,-9.5367431640625e-07,0.0,-3.933906555175781e-06,100.0625,0.01318359375,0.0087890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.027567942859375,0.41552734375,0.0,0.0,0.0,0.0,0.0,0.0276887120828125,0.416015625,0.006122589111328125,0.00018727779388427734,0.0008935928344726562,0.017486572265625,0.020294189453125,0.0010156631469726562,0.0005793571472167969,0.0122623661171875,-0.0001823902130126953,0.0251312255859375,0.0273895263671875,0.016004720717193603,0.019901499137597655,0.013641357421875,0.012542724609375,0.064766919284375,0.06315367298437499,0.0202789306640625,0.00972747802734375,0.000553131103515625,0.0005008630794189453,0.0004034647096191406,0.0006885528564453125,0.0440673828125,0.036712646484375,0.0012455902455749512,0.0008026512959533692,0.0001291036605834961,-4.5180320739746094e-05,0.2486341931125,0.2725521325625,0.2727920896875,0.00146484375,0.0124053955078125,0.016937255859375,0.0001609325408935547,0.00023376941680908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.1457672119140625e-06,5.7220458984375e-06,-4.887580871582031e-06,100.0625,0.01171875,0.009765625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0272294383453125,0.425537109375,0.0,0.0,0.0,0.0,0.0,0.0273645728578125,0.426025390625,0.006206512451171875,0.00018727779388427734,0.0009140968322753906,0.0173492431640625,0.0205230712890625,0.000850677490234375,0.0005965232849121094,0.0126190185546875,-0.00018453598022460938,0.0233001708984375,0.0250396728515625,0.016048217233862305,0.019871443472021483,0.01364898681640625,0.01251983642578125,0.066046426090625,0.064803775371875,0.02099609375,0.009796142578125,0.0005602836608886719,0.0004953965865234375,0.00041245655224609375,0.0006823539733886719,0.04315185546875,0.035369873046875,0.0011490855002380372,0.0007135546344970703,0.00010222196578979492,-5.0067901611328125e-05,0.249398276175,0.27516574415,0.275405757175,0.0014896392822265625,0.01181793212890625,0.016326904296875,0.000156402587890625,0.0003044605255126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,5.7220458984375e-06,-4.5299530029296875e-06,100.0625,0.019287109375,0.00927734375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02684612663125,0.4345703125,0.0,0.0,0.0,0.0,0.0,0.02698030344375,0.43505859375,0.006282806396484375,0.00018703937530517578,0.0009202957153320312,0.0169677734375,0.0205230712890625,0.000759124755859375,0.0005884170532226562,0.0130767822265625,-0.0001857280731201172,0.0218963623046875,0.0229644775390625,0.016163056697802734,0.019937569296069334,0.01373291015625,0.01255035400390625,0.066700149303125,0.065829450265625,0.0221099853515625,0.00988006591796875,0.0005574226379394531,0.0004955061876220703,0.0004257307506103516,0.0006775856018066406,0.041290283203125,0.0330810546875,0.001052114276751709,0.0006071374804199218,0.00011688470840454102,-5.739927291870117e-05,0.2496709898,0.277032062375,0.2773940675125,0.0015249252319335938,0.01119232177734375,0.0156402587890625,0.00011354684829711914,0.00017702579498291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.9802322387695312e-06,3.814697265625e-06,-3.6954879760742188e-06,100.125,0.01904296875,0.013671875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0268397694875,0.440673828125,0.0,0.0,0.0,0.0,0.0,0.026972832,0.441162109375,0.00644683837890625,0.00018703937530517578,0.0008826255798339844,0.0163116455078125,0.020355224609375,0.0007143020629882812,0.0005707740783691406,0.013519287109375,-0.00019490718841552734,0.019775390625,0.0202789306640625,0.016484733642889403,0.020264400138134766,0.0138702392578125,0.0126495361328125,0.066796719984375,0.06636420632812501,0.023712158203125,0.00994873046875,0.000568389892578125,0.0005018083515625,0.00044631284460449217,0.000675201416015625,0.037811279296875,0.029144287109375,0.0009341682177429199,0.0004721855869995117,0.00010710954666137695,-5.4955482482910156e-05,0.25118720155,0.2787707373875,0.2788885236,0.00157928466796875,0.01062774658203125,0.0150299072265625,7.218122482299805e-05,9.644031524658203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,-4.0531158447265625e-06,-2.288818359375e-05,-3.6954879760742188e-06,100.125,0.016845703125,0.01708984375
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0277722548546875,0.441650390625,0.0,0.0,0.0,0.0,0.0,0.0279041090671875,0.44189453125,0.006893157958984375,0.00018703937530517578,0.0008668899536132812,0.015838623046875,0.0203704833984375,0.0006499290466308594,0.000560760498046875,0.0137786865234375,-0.00020492076873779297,0.0152435302734375,0.01525115966796875,0.016705956344537354,0.020458301530493165,0.0140228271484375,0.01279449462890625,0.06578587551875,0.0659577884125,0.02532958984375,0.01000213623046875,0.000583648681640625,0.0005071144072998047,0.0004645190998046875,0.0006981693072753906,0.033111572265625,0.024322509765625,0.0008262709139099121,0.0003585003596801758,6.073713302612305e-05,-7.68899917602539e-05,0.254907246675,0.2799840904625,0.280345954,0.0016565322875976562,0.01023101806640625,0.0146942138671875,3.540515899658203e-05,6.347894668579102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.0994415283203125e-06,5.7220458984375e-06,-4.291534423828125e-06,100.125,0.025634765625,0.0166015625
