Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0097506549140625,0.1019287109375,0.0,0.0,0.0,0.0,0.0,0.00979366889765625,0.1019287109375,0.003002166748046875,3.695487976074219e-05,0.00412750244140625,0.02337646484375,0.003154754638671875,0.03778076171875,6.973743438720703e-05,0.0029364345728515625,-2.5272369384765625e-05,2.086162567138672e-06,0.00017845630645751953,0.02073418159765625,0.02497669312421875,0.003856658935546875,0.003406524658203125,0.039434852040624996,0.044429572265625,3.814697265625e-05,0.0019350051879882812,-3.421306610107422e-05,0.0005309147841674805,-6.896257400512695e-05,-1.615285873413086e-05,0.052093505859375,0.04986572265625,0.006363567599609375,0.00616381424765625,2.4080276489257812e-05,-5.9604644775390625e-06,0.09733071551875,0.101126477165625,0.101121310165625,-0.00016045570373535156,0.00444793701171875,0.004962921142578125,-7.3909759521484375e-06,2.956390380859375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.7881393432617188e-07,-1.1324882507324219e-06,4.76837158203125e-07,20.0,9.763240814208984e-05,0.0002930164337158203
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.017890587909375,0.20703125,0.0,0.0,0.0,0.0,0.0,0.017970577065625,0.207275390625,0.006160736083984375,7.390975952148438e-05,0.00847625732421875,0.0484619140625,0.00618743896484375,0.07611083984375,0.00013458728790283203,0.00561419209921875,-4.875659942626953e-05,9.059906005859375e-06,0.0003609657287597656,0.026231678234375,0.0308660865203125,0.00787353515625,0.006938934326171875,0.06661078890625,0.072986625090625,7.361173629760742e-05,0.00394439697265625,-6.574392318725586e-05,0.0005822113874633789,-0.0001461505889892578,-3.921985626220703e-05,0.1065673828125,0.10186767578125,0.01199471325390625,0.0118803371390625,4.1484832763671875e-05,-1.609325408935547e-05,0.15119928868125,0.15928088133125,0.15933703998749998,-0.0003330707550048828,0.00879669189453125,0.00982666015625,-1.6808509826660156e-05,5.054473876953125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-4.76837158203125e-07,-3.039836883544922e-06,8.940696716308594e-07,40.0,0.0,0.0001952648162841797
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02632749061875,0.315185546875,0.0,0.0,0.0,0.0,0.0,0.026437111153125,0.3154296875,0.00951385498046875,0.00011086463928222656,0.0130767822265625,0.0753173828125,0.0091094970703125,0.1148681640625,0.00020182132720947266,0.00835572153046875,-7.241964340209961e-05,6.198883056640625e-06,0.0005087852478027344,0.033009633435937505,0.0379729289921875,0.0120849609375,0.0106353759765625,0.094976564875,0.10283855353125,0.00011563301086425781,0.00603485107421875,-9.489059448242188e-05,0.0006046076098876953,-0.0002288818359375,-6.538629531860352e-05,0.162841796875,0.15576171875,0.017494282009375,0.0174467834453125,7.522106170654297e-05,-2.1576881408691406e-05,0.20555349443749998,0.218103863325,0.2182216532375,-0.0005178451538085938,0.0129852294921875,0.0145111083984375,-2.372264862060547e-05,6.115436553955078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-1.1324882507324219e-06,2.2649765014648438e-06,1.9073486328125e-06,60.0,0.0002930164337158203,-0.0011720657348632812
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.035019036996875,0.42626953125,0.0,0.0,0.0,0.0,0.0,0.035158398309375,0.426513671875,0.01308441162109375,0.00014781951904296875,0.017974853515625,0.10382080078125,0.0118255615234375,0.1536865234375,0.0002684593200683594,0.0111355110125,-9.167194366455078e-05,-1.901388168334961e-05,0.0006513595581054688,0.0408601928703125,0.0461086854078125,0.0164642333984375,0.0145111083984375,0.1246250057375,0.1339442710875,0.0001379251480102539,0.0081787109375,-0.00012290477752685547,0.0006238115771240234,-0.00031304359436035156,-9.572505950927734e-05,0.2213134765625,0.2115478515625,0.0229207088703125,0.022969787640625,0.00010520219802856445,-1.633167266845703e-05,0.2604689262625,0.2769230455625,0.277041234075,-0.0007185935974121094,0.0169830322265625,0.01898193359375,-3.9458274841308594e-05,7.230043411254883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.987022399902344e-06,-5.960464477539062e-07,1.5497207641601562e-06,1.430511474609375e-06,80.0,-0.001953125,-0.0011720657348632812
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.043984641821875003,0.53955078125,0.0,0.0,0.0,0.0,0.0,0.0441534145125,0.5400390625,0.01690673828125,0.00018477439880371094,0.0230865478515625,0.134033203125,0.01441192626953125,0.1925048828125,0.0003485679626464844,0.01396235772890625,-0.00011032819747924805,-1.8894672393798828e-05,0.0007848739624023438,0.049199644465625,0.054612621671875,0.0211181640625,0.0186004638671875,0.1555518955125,0.166571714025,0.00016236305236816406,0.01036834716796875,-0.00014781951904296875,0.0006499349809692383,-0.0004010200500488281,-0.00012600421905517578,0.281494140625,0.268798828125,0.0284704606546875,0.02858135808125,0.00010251998901367188,-3.2067298889160156e-05,0.3158276528,0.335201874425,0.335686445275,-0.0009288787841796875,0.020782470703125,0.023284912109375,-4.684925079345703e-05,9.274482727050781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-9.5367431640625e-07,3.814697265625e-06,2.2649765014648438e-06,100.0,0.0009765625,-0.00634765625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04438398949375,0.5458984375,0.0,0.0,0.0,0.0,0.0,0.044551723384375,0.54638671875,0.01751708984375,0.00018477439880371094,0.023651123046875,0.1383056640625,0.01428985595703125,0.19189453125,0.00033020973205566406,0.014051906203125,-0.00010633468627929688,-3.355741500854492e-05,0.0008482933044433594,0.050509873746875,0.055616673128125,0.0217437744140625,0.0191802978515625,0.1584218601125,0.1696518845375,0.00016355514526367188,0.01053619384765625,-0.00014913082122802734,0.00063540163125,-0.0004075368117919922,-0.00012445449829101562,0.285888671875,0.273193359375,0.028300783253125,0.0284498648578125,0.00011444091796875,-1.8596649169921875e-05,0.31563271585,0.33348091315,0.33396515250000003,-0.0009531974792480469,0.0202789306640625,0.022796630859375,-6.514787673950195e-05,8.791685104370117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,1.1444091796875e-05,2.5033950805664062e-06,100.0,-0.001953125,-0.001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04450519871875,0.55078125,0.0,0.0,0.0,0.0,0.0,0.044671744309375,0.55126953125,0.0181884765625,0.00018465518951416016,0.02410888671875,0.1429443359375,0.01441192626953125,0.189697265625,0.00031495094299316406,0.0141239383828125,-0.00010943412780761719,-5.066394805908203e-05,0.0008482933044433594,0.050485232859375,0.05517123638125,0.0224609375,0.019866943359375,0.160622632175,0.1718267686875,0.0001678466796875,0.01074981689453125,-0.00013840198516845703,0.0006367616695068359,-0.0003942838560546875,-0.00011563301086425781,0.2900390625,0.27734375,0.027913960015625,0.0281625541546875,9.763240814208984e-05,-2.9325485229492188e-05,0.3149183728,0.33004724975,0.330287206875,-0.000972747802734375,0.0196533203125,0.02227783203125,-9.566545486450195e-05,7.68899917602539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.1920928955078125e-06,5.7220458984375e-06,2.1457672119140625e-06,100.0,0.00537109375,-0.00634765625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04442609361875,0.55419921875,0.0,0.0,0.0,0.0,0.0,0.044591745709375,0.5546875,0.018890380859375,0.00018465518951416016,0.0244140625,0.147705078125,0.01458740234375,0.1865234375,0.0003216266632080078,0.0142364501953125,-0.0001112222671508789,-8.726119995117188e-05,0.0007042884826660156,0.049433732446875,0.053427904806249996,0.02325439453125,0.0206298828125,0.1622073147625,0.173476871075,0.00013637542724609375,0.01096343994140625,-0.00014209747314453125,0.0006275996886352539,-0.0003843383391113281,-0.00011628866195678711,0.29443359375,0.281494140625,0.027728048303125,0.028092352165625,9.644031524658203e-05,-4.5180320739746094e-05,0.315316244925,0.32594699415,0.3264311478,-0.0009765625,0.018768310546875,0.021575927734375,-0.00013566017150878906,4.6372413635253906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.430511474609375e-06,3.814697265625e-06,2.86102294921875e-06,100.0,0.00146484375,-0.00146484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.044454769209375,0.55517578125,0.0,0.0,0.0,0.0,0.0,0.0446194636,0.55517578125,0.019744873046875,0.00018465518951416016,0.0247802734375,0.1524658203125,0.0147857666015625,0.181884765625,0.000308990478515625,0.0142059326171875,-0.00011640787124633789,-6.777048110961914e-05,0.0006604194641113281,0.0472704823875,0.0505259577390625,0.02410888671875,0.0214691162109375,0.162861037975,0.1741973701875,0.0001266002655029297,0.01110076904296875,-0.00014293193817138672,0.0006538161241455078,-0.00035795111889648436,-0.00011044740676879883,0.29833984375,0.285400390625,0.028444084434375,0.0288935945421875,7.474422454833984e-05,-7.021427154541016e-05,0.316321380425,0.321953937375,0.3221938722,-0.0009641647338867188,0.018035888671875,0.02105712890625,-0.00016951560974121094,5.614757537841797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.2649765014648438e-06,1.9073486328125e-06,2.7418136596679688e-06,100.0,-0.00146484375,-0.00439453125
