Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0066836383125,0.058990478515625,0.0,0.0,0.0,0.0,0.0,0.006745725782421875,0.05902099609375,0.0011034011840820312,3.7610530853271484e-05,0.0004239082336425781,0.00592803955078125,0.002170562744140625,0.007293701171875,0.0001277923583984375,0.00169856531015625,-2.7000904083251953e-05,0.0044403076171875,0.00666046142578125,0.016552200510925295,0.02040889117185669,0.002696990966796875,0.002773284912109375,0.022772254384375,0.0262563544921875,0.0014123916625976562,0.001186370849609375,7.545948028564453e-05,0.000555710316394043,0.00017213821411132812,0.00023114681243896484,0.017333984375,0.0170745849609375,0.0019022791474609376,0.0016376759419921875,9.715557098388672e-06,-2.0503997802734375e-05,0.060251858096875,0.0640323609546875,0.0640577115328125,0.00017583370208740234,0.0039520263671875,0.00540924072265625,2.944469451904297e-05,0.000110626220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,1.7881393432617188e-07,2.2649765014648438e-06,-5.960464477539062e-07,20.046875,0.0030269622802734375,0.00439453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0113445674015625,0.09576416015625,0.0,0.0,0.0,0.0,0.0,0.0114550741359375,0.0958251953125,0.002162933349609375,7.522106170654297e-05,0.0006918907165527344,0.01290130615234375,0.004146575927734375,0.0170135498046875,0.00028586387634277344,0.00314226827109375,-5.632638931274414e-05,0.007556915283203125,0.0121307373046875,0.01639762710217285,0.02028954032814331,0.005584716796875,0.005771636962890625,0.032141184414062496,0.0348243936453125,0.002979278564453125,0.0024509429931640625,0.00017130374908447266,0.0006179741743286133,0.0003819465637207031,0.0005145072937011719,0.03729248046875,0.03704833984375,0.003697746701171875,0.0035490383109375,-1.6987323760986328e-05,-8.863210678100586e-05,0.0750884488375,0.08103381101875,0.08102893451875,0.00037550926208496094,0.00809478759765625,0.0111541748046875,5.936622619628906e-05,0.0001971721649169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,1.1920928955078125e-07,4.589557647705078e-06,-1.0728836059570312e-06,40.15625,0.00527191162109375,0.0089874267578125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0243896244078125,0.08349609375,0.0,0.0,0.0,0.0,0.0,0.0245907976765625,0.08355712890625,0.0032367706298828125,0.00011271238327026367,0.001461029052734375,0.02032470703125,0.007415771484375,0.0233612060546875,0.0003533363342285156,0.004689797458203125,-0.00010651350021362305,0.021209716796875,0.0262908935546875,0.016189858331414796,0.020063163748657225,0.008514404296875,0.0089569091796875,0.04004492425,0.0420017615390625,0.003208160400390625,0.0036830902099609375,0.00016570091247558594,0.0007120747844177246,0.0005755424499511719,0.0007157325744628906,0.05914306640625,0.05975341796875,0.00709541726328125,0.00704791869921875,-0.00010561943054199219,-0.00016927719116210938,0.093035183890625,0.09548423441875001,0.09557150675312501,0.000400543212890625,0.0157623291015625,0.0200653076171875,0.00033473968505859375,0.00016188621520996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.1920928955078125e-07,-1.1324882507324219e-06,-9.5367431640625e-07,60.21875,0.007762908935546875,0.01377105712890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0637360780125,0.0246124267578125,0.0,0.0,0.0,0.0,0.0,0.06418061510625,0.024627685546875,0.00440216064453125,0.00015044212341308594,0.004001617431640625,0.030609130859375,0.0105133056640625,0.029541015625,0.0004291534423828125,0.0049557014421875,-0.0001302957534790039,0.04931640625,0.05267333984375,0.01610447654645996,0.01992496100443115,0.01056671142578125,0.011505126953125,0.0434940242921875,0.045412776946875,0.003398895263671875,0.00482940673828125,0.00016510486602783203,0.000668455456060791,0.0009546279907226562,0.00101470947265625,0.0816650390625,0.0838623046875,0.01240740320625,0.01141125492578125,-0.0001995563507080078,-0.0002256631851196289,0.1061720512625,0.0995548815,0.099642552434375,0.0003616809844970703,0.029327392578125,0.036041259765625,0.0036983489990234375,0.0009183883666992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,1.7881393432617188e-07,-6.079673767089844e-06,1.2516975402832031e-06,80.375,0.01406097412109375,0.017181396484375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.113106956275,-0.0005421638488769531,0.0,0.0,0.0,0.0,0.0,0.113611422325,-0.0005402565002441406,0.005794525146484375,0.00018799304962158203,0.0076446533203125,0.039581298828125,0.01220703125,0.03338623046875,0.0004851818084716797,0.0049978191546875,-0.0001366138458251953,0.08026123046875,0.07916259765625,0.01603198422926636,0.01985464990826416,0.012664794921875,0.01403045654296875,0.044101700199999996,0.0461340919546875,0.003330230712890625,0.005889892578125,9.042024612426758e-05,0.0005943834520385742,0.0015201568603515625,0.0014514923095703125,0.10247802734375,0.10601806640625,0.0179418962015625,0.01554272282734375,-0.00032067298889160156,-0.0003333091735839844,0.12240724264375,0.10409225528437499,0.1041190624625,0.0004372596740722656,0.0458984375,0.055389404296875,0.01018524169921875,0.0038776397705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-9.5367431640625e-07,-3.814697265625e-06,3.4570693969726562e-06,100.375,0.0146484375,0.02099609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.1317252980875,-0.0006775856018066406,0.0,0.0,0.0,0.0,0.0,0.13235079565,-0.0006885528564453125,0.006450653076171875,0.0001881122589111328,0.00923919677734375,0.041015625,0.0128936767578125,0.0290069580078125,0.00034236907958984375,0.004152766798828125,-0.0001558065414428711,0.09454345703125,0.0904541015625,0.01602876555824585,0.01979392399024658,0.012847900390625,0.01428985595703125,0.03812156714375,0.0402573532875,0.0040435791015625,0.00600433349609375,6.014108657836914e-05,0.0004627865799804688,0.0018467108536132813,0.001697540283203125,0.10382080078125,0.10772705078125,0.019511720753125,0.01708206700625,-0.0003952980041503906,-0.00037288665771484375,0.12086953225625,0.097732622134375,0.0977590978125,0.0004401206970214844,0.05145263671875,0.061492919921875,0.01534271240234375,0.00823974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.7881393432617188e-06,-3.814697265625e-06,4.649162292480469e-06,100.375,0.0185546875,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.1477156479375,-0.0006422996520996094,0.0,0.0,0.0,0.0,0.0,0.1483399572,-0.0007190704345703125,0.007343292236328125,0.0001881122589111328,0.0101165771484375,0.04296875,0.0147552490234375,0.02301025390625,0.00043511390686035156,0.0035400608193359375,-0.0001609325408935547,0.1070556640625,0.101806640625,0.015867391615631103,0.019560918197351073,0.01306915283203125,0.01454925537109375,0.0318384524875,0.033856797984375,0.006534576416015625,0.00615692138671875,0.00011533498764038086,0.00046581554829101563,0.002712787066796875,0.0024967193603515625,0.103515625,0.10748291015625,0.019308002984375,0.0171151908734375,-0.0003116130828857422,-0.0002892017364501953,0.11814102905,0.092712044671875,0.092768896328125,0.0004711151123046875,0.055389404296875,0.06536865234375,0.0186614990234375,0.01132965087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.2649765014648438e-06,0.0,4.172325134277344e-06,100.375,0.021484375,0.02490234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.15752423815,-0.000637054443359375,0.0,0.0,0.0,0.0,0.0,0.1581476539125,-0.0007090568542480469,0.008209228515625,0.00018846988677978516,0.0104522705078125,0.045166015625,0.017547607421875,0.01519775390625,0.00045228004455566406,0.0031452178955078125,-0.00013840198516845703,0.119873046875,0.1141357421875,0.015910888132299805,0.019549697599523925,0.01348876953125,0.01509857177734375,0.025580117496875,0.02735107761796875,0.01032257080078125,0.006366729736328125,0.00023472309112548828,0.0005297288619140625,0.0038714332978515625,0.0036258697509765625,0.10101318359375,0.105224609375,0.018816915490625,0.0170602476734375,-0.0002524852752685547,-0.00020015239715576172,0.11591438945625,0.090259738290625,0.090255610690625,0.0005717277526855469,0.05926513671875,0.06903076171875,0.02117919921875,0.01418304443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,0.0,3.6954879760742188e-06,100.375,0.0234375,0.0263671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.15740032585,-0.0005741119384765625,0.0,0.0,0.0,0.0,0.0,0.1580227839125,-0.0005917549133300781,0.009307861328125,0.00018858909606933594,0.01056671142578125,0.045013427734375,0.0198211669921875,0.007415771484375,0.00043511390686035156,0.002880096435546875,-0.00013136863708496094,0.132080078125,0.12646484375,0.01602757534022827,0.019639128839678954,0.014190673828125,0.01605224609375,0.019413161998437498,0.02148740925,0.015380859375,0.00676727294921875,0.0007672309875488281,0.0006557234727783203,0.005178605125,0.00494384765625,0.0970458984375,0.1015625,0.0186632006453125,0.0174495027453125,-0.0002505779266357422,-0.00021851062774658203,0.11594296245624999,0.09020344909375,0.09019924329375001,0.0007534027099609375,0.062347412109375,0.071533203125,0.0238494873046875,0.0174102783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,1.9073486328125e-06,2.86102294921875e-06,100.375,0.02734375,0.0185546875
