Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01139097473828125,0.1099853515625,0.0,0.0,0.0,0.0,0.0,0.01144161811640625,0.11004638671875,0.003265380859375,3.707408905029297e-05,0.0033206939697265625,0.0263671875,0.004337310791015625,0.03387451171875,3.1888484954833984e-05,0.003716540163671875,-2.4378299713134766e-05,9.179115295410156e-06,4.887580871582031e-05,0.02197014351171875,0.0264644250578125,0.0047454833984375,0.00417327880859375,0.043966712392187496,0.0478933173828125,6.479024887084961e-05,0.0024471282958984375,-2.2411346435546875e-05,0.0004896683699829102,-9.059906005859375e-05,-1.537799835205078e-05,0.053863525390625,0.051116943359375,0.003946956881835937,0.0036594654927734373,1.9848346710205078e-05,-1.245737075805664e-05,0.087473537784375,0.091849133415625,0.091905001571875,-0.00014126300811767578,0.0031337738037109375,0.0038089752197265625,-2.086162567138672e-05,-3.159046173095703e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.748603820800781e-07,-2.384185791015625e-07,1.5497207641601562e-06,4.172325134277344e-07,20.0,-0.0001952648162841797,9.763240814208984e-05
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.021308556659375,0.22265625,0.0,0.0,0.0,0.0,0.0,0.021388545815625,0.22265625,0.006702423095703125,7.408857345581055e-05,0.00681304931640625,0.054534912109375,0.00882720947265625,0.068603515625,7.647275924682617e-05,0.007189662069921875,-4.696846008300781e-05,8.046627044677734e-06,8.362531661987305e-05,0.0289935190546875,0.03406280282890625,0.00960540771484375,0.0084228515625,0.07552192171875,0.07973100985625,0.0001361370086669922,0.0050048828125,-4.166364669799805e-05,0.0005011490705688476,-0.0001895427703857422,-3.832578659057617e-05,0.1097412109375,0.1041259765625,0.00720345348828125,0.00689834251015625,4.57763671875e-05,-2.1696090698242188e-05,0.1312407925875,0.1405430883625,0.14072131733124998,-0.0002932548522949219,0.0061798095703125,0.007526397705078125,-3.6835670471191406e-05,-1.3649463653564453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-5.960464477539062e-07,0.0,1.2516975402832031e-06,40.0,0.0011720657348632812,-0.0013675689697265625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.03182065468125,0.337158203125,0.0,0.0,0.0,0.0,0.0,0.0319455340046875,0.33740234375,0.0103302001953125,0.0001112222671508789,0.0105133056640625,0.0845947265625,0.01351165771484375,0.103759765625,0.0001360177993774414,0.010713204440625,-6.526708602905273e-05,4.0531158447265625e-06,0.00012886524200439453,0.037663564100000005,0.04305410575,0.0146026611328125,0.0127716064453125,0.107916018,0.11236003790625,0.00019741058349609375,0.007663726806640625,-6.014108657836914e-05,0.0004851599017578125,-0.00029587745666503906,-7.015466690063477e-05,0.1669921875,0.158447265625,0.0102768747828125,0.009977606199218749,6.753206253051758e-05,-4.762411117553711e-05,0.17528005693749998,0.1896614805125,0.189779270425,-0.00045371055603027344,0.00914764404296875,0.01116180419921875,-6.473064422607422e-05,-3.6597251892089844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-7.152557373046875e-07,0.0,1.3709068298339844e-06,60.0,0.0029296875,-0.0020503997802734375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.043075677621875,0.45361328125,0.0,0.0,0.0,0.0,0.0,0.0432455565125,0.453857421875,0.0141754150390625,0.0001481771469116211,0.01444244384765625,0.1165771484375,0.018341064453125,0.13916015625,0.00018525123596191406,0.01422541579765625,-8.386373519897461e-05,5.364418029785156e-06,0.00019288063049316406,0.04786397705,0.05341764536875,0.0197601318359375,0.0172576904296875,0.1409824276125,0.1457850914,0.0002486705780029297,0.01041412353515625,-8.89897346496582e-05,0.0004664553149169922,-0.0004119873046875,-0.00011235475540161133,0.225830078125,0.2144775390625,0.0130330135578125,0.0127616577578125,4.953145980834961e-05,-7.617473602294922e-05,0.219575371575,0.238470897125,0.2385890856375,-0.0006279945373535156,0.0120697021484375,0.0147247314453125,-8.630752563476562e-05,-7.522106170654297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-9.5367431640625e-07,6.079673767089844e-06,1.7881393432617188e-06,80.0,-0.003124237060546875,-0.001953125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.055306663306250003,0.57080078125,0.0,0.0,0.0,0.0,0.0,0.055505953575,0.5712890625,0.01824951171875,0.00018537044525146484,0.018646240234375,0.150634765625,0.023162841796875,0.17431640625,0.00028133392333984375,0.0176626140765625,-9.870529174804688e-05,3.725290298461914e-05,0.00030875205993652344,0.05923992766875,0.064805492765625,0.025115966796875,0.02191162109375,0.1748390048875,0.180243589025,0.000278472900390625,0.013214111328125,-8.958578109741211e-05,0.0004619419313476562,-0.0005254745483398438,-0.00015807151794433594,0.285888671875,0.271484375,0.015637819053125,0.01546642888203125,7.170438766479492e-05,-6.955862045288086e-05,0.263825699675,0.2861296088,0.286370039025,-0.0008144378662109375,0.0149688720703125,0.0182647705078125,-0.00010055303573608398,-9.274482727050781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-9.5367431640625e-07,3.814697265625e-06,2.5033950805664062e-06,100.0,0.0009765625,-0.00244140625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.057170854728125,0.57421875,0.0,0.0,0.0,0.0,0.0,0.057369106196875,0.57470703125,0.01885986328125,0.00018537044525146484,0.0193939208984375,0.1563720703125,0.02313232421875,0.1754150390625,0.0002925395965576172,0.0176377216328125,-9.447336196899414e-05,6.407499313354492e-05,0.0004253387451171875,0.0621370710125,0.0674269758625,0.02557373046875,0.022308349609375,0.1767324069875,0.182225126725,0.000278472900390625,0.01342010498046875,-7.2479248046875e-05,0.0004558724411865235,-0.0005203087997070312,-0.00015807151794433594,0.29052734375,0.27587890625,0.01533081255,0.0152052359515625,9.733438491821289e-05,-5.251169204711914e-05,0.263630762725,0.28367622565,0.28403839468750003,-0.0008420944213867188,0.01486968994140625,0.018157958984375,-0.00012493133544921875,-0.00011718273162841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.3113021850585938e-06,3.814697265625e-06,2.7418136596679688e-06,100.0,-0.0048828125,-0.00146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.059184153796875,0.5771484375,0.0,0.0,0.0,0.0,0.0,0.059442252121875,0.57763671875,0.0196380615234375,0.00018548965454101562,0.0202789306640625,0.1630859375,0.0229034423828125,0.1767578125,0.00030350685119628906,0.017618201078125,-0.00010329484939575195,9.09566879272461e-05,0.0005164146423339844,0.06363830903125,0.068934664115625,0.026092529296875,0.02276611328125,0.17795661655,0.183911729625,0.0002684593200683594,0.0135955810546875,-3.2961368560791016e-05,0.0004488878291748047,-0.0004982343565429687,-0.0001531839370727539,0.29541015625,0.280517578125,0.01513472417578125,0.01505525435,9.000301361083984e-05,-7.933378219604492e-05,0.2625502087375,0.279754281,0.2801163084375,-0.0008544921875,0.014678955078125,0.0179901123046875,-0.00013720989227294922,-0.00013303756713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1444091796875e-05,-4.76837158203125e-07,1.1444091796875e-05,2.0265579223632812e-06,100.0,-0.0029296875,-0.00146484375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.061485419790625,0.57958984375,0.0,0.0,0.0,0.0,0.0,0.0617121070375,0.57958984375,0.020599365234375,0.00018548965454101562,0.0212554931640625,0.1707763671875,0.022796630859375,0.176513671875,0.00028896331787109375,0.0176849365234375,-0.00010788440704345703,0.0001494884490966797,0.0009007453918457031,0.063349748071875,0.0688697993375,0.0269012451171875,0.023529052734375,0.1791750882,0.185683902325,0.00022518634796142578,0.01381683349609375,-9.936094284057617e-05,0.0004126653395751953,-0.0004696921904296875,-0.00014925003051757812,0.30126953125,0.28662109375,0.01507088277578125,0.01506134630625,5.704164505004883e-05,-8.058547973632812e-05,0.2617273777375,0.2755319550875,0.275894038425,-0.0008654594421386719,0.0142974853515625,0.01763916015625,-0.00016641616821289062,-0.00015747547149658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.430511474609375e-06,1.1444091796875e-05,2.9802322387695312e-06,100.0,-0.0009765625,0.0009765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06371136100625,0.580078125,0.0,0.0,0.0,0.0,0.0,0.06396760813125,0.58056640625,0.0219879150390625,0.00018548965454101562,0.0222625732421875,0.1795654296875,0.0233612060546875,0.1739501953125,0.0002620220184326172,0.01776123046875,-0.00012314319610595703,0.00022280216217041016,0.0011959075927734375,0.059141820278125,0.0650370661375,0.028106689453125,0.024688720703125,0.18019502235,0.187014753,0.00017118453979492188,0.01404571533203125,-0.00013506412506103516,0.00040228452319335934,-0.0004447354816894531,-0.00015783309936523438,0.307373046875,0.29296875,0.0149705736921875,0.01507676104609375,3.999471664428711e-05,-0.00013554096221923828,0.26090145855,0.27092854675,0.2712905518875,-0.000881195068359375,0.01361083984375,0.0169525146484375,-0.00025200843811035156,-0.00020992755889892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.9073486328125e-06,1.9073486328125e-06,3.0994415283203125e-06,100.0,-0.00146484375,0.00244140625
