Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.003157904364746094,0.06817626953125,0.0,0.0,0.0,0.0,0.0,0.00320187202265625,0.06829833984375,0.0010385513305664062,3.7610530853271484e-05,0.00014603137969970703,0.0018367767333984375,0.0026988983154296875,5.02467155456543e-05,0.00013720989227294922,0.002465319460546875,-1.996755599975586e-05,0.0089569091796875,0.00948333740234375,0.016545703604644777,0.020429275960369874,0.0027332305908203125,0.0026302337646484375,0.019915046132421874,0.022849829833984377,0.0054779052734375,0.00159454345703125,0.0001552104949951172,0.0005423588759643555,0.00028252601623535156,0.00035643577575683594,0.0042724609375,0.003170013427734375,0.0008396475404052735,0.0005140687833312988,1.1920928955078125e-05,-2.759695053100586e-05,0.07767739520625,0.0835178345875,0.083543185165625,0.0003685951232910156,0.0024013519287109375,0.003200531005859375,5.08427619934082e-05,6.759166717529297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-5.960464477539062e-07,-1.1324882507324219e-06,-1.0728836059570312e-06,20.03125,0.004688262939453125,0.00390625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00439418898359375,0.1397705078125,0.0,0.0,0.0,0.0,0.0,0.004462734048046875,0.139892578125,0.0020008087158203125,7.522106170654297e-05,0.0002536773681640625,0.0035247802734375,0.005207061767578125,9.930133819580078e-05,0.0002675056457519531,0.00474444112265625,-4.458427429199219e-05,0.0165557861328125,0.0176239013671875,0.016377659546173096,0.020341038741229247,0.00542449951171875,0.00518798828125,0.02636573275390625,0.02840807284453125,0.0112457275390625,0.0032196044921875,0.00031065940856933594,0.0006315044286926269,0.0005550384521484375,0.0007100105285644531,0.00815582275390625,0.0058135986328125,0.0010133323144226073,0.0006399740180297852,1.5139579772949219e-05,-5.519390106201172e-05,0.11103815586875,0.12351427976875,0.123570438425,0.0007686614990234375,0.00450897216796875,0.006137847900390625,0.00010192394256591797,0.0001417398452758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.430511474609375e-06,0.0,-1.9669532775878906e-06,40.0625,0.00937652587890625,0.0087890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.005678534319921875,0.2144775390625,0.0,0.0,0.0,0.0,0.0,0.005772896065234375,0.21484375,0.0028858184814453125,0.00011277198791503906,0.00034046173095703125,0.005260467529296875,0.007801055908203125,0.00015664100646972656,0.0004019737243652344,0.00715027719453125,-7.295608520507812e-05,0.02227783203125,0.023956298828125,0.016183421029779054,0.02018583010760498,0.0080413818359375,0.007640838623046875,0.033056398859375,0.034082450015625,0.01715087890625,0.00485992431640625,0.0004565715789794922,0.0007203002253967285,0.0007929801940917969,0.0010309219360351562,0.0120391845703125,0.00830841064453125,0.001189193012487793,0.0007704171161193847,2.872943878173828e-05,-9.632110595703125e-05,0.14427419756249998,0.1642708555125,0.16432761026875,0.00119781494140625,0.006366729736328125,0.00881195068359375,0.00014674663543701172,0.0002307891845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-1.7285346984863281e-06,0.0,-2.9802322387695312e-06,60.0625,0.01406097412109375,0.01259613037109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.007068750131640625,0.292724609375,0.0,0.0,0.0,0.0,0.0,0.007185223260546875,0.293212890625,0.003742218017578125,0.00015044212341308594,0.0004208087921142578,0.007415771484375,0.0109710693359375,0.0002294778823852539,0.0005235671997070312,0.0095943733171875,-0.0001049041748046875,0.025543212890625,0.0278778076171875,0.01613553056638794,0.020141743097479247,0.0106048583984375,0.010009765625,0.0405643367921875,0.040529964446875,0.023101806640625,0.00650787353515625,0.0005941390991210938,0.0008288515551513672,0.000965118408203125,0.0012865066528320312,0.016632080078125,0.011322021484375,0.001285891746899414,0.0008384638262329101,2.6106834411621094e-05,-0.0001474618911743164,0.1777052543875,0.205756053375,0.205752171575,0.00165557861328125,0.00803375244140625,0.0112457275390625,0.00020122528076171875,0.00035119056701660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-2.205371856689453e-06,1.0669231414794922e-05,-4.470348358154297e-06,80.125,0.0207061767578125,0.017578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0085079572515625,0.37353515625,0.0,0.0,0.0,0.0,0.0,0.008650027061328124,0.3740234375,0.00463104248046875,0.00018799304962158203,0.0005269050598144531,0.010528564453125,0.01544189453125,0.00037288665771484375,0.0006780624389648438,0.01200923272890625,-0.00014293193817138672,0.0259552001953125,0.0290679931640625,0.01609301938551636,0.02011857927532959,0.01316070556640625,0.0123443603515625,0.050144180668749996,0.049231626134375,0.028961181640625,0.00815582275390625,0.0006947517395019531,0.0009343087411926269,0.00106048583984375,0.0014600753784179688,0.0229644775390625,0.0159912109375,0.0013826529993530273,0.000916875487713623,2.5331974029541016e-05,-0.00019168853759765625,0.21084718405,0.2476774603625,0.2479178905875,0.00212860107421875,0.009552001953125,0.01346588134765625,0.0002205371856689453,0.00042176246643066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.6226043701171875e-06,3.814697265625e-06,-5.841255187988281e-06,100.125,0.025390625,0.02783203125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.00847242943515625,0.379638671875,0.0,0.0,0.0,0.0,0.0,0.00860964574765625,0.38037109375,0.00467681884765625,0.00018799304962158203,0.0005779266357421875,0.01270294189453125,0.0180816650390625,0.0004930496215820312,0.0006618499755859375,0.012068263625,-0.00015246868133544922,0.0199432373046875,0.023101806640625,0.016105655550006103,0.020100172655102538,0.01318359375,0.01232147216796875,0.054540024175,0.0541733689125,0.028656005859375,0.0082244873046875,0.0006556510925292969,0.0008651775368591309,0.0009617010879882813,0.0013475418090820312,0.026763916015625,0.0196685791015625,0.0012734743122375489,0.00079330968203125,-4.9114227294921875e-05,-0.00024044513702392578,0.2095536142875,0.2483979053375,0.24851593375,0.0021762847900390625,0.00913238525390625,0.01294708251953125,0.00015497207641601562,0.0003490447998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,7.62939453125e-06,-4.649162292480469e-06,100.1875,0.021240234375,0.0234375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.008559306384765625,0.3828125,0.0,0.0,0.0,0.0,0.0,0.00869914909453125,0.383056640625,0.00475311279296875,0.00018799304962158203,0.0006690025329589844,0.015777587890625,0.0216217041015625,0.0006299018859863281,0.0006542205810546875,0.01223947793359375,-0.0001558065414428711,0.0153350830078125,0.018218994140625,0.015938201933624267,0.019874319419580077,0.0133819580078125,0.012481689453125,0.0594263431125,0.05982725696875,0.0280914306640625,0.0083465576171875,0.0005955696105957031,0.0007036380809448242,0.0008903154481445313,0.0012607574462890625,0.031707763671875,0.0246734619140625,0.001211377179473877,0.000717476258569336,2.4080276489257812e-05,-0.00020873546600341797,0.2073744274875,0.2476497888125,0.24776767562500002,0.0021953582763671875,0.00885009765625,0.01256561279296875,0.00011670589447021484,0.0003249645233154297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-2.86102294921875e-06,3.814697265625e-06,-4.172325134277344e-06,100.25,0.0224609375,0.02294921875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01054395250546875,0.3740234375,0.0,0.0,0.0,0.0,0.0,0.01069434580703125,0.374267578125,0.00478363037109375,0.00018799304962158203,0.000701904296875,0.018829345703125,0.024810791015625,0.000762939453125,0.0006880760192871094,0.01271820068359375,-0.00015091896057128906,0.0142669677734375,0.01629638671875,0.015981638845648193,0.01985856886875,0.0135955810546875,0.01265716552734375,0.06253690460625,0.063399966778125,0.0278167724609375,0.00853729248046875,0.0005602836608886719,0.0005564317427734375,0.0007862968842773438,0.0011339187622070312,0.034332275390625,0.0275421142578125,0.0011255416655517579,0.0005652582782958984,0.00010222196578979492,-0.000152587890625,0.204964682425,0.244648166025,0.2447661087375,0.0022296905517578125,0.008758544921875,0.01239013671875,6.42538070678711e-05,0.00023472309112548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.5033950805664062e-06,-3.814697265625e-06,-3.6954879760742188e-06,100.25,0.0205078125,0.025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01891155631875,0.343017578125,0.0,0.0,0.0,0.0,0.0,0.019076250709375,0.343505859375,0.005077362060546875,0.00018799304962158203,0.0009107589721679688,0.020721435546875,0.02691650390625,0.000759124755859375,0.0006184577941894531,0.01284027099609375,-0.0001475811004638672,0.0182037353515625,0.0187835693359375,0.01606572231288452,0.0199168268796875,0.01366424560546875,0.01276397705078125,0.0604440457875,0.061770612375,0.0275421142578125,0.00865936279296875,0.000522613525390625,0.000509811302368164,0.0007707224345703125,0.0010690689086914062,0.03179931640625,0.02557373046875,0.00107744625078125,0.00047481516901855465,0.00013637542724609375,-8.177757263183594e-05,0.202551849175,0.23870198425,0.238941919075,0.0022144317626953125,0.01062774658203125,0.01418304443359375,0.00010573863983154297,0.00011748075485229492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.814697265625e-06,-5.7220458984375e-06,-3.6954879760742188e-06,100.375,0.0234375,0.02294921875
