Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01038389466015625,0.084228515625,0.0,0.0,0.0,0.0,0.0,0.010457426221875,0.0843505859375,0.0021190643310546875,3.743171691894531e-05,0.00031757354736328125,0.0098724365234375,0.0112762451171875,0.0011777877807617188,0.0001245737075805664,0.00270564538828125,-7.033348083496094e-06,0.0018253326416015625,0.0026702880859375,0.016543438628143312,0.020443521470471192,0.0037479400634765625,0.003498077392578125,0.0304474252828125,0.0327871162109375,0.003917694091796875,0.003078460693359375,4.45246696472168e-05,0.0006165070540649414,2.6226043701171875e-05,7.534027099609375e-05,0.0160064697265625,0.01485443115234375,0.0007702677338867188,0.0004480864415649414,5.304813385009766e-06,-8.046627044677734e-06,0.09128823505,0.09407691661875,0.09419381993125,0.000133514404296875,0.0034732818603515625,0.0045166015625,1.7285346984863281e-06,1.33514404296875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.7881393432617188e-07,3.814697265625e-06,-7.152557373046875e-07,20.03125,0.003223419189453125,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01853145705,0.175537109375,0.0,0.0,0.0,0.0,0.0,0.018641963784375,0.175537109375,0.00417327880859375,7.474422454833984e-05,0.0006275177001953125,0.019744873046875,0.0213775634765625,0.003856658935546875,0.00025534629821777344,0.00518694600546875,-1.2218952178955078e-05,0.00307464599609375,0.004688262939453125,0.01637658666256714,0.020375192202685546,0.007415771484375,0.006866455078125,0.047842478359374996,0.04890825595,0.007732391357421875,0.00612640380859375,8.857250213623047e-05,0.0006925991895874023,4.762411117553711e-05,0.00015997886657714844,0.03277587890625,0.0303955078125,0.0008296904038696289,0.0005124200782104493,-3.039836883544922e-06,-3.36766242980957e-05,0.1390532925875,0.14609728758125,0.14615344623749998,0.0003197193145751953,0.006427764892578125,0.008544921875,-9.417533874511719e-06,2.8312206268310547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-4.76837158203125e-07,4.589557647705078e-06,-1.0728836059570312e-06,40.0625,0.005077362060546875,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.026968359759375,0.2734375,0.0,0.0,0.0,0.0,0.0,0.02713901545,0.273681640625,0.0062408447265625,0.0001119375228881836,0.0010786056518554688,0.02935791015625,0.0309600830078125,0.0054779052734375,0.00034427642822265625,0.00812683969453125,-2.9861927032470703e-05,0.004016876220703125,0.006072998046875,0.016191646470758058,0.02025139521685791,0.01092529296875,0.01001739501953125,0.06708349846875,0.06737712775,0.0107269287109375,0.00893402099609375,0.0001418590545654297,0.0010282774249511719,4.565715789794922e-05,0.0002014636993408203,0.05029296875,0.04638671875,0.0010081737063049317,0.0006141933421630859,3.2067298889160156e-05,-3.445148468017578e-05,0.18712087724999998,0.198572613325,0.19881247355,0.00045013427734375,0.00946807861328125,0.01241302490234375,2.1696090698242188e-05,8.130073547363281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.430511474609375e-06,-6.854534149169922e-06,-1.7881393432617188e-06,60.0625,0.0112762451171875,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03578197645,0.373291015625,0.0,0.0,0.0,0.0,0.0,0.03598237291875,0.37353515625,0.00820159912109375,0.0001494884490966797,0.0015010833740234375,0.03948974609375,0.04046630859375,0.00876617431640625,0.0004398822784423828,0.0108150764421875,-4.2319297790527344e-05,0.0037288665771484375,0.00672149658203125,0.016151623820477294,0.02056118098276367,0.01444244384765625,0.0131988525390625,0.08769873620625,0.08737444686875,0.01407623291015625,0.0117950439453125,0.0002071857452392578,0.0011929167254394531,4.3332576751708984e-05,0.0002512931823730469,0.06982421875,0.0645751953125,0.0010555793994873046,0.0006197147799072265,3.4928321838378906e-05,-6.151199340820312e-05,0.2345900200125,0.251166209625,0.2515285387625,0.0006260871887207031,0.01209259033203125,0.016082763671875,5.042552947998047e-05,0.00011330842971801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.987022399902344e-06,-1.5497207641601562e-06,3.039836883544922e-06,-2.205371856689453e-06,80.0625,0.0148468017578125,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.045235862525000003,0.476806640625,0.0,0.0,0.0,0.0,0.0,0.045465670371875,0.4775390625,0.01012420654296875,0.00018656253814697266,0.0020294189453125,0.0521240234375,0.050323486328125,0.0181427001953125,0.0005426406860351562,0.0134817058734375,-6.699562072753906e-05,0.0027294158935546875,0.00681304931640625,0.018914762873828126,0.0244459956953125,0.0179290771484375,0.016326904296875,0.11240004004375,0.11206731949375,0.016326904296875,0.0144805908203125,0.0002684593200683594,0.001445656988720703,3.9696693420410156e-05,0.00029087066650390625,0.09478759765625,0.08819580078125,0.0010970871462341308,0.00065014470234375,2.8967857360839844e-05,-8.422136306762695e-05,0.2812817543625,0.30419601505,0.304436445275,0.0007910728454589844,0.01468658447265625,0.01983642578125,9.900331497192383e-05,0.00020170211791992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,3.814697265625e-06,-2.9802322387695312e-06,100.125,0.015625,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0462760793375,0.4873046875,0.0,0.0,0.0,0.0,0.0,0.046504848384375,0.48779296875,0.0100860595703125,0.00018656253814697266,0.002315521240234375,0.057891845703125,0.0504150390625,0.031646728515625,0.0005512237548828125,0.0134873310078125,-9.232759475708008e-05,0.0013570785522460938,0.00534820556640625,0.02445549142265625,0.02976065506171875,0.017913818359375,0.0162811279296875,0.12039695776875001,0.12149514625624999,0.0142364501953125,0.01409912109375,0.00043702125549316406,0.0014088315018554688,4.808120764160156e-06,0.00023424625396728516,0.108642578125,0.101806640625,0.001094064331463623,0.0006278471881347656,1.6808509826660156e-05,-0.00011110305786132812,0.2798661142875,0.304916460025,0.30540069937500003,0.0007519721984863281,0.014404296875,0.0196990966796875,0.00015223026275634766,0.00032019615173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.9802322387695312e-06,-1.9073486328125e-05,-8.344650268554688e-07,100.125,0.012939453125,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.047343333484375,0.496826171875,0.0,0.0,0.0,0.0,0.0,0.047601431809375,0.49755859375,0.01015472412109375,0.00018656253814697266,0.0028438568115234375,0.0653076171875,0.051025390625,0.04718017578125,0.0005865097045898438,0.01349832803125,-0.00012350082397460938,0.0004911422729492188,0.0037250518798828125,0.029855350046875,0.0346786826703125,0.018035888671875,0.016326904296875,0.12912849155,0.132153917125,0.0118255615234375,0.0137481689453125,0.00045299530029296875,0.0012540273708007811,-3.242405762329101e-05,0.00015854835510253906,0.1246337890625,0.1175537109375,0.0011210761426391602,0.0006616863110595703,-1.0073184967041016e-05,-0.00011599063873291016,0.2778089978,0.304900765375,0.3051407225,0.0006728172302246094,0.01425933837890625,0.0196075439453125,0.0001652240753173828,0.0003044605255126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,7.62939453125e-06,-1.3113021850585938e-06,100.125,0.013427734375,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0486375194,0.5048828125,0.0,0.0,0.0,0.0,0.0,0.048925241803125,0.5048828125,0.0103912353515625,0.00018656253814697266,0.0037326812744140625,0.07135009765625,0.05316162109375,0.056640625,0.0005826950073242188,0.0135650634765625,-0.000148773193359375,0.00025200843811035156,0.0024127960205078125,0.03524305861875,0.039359301290624996,0.01837158203125,0.0165863037109375,0.1381594632,0.1430813632625,0.01023101806640625,0.013641357421875,0.00014293193817138672,0.0008363351546386719,-8.416934802246093e-05,5.459785461425781e-05,0.135498046875,0.1285400390625,0.001111534574029541,0.0006531155246948242,4.589557647705078e-06,-0.00010865926742553711,0.2763758152375,0.304706759775,0.3049467728,0.0005898475646972656,0.014068603515625,0.0194854736328125,0.00010752677917480469,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-8.344650268554688e-07,1.9073486328125e-06,-5.960464477539062e-07,100.125,0.00927734375,0.01220703125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0505888024125,0.50830078125,0.0,0.0,0.0,0.0,0.0,0.05090608469375,0.50830078125,0.01076507568359375,0.00018644332885742188,0.0044403076171875,0.07257080078125,0.05682373046875,0.051025390625,0.0005645751953125,0.01355743408203125,-0.0001609325408935547,0.00023496150970458984,0.00218963623046875,0.03616208395,0.03976851145,0.0188140869140625,0.016998291015625,0.1446725614125,0.151126081125,0.01049041748046875,0.013763427734375,7.432699203491211e-05,0.0006197222673339843,-9.926696057128906e-05,-7.62939453125e-06,0.134765625,0.1285400390625,0.001017007140979004,0.000613574782055664,-3.451108932495117e-05,-0.00012814998626708984,0.2746954038625,0.303887531125,0.304371606575,0.0005583763122558594,0.0138092041015625,0.01947021484375,7.796287536621094e-05,8.791685104370117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.9073486328125e-06,7.62939453125e-06,0.0,100.125,0.009765625,0.0068359375
