Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006077101447265625,0.1015625,0.0,0.0,0.0,0.0,0.0,0.006123930128125,0.1016845703125,0.00201416015625,3.725290298461914e-05,0.0004634857177734375,0.0106048583984375,0.009002685546875,0.005329132080078125,8.976459503173828e-05,0.0036841152369140625,-2.4497509002685547e-05,0.00133514404296875,0.0019197463989257812,0.016546120837158205,0.020431719750805665,0.00417327880859375,0.0037899017333984375,0.035498084462499996,0.03860071484375,0.00397491455078125,0.0029201507568359375,4.9948692321777344e-05,0.00048722457954711914,-2.0563602447509766e-05,8.559226989746094e-05,0.0240478515625,0.022308349609375,0.000818368682220459,0.0004741932759765625,1.3589859008789062e-05,-2.9087066650390625e-05,0.087137844425,0.094229504509375,0.094285372665625,0.00012564659118652344,0.0034542083740234375,0.004413604736328125,2.8967857360839844e-05,0.0001061558723449707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-4.172325134277344e-07,7.748603820800781e-07,-7.152557373046875e-07,20.03125,0.003368377685546875,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01115383253828125,0.2060546875,0.0,0.0,0.0,0.0,0.0,0.01121856290546875,0.206298828125,0.00409698486328125,7.450580596923828e-05,0.0008788108825683594,0.023284912109375,0.02032470703125,0.01129913330078125,0.00017511844635009766,0.007189662069921875,-4.696846008300781e-05,0.0011730194091796875,0.00246429443359375,0.01637283156994629,0.020346224345324706,0.008575439453125,0.007770538330078125,0.060324167812499996,0.06276323641875,0.0083465576171875,0.00620269775390625,7.88569450378418e-05,0.0004979304197509765,-4.863739013671875e-05,0.00016617774963378906,0.05126953125,0.0477294921875,0.0009581980180053711,0.0005595673522277833,4.285573959350586e-05,-5.030632019042969e-05,0.1305083707125,0.1459141821125,0.14597034076874998,0.00023114681243896484,0.006916046142578125,0.0088653564453125,0.0001691579818725586,0.0003104209899902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.0728836059570312e-06,-4.589557647705078e-06,-8.344650268554688e-07,40.0625,0.00634765625,0.005664825439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0174773929625,0.31298828125,0.0,0.0,0.0,0.0,0.0,0.0175717547078125,0.313232421875,0.00635528564453125,0.00011157989501953125,0.0014209747314453125,0.04071044921875,0.034271240234375,0.022247314453125,0.0002608299255371094,0.010835274753125,-6.836652755737305e-05,0.0009202957153320312,0.0016345977783203125,0.016186222448083497,0.02020353268710327,0.0132598876953125,0.01195526123046875,0.08893408440625,0.09087566290625,0.01218414306640625,0.00978851318359375,9.226799011230469e-05,0.0004757423678833008,-7.826089859008789e-05,0.00024008750915527344,0.08563232421875,0.07989501953125,0.0011238663218139649,0.000595596692993164,2.9087066650390625e-05,-0.00011348724365234375,0.17454763506249998,0.198572613325,0.1989345438625,0.000274658203125,0.010589599609375,0.01346588134765625,0.0004134178161621094,0.0005335807800292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,-1.5497207641601562e-06,4.589557647705078e-06,-7.152557373046875e-07,60.125,0.00732421875,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0253907410984375,0.421875,0.0,0.0,0.0,0.0,0.0,0.025514843621875,0.422607421875,0.0088653564453125,0.00014865398406982422,0.00235748291015625,0.0665283203125,0.05029296875,0.04388427734375,0.0004267692565917969,0.01457636794609375,-0.00010287761688232422,0.00021135807037353516,0.0006017684936523438,0.023705499266796874,0.02907224741953125,0.018035888671875,0.0162353515625,0.12151221276875,0.1234462242125,0.0145263671875,0.0135498046875,7.867813110351562e-05,0.0004383219225830078,-0.0001163482666015625,0.00029349327087402344,0.130615234375,0.1224365234375,0.001144449924847412,0.0005694084597167968,3.0994415283203125e-05,-0.00015914440155029297,0.2196974418875,0.251654490875,0.251650609075,0.0002307891845703125,0.0143890380859375,0.0181732177734375,0.0005559921264648438,0.0006761550903320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-06,-1.6093254089355469e-06,3.039836883544922e-06,-8.344650268554688e-07,80.125,0.01035308837890625,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.035195579321875003,0.533203125,0.0,0.0,0.0,0.0,0.0,0.035333834434375,0.53369140625,0.01171875,0.0001857280731201172,0.004241943359375,0.10302734375,0.06640625,0.0809326171875,0.0006952285766601562,0.0182424480609375,-0.00015115737915039062,3.4809112548828125e-05,0.0006227493286132812,0.04196697845,0.04823444784375,0.02288818359375,0.0204925537109375,0.1577491611375,0.160224057775,0.01499176025390625,0.017242431640625,1.9669532775878906e-05,0.0003935157991455078,-0.00018417835235595703,0.00030994415283203125,0.18798828125,0.177001953125,0.001321737052392578,0.0008131038011596679,1.9252300262451172e-05,-0.00021600723266601562,0.2656567543625,0.30419601505,0.304436445275,0.00011843442916870117,0.0183563232421875,0.02301025390625,0.0007390975952148438,0.0008111000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,1.9073486328125e-06,1.1920928955078125e-07,100.125,0.01318359375,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.039531694571875,0.53857421875,0.0,0.0,0.0,0.0,0.0,0.0396994284625,0.53857421875,0.01255035400390625,0.0001857280731201172,0.006378173828125,0.12481689453125,0.06646728515625,0.11041259765625,0.0008606910705566406,0.018202296828125,-0.00017714500427246094,-0.0001800060272216797,0.00043582916259765625,0.055575791715625,0.0623000227375,0.023284912109375,0.0207672119140625,0.1647695163625,0.16879739235,0.01141357421875,0.01727294921875,-5.0067901611328125e-06,0.0003400010117431641,-0.00022848445888671876,0.0002503395080566406,0.2142333984375,0.2025146484375,0.0018944951061523438,0.0018852667743164062,-6.985664367675781e-05,-0.00026726722717285156,0.26778115335,0.30320747565,0.30369171500000003,-3.695487976074219e-05,0.01873779296875,0.0234375,0.0004284381866455078,0.0003345012664794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.430511474609375e-06,3.814697265625e-06,9.5367431640625e-07,100.125,0.01123046875,0.01416015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0449324448125,0.5419921875,0.0,0.0,0.0,0.0,0.0,0.04512950798125,0.54248046875,0.01374053955078125,0.0001857280731201172,0.0091094970703125,0.1461181640625,0.06268310546875,0.137451171875,0.00098419189453125,0.0179996708046875,-0.00018846988677978516,-0.00028514862060546875,0.00043201446533203125,0.06351623871875,0.070338472709375,0.0239105224609375,0.02130126953125,0.1690454837375,0.174634385875,0.00771331787109375,0.0171051025390625,-5.447864532470703e-05,0.00034493732868652344,-0.0002514711271728516,0.00021696090698242188,0.239990234375,0.2275390625,0.00680342534765625,0.007628038773828125,-9.310245513916016e-05,-0.00029850006103515625,0.269264075925,0.30075037475,0.300990331875,-0.00013399124145507812,0.01910400390625,0.0241241455078125,8.302927017211914e-05,6.437301635742188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,7.62939453125e-06,2.0265579223632812e-06,100.125,0.0068359375,0.01025390625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0514451365875,0.5419921875,0.0,0.0,0.0,0.0,0.0,0.051671823834375,0.5419921875,0.015350341796875,0.00018548965454101562,0.012054443359375,0.1669921875,0.056488037109375,0.1553955078125,0.0009655952453613281,0.01788330078125,-0.00019633769989013672,-0.0003094673156738281,0.0004210472106933594,0.062159562525,0.06917497511875,0.025054931640625,0.022308349609375,0.169653603825,0.1770169101375,0.003993988037109375,0.016693115234375,-4.988908767700195e-05,0.0003957376204589844,-0.000269420583984375,0.00017976760864257812,0.264404296875,0.25146484375,0.0120267543578125,0.012833563103125,-9.000301361083984e-05,-0.0003027915954589844,0.2700281589875,0.296405978525,0.296890132175,-0.00017392635345458984,0.0199737548828125,0.0251007080078125,-1.1742115020751953e-05,9.179115295410156e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.9073486328125e-06,1.33514404296875e-05,2.9802322387695312e-06,100.1875,0.0078125,0.01025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0596220055375,0.5263671875,0.0,0.0,0.0,0.0,0.0,0.059847735084375,0.52685546875,0.0184326171875,0.00018548965454101562,0.01512908935546875,0.18408203125,0.052154541015625,0.1572265625,0.0008039474487304688,0.0176239013671875,-0.00017559528350830078,-0.00028252601623535156,0.00040841102600097656,0.050291722621875,0.057865435278125,0.0269317626953125,0.0241241455078125,0.1668893582875,0.175051862375,0.0017185211181640625,0.016510009765625,-9.322166442871094e-05,0.00045116033190917965,-0.00026401419873046874,0.00014066696166992188,0.2802734375,0.268310546875,0.0156572192,0.01619065264765625,-0.00011259317398071289,-0.00035881996154785156,0.2712774351125,0.2918025701875,0.292164575325,-0.00020110607147216797,0.022308349609375,0.027252197265625,-5.6624412536621094e-05,-1.5854835510253906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.7418136596679688e-06,0.0,5.9604644775390625e-06,100.1875,0.017578125,0.0185546875
