Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008228590705078125,0.087646484375,0.0,0.0,0.0,0.0,0.0,0.00826778999140625,0.0877685546875,0.0015745162963867188,3.725290298461914e-05,0.0008993148803710938,0.0084686279296875,0.0040130615234375,0.009429931640625,9.948015213012695e-05,0.0028639553248046875,-3.0994415283203125e-05,0.0014019012451171875,0.0023288726806640625,0.01655136604589844,0.020440004796429444,0.0030155181884765625,0.0027484893798828125,0.0304474252828125,0.03396204296875,0.0008378028869628906,0.0018024444580078125,3.725290298461914e-05,0.0005347890860778809,1.436471939086914e-05,5.507469177246094e-05,0.02020263671875,0.01898193359375,0.001038250216796875,0.0007242943654541016,1.1146068572998047e-05,-1.341104507446289e-05,0.08365884051875,0.08663062755625,0.0866864957125,4.00543212890625e-05,0.0033473968505859375,0.00428009033203125,2.86102294921875e-06,6.252527236938477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-3.5762786865234375e-07,-1.5497207641601562e-06,-1.7881393432617188e-07,20.03125,0.002635955810546875,0.002246856689453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01454128371015625,0.1778564453125,0.0,0.0,0.0,0.0,0.0,0.01460601407734375,0.1781005859375,0.0030956268310546875,7.450580596923828e-05,0.0015821456909179688,0.0162200927734375,0.0083770751953125,0.016387939453125,0.0002046823501586914,0.005457789511328125,-6.318092346191406e-05,0.0024509429931640625,0.004314422607421875,0.016387732731140137,0.02035999301826782,0.006031036376953125,0.00548553466796875,0.047567820156249996,0.050769828215625,0.002330780029296875,0.003673553466796875,7.677078247070312e-05,0.0005900195959289551,2.47955322265625e-05,0.00011050701141357422,0.03826904296875,0.03582763671875,0.0011144813966064452,0.0007053007087036133,9.655952453613281e-06,-3.272294998168945e-05,0.123306222275,0.13059435789375,0.13077258686249998,9.21487808227539e-05,0.006378173828125,0.00827789306640625,2.2649765014648438e-06,0.0001010894775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-8.344650268554688e-07,-1.5497207641601562e-06,-8.940696716308594e-07,40.0625,0.005664825439453125,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.020925879290625,0.270751953125,0.0,0.0,0.0,0.0,0.0,0.0210202410359375,0.27099609375,0.004581451416015625,0.00011181831359863281,0.0020236968994140625,0.02349853515625,0.01335906982421875,0.0209503173828125,0.0003085136413574219,0.0080734339328125,-9.310245513916016e-05,0.00310516357421875,0.0058441162109375,0.016201421632501222,0.02021038722125244,0.0090789794921875,0.00823211669921875,0.064977785578125,0.067773856265625,0.004467010498046875,0.005645751953125,0.00011628866195678711,0.0006207008639770508,2.7835369110107422e-05,0.00016391277313232422,0.054718017578125,0.050933837890625,0.0012670366785644531,0.0007577809314270019,4.2319297790527344e-05,-3.0040740966796875e-05,0.16331716631249998,0.176111675825,0.1762294657375,0.0001556873321533203,0.0091094970703125,0.01202392578125,-3.2186508178710938e-06,0.0001245737075805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.3113021850585938e-06,5.7220458984375e-06,-1.4901161193847656e-06,60.0625,0.01157379150390625,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0274811952,0.365966796875,0.0,0.0,0.0,0.0,0.0,0.027590038934375,0.366455078125,0.00603485107421875,0.00014901161193847656,0.0022602081298828125,0.030609130859375,0.0190277099609375,0.023956298828125,0.0003867149353027344,0.01070826491875,-0.0001277923583984375,0.0035247802734375,0.006877899169921875,0.016149299239331054,0.02015968409555664,0.0121612548828125,0.01100921630859375,0.082999029175,0.0853602867125,0.007160186767578125,0.007701873779296875,0.00016045570373535156,0.0006462825282043457,2.7954578399658203e-05,0.00021517276763916016,0.07049560546875,0.06536865234375,0.001348595833203125,0.0007857137156066894,4.470348358154297e-05,-5.7578086853027344e-05,0.2040724418875,0.2232121080625,0.223330296575,0.00023484230041503906,0.0115966796875,0.0155029296875,2.562999725341797e-06,0.00016307830810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.0265579223632812e-06,-3.039836883544922e-06,-1.6093254089355469e-06,80.125,0.0144500732421875,0.0089874267578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034280051978125003,0.46435546875,0.0,0.0,0.0,0.0,0.0,0.0343877895125,0.464599609375,0.0074462890625,0.00018644332885742188,0.00246429443359375,0.037933349609375,0.0251617431640625,0.02740478515625,0.0004820823669433594,0.01338252374453125,-0.00016009807586669922,0.0037784576416015625,0.0072784423828125,0.01611435784834595,0.020137652761657715,0.015289306640625,0.01380157470703125,0.10220716895,0.10425481949375,0.01007843017578125,0.00981903076171875,0.00021195411682128906,0.0006700813509033203,2.866983413696289e-05,0.0002684593200683594,0.08685302734375,0.08026123046875,0.0014266412271972655,0.0008265148462341308,6.80685043334961e-05,-4.762411117553711e-05,0.2455151528,0.27196945255,0.2723319530875,0.0003266334533691406,0.0138397216796875,0.018707275390625,2.1517276763916016e-05,0.0001842975616455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.430511474609375e-06,-1.9073486328125e-06,-1.9073486328125e-06,100.0625,0.02197265625,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.034587846915625,0.471923828125,0.0,0.0,0.0,0.0,0.0,0.03469454565,0.47216796875,0.007381439208984375,0.00018644332885742188,0.0023670196533203125,0.038238525390625,0.02618408203125,0.02752685546875,0.0005102157592773438,0.01343392524609375,-0.00016367435455322266,0.0031642913818359375,0.005985260009765625,0.01615780961418457,0.02010660995673828,0.01537322998046875,0.01384735107421875,0.10477195776875001,0.10702981422499999,0.01068115234375,0.0099639892578125,0.00020802021026611328,0.0006592434891601563,2.5967769659423827e-05,0.00025963783264160156,0.087646484375,0.080810546875,0.0013485165600097657,0.0007694678241210938,4.607439041137695e-05,-6.711483001708984e-05,0.2473954111625,0.27586372565,0.27622589468750003,0.00035452842712402344,0.01324462890625,0.0180206298828125,2.396106719970703e-05,0.00017702579498291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,7.62939453125e-06,-1.5497207641601562e-06,100.125,0.0185546875,0.017578125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03486164403125,0.47998046875,0.0,0.0,0.0,0.0,0.0,0.034967154465625,0.480224609375,0.007373809814453125,0.0001863241195678711,0.0024127960205078125,0.03912353515625,0.0269317626953125,0.0290679931640625,0.0005035400390625,0.01349832803125,-0.0001710653305053711,0.002391815185546875,0.00479888916015625,0.016085008173706054,0.01997397838564453,0.0154571533203125,0.01389312744140625,0.1075220462375,0.11024229603124999,0.01081085205078125,0.0100555419921875,0.00019609928131103516,0.0006489210170410156,3.182974944458008e-05,0.0002472400665283203,0.089599609375,0.08251953125,0.0013302884458007813,0.0007468017437988281,5.829334259033203e-05,-8.910894393920898e-05,0.2498548962375,0.279021859125,0.27926181625,0.00037670135498046875,0.01276397705078125,0.01751708984375,3.3736228942871094e-05,0.00015985965728759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,1.9073486328125e-06,-1.6689300537109375e-06,100.125,0.0224609375,0.01220703125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03514874986875,0.488525390625,0.0,0.0,0.0,0.0,0.0,0.03528388438125,0.48876953125,0.007427215576171875,0.0001863241195678711,0.0024547576904296875,0.0400390625,0.0281219482421875,0.0299835205078125,0.000507354736328125,0.01363372802734375,-0.00017654895782470703,0.0015163421630859375,0.0038909912109375,0.016427779611791992,0.02009961005222168,0.0155181884765625,0.01392364501953125,0.11063260773125,0.113906558575,0.01102447509765625,0.0101776123046875,0.00018846988677978516,0.0006328448973754883,4.39806382446289e-05,0.00023829936981201172,0.09088134765625,0.08367919921875,0.001251307466027832,0.0006872093815063476,3.3855438232421875e-05,-0.00011110305786132812,0.25403694805,0.2823678925875,0.282729975925,0.0004076957702636719,0.01235198974609375,0.017120361328125,2.1517276763916016e-05,0.00014281272888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.6689300537109375e-06,3.814697265625e-06,-1.3113021850585938e-06,100.125,0.017333984375,0.01611328125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03563518913125,0.49560546875,0.0,0.0,0.0,0.0,0.0,0.03576936594375,0.495849609375,0.00754547119140625,0.0001863241195678711,0.002460479736328125,0.041259765625,0.029876708984375,0.031402587890625,0.0005130767822265625,0.01369476318359375,-0.00017714500427246094,0.0008149147033691406,0.0030765533447265625,0.018364613857226562,0.02118044534892578,0.0155181884765625,0.01387786865234375,0.11360566688125,0.11773985065625,0.01129913330078125,0.01025390625,0.00018298625946044922,0.0006434449159545898,6.643395190429687e-05,0.00023412704467773438,0.09173583984375,0.084716796875,0.0011332361982910157,0.0006407545000732421,4.851818084716797e-05,-0.0001379251480102539,0.260169036675,0.286309406125,0.2864272706375,0.0004558563232421875,0.01218414306640625,0.0170440673828125,2.5153160095214844e-05,0.0001342296600341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,0.0,-1.0728836059570312e-06,100.125,0.014404296875,0.01611328125
