Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.010803511359375,0.09381103515625,0.0,0.0,0.0,0.0,0.0,0.0108694135265625,0.09393310546875,0.00138092041015625,3.7550926208496094e-05,0.00013303756713867188,0.00423431396484375,0.005527496337890625,8.83340835571289e-05,0.0001214742660522461,0.002808642214453125,-6.616115570068359e-06,0.00492095947265625,0.00527191162109375,0.016574969485229494,0.020461462468548585,0.003147125244140625,0.002887725830078125,0.02386325780234375,0.0264699775390625,0.00634765625,0.002460479736328125,0.0001226663589477539,0.0006033940322143555,0.0001010894775390625,0.00019168853759765625,0.00586700439453125,0.00460052490234375,0.0007287829011230469,0.00042221802573242186,3.057718276977539e-05,-1.049041748046875e-05,0.078440334659375,0.086417004509375,0.086472872665625,0.0003159046173095703,0.002689361572265625,0.003948211669921875,-8.344650268554688e-06,-1.055002212524414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-3.5762786865234375e-07,0.0,-7.152557373046875e-07,20.03125,0.00439453125,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0197369013859375,0.192138671875,0.0,0.0,0.0,0.0,0.0,0.019862666909375,0.1923828125,0.0027751922607421875,7.516145706176758e-05,0.0002524852752685547,0.00920867919921875,0.0117950439453125,0.0001895427703857422,0.0002416372299194336,0.005389124960546875,-8.046627044677734e-06,0.0088958740234375,0.00946807861328125,0.016426773773468017,0.020395517386553954,0.00634002685546875,0.005779266357421875,0.036093210781249996,0.0375404580984375,0.0129547119140625,0.00508880615234375,0.00023746490478515625,0.000709646117993164,0.0001895427703857422,0.0003848075866699219,0.0142364501953125,0.01155853271484375,0.0007599529694824219,0.0004557956656738282,4.0411949157714844e-05,-3.2961368560791016e-05,0.114028878525,0.13035021726875,0.13052844623749998,0.0006394386291503906,0.00527191162109375,0.00782012939453125,-3.11732292175293e-05,-2.9325485229492188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.7881393432617188e-07,5.364418029785156e-06,-1.5497207641601562e-06,40.0625,0.0099639892578125,0.00722503662109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02937924843125,0.29541015625,0.0,0.0,0.0,0.0,0.0,0.029549904121875,0.295654296875,0.00433349609375,0.00011241436004638672,0.0005135536193847656,0.0158233642578125,0.0194854736328125,0.0003018379211425781,0.00031280517578125,0.00853882699921875,-2.1338462829589844e-05,0.0124359130859375,0.012939453125,0.016264364137384035,0.020267846098815916,0.0096282958984375,0.0087127685546875,0.053136965265625,0.053735770328125,0.01898193359375,0.007659912109375,0.00036597251892089844,0.0011260290423828125,0.00021719932556152344,0.0004930496215820312,0.0283660888671875,0.023956298828125,0.0008872358820556641,0.0004916461925048828,9.131431579589844e-05,-2.491474151611328e-05,0.15257497881249998,0.1784310117625,0.1786708719875,0.0008101463317871094,0.0082244873046875,0.01186370849609375,-3.212690353393555e-05,1.2099742889404297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-1.4901161193847656e-06,2.2649765014648438e-06,-1.3709068298339844e-06,60.03125,0.00937652587890625,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03974926160625,0.40087890625,0.0,0.0,0.0,0.0,0.0,0.039949658075,0.401123046875,0.00597381591796875,0.0001499652862548828,0.0008392333984375,0.0264892578125,0.0281524658203125,0.0005888938903808594,0.0004131793975830078,0.0113949104265625,-2.5510787963867188e-05,0.0136566162109375,0.01480865478515625,0.01622124204557495,0.020253621015722655,0.01320648193359375,0.0119476318359375,0.07378272058125,0.073855159759375,0.0243988037109375,0.010406494140625,0.0004930496215820312,0.0012491835101074219,0.0002484321594238281,0.0006046295166015625,0.051513671875,0.045562744140625,0.0008925010913818359,0.0004556827974853515,0.0001189112663269043,-2.2470951080322266e-05,0.191743340325,0.226752147125,0.22699240595,0.0010137557983398438,0.0112457275390625,0.0161285400390625,0.000263214111328125,0.0002455711364746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.7285346984863281e-06,-9.179115295410156e-06,-1.6093254089355469e-06,80.125,0.0183563232421875,0.0144500732421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.051278342993750003,0.50927734375,0.0,0.0,0.0,0.0,0.0,0.05153866841875,0.509765625,0.0080413818359375,0.00018727779388427734,0.00165557861328125,0.0460205078125,0.037689208984375,0.004528045654296875,0.00047850608825683594,0.0143056804828125,-4.214048385620117e-05,0.0128326416015625,0.014892578125,0.016195241351306153,0.020259603864868164,0.017486572265625,0.0158843994140625,0.10165785254375,0.10205755386875,0.0272674560546875,0.01320648193359375,0.0006160736083984375,0.0013116657472656249,0.0002627372741699219,0.0006737709045410156,0.09283447265625,0.085205078125,0.0009737651361938476,0.0004634629549072265,0.00012177228927612305,-5.739927291870117e-05,0.2336743324875,0.2773405463,0.2777030468375,0.0011205673217773438,0.01471710205078125,0.0208587646484375,0.0006079673767089844,0.0005278587341308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.9073486328125e-06,1.9073486328125e-06,-1.7881393432617188e-06,100.125,0.025634765625,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.053447710196875,0.51806640625,0.0,0.0,0.0,0.0,0.0,0.053706996821875,0.5185546875,0.0089111328125,0.00018703937530517578,0.0033473968505859375,0.0655517578125,0.038970947265625,0.02557373046875,0.00040340423583984375,0.0144028583515625,-5.7220458984375e-05,0.00763702392578125,0.0102081298828125,0.016200248121264648,0.020249184267041014,0.0189361572265625,0.0171966552734375,0.11630760230000001,0.11826028297499999,0.0225830078125,0.013275146484375,0.0005269050598144531,0.001163975621118164,0.0002547900009521484,0.0006341934204101562,0.130126953125,0.12188720703125,0.001056811428479004,0.0006414370471435547,0.00014865398406982422,-3.784894943237305e-05,0.2390946299125,0.2812348194,0.28159698843750003,0.0009202957153320312,0.0153350830078125,0.0215606689453125,0.0004456043243408203,0.00045871734619140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.7881393432617188e-06,7.62939453125e-06,-8.344650268554688e-07,100.125,0.019775390625,0.0126953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0559187729375,0.52587890625,0.0,0.0,0.0,0.0,0.0,0.0561768712625,0.5263671875,0.01013946533203125,0.000186920166015625,0.00650787353515625,0.0928955078125,0.03875732421875,0.0594482421875,0.00042176246643066406,0.01440622598046875,-6.330013275146484e-05,0.0022602081298828125,0.005435943603515625,0.01652393677783203,0.022132143363671874,0.0207672119140625,0.01885986328125,0.13102058139375,0.1349615343125,0.0175018310546875,0.01332855224609375,0.00035881996154785156,0.0011019163173339843,0.00023669091353759766,0.0005784034729003906,0.175048828125,0.1661376953125,0.0021084866879882815,0.0024953636029296875,6.80685043334961e-05,-0.0001062154769897461,0.244361732175,0.282439827875,0.2828018553125,0.0006642341613769531,0.01580810546875,0.022308349609375,-6.884336471557617e-05,0.00013124942779541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-1.9073486328125e-06,-9.5367431640625e-06,1.0728836059570312e-06,100.125,0.017333984375,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05919660143125,0.533203125,0.0,0.0,0.0,0.0,0.0,0.0595148414125,0.533203125,0.012054443359375,0.00018680095672607422,0.0104217529296875,0.12249755859375,0.0367431640625,0.0950927734375,0.0004487037658691406,0.0142974853515625,-8.0108642578125e-05,0.0003643035888671875,0.0028858184814453125,0.02263166945859375,0.02783128615390625,0.0228118896484375,0.020721435546875,0.14353055695,0.1494290195125,0.01265716552734375,0.01340484619140625,0.00018787384033203125,0.00100847336875,0.0001642628114013672,0.0004584789276123047,0.2191162109375,0.20947265625,0.0090970668578125,0.01014038683359375,5.340576171875e-05,-0.00013065338134765625,0.2506189793,0.2826120332125,0.282729975925,0.0004076957702636719,0.0163726806640625,0.02313232421875,-0.00021708011627197266,5.4836273193359375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-1.430511474609375e-06,5.7220458984375e-06,2.0265579223632812e-06,100.125,0.0068359375,0.013671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0637723961625,0.537109375,0.0,0.0,0.0,0.0,0.0,0.06408967844375,0.537109375,0.0154266357421875,0.00018656253814697266,0.01425933837890625,0.1483154296875,0.034698486328125,0.118408203125,0.0004394054412841797,0.01406097412109375,-8.684396743774414e-05,7.510185241699219e-05,0.0021114349365234375,0.02434415182109375,0.0291636530515625,0.0252685546875,0.0230255126953125,0.1527292020375,0.1602813545625,0.00911712646484375,0.01354217529296875,8.237361907958984e-05,0.00099439706439209,4.2651698638916015e-05,0.0002884864807128906,0.254150390625,0.2442626953125,0.01618364742265625,0.0177394197375,-5.185604095458984e-06,-0.000152587890625,0.25699520855,0.2813045233125,0.28166652845,0.00015652179718017578,0.017181396484375,0.0243682861328125,-0.0003104209899902344,-1.3709068298339844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.2649765014648438e-06,1.9073486328125e-06,2.5033950805664062e-06,100.125,0.005859375,0.01318359375
