Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006687453009765625,0.08251953125,0.0,0.0,0.0,0.0,0.0,0.006738096387890625,0.0826416015625,0.0013599395751953125,3.74913215637207e-05,8.666515350341797e-05,0.0037689208984375,0.005039215087890625,0.0001342296600341797,0.000102996826171875,0.002968859499609375,-2.0444393157958984e-05,0.002239227294921875,0.002910614013671875,0.01654993553442383,0.02044018361036377,0.002971649169921875,0.002727508544921875,0.02464145604453125,0.02728632275390625,0.00543975830078125,0.002079010009765625,0.0001175999641418457,0.0004915757186157227,0.00010645389556884766,0.00019407272338867188,0.005748748779296875,0.004367828369140625,0.0007690160363464356,0.000506320179510498,1.9490718841552734e-05,-2.1219253540039062e-05,0.07743325458125,0.082907483025,0.08296335118125,0.0003063678741455078,0.0024013519287109375,0.003459930419921875,9.298324584960938e-06,3.3915042877197266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.5762786865234375e-07,3.5762786865234375e-07,-8.940696716308594e-07,20.03125,0.00478363037109375,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0116497431828125,0.168701171875,0.0,0.0,0.0,0.0,0.0,0.01172210294453125,0.168701171875,0.0026874542236328125,7.49826431274414e-05,0.00015163421630859375,0.007312774658203125,0.00984954833984375,0.0002562999725341797,0.0002124309539794922,0.005602748007421875,-4.303455352783203e-05,0.003875732421875,0.0052642822265625,0.016383202778137207,0.02036219839012451,0.00591278076171875,0.00540924072265625,0.035864328945312496,0.037464164153125,0.0111541748046875,0.004222869873046875,0.00023818016052246094,0.0005057982328613281,0.00020694732666015625,0.0003829002380371094,0.011077880859375,0.0082244873046875,0.000866466469696045,0.0006188739737792969,3.892183303833008e-05,-3.6597251892089844e-05,0.1109771207125,0.123087033675,0.12314319233125,0.0006361007690429688,0.004421234130859375,0.00656890869140625,1.4483928680419922e-05,6.73532485961914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.748603820800781e-07,-1.3709068298339844e-06,-7.748603820800781e-07,-1.3113021850585938e-06,40.0625,0.00868988037109375,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01692807655625,0.25732421875,0.0,0.0,0.0,0.0,0.0,0.017037697090625,0.2578125,0.004016876220703125,0.00011259317398071289,0.00022220611572265625,0.0108184814453125,0.014617919921875,0.00038313865661621094,0.00031638145446777344,0.00823365121796875,-6.508827209472656e-05,0.00531005859375,0.00734710693359375,0.01619653405162964,0.020211519709503172,0.008819580078125,0.0080413818359375,0.047277590265625,0.047876395328125,0.0171051025390625,0.00640106201171875,0.0003559589385986328,0.0004901666919189453,0.0002999305725097656,0.0005645751953125,0.0162811279296875,0.01189422607421875,0.0009616224787353516,0.0007291707019348144,2.473592758178711e-05,-7.396936416625977e-05,0.14451833818749998,0.16396567973125,0.1640224344875,0.0009822845458984375,0.006114959716796875,0.0093841552734375,1.7821788787841797e-05,9.590387344360352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.3113021850585938e-06,4.589557647705078e-06,-2.6226043701171875e-06,60.0625,0.01010894775390625,0.01025390625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0227204530125,0.348388671875,0.0,0.0,0.0,0.0,0.0,0.022859814325,0.348876953125,0.00536346435546875,0.00015032291412353516,0.0002999305725097656,0.01446533203125,0.019622802734375,0.0005125999450683594,0.0004057884216308594,0.01083796462578125,-9.167194366455078e-05,0.006916046142578125,0.0095367431640625,0.016149418448620605,0.020181737814123534,0.0117340087890625,0.01070404052734375,0.059347906128125,0.058962581634375,0.023345947265625,0.0085906982421875,0.0004703998565673828,0.0004817141039794922,0.0003886222839355469,0.0007424354553222656,0.021881103515625,0.015838623046875,0.0009759475940673828,0.0007556729746398925,4.661083221435547e-05,-7.909536361694336e-05,0.17733904345,0.204779490875,0.2048976793875,0.001346588134765625,0.00763702392578125,0.0120391845703125,1.3113021850585938e-06,0.00011235475540161133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.7285346984863281e-06,1.2218952178955078e-05,-3.6954879760742188e-06,80.125,0.016204833984375,0.01171875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0292446515875,0.440673828125,0.0,0.0,0.0,0.0,0.0,0.0294286830671875,0.44091796875,0.0067138671875,0.00018787384033203125,0.00039267539978027344,0.0185546875,0.025390625,0.0006618499755859375,0.0005130767822265625,0.01343592950625,-0.00011247396469116211,0.00875091552734375,0.0119171142578125,0.016123834986865235,0.020172938711364746,0.014678955078125,0.01338958740234375,0.07321546973125,0.07215032730625,0.02978515625,0.01074981689453125,0.0005784034729003906,0.00047648546467285154,0.00046634674072265625,0.0009140968322753906,0.0285491943359375,0.0208587646484375,0.0010015409006591796,0.0007890235246704101,9.000301361083984e-05,-0.00011354684829711914,0.2085278481125,0.24462570255,0.244866132775,0.0017232894897460938,0.00910186767578125,0.0146942138671875,-1.6689300537109375e-06,0.00014770030975341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.1457672119140625e-06,1.71661376953125e-05,-4.5299530029296875e-06,100.125,0.021484375,0.01806640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.030864702384375,0.44384765625,0.0,0.0,0.0,0.0,0.0,0.031062953853125,0.4443359375,0.006744384765625,0.00018799304962158203,0.0004341602325439453,0.0195465087890625,0.026947021484375,0.0007104873657226562,0.0004940032958984375,0.01340340766796875,-0.00011247396469116211,0.0088043212890625,0.01184844970703125,0.016160611032489013,0.020154651300427245,0.01477813720703125,0.01348876953125,0.07693992651875001,0.07642068336562499,0.0302734375,0.0107421875,0.0005617141723632812,0.000473038578881836,0.00044790905002441405,0.0008959770202636719,0.03070068359375,0.0229339599609375,0.0009296151165283204,0.0007289366656738281,5.5849552154541016e-05,-9.644031524658203e-05,0.20528115335,0.24266060065,0.242900699375,0.0017557144165039062,0.0088958740234375,0.01465606689453125,-1.0251998901367188e-05,0.000152587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.6689300537109375e-06,1.52587890625e-05,-4.649162292480469e-06,100.125,0.02392578125,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.032847483875,0.445556640625,0.0,0.0,0.0,0.0,0.0,0.03304454704375,0.4462890625,0.006866455078125,0.00018787384033203125,0.0005125999450683594,0.0209503173828125,0.0291748046875,0.0007328987121582031,0.00047779083251953125,0.0133304813515625,-0.000118255615234375,0.00872802734375,0.01178741455078125,0.01601419785571289,0.019916757926660155,0.0149993896484375,0.013702392578125,0.08170417514375,0.08192198353124999,0.030670166015625,0.01076507568359375,0.0005383491516113281,0.0004805975001953125,0.00043684331069335935,0.0008716583251953125,0.033233642578125,0.025543212890625,0.0008701405881347656,0.000668958077722168,7.295608520507812e-05,-8.177757263183594e-05,0.2010267712375,0.2393490075625,0.23946689437500002,0.0017690658569335938,0.0088348388671875,0.0147552490234375,-1.1742115020751953e-05,0.0001684427261352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,7.62939453125e-06,-3.4570693969726562e-06,100.125,0.02001953125,0.01953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.035362372915625,0.4443359375,0.0,0.0,0.0,0.0,0.0,0.035558542584375,0.444580078125,0.007114410400390625,0.00018799304962158203,0.0006337165832519531,0.0228118896484375,0.032073974609375,0.000774383544921875,0.0004901885986328125,0.013275146484375,-0.00011670589447021484,0.00908660888671875,0.01241302490234375,0.016057634767736816,0.019880503378027343,0.015411376953125,0.01409912109375,0.08695096710625,0.08796661716875,0.031097412109375,0.0108489990234375,0.0004851818084716797,0.0004777536116699219,0.00043105320141601563,0.0008420944213867188,0.03533935546875,0.028045654296875,0.0008332404875732423,0.0006261742252563476,0.00013148784637451172,-4.762411117553711e-05,0.19739632305,0.2352487519625,0.235366694675,0.0017642974853515625,0.0088653564453125,0.0149993896484375,-3.892183303833008e-05,0.00020265579223632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-3.2186508178710938e-06,-3.814697265625e-06,-3.5762786865234375e-06,100.125,0.025634765625,0.0185546875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.038839534834375,0.433349609375,0.0,0.0,0.0,0.0,0.0,0.039034746803125,0.433837890625,0.00749969482421875,0.00018799304962158203,0.0007996559143066406,0.02471923828125,0.035247802734375,0.0008335113525390625,0.0004620552062988281,0.01305389404296875,-0.00010848045349121094,0.0107421875,0.01446533203125,0.016188388671832275,0.01995652357310791,0.01593017578125,0.01467132568359375,0.0914499051625,0.0936309639375,0.0313720703125,0.01100921630859375,0.00043082237243652344,0.0004971751176757812,0.00042644600634765626,0.0008072853088378906,0.036163330078125,0.0297088623046875,0.0007436602400390626,0.000580315390270996,9.614229202270508e-05,-7.200241088867188e-05,0.193274505425,0.2297908514375,0.2300307862625,0.0017576217651367188,0.0091705322265625,0.01549530029296875,-7.2479248046875e-05,0.0002105236053466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.86102294921875e-06,3.814697265625e-06,-3.814697265625e-06,100.125,0.01953125,0.02197265625
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.043715990190625,0.391357421875,0.0,0.0,0.0,0.0,0.0,0.044032158171875,0.391845703125,0.00820159912109375,0.00018835067749023438,0.000823974609375,0.0246124267578125,0.037139892578125,0.0008788108825683594,0.0004839897155761719,0.01165008544921875,-9.107589721679688e-05,0.0142364501953125,0.019012451171875,0.016485508503271483,0.020231856002087403,0.0163421630859375,0.0153350830078125,0.09337753053125,0.09703437234375001,0.031341552734375,0.01120758056640625,0.0004210472106933594,0.0004567472401123047,0.000503056466430664,0.0008435249328613281,0.033935546875,0.029083251953125,0.0005994881373291016,0.0004727816334472656,0.00011324882507324219,-1.1920928955078125e-06,0.18612372498750002,0.2174914405125,0.21785336735,0.0019216537475585938,0.00986480712890625,0.01617431640625,-5.632638931274414e-05,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.1457672119140625e-06,3.814697265625e-06,-2.9802322387695312e-06,100.25,0.01953125,0.0234375
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.051011390596875,0.33837890625,0.0,0.0,0.0,0.0,0.0,0.051326350278125,0.3388671875,0.00905609130859375,0.0001881122589111328,0.0010166168212890625,0.0257568359375,0.039031982421875,0.0008311271667480469,0.0004248619079589844,0.0110931396484375,-8.529424667358398e-05,0.0184173583984375,0.0229034423828125,0.016697909717492677,0.020391186700476075,0.016510009765625,0.0156707763671875,0.093190660675,0.0984284915375,0.030181884765625,0.01120758056640625,0.0003592967987060547,0.0004727821319091797,0.0005539260669677735,0.0008273921771484374,0.0321044921875,0.028900146484375,0.0005697921274414062,0.000479378579284668,5.781650543212891e-06,-0.00011473894119262695,0.183129902925,0.207352254525,0.2074699774375,0.0018281936645507812,0.01171112060546875,0.01788330078125,-3.522634506225586e-05,6.651878356933594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,3.814697265625e-06,-4.649162292480469e-06,100.25,0.02392578125,0.03369140625
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.061064640734375,0.208740234375,0.0,0.0,0.0,0.0,0.0,0.06140897729375,0.2088623046875,0.010772705078125,0.00018835067749023438,0.0012302398681640625,0.0273590087890625,0.041473388671875,0.0008640289306640625,0.0004987716674804688,0.00911712646484375,-0.00011092424392700195,0.019500732421875,0.0244903564453125,0.017077138674078368,0.02073107664393921,0.0160369873046875,0.01560211181640625,0.090609793525,0.0966611653625,0.0274200439453125,0.01122283935546875,0.0002397298812866211,0.00044640126799316403,0.0006605364565429688,0.000817510155859375,0.031097412109375,0.02911376953125,0.0005161771733154296,0.0003591418547119141,5.781650543212891e-06,-0.00010192394256591797,0.190548568975,0.2039582767,0.204197675025,0.0018148422241210938,0.0152130126953125,0.0203857421875,0.0001533031463623047,2.777576446533203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.9073486328125e-06,1.9073486328125e-06,-4.649162292480469e-06,100.3125,0.0244140625,0.01806640625
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.062856262421875,0.112060546875,0.0,0.0,0.0,0.0,0.0,0.06319974408125,0.1121826171875,0.0117645263671875,0.00018799304962158203,0.0014638900756835938,0.02886962890625,0.0423583984375,0.0010738372802734375,0.0006337165832519531,0.00826263427734375,-0.00011670589447021484,0.012481689453125,0.01666259765625,0.017539812265063476,0.021137252453503418,0.01513671875,0.014892578125,0.08634940064375,0.09197033013125,0.02386474609375,0.01088714599609375,0.00021982192993164062,0.0004281112729248047,0.0007975630144042968,0.000847925350390625,0.03204345703125,0.0301971435546875,0.0006716751770141601,0.0003346836232727051,-8.577108383178711e-05,-0.00015747547149658203,0.2009391822125,0.2073087692375,0.20742577315,0.0017061233520507812,0.016998291015625,0.0214080810546875,0.0002608299255371094,-3.0517578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.6226043701171875e-06,-1.1444091796875e-05,-5.0067901611328125e-06,100.3125,0.0146484375,0.01318359375
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.059313336415625,0.01812744140625,0.0,0.0,0.0,0.0,0.0,0.059656223675,0.0182952880859375,0.01113128662109375,0.0001876354217529297,0.001895904541015625,0.0310516357421875,0.043060302734375,0.0020809173583984375,0.01305389404296875,0.0072174072265625,-8.83340835571289e-05,0.0022754669189453125,0.0043487548828125,0.017918476793756105,0.02146034869725342,0.0135650634765625,0.01348876953125,0.08300893851875,0.08903752644375,0.0184326171875,0.010009765625,0.00020062923431396484,0.0005301048767089844,0.0009814676766113281,0.0008995670197753906,0.037384033203125,0.0361328125,0.0009524078970458984,0.000492440966052246,-1.9848346710205078e-05,-8.666515350341797e-05,0.21605477855,0.22003868965,0.2201552241625,0.0017528533935546875,0.0182342529296875,0.021697998046875,0.0003752708435058594,0.00010132789611816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.2649765014648438e-06,1.9073486328125e-06,-4.410743713378906e-06,100.25,0.0166015625,0.01611328125
