Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008045485236328125,0.0877685546875,0.0,0.0,0.0,0.0,0.0,0.00809994331171875,0.0877685546875,0.0021877288818359375,3.731250762939453e-05,0.0018749237060546875,0.0140228271484375,0.0085601806640625,0.0135955810546875,6.335973739624023e-05,0.002984118288671875,-1.9788742065429688e-05,0.005619049072265625,0.006916046142578125,0.016547134116119386,0.0204330906576355,0.00452423095703125,0.0042266845703125,0.037619056142187496,0.0415456611328125,0.0012836456298828125,0.00249481201171875,4.708766937255859e-06,0.0004882974631530762,-3.0159950256347656e-05,9.5367431640625e-06,0.03155517578125,0.0302734375,0.00133961130078125,0.0010530735860351562,2.0205974578857422e-05,-4.76837158203125e-06,0.081675197940625,0.091604992790625,0.091660860946875,-3.421306610107422e-05,0.004058837890625,0.00492095947265625,2.5272369384765625e-05,5.811452865600586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-1.1920928955078125e-07,7.748603820800781e-07,-3.5762786865234375e-07,20.03125,0.002391815185546875,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0142132197453125,0.180419921875,0.0,0.0,0.0,0.0,0.0,0.01430083829609375,0.1806640625,0.00439453125,7.456541061401367e-05,0.003917694091796875,0.0291290283203125,0.0166168212890625,0.029327392578125,0.00012111663818359375,0.005713374228125,-3.707408905029297e-05,0.0096893310546875,0.0124359130859375,0.016384037243164062,0.020347952880023192,0.0090484619140625,0.00839996337890625,0.062887644375,0.067066214934375,0.002880096435546875,0.005031585693359375,1.3470649719238281e-05,0.0004906586530883789,-6.830692291259766e-05,2.396106719970703e-05,0.0662841796875,0.0635986328125,0.002813690609863281,0.002652584453515625,3.403425216674805e-05,-1.806020736694336e-05,0.11909479649375,0.1402989477375,0.14041614154999998,-5.066394805908203e-05,0.007701873779296875,0.00946044921875,4.410743713378906e-05,0.0001550912857055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-5.364418029785156e-07,1.5497207641601562e-06,-7.152557373046875e-07,40.0625,0.00390625,0.0080108642578125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0206359622984375,0.277099609375,0.0,0.0,0.0,0.0,0.0,0.0207455828328125,0.277099609375,0.006744384765625,0.00011181831359863281,0.0064697265625,0.0458984375,0.024017333984375,0.04791259765625,0.00014674663543701172,0.00879059701875,-6.198883056640625e-05,0.0117645263671875,0.0157012939453125,0.016190931215020753,0.020185293665802,0.01346588134765625,0.0124359130859375,0.090582033625,0.09539226446875,0.0028629302978515625,0.007297515869140625,-7.808208465576172e-06,0.0005246181765991211,-0.0001251697540283203,-1.7285346984863281e-06,0.106201171875,0.101806640625,0.004860004665625,0.004923132322265625,4.118680953979492e-05,-4.0650367736816406e-05,0.15696951006249998,0.1896614805125,0.189779270425,-0.00013172626495361328,0.01125335693359375,0.01374053955078125,4.392862319946289e-05,0.00021648406982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-7.748603820800781e-07,-1.0311603546142578e-05,-4.76837158203125e-07,60.0625,0.007617950439453125,0.0084991455078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0272828309421875,0.37548828125,0.0,0.0,0.0,0.0,0.0,0.0274221922546875,0.375732421875,0.009185791015625,0.00014901161193847656,0.00948333740234375,0.0665283203125,0.030670166015625,0.0755615234375,0.00017523765563964844,0.01169245681328125,-8.33272933959961e-05,0.0096588134765625,0.01523590087890625,0.016136007403546142,0.020128093633825683,0.017913818359375,0.0164642333984375,0.1204746151125,0.1263759117125,0.0021686553955078125,0.0095367431640625,-4.1484832763671875e-05,0.0005441797717041015,-0.00018858909606933594,-2.872943878173828e-05,0.15576171875,0.149658203125,0.007707696175,0.00816113285546875,3.2007694244384766e-05,-6.103515625e-05,0.19589373095,0.239935740875,0.2401759997,-0.00022470951080322266,0.0145111083984375,0.017852783203125,6.80088996887207e-05,0.000446319580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.404254913330078e-06,-5.960464477539062e-07,1.0669231414794922e-05,-1.430511474609375e-06,80.125,0.0128936767578125,0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034157981665625003,0.474365234375,0.0,0.0,0.0,0.0,0.0,0.03432675435625,0.474609375,0.0118560791015625,0.0001862049102783203,0.01343536376953125,0.09295654296875,0.03662109375,0.115966796875,0.00023424625396728516,0.0144582683734375,-0.00010848045349121094,0.003513336181640625,0.0095062255859375,0.016103390593707276,0.020091757185180664,0.0224609375,0.0205230712890625,0.1535987705125,0.1615668312125,0.0005888938903808594,0.01171875,-8.147954940795898e-05,0.00056779978046875,-0.0002536773681640625,-6.562471389770508e-05,0.2158203125,0.2080078125,0.01158661055703125,0.012498594409375,3.4809112548828125e-05,-6.711483001708984e-05,0.2363598793625,0.2908903509875,0.291252851525,-0.0003681182861328125,0.0177154541015625,0.0218353271484375,8.499622344970703e-05,0.0005908012390136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.430511474609375e-06,3.814697265625e-06,-1.1920928955078125e-06,100.125,0.00830078125,0.01171875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.034404741446875,0.476806640625,0.0,0.0,0.0,0.0,0.0,0.0345724753375,0.477294921875,0.01238250732421875,0.00018596649169921875,0.0155487060546875,0.10369873046875,0.034271240234375,0.1365966796875,0.00022017955780029297,0.01430367622265625,-0.00011551380157470703,0.0006341934204101562,0.0031299591064453125,0.01618624102974243,0.019997771875378417,0.0225372314453125,0.02044677734375,0.159032211675,0.1686753220375,0.0004215240478515625,0.01154327392578125,-7.981061935424805e-05,0.0005285901078125,-0.0002601941299072266,-7.68899917602539e-05,0.233642578125,0.225341796875,0.01401092729609375,0.01488480138125,3.814697265625e-05,-5.555152893066406e-05,0.237751856475,0.2918549365875,0.29221710562500003,-0.00043392181396484375,0.0173492431640625,0.0212860107421875,1.4185905456542969e-05,0.0003180503845214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-7.152557373046875e-07,9.5367431640625e-06,4.76837158203125e-07,100.0625,0.00732421875,0.01171875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.034831126453125,0.476318359375,0.0,0.0,0.0,0.0,0.0,0.034967154465625,0.4765625,0.012908935546875,0.00018596649169921875,0.017974853515625,0.11328125,0.0316162109375,0.1534423828125,0.00020968914031982422,0.01404001504296875,-0.0001100301742553711,1.3709068298339844e-05,0.0010061264038085938,0.01676473954272461,0.02017973361940918,0.0226593017578125,0.0204925537109375,0.162575757175,0.173657823375,0.00031280517578125,0.01129913330078125,-8.374452590942383e-05,0.0005220823329589844,-0.0002579084288085938,-8.45193862915039e-05,0.2481689453125,0.239501953125,0.016988667046875,0.017771318803125,3.7550926208496094e-05,-8.910894393920898e-05,0.2376478649875,0.291717171625,0.2918350584375,-0.0004887580871582031,0.0171356201171875,0.0210113525390625,-5.364418029785156e-06,0.00023484230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.430511474609375e-06,-7.62939453125e-06,1.1920928955078125e-06,100.0625,0.00390625,0.00830078125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03563703111875,0.474365234375,0.0,0.0,0.0,0.0,0.0,0.035802683209375,0.474609375,0.01349639892578125,0.00018584728240966797,0.0202178955078125,0.12109375,0.029296875,0.1650390625,0.00018894672393798828,0.01377105712890625,-9.322166442871094e-05,-7.444620132446289e-05,0.0006823539733886719,0.01961805861875,0.021478861532324218,0.022857666015625,0.0206298828125,0.1646487210125,0.1766506992,0.00021886825561523438,0.0110626220703125,-7.551908493041992e-05,0.0005244836531738281,-0.0002458171446533203,-8.696317672729492e-05,0.259765625,0.2509765625,0.020098653771875,0.02092072130625,6.437301635742188e-05,-2.866983413696289e-05,0.237679526175,0.2906686738375,0.29078661655,-0.0005254745483398438,0.016937255859375,0.0208587646484375,-4.1961669921875e-05,0.0002148151397705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,0.0,1.3113021850585938e-06,100.0625,0.00146484375,0.00927734375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0366727867875,0.47119140625,0.0,0.0,0.0,0.0,0.0,0.036837481178125,0.4716796875,0.01418304443359375,0.00018584728240966797,0.022186279296875,0.1285400390625,0.027008056640625,0.17333984375,0.00015878677368164062,0.01346588134765625,-8.344650268554688e-05,-0.00012934207916259766,0.0006237030029296875,0.0206133778953125,0.022348696386523436,0.023101806640625,0.02081298828125,0.1650583036,0.17773740925,0.00014066696166992188,0.01085662841796875,-9.810924530029297e-05,0.0005427130662841796,-0.0002299203419189453,-8.821487426757812e-05,0.2705078125,0.261474609375,0.023561271934375,0.02439225176875,5.340576171875e-05,-4.1484832763671875e-05,0.2373418882375,0.288750812375,0.2889907472,-0.0005621910095214844,0.016693115234375,0.0206298828125,-7.736682891845703e-05,0.00017702579498291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.3113021850585938e-06,-3.814697265625e-06,1.3113021850585938e-06,100.0,0.00048828125,0.0078125
