Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0022562052985839846,0.0662841796875,0.0,0.0,0.0,0.0,0.0,0.0022915898876464842,0.06646728515625,0.0014448165893554688,3.743171691894531e-05,3.6716461181640625e-05,0.002979278564453125,0.004154205322265625,5.322694778442383e-05,0.000148773193359375,0.0027533291041015625,-1.0073184967041016e-05,0.007781982421875,0.0078125,0.016547253325408937,0.020425640077038575,0.0029964447021484375,0.0028247833251953125,0.0236114877828125,0.0257375556640625,0.006549835205078125,0.0022125244140625,0.0001308917999267578,0.00048722457954711914,0.00014269351959228516,0.0002040863037109375,0.005985260009765625,0.00469207763671875,0.0007930963128356934,0.0004943396459106445,1.0669231414794922e-05,-2.4199485778808594e-05,0.091044094425,0.095755383415625,0.095750216415625,0.00040435791015625,0.002086639404296875,0.002651214599609375,1.2576580047607422e-05,3.933906555175781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.748603820800781e-07,-7.152557373046875e-07,0.0,-8.940696716308594e-07,20.03125,0.00522613525390625,0.0048828125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0023213778568847657,0.133544921875,0.0,0.0,0.0,0.0,0.0,0.0023698957606933593,0.1337890625,0.002910614013671875,7.474422454833984e-05,6.186962127685547e-05,0.00565338134765625,0.0081634521484375,0.00010144710540771484,0.0002868175506591797,0.005225092978125,-2.2649765014648438e-05,0.0155029296875,0.0155792236328125,0.0163745005,0.02032727006828613,0.00609588623046875,0.0057525634765625,0.034079050624999996,0.0346412881765625,0.01375579833984375,0.00450897216796875,0.0002605915069580078,0.0004950693968017578,0.00028252601623535156,0.0004048347473144531,0.011749267578125,0.00917816162109375,0.0009181436967163086,0.0005890716513916016,1.8477439880371094e-06,-5.614757537841797e-05,0.1417388394625,0.15134631101875,0.15134143451874998,0.0008330345153808594,0.0040435791015625,0.005184173583984375,1.9371509552001953e-05,8.738040924072266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.5497207641601562e-06,7.748603820800781e-07,-1.8477439880371094e-06,40.0625,0.01123046875,0.00839996337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0022910831480468753,0.1787109375,0.0,0.0,0.0,0.0,0.0,0.0023568346638671873,0.178955078125,0.004425048828125,0.00011223554611206055,5.984306335449219e-05,0.0078887939453125,0.011962890625,0.00017642974853515625,0.0004246234893798828,0.00765381723359375,-3.248453140258789e-05,0.02471923828125,0.024658203125,0.016180679216119386,0.0201506633671875,0.00931549072265625,0.00885009765625,0.044653078546875,0.0436191931796875,0.021697998046875,0.006847381591796875,0.0003924369812011719,0.0004660864154296875,0.0004210472106933594,0.0005960464477539062,0.01739501953125,0.0138397216796875,0.0010418503306030274,0.0007035407046813965,-9.000301361083984e-06,-7.253885269165039e-05,0.19737478349999998,0.20955894145,0.209798801675,0.0013093948364257812,0.00635528564453125,0.0080413818359375,5.02467155456543e-05,0.00015747547149658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-2.2649765014648438e-06,6.854534149169922e-06,-2.5033950805664062e-06,60.125,0.0150909423828125,0.01171875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0029889314060546875,0.1195068359375,0.0,0.0,0.0,0.0,0.0,0.0030901457458984375,0.11993408203125,0.00594329833984375,0.00014960765838623047,1.8298625946044922e-05,0.00970458984375,0.01556396484375,0.00033593177795410156,0.0005369186401367188,0.0095333381609375,-2.002716064453125e-05,0.04022216796875,0.039642333984375,0.016095476245098876,0.02005585280435791,0.0126495361328125,0.01232147216796875,0.053305425659375,0.05063128280625,0.0297393798828125,0.009124755859375,0.0005230903625488281,0.0004464281542724609,0.0006003379821777344,0.0007724761962890625,0.0241546630859375,0.020477294921875,0.0011278798335998535,0.0008198671770629882,-9.006261825561523e-05,-0.00015914440155029297,0.2618116997,0.270209178375,0.270205296575,0.00185394287109375,0.00994110107421875,0.01152801513671875,0.00014710426330566406,0.00015723705291748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-2.682209014892578e-06,-3.039836883544922e-06,-3.159046173095703e-06,80.1875,0.01210784912109375,0.015625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.007138480933203125,-0.0008420944213867188,0.0,0.0,0.0,0.0,0.0,0.007307253623828125,-0.0006361007690429688,0.00701141357421875,0.00018727779388427734,0.00011199712753295898,0.013580322265625,0.0203704833984375,0.0004723072052001953,0.00045108795166015625,0.01062068292421875,-7.492303848266602e-05,0.06768798828125,0.06658935546875,0.01601487769621582,0.019898280508239746,0.0158843994140625,0.0159149169921875,0.059360489262499996,0.055152036290625,0.03692626953125,0.011749267578125,0.0004448890686035156,0.0003446399904296875,0.0007405281066894531,0.0008778572082519531,0.038665771484375,0.034759521484375,0.0012084882273193358,0.001029766684918213,-0.0002200603485107422,-0.00026726722717285156,0.3285229653,0.3310514838,0.331291914025,0.002300262451171875,0.01512908935546875,0.01526641845703125,0.00025463104248046875,-0.0005617141723632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.384185791015625e-06,-1.52587890625e-05,-1.1920928955078125e-06,100.25,0.0234375,0.02099609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.017864214103125,-0.0006117820739746094,0.0,0.0,0.0,0.0,0.0,0.018062465571875,-0.00045013427734375,0.006649017333984375,0.00018739700317382812,0.00021886825561523438,0.01470947265625,0.021209716796875,0.0004930496215820312,0.000507354736328125,0.0099472919453125,-0.0001112222671508789,0.08154296875,0.077880859375,0.016015652536395263,0.019872065679547118,0.0154266357421875,0.0157470703125,0.0553945163625,0.0524643845375,0.03631591796875,0.0118865966796875,0.0004565715789794922,0.0003044766434570313,0.0007290045547851563,0.0008168220520019531,0.043121337890625,0.039794921875,0.0012185784343994141,0.000987263196130371,-0.00018095970153808594,-0.00016963481903076172,0.32246865335,0.3290863819,0.32908234000000003,0.0022525787353515625,0.01479339599609375,0.01422119140625,0.0007805824279785156,-0.0008254051208496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.0265579223632812e-06,-7.62939453125e-06,1.7881393432617188e-06,100.1875,0.03125,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.031535228015625,-0.0005459785461425781,0.0,0.0,0.0,0.0,0.0,0.0317628087625,-0.0004031658172607422,0.0064239501953125,0.00018739700317382812,0.0005831718444824219,0.0162506103515625,0.022186279296875,0.0005860328674316406,0.00046825408935546875,0.00926401406640625,-0.00010454654693603516,0.0906982421875,0.08404541015625,0.015842059641601562,0.019630476817803954,0.01495361328125,0.01544189453125,0.051735913425,0.049420762828125,0.034423828125,0.01158905029296875,0.0003943443298339844,0.00028271007954101563,0.0007873186219726563,0.0007543563842773438,0.0469970703125,0.044036865234375,0.001383813416809082,0.001011982808404541,-0.0001614093780517578,-0.00015985965728759766,0.3110121228,0.321014046625,0.32125400375,0.002140045166015625,0.01464080810546875,0.01342010498046875,0.0012950897216796875,-0.0010156631469726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,-3.814697265625e-06,2.5033950805664062e-06,100.25,0.0283203125,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.043510566275,-0.0005092620849609375,0.0,0.0,0.0,0.0,0.0,0.043798288678125,-0.00036716461181640625,0.006244659423828125,0.00018739700317382812,0.0008440017700195312,0.01824951171875,0.0239105224609375,0.0005345344543457031,0.00046825408935546875,0.0087127685546875,-0.00011426210403442383,0.09765625,0.0894775390625,0.015854621347631836,0.019579023084753417,0.01457977294921875,0.015167236328125,0.049444863590625,0.04768341404375,0.03125,0.011322021484375,0.00038623809814453125,0.0002913102828125,0.0008850021760253906,0.0007505416870117188,0.051605224609375,0.048858642578125,0.0013582381987548829,0.0009936964649414062,-8.33272933959961e-05,-7.200241088867188e-05,0.3043299168,0.31325168165,0.313491694675,0.0020160675048828125,0.0154571533203125,0.0137176513671875,0.00138092041015625,-0.0010633468627929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.1457672119140625e-06,7.62939453125e-06,2.9802322387695312e-06,100.25,0.0283203125,0.01904296875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.050497249678125,-0.0004849433898925781,0.0,0.0,0.0,0.0,0.0,0.05078401438125,-0.00037932395935058594,0.006206512451171875,0.00018703937530517578,0.0010519027709960938,0.020660400390625,0.026031494140625,0.0004954338073730469,0.0005583763122558594,0.0080718994140625,-0.00011247396469116211,0.1009521484375,0.09271240234375,0.01596540769572754,0.01966475883693237,0.01404571533203125,0.01470947265625,0.048603225475,0.04730528034375,0.027740478515625,0.01116943359375,0.00036072731018066406,0.00031836118334960934,0.0010453806376953124,0.0008153915405273438,0.055633544921875,0.05303955078125,0.001241001396044922,0.0008030579477966308,0.0002048015594482422,0.0002453327178955078,0.30972958355,0.311211749875,0.311695825325,0.001903533935546875,0.0184326171875,0.0159912109375,0.0015726089477539062,-0.001007080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.5033950805664062e-06,0.0,3.2186508178710938e-06,100.25,0.03125,0.02197265625
