Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00739317200390625,0.1021728515625,0.0,0.0,0.0,0.0,0.0,0.007424741895703125,0.10235595703125,0.0017757415771484375,3.719329833984375e-05,0.00017333030700683594,0.002994537353515625,0.0038299560546875,7.325410842895508e-05,8.022785186767578e-05,0.00432307702890625,-4.035234451293945e-05,0.010040283203125,0.0079803466796875,0.01655547876638794,0.020460210771008302,0.003345489501953125,0.002872467041015625,0.0246796030171875,0.02626398388671875,0.0059661865234375,0.002475738525390625,0.0001099705696105957,0.000492231369708252,4.410743713378906e-05,0.00017571449279785156,0.007781982421875,0.00528717041015625,0.000782963523223877,0.00044832486014404296,2.8252601623535156e-05,-1.8298625946044922e-05,0.096323635440625,0.089285656853125,0.089341525009375,0.00029349327087402344,0.003162384033203125,0.004058837890625,-2.0384788513183594e-05,-2.3186206817626953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-6.556510925292969e-07,0.0,-7.748603820800781e-07,20.015625,0.0035648345947265625,0.00146484375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01307643996015625,0.2073974609375,0.0,0.0,0.0,0.0,0.0,0.01312591153828125,0.2076416015625,0.0035247802734375,7.43865966796875e-05,0.00032019615173339844,0.00603485107421875,0.0079345703125,0.00013566017150878906,0.0001577138900756836,0.00848284444296875,-8.147954940795898e-05,0.0193023681640625,0.0152130126953125,0.01639661382321167,0.020399868525622557,0.00675201416015625,0.00577545166015625,0.035940622890624996,0.0352821573171875,0.01232147216796875,0.00511932373046875,0.00021338462829589844,0.0005062750700195312,7.736682891845703e-05,0.0003437995910644531,0.0157928466796875,0.01070404052734375,0.0008888182114868164,0.0005072940787597657,5.453824996948242e-05,-4.4465065002441406e-05,0.14924616368125,0.13523302976875,0.13541125873749998,0.0005869865417480469,0.00609588623046875,0.00792694091796875,-5.131959915161133e-05,-5.346536636352539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-1.430511474609375e-06,-7.748603820800781e-07,-1.7881393432617188e-06,40.03125,0.00839996337890625,0.003711700439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01900327186875,0.31494140625,0.0,0.0,0.0,0.0,0.0,0.019082374825,0.315185546875,0.005283355712890625,0.00011157989501953125,0.0004703998565673828,0.0096282958984375,0.0128021240234375,0.0002193450927734375,0.00022745132446289062,0.01271973520234375,-0.00012165307998657227,0.0273895263671875,0.0213165283203125,0.016211852445336915,0.020271064749633787,0.010223388671875,0.00872802734375,0.047765871515625,0.04485515509375,0.0189208984375,0.0079498291015625,0.00030994415283203125,0.0004975576678710937,0.00010436773300170898,0.0005049705505371094,0.0247955322265625,0.0170745849609375,0.0009861795923828125,0.0005936893443603515,8.33272933959961e-05,-7.396936416625977e-05,0.20335622881249998,0.1823372617625,0.182455051675,0.0008807182312011719,0.00891876220703125,0.01168060302734375,-8.821487426757812e-05,-9.226799011230469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-1.8477439880371094e-06,2.2649765014648438e-06,-2.6226043701171875e-06,60.03125,0.01406097412109375,0.00644683837890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025253411996875,0.423828125,0.0,0.0,0.0,0.0,0.0,0.025331738153125,0.42431640625,0.007068634033203125,0.000148773193359375,0.0006289482116699219,0.01444244384765625,0.019134521484375,0.0003628730773925781,0.0002865791320800781,0.016888074489062502,-0.0001583099365234375,0.034271240234375,0.0262451171875,0.01617677698057251,0.0202605351545166,0.0137939453125,0.01174163818359375,0.060934820190625,0.05612444686875,0.0255889892578125,0.0110015869140625,0.00038123130798339844,0.0004910124285644531,0.00011789798736572266,0.0006537437438964844,0.035919189453125,0.025726318359375,0.0009950806850402831,0.0006255560350952148,0.0001150369644165039,-8.499622344970703e-05,0.2588820122,0.2304142565,0.2307765856375,0.0011682510375976562,0.0117340087890625,0.01535797119140625,-0.0001266002655029297,-0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.682209014892578e-06,-1.2218952178955078e-05,-2.9802322387695312e-06,80.0625,0.0212860107421875,0.006641387939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.031823386939062503,0.533203125,0.0,0.0,0.0,0.0,0.0,0.031915865684375,0.53369140625,0.00891876220703125,0.00018596649169921875,0.0008196830749511719,0.0214385986328125,0.02783203125,0.000545501708984375,0.00037169456481933594,0.020851700990625,-0.0001900196075439453,0.039581298828125,0.0297088623046875,0.016166094680010987,0.02028511465283203,0.017486572265625,0.01488494873046875,0.07712171973125,0.07117376480625,0.03204345703125,0.01422119140625,0.0004477500915527344,0.00048149225483398435,0.00011217594146728516,0.0007801055908203125,0.0509033203125,0.03857421875,0.0009921233667846679,0.0006525288881347656,0.00016570091247558594,-4.5180320739746094e-05,0.3158276528,0.280026093175,0.280510664025,0.0014400482177734375,0.01462554931640625,0.019012451171875,-0.00013720989227294922,-0.00015354156494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.337860107421875e-06,0.0,-3.2186508178710938e-06,100.0625,0.022705078125,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.032573686759375,0.53564453125,0.0,0.0,0.0,0.0,0.0,0.032649867915625,0.5361328125,0.00905609130859375,0.00018584728240966797,0.0008826255798339844,0.026092529296875,0.032806396484375,0.0007190704345703125,0.0003876686096191406,0.0205979267109375,-0.00019121170043945312,0.034820556640625,0.0253753662109375,0.016192797540667724,0.020239885942456053,0.01776123046875,0.015106201171875,0.08377586401875001,0.07935037086562499,0.031494140625,0.01470947265625,0.00041556358337402344,0.00049044313515625,6.918113712158203e-05,0.000728607177734375,0.059661865234375,0.048095703125,0.0009517880443847657,0.0006376223498779297,0.00015842914581298828,-6.711483001708984e-05,0.31856240335,0.282455522525,0.28281769156250003,0.0013875961303710938,0.0148162841796875,0.019012451171875,-0.00016891956329345703,-0.00014710426330566406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.337860107421875e-06,-1.1444091796875e-05,-2.9802322387695312e-06,100.0625,0.020751953125,0.013671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.033732493640625,0.5380859375,0.0,0.0,0.0,0.0,0.0,0.033838004075,0.53857421875,0.00921630859375,0.00018584728240966797,0.0010156631469726562,0.031982421875,0.037994384765625,0.0011005401611328125,0.0004417896270751953,0.02033426553125,-0.00018870830535888672,0.027984619140625,0.0192413330078125,0.016044417410614013,0.020004019126611327,0.01800537109375,0.015350341796875,0.09244636264375,0.09016172962499999,0.029449462890625,0.01513671875,0.0003910064697265625,0.0005058698695800781,4.130688796386719e-05,0.0006699562072753906,0.07244873046875,0.06195068359375,0.0009049497006835938,0.0005615505078369141,0.00013399124145507812,-6.467103958129883e-05,0.321510169675,0.2845150231875,0.2849991209375,0.0012989044189453125,0.015228271484375,0.019287109375,-0.0001347064971923828,-0.00013518333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.2649765014648438e-06,3.814697265625e-06,-2.5033950805664062e-06,100.0625,0.016357421875,0.01318359375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.035698066275,0.5400390625,0.0,0.0,0.0,0.0,0.0,0.035802683209375,0.54052734375,0.0095062255859375,0.0001857280731201172,0.00136566162109375,0.040191650390625,0.0421142578125,0.00884246826171875,0.000553131103515625,0.0201568603515625,-0.00019085407257080078,0.018707275390625,0.0113067626953125,0.016102040228094482,0.019993752203100585,0.0182647705078125,0.0156402587890625,0.102759072575,0.10273712498125,0.0257415771484375,0.01534271240234375,0.0003509521484375,0.0004961118422607422,4.164735534667966e-06,0.0005817413330078125,0.08984375,0.080322265625,0.0008994016432739259,0.00048228861276855464,9.733438491821289e-05,-0.00011229515075683594,0.3258142918,0.2867624238375,0.287124507175,0.0011682510375976562,0.0157318115234375,0.019744873046875,-0.00012493133544921875,-0.0001709461212158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.1457672119140625e-06,7.62939453125e-06,-1.5497207641601562e-06,100.0625,0.013671875,0.01025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03783245475625,0.5400390625,0.0,0.0,0.0,0.0,0.0,0.03796663156875,0.54052734375,0.00988006591796875,0.00018548965454101562,0.0022792816162109375,0.049285888671875,0.04449462890625,0.02325439453125,0.0005993843078613281,0.0198211669921875,-0.00017774105072021484,0.00829315185546875,0.003246307373046875,0.01663703283305664,0.021327311193652342,0.0186004638671875,0.016021728515625,0.1126901395375,0.11523740925,0.0215606689453125,0.015289306640625,0.00026798248291015625,0.0005315073930664062,-2.0529224822998047e-05,0.0004887580871582031,0.10736083984375,0.09857177734375,0.0008702605055419923,0.0004509733111083984,4.4226646423339844e-05,-0.00015926361083984375,0.3307256773,0.2891170233125,0.2896010987625,0.000995635986328125,0.0160980224609375,0.0202178955078125,-0.00016164779663085938,-0.00018310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.1457672119140625e-06,-3.814697265625e-06,-9.5367431640625e-07,100.0625,0.01171875,0.0087890625
