Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008007338263671875,0.0858154296875,0.0,0.0,0.0,0.0,0.0,0.00804653755,0.08587646484375,0.0015077590942382812,3.731250762939453e-05,0.00011932849884033203,0.0037689208984375,0.0050201416015625,0.00011813640594482422,0.00012046098709106445,0.00291926843515625,-2.1398067474365234e-05,0.0055389404296875,0.00521087646484375,0.01655226011557007,0.020449541539593507,0.002788543701171875,0.002529144287109375,0.024115027821875,0.02647760693359375,0.00545501708984375,0.00238037109375,0.00010651350021362305,0.00048340988228149414,8.45789909362793e-05,0.0001513957977294922,0.007640838623046875,0.00635528564453125,0.0007604925721435547,0.0004621531377319336,9.715557098388672e-06,-1.4424324035644531e-05,0.09440102801875,0.098135754509375,0.098191622665625,0.0003223419189453125,0.002719879150390625,0.003475189208984375,-3.7550926208496094e-06,-1.3709068298339844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-07,-5.364418029785156e-07,0.0,-7.748603820800781e-07,20.03125,0.0030765533447265625,0.0033206939697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01399196730390625,0.177490234375,0.0,0.0,0.0,0.0,0.0,0.0140490682765625,0.177734375,0.0029850006103515625,7.462501525878906e-05,0.0002334117889404297,0.00795745849609375,0.01052093505859375,0.00023436546325683594,0.000255584716796875,0.005518824667578125,-3.7789344787597656e-05,0.009521484375,0.00905609130859375,0.01639041494015503,0.02037179473793335,0.00556182861328125,0.005008697509765625,0.035940622890624996,0.037036918059375,0.01093292236328125,0.004856109619140625,0.0002130270004272461,0.00048696316511230467,0.00016307830810546875,0.0003094673156738281,0.0169677734375,0.0143585205078125,0.0008299884270935059,0.0005297054251953126,3.1113624572753906e-05,-2.294778823852539e-05,0.14582819493125,0.15427599851875,0.15439319233124998,0.000667572021484375,0.005283355712890625,0.00685882568359375,-1.043081283569336e-05,-2.5391578674316406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-7.748603820800781e-07,3.039836883544922e-06,-1.4901161193847656e-06,40.0625,0.0078125,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0204528568296875,0.2763671875,0.0,0.0,0.0,0.0,0.0,0.020516700996875,0.276611328125,0.004547119140625,0.00011181831359863281,0.00046515464782714844,0.0138092041015625,0.017242431640625,0.00041365623474121094,0.00037288665771484375,0.008515938815625,-6.252527236938477e-05,0.0110931396484375,0.01033782958984375,0.016201242818566896,0.020230891219055174,0.0084381103515625,0.0075531005859375,0.05176367425,0.0521183386875,0.01520538330078125,0.00728607177734375,0.00032067298889160156,0.000690319089074707,0.00017893314361572266,0.0003807544708251953,0.0312347412109375,0.027099609375,0.0009730069658874512,0.0005991729716796875,7.891654968261719e-05,-1.3887882232666016e-05,0.19749685381249998,0.21346519145,0.2135829813625,0.0008707046508789062,0.0081634521484375,0.010498046875,8.881092071533203e-06,1.8835067749023438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.7285346984863281e-06,-6.854534149169922e-06,-2.0265579223632812e-06,60.03125,0.0112762451171875,0.004100799560546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.026901361215625,0.38037109375,0.0,0.0,0.0,0.0,0.0,0.026979687371875,0.380615234375,0.006153106689453125,0.00014901161193847656,0.0007581710815429688,0.022552490234375,0.0246429443359375,0.0017986297607421875,0.0005183219909667969,0.01134150466484375,-9.047985076904297e-05,0.00939178466796875,0.00913238525390625,0.016156034564190673,0.020214997205908202,0.01143646240234375,0.0102081298828125,0.070639410034375,0.070498226165625,0.019012451171875,0.0098724365234375,0.0003867149353027344,0.0006589783175415039,0.00018393993377685547,0.0004467964172363281,0.052490234375,0.047027587890625,0.0009773781055419921,0.0005582027864990234,7.396936416625977e-05,-2.2470951080322266e-05,0.251313652825,0.274603709625,0.2747218981375,0.0011034011840820312,0.0108642578125,0.0139923095703125,4.947185516357422e-05,4.3451786041259766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.7285346984863281e-06,-3.039836883544922e-06,-2.7418136596679688e-06,80.0625,0.00839996337890625,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033608665259375003,0.489013671875,0.0,0.0,0.0,0.0,0.0,0.03371640279375,0.48974609375,0.007843017578125,0.0001862049102783203,0.0012111663818359375,0.035736083984375,0.032470703125,0.0133819580078125,0.0006322860717773438,0.0142141277484375,-0.00012552738189697266,0.00547027587890625,0.006439208984375,0.01609427108305664,0.020225033170898438,0.014678955078125,0.01306915283203125,0.09433363379375,0.0944281593375,0.0214080810546875,0.01242828369140625,0.00041294097900390625,0.0005949794984863281,0.00017118453979492188,0.00048542022705078125,0.084228515625,0.0772705078125,0.00102752852578125,0.0005707513155029296,0.00011199712753295898,-8.52346420288086e-06,0.305817887175,0.3369108588,0.33739542965,0.0012845993041992188,0.01348876953125,0.017486572265625,7.921457290649414e-05,8.666515350341797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.9073486328125e-06,9.5367431640625e-06,-2.2649765014648438e-06,100.0625,0.0126953125,0.0087890625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03413008324375,0.50146484375,0.0,0.0,0.0,0.0,0.0,0.034236781978125,0.501953125,0.00811004638671875,0.00018596649169921875,0.0017642974853515625,0.0460205078125,0.03363037109375,0.03106689453125,0.0006303787231445312,0.0143113056171875,-0.00014662742614746094,0.0012912750244140625,0.00286102294921875,0.016189280866625976,0.020554836885449217,0.0152740478515625,0.01363372802734375,0.10477195776875001,0.10641946266249999,0.018585205078125,0.01245880126953125,0.0003662109375,0.0005207222947021485,0.000123957805670166,0.0004208087921142578,0.10858154296875,0.10107421875,0.0010329695705688477,0.0005985217029052735,8.511543273925781e-05,-6.222724914550781e-05,0.30782021585,0.340560991275,0.34080109000000003,0.0011749267578125,0.01335906982421875,0.017486572265625,7.033348083496094e-05,5.614757537841797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.5033950805664062e-06,7.62939453125e-06,-1.7881393432617188e-06,100.0625,0.00927734375,0.00537109375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03498371434375,0.51171875,0.0,0.0,0.0,0.0,0.0,0.03511974235625,0.51171875,0.00852203369140625,0.00018596649169921875,0.0036029815673828125,0.058990478515625,0.033935546875,0.0548095703125,0.0006561279296875,0.01437570840234375,-0.00015604496002197266,0.0003814697265625,0.0011043548583984375,0.019115069895507812,0.02615664897890625,0.0159759521484375,0.0142669677734375,0.115212475925,0.11903135853124999,0.01538848876953125,0.0124053955078125,0.0003533363342285156,0.0004987173122070313,9.697762618408203e-05,0.0003552436828613281,0.136474609375,0.128173828125,0.0011467061398925781,0.0007800611355834961,6.073713302612305e-05,-6.467103958129883e-05,0.3090589978,0.342498421625,0.34273837875,0.001041412353515625,0.01331329345703125,0.017425537109375,6.818771362304688e-05,-6.079673767089844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.9073486328125e-06,-3.814697265625e-06,-5.960464477539062e-07,100.0625,0.005859375,0.00732421875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03624738268125,0.5185546875,0.0,0.0,0.0,0.0,0.0,0.03638251719375,0.5185546875,0.00916290283203125,0.00018584728240966797,0.0057373046875,0.071533203125,0.033966064453125,0.07379150390625,0.0007195472717285156,0.01444244384765625,-0.0001761913299560547,0.00021541118621826172,0.000518798828125,0.02589705031796875,0.033423632345312496,0.01666259765625,0.01490020751953125,0.12430448273125,0.1301419101375,0.01267242431640625,0.01232147216796875,0.00032830238342285156,0.00045176598654785157,7.527307675170899e-05,0.00028514862060546875,0.15966796875,0.1505126953125,0.0013332042479492188,0.0010645067829345703,-1.7404556274414062e-05,-0.00011843442916870117,0.31165413555,0.3430368379,0.343276850925,0.0009608268737792969,0.013031005859375,0.0171356201171875,7.814168930053711e-05,-7.718801498413086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073486328125e-06,-2.384185791015625e-06,-5.7220458984375e-06,8.344650268554688e-07,100.0625,0.005859375,0.001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.037862972334375,0.5185546875,0.0,0.0,0.0,0.0,0.0,0.038027666725,0.51904296875,0.0099334716796875,0.00018584728240966797,0.0073699951171875,0.07958984375,0.034149169921875,0.07269287109375,0.0007219314575195312,0.014556884765625,-0.0001823902130126953,0.00020563602447509766,0.0003991127014160156,0.02755612691875,0.0354197565671875,0.0175933837890625,0.01580810546875,0.12923066688125,0.1361114326875,0.0122833251953125,0.01244354248046875,0.00033020973205566406,0.0004354247056884765,6.828169589233398e-05,0.0002455711364746094,0.1680908203125,0.1588134765625,0.0016243784712402344,0.0016504571825683594,-4.851818084716797e-05,-0.00014162063598632812,0.315833099175,0.341729328,0.341969262825,0.0009741783142089844,0.01258087158203125,0.016815185546875,3.069639205932617e-05,-0.00017273426055908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.9073486328125e-06,1.1444091796875e-05,1.430511474609375e-06,100.125,0.00830078125,0.00732421875
