Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007812788703125,0.0748291015625,0.0,0.0,0.0,0.0,0.0,0.007859617383984375,0.07501220703125,0.0018100738525390625,3.725290298461914e-05,0.0004425048828125,0.007427215576171875,0.006664276123046875,0.004756927490234375,0.00011169910430908203,0.002984118288671875,-3.3915042877197266e-05,0.00646209716796875,0.006633758544921875,0.016537835791534426,0.02043708416883545,0.0033016204833984375,0.003093719482421875,0.02880710545859375,0.03166559521484375,0.002330780029296875,0.0021076202392578125,5.137920379638672e-05,0.000505821228717041,3.153085708618164e-05,6.377696990966797e-05,0.01715087890625,0.015838623046875,0.0008678405373840333,0.0004754449735168457,1.8715858459472656e-05,-8.52346420288086e-06,0.094950344425,0.09810523693125,0.098130587509375,0.00016045570373535156,0.00441741943359375,0.0050811767578125,3.910064697265625e-05,2.0205974578857422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-1.7881393432617188e-07,1.5497207641601562e-06,-7.152557373046875e-07,20.03125,0.002979278564453125,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01358760939375,0.15625,0.0,0.0,0.0,0.0,0.0,0.01365996915546875,0.156494140625,0.0036163330078125,7.450580596923828e-05,0.0008077621459960938,0.01446533203125,0.0129852294921875,0.0089874267578125,0.00023424625396728516,0.00572100362265625,-6.467103958129883e-05,0.01201629638671875,0.0122833251953125,0.01636067222241211,0.02035743001854248,0.006603240966796875,0.00614166259765625,0.043890451992187496,0.045764945403125,0.005283355712890625,0.00433349609375,0.00011336803436279297,0.0005180767896850586,6.127357482910156e-05,0.0001456737518310547,0.032928466796875,0.030120849609375,0.0010307964753417968,0.0005803097686096192,2.968311309814453e-05,-2.8073787689208984e-05,0.1460113004,0.15293322508125,0.15298938373749998,0.0003688335418701172,0.00843048095703125,0.0098419189453125,7.671117782592773e-05,7.158517837524414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-2.980232238769531e-07,5.364418029785156e-06,-1.7881393432617188e-06,40.0625,0.007129669189453125,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0197204349546875,0.2431640625,0.0,0.0,0.0,0.0,0.0,0.0198147967,0.24365234375,0.00548553466796875,0.00011169910430908203,0.00121307373046875,0.0211334228515625,0.019073486328125,0.012176513671875,0.0003192424774169922,0.00887452035859375,-0.00010395050048828125,0.016448974609375,0.0162811279296875,0.016167864217492677,0.020206691733276366,0.0098419189453125,0.0090789794921875,0.059728762140625,0.06072429571875,0.00780487060546875,0.006450653076171875,0.00017082691192626953,0.0005539436618286133,5.316734313964844e-05,0.0001785755157470703,0.048492431640625,0.04376220703125,0.0012514202616333008,0.0006878050784606933,7.593631744384766e-05,-1.8298625946044922e-05,0.19627615068749998,0.2079720273875,0.208333957925,0.0005145072937011719,0.0124664306640625,0.014495849609375,0.00012350082397460938,0.00011348724365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.0132789611816406e-06,2.2649765014648438e-06,-1.7881393432617188e-06,60.03125,0.00732421875,0.00820159912109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0257264344578125,0.333740234375,0.0,0.0,0.0,0.0,0.0,0.0258352781921875,0.333984375,0.007274627685546875,0.00014901161193847656,0.0015745162963867188,0.0272216796875,0.0247955322265625,0.01479339599609375,0.0004448890686035156,0.01181452712578125,-0.00014078617095947266,0.0195465087890625,0.0193023681640625,0.016120867823773193,0.020172558698828124,0.01303863525390625,0.011962890625,0.075033941284375,0.07528948593125,0.0111236572265625,0.0086669921875,0.00024390220642089844,0.0005550278170532226,5.555152893066406e-05,0.00022912025451660156,0.0626220703125,0.05609130859375,0.00136766931953125,0.0007217579317626953,9.250640869140625e-05,-2.9802322387695312e-05,0.247407402825,0.2636173815,0.263857640325,0.0007157325744628906,0.016082763671875,0.01885986328125,0.00018644332885742188,0.0002722740173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.5497207641601562e-06,0.0,-2.682209014892578e-06,80.0625,0.013671875,0.006641387939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.031869163306250003,0.427490234375,0.0,0.0,0.0,0.0,0.0,0.03200741841875,0.427734375,0.00907135009765625,0.0001863241195678711,0.0019388198852539062,0.033294677734375,0.030487060546875,0.0178680419921875,0.0005540847778320312,0.01480159112734375,-0.0001798868179321289,0.0216064453125,0.021148681640625,0.016099754710375978,0.020169839269836426,0.0162353515625,0.0148162841796875,0.0913429111375,0.0910101905875,0.01465606689453125,0.010894775390625,0.0003142356872558594,0.0005632698274658203,5.447864532470703e-05,0.00028204917907714844,0.07696533203125,0.068603515625,0.0014805238260742187,0.0007565985979125976,0.00010561943054199219,-4.214048385620117e-05,0.29873780905,0.31982101505,0.320061445275,0.0009288787841796875,0.01959228515625,0.023101806640625,0.00027179718017578125,0.0004639625549316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,3.814697265625e-06,-4.291534423828125e-06,100.0625,0.015625,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.031841264884375,0.4365234375,0.0,0.0,0.0,0.0,0.0,0.031978481196875,0.436767578125,0.009063720703125,0.0001863241195678711,0.00197601318359375,0.0333251953125,0.030120849609375,0.0190887451171875,0.0005812644958496094,0.014906398390625,-0.00019609928131103516,0.0189666748046875,0.0182647705078125,0.016113940595629882,0.020131405488964842,0.016265869140625,0.0148162841796875,0.09348045386250001,0.09378518531874999,0.01506805419921875,0.01096343994140625,0.00031566619873046875,0.0005614918717285157,4.474323276367188e-05,0.0002739429473876953,0.07806396484375,0.069580078125,0.0014252873424804688,0.000712128155847168,0.00010526180267333984,-4.1484832763671875e-05,0.29903115335,0.321029741275,0.32126984000000003,0.0009522438049316406,0.0190582275390625,0.02264404296875,0.0002727508544921875,0.00041747093200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.430511474609375e-06,3.814697265625e-06,-3.6954879760742188e-06,100.0625,0.015625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.031779368640625,0.445068359375,0.0,0.0,0.0,0.0,0.0,0.031915396653125,0.4453125,0.0090179443359375,0.0001863241195678711,0.002132415771484375,0.034210205078125,0.0300140380859375,0.0220489501953125,0.000560760498046875,0.0150089481484375,-0.00021219253540039062,0.0167388916015625,0.015777587890625,0.015966275721313476,0.019907578811364745,0.0164031982421875,0.01490020751953125,0.09635261264375,0.09736387806249999,0.0150604248046875,0.011016845703125,0.00030684471130371094,0.0005878858607910156,4.0949260095214847e-05,0.00026226043701171875,0.081787109375,0.07330322265625,0.001376184022277832,0.0006500038006835938,0.00011259317398071289,-5.614757537841797e-05,0.2992933728,0.3217464685,0.32223056625,0.0009641647338867188,0.018585205078125,0.0222015380859375,0.00023651123046875,0.00030040740966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-1.6689300537109375e-06,3.814697265625e-06,-2.86102294921875e-06,100.0625,0.016357421875,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.031944404165625,0.452880859375,0.0,0.0,0.0,0.0,0.0,0.032079538678125,0.453369140625,0.00901031494140625,0.0001862049102783203,0.002391815185546875,0.0357666015625,0.030181884765625,0.025238037109375,0.0005497932434082031,0.01517486572265625,-0.00022685527801513672,0.01442718505859375,0.0133209228515625,0.016021275934423828,0.0198970734692749,0.016571044921875,0.015045166015625,0.09952420929375,0.10151642185625,0.0146942138671875,0.01104736328125,0.0002989768981933594,0.0005892142973999024,4.3205777862548825e-05,0.000244140625,0.0872802734375,0.07855224609375,0.0013312968993164063,0.0005809939045166015,0.00010222196578979492,-5.125999450683594e-05,0.29993538555,0.323261447275,0.3235014603,0.0009679794311523438,0.0181121826171875,0.0217742919921875,0.00022351741790771484,0.00014531612396240234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,7.62939453125e-06,-1.6689300537109375e-06,100.0625,0.010986328125,0.009765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03221722038125,0.4599609375,0.0,0.0,0.0,0.0,0.0,0.032320879615625,0.460693359375,0.00907135009765625,0.0001862049102783203,0.00283050537109375,0.03729248046875,0.03070068359375,0.026763916015625,0.000568389892578125,0.01531982421875,-0.00023603439331054688,0.01169586181640625,0.010528564453125,0.016141718234973144,0.0199705902692749,0.016754150390625,0.01519775390625,0.10213105750625,0.10492246784375,0.01446533203125,0.0110931396484375,0.00026535987854003906,0.0006178149187011718,4.616837268066406e-05,0.00022363662719726562,0.09100341796875,0.08221435546875,0.0012717573927490235,0.0005081937700927734,7.051229476928711e-05,-7.56978988647461e-05,0.3004522398,0.323907062375,0.3241469972,0.0009717941284179688,0.01763916015625,0.021331787109375,0.00019848346710205078,6.467103958129883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.9073486328125e-06,-7.62939453125e-06,-1.5497207641601562e-06,100.125,0.01416015625,0.01416015625
