Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008037855841796875,0.0902099609375,0.0,0.0,0.0,0.0,0.0,0.00808468452265625,0.0902099609375,0.0021266937255859375,3.725290298461914e-05,0.0017137527465820312,0.0150604248046875,0.006168365478515625,0.01416015625,0.00010013580322265625,0.0029326198755859375,-2.9027462005615234e-05,0.0007548332214355469,0.0014057159423828125,0.01654826660437012,0.02044137570325928,0.003719329833984375,0.00341796875,0.033453406728124996,0.037044318359375,0.00012993812561035156,0.002079010009765625,-3.7550926208496094e-06,0.0005207819945556641,-8.225440979003906e-06,1.5497207641601562e-05,0.031158447265625,0.0298309326171875,0.001465019473388672,0.00112841385703125,2.384185791015625e-06,-2.5153160095214844e-05,0.087900783878125,0.090567395134375,0.090623263290625,-7.092952728271484e-06,0.0034942626953125,0.00420379638671875,9.655952453613281e-06,0.00012803077697753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-0.0,0.0,-5.960464477539063e-08,20.03125,0.0015621185302734375,0.0013675689697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0138775263859375,0.1834716796875,0.0,0.0,0.0,0.0,0.0,0.0139575155421875,0.18359375,0.004184722900390625,7.450580596923828e-05,0.00308990478515625,0.0281219482421875,0.012451171875,0.0234222412109375,0.0002073049545288086,0.00565996846640625,-5.513429641723633e-05,0.002105712890625,0.0036163330078125,0.01638123582485962,0.020363271273730468,0.007518768310546875,0.00689697265625,0.052542185390624996,0.055591605559375,0.0011749267578125,0.00429534912109375,-2.384185791015625e-07,0.0005512169721801758,-1.2516975402832031e-05,6.0558319091796875e-05,0.058013916015625,0.055267333984375,0.001706474728515625,0.0013708461722656252,1.2576580047607422e-05,-4.3451786041259766e-05,0.13117975743125,0.137247189925,0.13736438373749998,4.750490188598633e-05,0.006702423095703125,0.00823974609375,3.933906555175781e-05,0.0003857612609863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-4.172325134277344e-07,-7.748603820800781e-07,-3.5762786865234375e-07,40.0625,0.0029296875,0.004688262939453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.019888281634375,0.279296875,0.0,0.0,0.0,0.0,0.0,0.0199826433796875,0.279541015625,0.006275177001953125,0.00011157989501953125,0.0042266845703125,0.037841796875,0.0194091796875,0.02606201171875,0.00030350685119628906,0.0087448206515625,-9.071826934814453e-05,0.004302978515625,0.006252288818359375,0.016183897866937257,0.020216943732177733,0.01129913330078125,0.0103302001953125,0.071935793390625,0.074365653140625,0.0023021697998046875,0.006526947021484375,7.808208465576172e-06,0.0006089587489562988,-3.600120544433594e-05,8.338689804077148e-05,0.07806396484375,0.07373046875,0.0013974516413330078,0.0008961233119506836,3.5703182220458984e-05,-5.8591365814208984e-05,0.17332693193749998,0.1840462461375,0.1842861063625,6.282329559326172e-05,0.00978851318359375,0.01200103759765625,2.682209014892578e-05,0.00038313865661621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.1324882507324219e-06,3.4570693969726562e-06,-9.5367431640625e-07,60.0625,0.005859375,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0258790223484375,0.376708984375,0.0,0.0,0.0,0.0,0.0,0.0259878660828125,0.37744140625,0.008148193359375,0.00014901161193847656,0.004840850830078125,0.04620361328125,0.0268096923828125,0.025970458984375,0.0004010200500488281,0.01163142165703125,-0.00012195110321044922,0.006763458251953125,0.0093231201171875,0.016131596659832763,0.020178638372595214,0.0149993896484375,0.01371002197265625,0.08989600183125,0.09164690780625,0.0049896240234375,0.0088958740234375,1.9431114196777344e-05,0.0006228579028076172,-5.614757537841797e-05,0.00012034177780151367,0.0946044921875,0.08868408203125,0.001486401771923828,0.0008398943377075195,6.079673767089844e-05,-6.347894668579102e-05,0.2159132622,0.231390819,0.231631077825,0.0001360177993774414,0.01242828369140625,0.01546478271484375,4.2557716369628906e-05,0.0004432201385498047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.3113021850585938e-06,-6.079673767089844e-06,-1.430511474609375e-06,80.125,0.00937652587890625,0.009765625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.031960716040625003,0.477294921875,0.0,0.0,0.0,0.0,0.0,0.0321142299421875,0.477783203125,0.0099639892578125,0.0001862049102783203,0.005069732666015625,0.05413818359375,0.034942626953125,0.02520751953125,0.0005159378051757812,0.01449641534609375,-0.0001493692398071289,0.00860595703125,0.01171112060546875,0.016098204989611817,0.020142063505371094,0.018646240234375,0.016998291015625,0.10824964941875,0.10950384293125,0.00838470458984375,0.0113372802734375,3.069639205932617e-05,0.000646239492993164,-7.218122482299805e-05,0.00016200542449951172,0.10992431640625,0.1024169921875,0.0015878121866699218,0.0008668075861022949,6.014108657836914e-05,-8.058547973632812e-05,0.2593090981125,0.2802702338,0.2806327343375,0.00023221969604492188,0.014801025390625,0.0187225341796875,4.225969314575195e-05,0.000492095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.7881393432617188e-06,7.62939453125e-06,-2.2649765014648438e-06,100.125,0.01611328125,0.015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0320091115640625,0.484619140625,0.0,0.0,0.0,0.0,0.0,0.032161586665625,0.485107421875,0.009796142578125,0.0001862049102783203,0.004364013671875,0.05218505859375,0.036407470703125,0.021636962890625,0.0005517005920410156,0.01448678169140625,-0.00015115737915039062,0.007534027099609375,0.0106658935546875,0.01613325250053711,0.020103987352368163,0.0185699462890625,0.01690673828125,0.10873924292500001,0.11032571266249999,0.01000213623046875,0.0115203857421875,4.4226646423339844e-05,0.0006342095383544922,-6.844598766479492e-05,0.00017702579498291016,0.105712890625,0.0980224609375,0.0015073033336914063,0.0008604245120483399,7.355213165283203e-05,-7.933378219604492e-05,0.260701075225,0.282943803775,0.28330597281250003,0.00029397010803222656,0.01427459716796875,0.018310546875,6.54458999633789e-05,0.0005235671997070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.6689300537109375e-06,-1.1444091796875e-05,-2.9802322387695312e-06,100.0625,0.019287109375,0.0146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03217609715625,0.4931640625,0.0,0.0,0.0,0.0,0.0,0.03231212516875,0.493408203125,0.0096588134765625,0.0001862049102783203,0.00408935546875,0.052276611328125,0.03778076171875,0.0223236083984375,0.0005431175231933594,0.01443674355859375,-0.00016069412231445312,0.004962921142578125,0.00821685791015625,0.01597968676638794,0.019845113143640136,0.0185546875,0.016876220703125,0.11063483920625,0.11311094837499999,0.01068115234375,0.01165771484375,4.7326087951660156e-05,0.0006166152995727539,-5.513342728271484e-05,0.00017750263214111328,0.106201171875,0.09844970703125,0.0014664254544677735,0.000861838708215332,9.000301361083984e-05,-0.00010007619857788086,0.2627943493625,0.286346077875,0.2864639646875,0.00033473968505859375,0.0139923095703125,0.018096923828125,0.00011551380157470703,0.0006055831909179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.1920928955078125e-06,7.62939453125e-06,-2.6226043701171875e-06,100.125,0.017822265625,0.015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.032615790884375,0.501953125,0.0,0.0,0.0,0.0,0.0,0.032781442975,0.5029296875,0.00960540771484375,0.0001862049102783203,0.004314422607421875,0.054931640625,0.039703369140625,0.0279083251953125,0.0005674362182617188,0.01444244384765625,-0.00016987323760986328,0.00223541259765625,0.00485992431640625,0.01603534263059082,0.01977267857562866,0.0186614990234375,0.0169219970703125,0.1150881741375,0.118789371075,0.01032257080078125,0.01169586181640625,2.9921531677246094e-05,0.0006007775984863281,-4.37573988647461e-05,0.0001609325408935547,0.11224365234375,0.10467529296875,0.001419750192163086,0.0008001601833557128,9.244680404663086e-05,-8.910894393920898e-05,0.2668543308625,0.29079074415,0.2911528274875,0.0003380775451660156,0.0138397216796875,0.0179901123046875,8.618831634521484e-05,0.0004699230194091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,5.7220458984375e-06,-1.7881393432617188e-06,100.125,0.01806640625,0.01123046875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03355999381875,0.5107421875,0.0,0.0,0.0,0.0,0.0,0.033724688209375,0.51123046875,0.00972747802734375,0.00018596649169921875,0.005283355712890625,0.062103271484375,0.042449951171875,0.042449951171875,0.0004954338073730469,0.0142974853515625,-0.00016891956329345703,0.0004596710205078125,0.0020275115966796875,0.01753873189921875,0.020407969152636717,0.0189361572265625,0.0171356201171875,0.12251679969375,0.1280547920625,0.00853729248046875,0.01160430908203125,7.450580596923828e-06,0.0006129273378295898,-3.823180432128906e-05,0.00012022256851196289,0.1268310546875,0.1195068359375,0.001332554130419922,0.0007628248125732421,1.436471939086914e-05,-0.00012087821960449219,0.2724981382375,0.296075031125,0.29631496595,0.0002663135528564453,0.01398468017578125,0.01824951171875,-1.1444091796875e-05,0.00020015239715576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.0728836059570312e-06,1.9073486328125e-05,-1.430511474609375e-06,100.125,0.010498046875,0.0126953125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.034743822221875,0.5126953125,0.0,0.0,0.0,0.0,0.0,0.034937919890625,0.51318359375,0.0099029541015625,0.0001862049102783203,0.0060882568359375,0.07501220703125,0.04705810546875,0.06988525390625,0.000591278076171875,0.01343536376953125,-0.00016248226165771484,-1.341104507446289e-05,0.0017862319946289062,0.02886277061875,0.031309379233593754,0.0190887451171875,0.0173492431640625,0.13182967896875,0.13939277078125,0.0069580078125,0.011810302734375,-5.0187110900878906e-05,0.0005890695515136719,-3.666359201049805e-05,6.133317947387695e-05,0.1488037109375,0.14208984375,0.0011874283533935548,0.0008116936436401367,-2.962350845336914e-05,-0.00019168853759765625,0.280239935925,0.302086167075,0.3023260236,0.0003533363342285156,0.014251708984375,0.0190887451171875,-3.9517879486083984e-05,0.0002624988555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,2.384185791015625e-07,1.1444091796875e-05,-1.1920928955078125e-06,100.1875,0.01025390625,0.0107421875
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.037858314425,0.509765625,0.0,0.0,0.0,0.0,0.0,0.038020686215625,0.509765625,0.01091766357421875,0.0001857280731201172,0.00969696044921875,0.09649658203125,0.042266845703125,0.11859130859375,0.000690460205078125,0.01294708251953125,-0.00014150142669677734,-0.00028514862060546875,0.0013551712036132812,0.0371407531546875,0.0393236484390625,0.019927978515625,0.0180511474609375,0.141530504425,0.15128493685,0.000789642333984375,0.011260986328125,-7.462501525878906e-05,0.0006476621596801758,-2.9961033251953118e-05,8.662776513671874e-06,0.1885986328125,0.1807861328125,0.00312468562109375,0.003280439255859375,-7.355213165283203e-05,-0.0001989603042602539,0.2889648638625,0.30720577015,0.307445563375,-5.960464477539062e-07,0.01548004150390625,0.0202178955078125,-0.00016033649444580078,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.5762786865234375e-07,3.814697265625e-06,9.5367431640625e-07,100.1875,-0.0087890625,0.00146484375
