Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,-0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00853758118359375,0.10662841796875,0.0,0.0,0.0,0.0,0.0,0.00857296577265625,0.10675048828125,0.0030117034912109375,3.707408905029297e-05,0.00457763671875,0.025909423828125,0.0028553009033203125,0.04107666015625,7.808208465576172e-05,0.002785754030859375,-1.4424324035644531e-05,-4.7206878662109375e-05,0.0001156926155090332,0.020661702349609377,0.024553261727734376,0.0043487548828125,0.003894805908203125,0.042379798329687496,0.0473287421875,3.349781036376953e-05,0.001987457275390625,-1.7464160919189453e-05,0.0005157752043945312,-5.1975250244140625e-05,1.4662742614746094e-05,0.05731201171875,0.05523681640625,0.00771778512890625,0.007640102089453125,1.0013580322265625e-05,-1.6868114471435547e-05,0.0877481959875,0.0963352174,0.0963300504,-0.0001653432846069336,0.003429412841796875,0.00399017333984375,-1.1801719665527344e-05,7.128715515136719e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-2.980232238769531e-07,-3.5762786865234375e-07,2.384185791015625e-07,20.015625,-0.0011720657348632812,-0.0007810592651367188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01551784621015625,0.214111328125,0.0,0.0,0.0,0.0,0.0,0.0155749471828125,0.214111328125,0.006191253662109375,7.414817810058594e-05,0.00940704345703125,0.05401611328125,0.005664825439453125,0.08197021484375,0.00015401840209960938,0.005267054648046875,-2.9206275939941406e-05,-0.00010520219802856445,0.000225067138671875,0.0250567514765625,0.02902740243828125,0.0088958740234375,0.007965087890625,0.07222602328125,0.07851030673125,6.753206253051758e-05,0.004032135009765625,-2.4080276489257812e-05,0.0005568198087890625,-0.00010520219802856445,2.5153160095214844e-05,0.11639404296875,0.1119384765625,0.01478707165234375,0.0149015773734375,2.2113323211669922e-05,-3.36766242980957e-05,0.1314849332125,0.14890490476875,0.14908313373749998,-0.00033855438232421875,0.006683349609375,0.0078125,-2.4616718292236328e-05,0.00013399124145507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-5.960464477539062e-07,0.0,5.960464477539062e-07,40.03125,-0.0015621185302734375,0.0
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02303159218125,0.320556640625,0.0,0.0,0.0,0.0,0.0,0.023080177559375,0.32080078125,0.009521484375,0.0001112222671508789,0.014404296875,0.08416748046875,0.0086212158203125,0.1212158203125,0.00022482872009277344,0.00776062875703125,-4.589557647705078e-05,-0.00017833709716796875,0.0003535747528076172,0.0289507955453125,0.03296041678515625,0.01367950439453125,0.01226043701171875,0.10254492425,0.110101737125,0.00010561943054199219,0.006134033203125,-1.4722347259521484e-05,0.0005694408694702148,-0.00015878677368164062,3.4868717193603516e-05,0.1759033203125,0.1690673828125,0.0214463083765625,0.0217192443828125,2.491474151611328e-05,-5.459785461425781e-05,0.17479177568749998,0.2011360898875,0.2012538798,-0.0005068778991699219,0.00974273681640625,0.0114593505859375,-3.248453140258789e-05,0.00018858909606933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.1324882507324219e-06,-5.7220458984375e-06,1.4901161193847656e-06,60.03125,-0.003223419189453125,-0.0002930164337158203
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0316773621921875,0.424560546875,0.0,0.0,0.0,0.0,0.0,0.0317709471375,0.424560546875,0.01302337646484375,0.00014841556549072266,0.01953125,0.1163330078125,0.01201629638671875,0.1568603515625,0.0002949237823486328,0.01022761306328125,-6.186962127685547e-05,-0.00025534629821777344,0.0005321502685546875,0.0317964721671875,0.0357327088453125,0.0188140869140625,0.0168914794921875,0.13323096276875,0.1417567710875,0.000152587890625,0.0083160400390625,1.0728836059570312e-06,0.0005895985110229492,-0.00020372867584228516,4.786252975463867e-05,0.2349853515625,0.225830078125,0.027208428596875,0.02770001225,2.2232532501220703e-05,-5.7578086853027344e-05,0.2175001762625,0.250677928375,0.251162327825,-0.0006556510925292969,0.01279449462890625,0.0151519775390625,-5.066394805908203e-05,0.0002168416976928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-9.5367431640625e-07,3.039836883544922e-06,1.430511474609375e-06,80.0625,-0.0023441314697265625,-0.0003905296325683594
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.042641868384375003,0.517578125,0.0,0.0,0.0,0.0,0.0,0.042810641075,0.517578125,0.0167694091796875,0.00018548965454101562,0.0247039794921875,0.1505126953125,0.016204833984375,0.184814453125,0.0003466606140136719,0.0127798015765625,-8.7738037109375e-05,-0.0003521442413330078,0.0007643699645996094,0.03124767913359375,0.03515003622265625,0.0245361328125,0.022125244140625,0.163974747075,0.1735297218375,0.00018584728240966797,0.0106353759765625,1.7881393432617188e-05,0.0005900919176147461,-0.0002472400665283203,6.651878356933594e-05,0.292236328125,0.281005859375,0.0316137712015625,0.0323045026125,-4.303455352783203e-05,-0.00014591217041015625,0.2588208168625,0.2958952338,0.296135664025,-0.0007567405700683594,0.0163116455078125,0.0194091796875,-8.344650268554688e-05,0.0002377033233642578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.7881393432617188e-06,0.0,2.384185791015625e-06,100.125,0.00048828125,-0.00244140625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04755781761875,0.474365234375,0.0,0.0,0.0,0.0,0.0,0.0477560690875,0.474365234375,0.0173492431640625,0.0001857280731201172,0.0250244140625,0.1544189453125,0.0180816650390625,0.1646728515625,0.0003266334533691406,0.012953273390625,-6.759166717529297e-05,-0.0002777576446533203,0.001247406005859375,0.021621171354296875,0.025926884309765624,0.025970458984375,0.02362060546875,0.1628163913625,0.1716050095375,0.00024700164794921875,0.01100921630859375,4.774332046508789e-05,0.0005865258225341797,-0.00023432571407470704,6.681680679321289e-05,0.285888671875,0.2763671875,0.02820923051875,0.028587193959375,-7.355213165283203e-05,-0.00019037723541259766,0.2530106455375,0.284408647525,0.28452667593750003,-0.0006670951843261719,0.017303466796875,0.0201568603515625,-6.759166717529297e-05,0.00021731853485107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,1.1444091796875e-05,2.9802322387695312e-06,100.125,0.0068359375,0.0087890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.061015208484375,0.40380859375,0.0,0.0,0.0,0.0,0.0,0.061273306809375,0.404052734375,0.0178070068359375,0.00018584728240966797,0.0256500244140625,0.1544189453125,0.02099609375,0.137451171875,0.0003211498260498047,0.0123539188515625,-6.759166717529297e-05,0.0028362274169921875,0.005863189697265625,0.01589057782244873,0.019779309615808104,0.02685546875,0.0247802734375,0.157204663425,0.16560118275,0.00025653839111328125,0.01141357421875,3.635883331298828e-06,0.0005502157252929688,-0.00017481955399169922,4.3332576751708984e-05,0.271728515625,0.265380859375,0.0231074414609375,0.022715166459375,-0.0001614093780517578,-0.000244140625,0.2447279431125,0.26950037475,0.2696182615625,-0.0006108283996582031,0.019378662109375,0.0214691162109375,0.00015437602996826172,8.791685104370117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,-5.7220458984375e-06,3.933906555175781e-06,100.25,0.01611328125,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08092511705625,0.3251953125,0.0,0.0,0.0,0.0,0.0,0.0812433570375,0.32568359375,0.018035888671875,0.0001862049102783203,0.0258941650390625,0.145751953125,0.0254058837890625,0.10650634765625,0.00034737586975097656,0.0115509033203125,-7.981061935424805e-05,0.01377105712890625,0.01528167724609375,0.015918159898962402,0.019705980978125,0.02716064453125,0.025482177734375,0.148657510075,0.15663116795,0.0003445148468017578,0.0118255615234375,-5.9485435485839844e-05,0.00046464058981933595,-7.564588381958007e-05,2.2590160369873047e-05,0.244873046875,0.2415771484375,0.01668831441640625,0.015397039665625,-0.00032329559326171875,-0.00035643577575683594,0.2373133152375,0.2555124238375,0.25563036655,-0.000530242919921875,0.0222320556640625,0.023162841796875,0.00044989585876464844,-0.00028204917907714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.5497207641601562e-06,5.7220458984375e-06,3.4570693969726562e-06,100.4375,0.023193359375,0.03271484375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09935589225625,0.2432861328125,0.0,0.0,0.0,0.0,0.0,0.09973420969375,0.243408203125,0.0181884765625,0.0001863241195678711,0.024200439453125,0.1259765625,0.033599853515625,0.0704345703125,0.00034618377685546875,0.0106353759765625,-9.047985076904297e-05,0.02630615234375,0.026458740234375,0.016018098201708984,0.01973795334071655,0.027069091796875,0.0258636474609375,0.13917939735,0.145999128,0.00336456298828125,0.0125274658203125,-0.000110626220703125,0.0003987082445068359,8.568625216674805e-05,6.467103958129883e-05,0.200439453125,0.19970703125,0.0094774096296875,0.007882242003125,-0.0004105567932128906,-0.0004382133483886719,0.2334356382375,0.247735187375,0.2479751222,-0.00032830238342285156,0.026092529296875,0.0258331298828125,0.0005974769592285156,-0.0005922317504882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.5497207641601562e-06,-3.814697265625e-06,2.86102294921875e-06,100.5,0.013671875,0.03466796875
