Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005077650763671875,0.05987548828125,0.0,0.0,0.0,0.0,0.0,0.005113035352734375,0.059967041015625,0.00130462646484375,3.737211227416992e-05,0.00017452239990234375,0.00234222412109375,0.003108978271484375,7.784366607666016e-05,0.00011903047561645508,0.0024710415064453125,-3.11732292175293e-05,0.0105133056640625,0.01036834716796875,0.016540518000549318,0.020427547425671388,0.0028476715087890625,0.0027561187744140625,0.0222992319234375,0.02499750439453125,0.00482940673828125,0.0017871856689453125,0.0001220703125,0.0005188150412780762,0.00012195110321044922,0.00016438961029052734,0.00720977783203125,0.005771636962890625,0.000845071563079834,0.0004884387860778808,1.0192394256591797e-05,-1.0013580322265625e-05,0.09256997333125,0.095114514275,0.09517038243125,0.000278472900390625,0.003810882568359375,0.00446319580078125,5.21540641784668e-05,3.36766242980957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-4.76837158203125e-07,-1.5497207641601562e-06,-8.344650268554688e-07,20.03125,0.0038089752197265625,0.00390625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0082775508,0.126953125,0.0,0.0,0.0,0.0,0.0,0.008327022378125,0.1270751953125,0.002559661865234375,7.474422454833984e-05,0.0002944469451904297,0.004207611083984375,0.005847930908203125,0.0001264810562133789,0.00023305416107177734,0.004717738241796875,-6.258487701416016e-05,0.0197601318359375,0.0195465087890625,0.01637074540737915,0.02033519748604126,0.00565338134765625,0.00543975830078125,0.030874704921875,0.0325966104421875,0.01027679443359375,0.003631591796875,0.0002474784851074219,0.0005675486448486328,0.0002397298812866211,0.0003368854522705078,0.01320648193359375,0.0102081298828125,0.001020902104309082,0.0005778659781738282,3.1113624572753906e-05,-2.396106719970703e-05,0.14143366368125,0.14707385008125,0.14713000873749998,0.0005841255187988281,0.007312774658203125,0.00867462158203125,9.185075759887695e-05,5.370378494262695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-6.556510925292969e-07,0.0,-2.086162567138672e-06,40.0625,0.0084991455078125,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.011526465228125,0.201416015625,0.0,0.0,0.0,0.0,0.0,0.01159793878984375,0.20166015625,0.0037631988525390625,0.00011205673217773438,0.0003986358642578125,0.005832672119140625,0.0082244873046875,0.00018596649169921875,0.0003604888916015625,0.00704346567109375,-9.40561294555664e-05,0.0272979736328125,0.027069091796875,0.016175016774865724,0.020169498434936522,0.008392333984375,0.00801849365234375,0.03949560784375,0.0403538123203125,0.0159912109375,0.0054779052734375,0.0003790855407714844,0.0005877394954162598,0.0003502368927001953,0.0005068778991699219,0.018585205078125,0.013946533203125,0.001198491337072754,0.0006667646388549804,4.673004150390625e-05,-3.0040740966796875e-05,0.19078298662499998,0.1999153867625,0.1999111063625,0.0009121894836425781,0.010528564453125,0.01262664794921875,0.00014472007751464844,7.176399230957031e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.5497207641601562e-06,0.0,-3.0994415283203125e-06,60.0625,0.0112762451171875,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.014801141489062499,0.282470703125,0.0,0.0,0.0,0.0,0.0,0.0148794676453125,0.282958984375,0.004901885986328125,0.0001494884490966797,0.0005006790161132812,0.007396697998046875,0.0105743408203125,0.00021386146545410156,0.0004673004150390625,0.00937312087578125,-0.00012540817260742188,0.0328369140625,0.032684326171875,0.016125755404644775,0.020131669912512206,0.01105499267578125,0.010498046875,0.048422613159375,0.048586605071875,0.021881103515625,0.00731658935546875,0.0004949569702148438,0.0005798233492797851,0.00045013427734375,0.0006728172302246094,0.023773193359375,0.017486572265625,0.0013165285343139648,0.0007059030962524414,4.273653030395508e-05,-5.5670738220214844e-05,0.2404493950125,0.253119334625,0.2534816637625,0.0012559890747070312,0.01345062255859375,0.0163116455078125,0.000202178955078125,9.131431579589844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.271766662597656e-06,-1.7285346984863281e-06,3.039836883544922e-06,-4.172325134277344e-06,80.0625,0.0167999267578125,0.013671875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.018044700415625,0.369140625,0.0,0.0,0.0,0.0,0.0,0.01815243795,0.36962890625,0.00600433349609375,0.00018680095672607422,0.0005955696105957031,0.00904083251953125,0.01317596435546875,0.00023365020751953125,0.0006170272827148438,0.01167353936953125,-0.0001652240753173828,0.036376953125,0.03643798828125,0.016087237734973146,0.020105466253479004,0.01364898681640625,0.0128936767578125,0.058322891606249996,0.0580512062125,0.02789306640625,0.00913238525390625,0.0006055831909179688,0.0005458652711914062,0.0005464553833007812,0.0008344650268554688,0.029144287109375,0.0211334228515625,0.00143951583046875,0.0007774602235839843,8.273124694824219e-05,-4.273653030395508e-05,0.2894604653,0.3066374213,0.30712199215,0.0016164779663085938,0.016021728515625,0.0196533203125,0.0002338886260986328,0.00010561943054199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.7418136596679688e-06,-3.814697265625e-06,-4.649162292480469e-06,100.125,0.01806640625,0.01708984375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.017925249259375,0.383544921875,0.0,0.0,0.0,0.0,0.0,0.01803194799375,0.3837890625,0.005908966064453125,0.000186920166015625,0.0005903244018554688,0.009124755859375,0.01355743408203125,0.00025200843811035156,0.0006060600280761719,0.011732570265625,-0.00016558170318603516,0.031707763671875,0.0321044921875,0.016125921129229736,0.020083125726696776,0.013519287109375,0.0126953125,0.060063705815625,0.060307402115625,0.028228759765625,0.00909423828125,0.0006017684936523438,0.0005371731766601563,0.000533501319921875,0.0008268356323242188,0.0291748046875,0.0211334228515625,0.0013888092998779297,0.0007637457782226563,5.829334259033203e-05,-5.251169204711914e-05,0.288533106475,0.307357866275,0.30759796500000003,0.0016613006591796875,0.01526641845703125,0.0189208984375,0.00022900104522705078,0.00010436773300170898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967254638671875e-05,-1.6689300537109375e-06,-1.9073486328125e-06,-5.125999450683594e-06,100.125,0.021728515625,0.013671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0177260239140625,0.3955078125,0.0,0.0,0.0,0.0,0.0,0.0178467931375,0.39599609375,0.005847930908203125,0.000186920166015625,0.0005955696105957031,0.0096435546875,0.01441192626953125,0.0002663135528564453,0.000621795654296875,0.0117740848671875,-0.00016796588897705078,0.027130126953125,0.027923583984375,0.015973309069396972,0.019859060630517577,0.01346588134765625,0.0125885009765625,0.062386548190625,0.06318419056249999,0.0283355712890625,0.00905609130859375,0.0005879402160644531,0.0005433015864990234,0.0005336412538085938,0.0008168220520019531,0.0301971435546875,0.022186279296875,0.0013469777463378906,0.000760510812097168,3.3855438232421875e-05,-0.0001062154769897461,0.28610977905,0.30758631225,0.307826269375,0.001705169677734375,0.01461029052734375,0.0183258056640625,0.0002219676971435547,9.1552734375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-3.0994415283203125e-06,-3.814697265625e-06,-3.814697265625e-06,100.125,0.01953125,0.01611328125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.017601142446875,0.40625,0.0,0.0,0.0,0.0,0.0,0.01770575938125,0.406494140625,0.005771636962890625,0.000186920166015625,0.00061798095703125,0.01053619384765625,0.0156707763671875,0.00028252601623535156,0.0006351470947265625,0.01192474365234375,-0.00016641616821289062,0.022857666015625,0.0240478515625,0.016010725912298584,0.019814938268774413,0.01349639892578125,0.01258087158203125,0.0655276272625,0.067001040996875,0.028167724609375,0.00902557373046875,0.0005626678466796875,0.0005373582564453125,0.0005426330964355469,0.000804901123046875,0.0323486328125,0.0242919921875,0.0012354526305175782,0.0007100975651000976,6.318092346191406e-05,-6.711483001708984e-05,0.2839441746125,0.308124728525,0.30836474155,0.001743316650390625,0.0140533447265625,0.017852783203125,0.00021505355834960938,8.851289749145508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,0.0,-3.6954879760742188e-06,100.125,0.02392578125,0.02099609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0176298180375,0.414306640625,0.0,0.0,0.0,0.0,0.0,0.017733477271875,0.4150390625,0.0056610107421875,0.000186920166015625,0.0006699562072753906,0.01165771484375,0.0171051025390625,0.00038242340087890625,0.0006427764892578125,0.01213836669921875,-0.00017559528350830078,0.0188446044921875,0.020355224609375,0.016132658328967285,0.019908720647998045,0.013580322265625,0.01263427734375,0.06880586219375,0.070834333078125,0.0278472900390625,0.0090179443359375,0.0005431175231933594,0.0005436667406005859,0.0005504236674804688,0.0007863044738769531,0.03497314453125,0.0267181396484375,0.0011506407545654298,0.000631575384777832,7.295608520507812e-05,-9.1552734375e-05,0.2818975523,0.308526203,0.308766137825,0.001781463623046875,0.01355743408203125,0.0174407958984375,0.00023102760314941406,8.791685104370117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.0994415283203125e-06,0.0,-3.2186508178710938e-06,100.125,0.023193359375,0.01904296875
