Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00902586243359375,0.0802001953125,0.0,0.0,0.0,0.0,0.0,0.009072691114453125,0.080322265625,0.0015239715576171875,3.737211227416992e-05,0.00022351741790771484,0.003253936767578125,0.00428009033203125,0.0001010894775390625,0.0001131892204284668,0.0031576870142578125,-3.886222839355469e-05,0.0092315673828125,0.0080718994140625,0.016553392603820802,0.020450495213909913,0.0030574798583984375,0.002796173095703125,0.02339023534140625,0.025691779296875,0.004852294921875,0.0021686553955078125,0.00011175870895385742,0.0004774494178039551,6.699562072753906e-05,0.00010651350021362305,0.00719451904296875,0.005382537841796875,0.0008056728928833008,0.00041524428229370116,2.9206275939941406e-05,-1.0728836059570312e-05,0.095530178409375,0.0992649049,0.09932077305625,0.0003199577331542969,0.0036869049072265625,0.004352569580078125,3.457069396972656e-05,-4.649162292480469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-4.172325134277344e-07,1.5497207641601562e-06,-7.152557373046875e-07,20.03125,0.003711700439453125,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0162273799015625,0.165283203125,0.0,0.0,0.0,0.0,0.0,0.01629211026875,0.16552734375,0.003032684326171875,7.474422454833984e-05,0.0004067420959472656,0.006153106689453125,0.0082550048828125,0.00018966197967529297,0.00023424625396728516,0.00607195577109375,-7.462501525878906e-05,0.01806640625,0.015777587890625,0.016393931614196777,0.02037876848137207,0.00612640380859375,0.00557708740234375,0.032949900234374996,0.033741019621875,0.01021575927734375,0.0044403076171875,0.0002256631851196289,0.0004569224241455078,0.00013816356658935547,0.000232696533203125,0.0135955810546875,0.00995635986328125,0.0009200510453491211,0.00042921199410400396,4.4345855712890625e-05,-2.294778823852539e-05,0.14619440586875,0.15476427976875,0.15494250873749998,0.0006690025329589844,0.007183074951171875,0.0086212158203125,5.936622619628906e-05,-9.98377799987793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-8.344650268554688e-07,4.589557647705078e-06,-1.7881393432617188e-06,40.0625,0.00791168212890625,0.006641387939453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0238403080015625,0.253662109375,0.0,0.0,0.0,0.0,0.0,0.023934669746875,0.25390625,0.0045928955078125,0.00011217594146728516,0.0006041526794433594,0.0087890625,0.01166534423828125,0.0002541542053222656,0.00032138824462890625,0.0094772425265625,-0.00011450052261352539,0.026580810546875,0.022735595703125,0.016211375608178712,0.020250679961120604,0.0091094970703125,0.00824737548828125,0.042760988703125,0.04216960821875,0.0155029296875,0.0066070556640625,0.0003345012664794922,0.00044415190615234375,0.00019049644470214844,0.0003304481506347656,0.0191650390625,0.01335906982421875,0.0011026470682739258,0.0004859241466064453,9.21487808227539e-05,-2.7120113372802734e-05,0.19529958818749998,0.210291363325,0.2106532938625,0.0009393692016601562,0.010833740234375,0.0130462646484375,0.00010573863983154297,-0.00012814998626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.5497207641601562e-06,-2.2649765014648438e-06,-2.562999725341797e-06,60.0,0.00791168212890625,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0314332215671875,0.344482421875,0.0,0.0,0.0,0.0,0.0,0.0315725828796875,0.3447265625,0.0060577392578125,0.0001494884490966797,0.0007886886596679688,0.01079559326171875,0.0142669677734375,0.00029468536376953125,0.0004410743713378906,0.01271479568046875,-0.0001556873321533203,0.0350341796875,0.029876708984375,0.016176300143414306,0.020225010786230468,0.01207733154296875,0.01090240478515625,0.05156592370625,0.04965472030625,0.0213775634765625,0.00881195068359375,0.0004553794860839844,0.0004089964373535156,0.0002491474151611328,0.0004448890686035156,0.0237579345703125,0.01593017578125,0.0011747290843933105,0.00045162968164062496,0.00015795230865478516,-2.5391578674316406e-05,0.2445997856375,0.2659367174375,0.2661769762625,0.0012760162353515625,0.01409912109375,0.0171966552734375,0.00014090538024902344,-0.00015819072723388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-06,-1.3113021850585938e-06,7.62939453125e-06,-3.814697265625e-06,80.0625,0.017181396484375,0.0109405517578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.039101829321875003,0.43505859375,0.0,0.0,0.0,0.0,0.0,0.0392706020125,0.435546875,0.007511138916015625,0.000186920166015625,0.0009899139404296875,0.01251983642578125,0.0164794921875,0.000335693359375,0.0005512237548828125,0.0159383709125,-0.0002027750015258789,0.04425048828125,0.037750244140625,0.016159538169085694,0.02022360265942383,0.01511383056640625,0.0136260986328125,0.059909805668749996,0.057044126134375,0.0275421142578125,0.01102447509765625,0.000576019287109375,0.00037277338276367185,0.0003044605255126953,0.0005617141723632812,0.0278472900390625,0.018157958984375,0.001276556731652832,0.00044367421284179683,0.00013637542724609375,-5.251169204711914e-05,0.29385499655,0.3212858588,0.321526289025,0.001628875732421875,0.017364501953125,0.0214691162109375,0.00016582012176513672,-0.00019168853759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.6226043701171875e-06,1.9073486328125e-06,-4.649162292480469e-06,100.0625,0.019287109375,0.01123046875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0389518605875,0.43603515625,0.0,0.0,0.0,0.0,0.0,0.039119594478125,0.4365234375,0.007457733154296875,0.00018703937530517578,0.00099945068359375,0.01169586181640625,0.0154876708984375,0.00030612945556640625,0.0005435943603515625,0.0159287372578125,-0.00021350383758544922,0.045196533203125,0.038818359375,0.016201201795581054,0.020195540086743163,0.01520538330078125,0.01374053955078125,0.058598862065625,0.056095976334375,0.0283355712890625,0.01105499267578125,0.0005726814270019531,0.00037790956582031254,0.0003050963211425781,0.0005674362182617188,0.0268707275390625,0.0171966552734375,0.001255175686291504,0.0004094557696777344,0.00015103816986083984,-8.058547973632812e-05,0.29219521585,0.320053178775,0.32029327750000003,0.0016727447509765625,0.01708984375,0.0213470458984375,0.00016129016876220703,-0.00018072128295898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.86102294921875e-06,-3.814697265625e-06,-3.933906555175781e-06,100.0625,0.0205078125,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03864582371875,0.434326171875,0.0,0.0,0.0,0.0,0.0,0.038812369309375,0.43505859375,0.007328033447265625,0.000186920166015625,0.0010128021240234375,0.011138916015625,0.0150299072265625,0.0003223419189453125,0.0005216598510742188,0.01581766396875,-0.00022077560424804688,0.046173095703125,0.040069580078125,0.0160575304324646,0.019955381736474608,0.01537322998046875,0.01393890380859375,0.0572290774875,0.05531065540625,0.0290985107421875,0.01105499267578125,0.0005550384521484375,0.00039762783466796875,0.00031548825393066404,0.00057220458984375,0.02667236328125,0.01702880859375,0.0012126288770141602,0.00038869703798828127,0.0001285076141357422,-7.510185241699219e-05,0.2894056774875,0.31735193725,0.317591894375,0.0017223358154296875,0.016693115234375,0.02105712890625,0.00014257431030273438,-0.00017452239990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-3.0994415283203125e-06,1.9073486328125e-06,-3.933906555175781e-06,100.0625,0.02587890625,0.01416015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03868878893125,0.43115234375,0.0,0.0,0.0,0.0,0.0,0.038854441021875,0.431640625,0.007167816162109375,0.00018703937530517578,0.0010290145874023438,0.01104736328125,0.0154266357421875,0.0003123283386230469,0.0005192756652832031,0.015655517578125,-0.0002281665802001953,0.046783447265625,0.0413818359375,0.016108596739019775,0.019920796117895507,0.0156707763671875,0.01428985595703125,0.0571047757,0.055770572246875,0.0298614501953125,0.01111602783203125,0.0005130767822265625,0.0004114732466796875,0.00031971172497558594,0.0005636215209960938,0.0275421142578125,0.018157958984375,0.001119461991784668,0.0003559267658447265,0.00010710954666137695,-8.666515350341797e-05,0.28724007305,0.3137399629,0.313979975925,0.00177764892578125,0.0163421630859375,0.0207672119140625,9.429454803466797e-05,-0.0001647472381591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.7418136596679688e-06,7.62939453125e-06,-3.6954879760742188e-06,100.125,0.021728515625,0.0166015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.039388851240625,0.42724609375,0.0,0.0,0.0,0.0,0.0,0.039584063209375,0.427734375,0.007030487060546875,0.00018703937530517578,0.0011014938354492188,0.0116119384765625,0.016998291015625,0.00037598609924316406,0.0004839897155761719,0.01531219482421875,-0.00023055076599121094,0.0467529296875,0.042236328125,0.016218787040667725,0.019983345663256834,0.0160675048828125,0.01474761962890625,0.05830781531875,0.057864362375,0.0304107666015625,0.01120758056640625,0.0004825592041015625,0.0005062350236816406,0.00032869438891601564,0.0005540847778320312,0.0296478271484375,0.0208587646484375,0.001032265930041504,0.00033867816035156246,6.16312026977539e-05,-0.00011843442916870117,0.2859258726125,0.309258624875,0.3094985597,0.0018281936645507812,0.016265869140625,0.020721435546875,4.881620407104492e-05,-0.00014984607696533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,1.1444091796875e-05,-4.410743713378906e-06,100.125,0.0205078125,0.02001953125
