Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01174192688671875,0.1151123046875,0.0,0.0,0.0,0.0,0.0,0.011800199659375,0.115234375,0.0038814544677734375,3.695487976074219e-05,0.004299163818359375,0.030609130859375,0.00458526611328125,0.03546142578125,3.7729740142822266e-05,0.003731798952734375,-1.895427703857422e-05,6.532669067382812e-05,0.00020635128021240234,0.018777241900390627,0.02332683655683594,0.005519866943359375,0.00492095947265625,0.045080603993749996,0.0495260078125,6.186962127685547e-05,0.0026950836181640625,-2.7000904083251953e-05,0.0004817409522277832,-0.00010645389556884766,-4.649162292480469e-05,0.05987548828125,0.057220458984375,0.00480335641796875,0.004550197304296875,1.3113021850585938e-05,-1.8775463104248047e-05,0.095102932315625,0.10005836193125,0.100144747665625,-0.00016260147094726562,0.003795623779296875,0.0045013427734375,-1.71661376953125e-05,2.3424625396728516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-2.384185791015625e-07,1.9073486328125e-06,4.76837158203125e-07,20.0,-0.0023441314697265625,-0.002246856689453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.021918908221875,0.2318115234375,0.0,0.0,0.0,0.0,0.0,0.021998897378125,0.2320556640625,0.008026123046875,7.396936416625977e-05,0.0088653564453125,0.0631103515625,0.009002685546875,0.07061767578125,6.74128532409668e-05,0.00720110616171875,-3.55839729309082e-05,0.0001461505889892578,0.0004742145538330078,0.02155485938671875,0.026772916354296874,0.0113067626953125,0.01007843017578125,0.0776581521875,0.0829658731375,0.0001245737075805664,0.00547027587890625,-4.780292510986328e-05,0.000491135490246582,-0.0002117156982421875,-9.119510650634766e-05,0.12176513671875,0.1163330078125,0.0089811024140625,0.0087370265921875,4.0411949157714844e-05,-2.199411392211914e-05,0.1460113004,0.1565342993,0.15665149311249998,-0.00033020973205566406,0.007434844970703125,0.00882720947265625,-3.24249267578125e-05,4.494190216064453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410743713378906e-06,-2.980232238769531e-07,4.589557647705078e-06,6.556510925292969e-07,40.0,-0.0048828125,-0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0324767826109375,0.35009765625,0.0,0.0,0.0,0.0,0.0,0.0326321795125,0.350341796875,0.012481689453125,0.00011092424392700195,0.0136871337890625,0.09735107421875,0.0133056640625,0.104736328125,7.331371307373047e-05,0.01070557504609375,-5.048513412475586e-05,0.00022089481353759766,0.0007920265197753906,0.02466307581875,0.03041219901171875,0.017364501953125,0.0155029296875,0.11102881096875,0.11718181525,0.0001838207244873047,0.00832366943359375,-6.729364395141602e-05,0.0004675169269042969,-0.000316619873046875,-0.00013387203216552734,0.18505859375,0.177001953125,0.0130539743921875,0.012861517332031249,4.2319297790527344e-05,-5.930662155151367e-05,0.19688650224999998,0.2129769102,0.213216770425,-0.0005049705505371094,0.01088714599609375,0.012969970703125,-6.54458999633789e-05,5.424022674560547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.1324882507324219e-06,4.589557647705078e-06,1.4901161193847656e-06,60.0,-0.00732421875,-0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04341137098125,0.46923828125,0.0,0.0,0.0,0.0,0.0,0.04355073229375,0.469482421875,0.017242431640625,0.00014793872833251953,0.018798828125,0.1331787109375,0.017425537109375,0.1375732421875,0.00011432170867919922,0.0142025276140625,-6.23464584350586e-05,0.0002808570861816406,0.00115203857421875,0.02754689941328125,0.03380247202890625,0.023773193359375,0.021240234375,0.145010747925,0.152376888275,0.0002371072769165039,0.0112152099609375,-9.143352508544922e-05,0.00044046768979492186,-0.0004172325134277344,-0.0001723766326904297,0.2496337890625,0.2388916015625,0.0170308162921875,0.016927307171875,4.953145980834961e-05,-8.20159912109375e-05,0.2477736137625,0.2688664049375,0.2691066637625,-0.0006837844848632812,0.0140228271484375,0.016815185546875,-0.00010776519775390625,6.0558319091796875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-06,-1.5497207641601562e-06,0.0,1.6093254089355469e-06,79.9375,-0.01015472412109375,-0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.054391135962500003,0.58837890625,0.0,0.0,0.0,0.0,0.0,0.0546514613875,0.5888671875,0.0222625732421875,0.00018489360809326172,0.0241546630859375,0.1707763671875,0.0214385986328125,0.16943359375,0.00010085105895996094,0.017677872865625,-7.432699203491211e-05,0.00037169456481933594,0.00164031982421875,0.0291953720046875,0.0359663814375,0.030548095703125,0.0273590087890625,0.1798438877,0.1884222999625,0.00029087066650390625,0.01416015625,-0.00010728836059570312,0.00042427179584960935,-0.0005216598510742188,-0.00021147727966308594,0.3154296875,0.30224609375,0.0210241715921875,0.02101299870625,9.244680404663086e-05,-6.347894668579102e-05,0.29873780905,0.323971405675,0.3242118359,-0.0008587837219238281,0.016845703125,0.0202789306640625,-0.000164031982421875,6.0439109802246094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,1.9073486328125e-06,2.5033950805664062e-06,99.9375,-0.01318359375,-0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.054546343009375,0.58935546875,0.0,0.0,0.0,0.0,0.0,0.054744594478125,0.58984375,0.02301025390625,0.00018489360809326172,0.02484130859375,0.1746826171875,0.021270751953125,0.1658935546875,0.0001246929168701172,0.017683498,-7.2479248046875e-05,0.00040340423583984375,0.0018148422241210938,0.02660698068046875,0.03336172928046875,0.03155517578125,0.0283355712890625,0.181493149175,0.190525907975,0.0003139972686767578,0.0143280029296875,-8.511543273925781e-05,0.00042368593300781254,-0.0005226929854980468,-0.00020992755889892578,0.318359375,0.305419921875,0.0209307881359375,0.0209425406390625,5.4001808166503906e-05,-0.00013065338134765625,0.29903115335,0.3222504444,0.32249054312500003,-0.0008525848388671875,0.01611328125,0.0195465087890625,-0.00020313262939453125,4.881620407104492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.7881393432617188e-06,-3.814697265625e-06,3.0994415283203125e-06,99.9375,-0.013671875,-0.009765625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05427082371875,0.587890625,0.0,0.0,0.0,0.0,0.0,0.0544678868875,0.58837890625,0.0238494873046875,0.00018489360809326172,0.0255279541015625,0.1785888671875,0.0213623046875,0.16162109375,9.59634780883789e-05,0.0177097538125,-7.826089859008789e-05,0.00040221214294433594,0.0017366409301757812,0.0219665561015625,0.02864383159609375,0.03271484375,0.0295257568359375,0.1822290774875,0.1920904405625,0.0003097057342529297,0.0145416259765625,-6.258487701416016e-05,0.00043649006306152344,-0.0005268445860351562,-0.00021755695343017578,0.3203125,0.3076171875,0.020772846734375,0.020762041459375,6.681680679321289e-05,-8.910894393920898e-05,0.300025794675,0.32028162475,0.320521581875,-0.0008287429809570312,0.01552581787109375,0.018951416015625,-0.0002567768096923828,4.3332576751708984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.3113021850585938e-06,7.62939453125e-06,2.1457672119140625e-06,100.0,-0.00439453125,-0.013671875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.054405341665625,0.580078125,0.0,0.0,0.0,0.0,0.0,0.0546320289125,0.58056640625,0.02496337890625,0.00018489360809326172,0.0263519287109375,0.180908203125,0.02191162109375,0.15478515625,0.00010210275650024414,0.01776123046875,-7.921457290649414e-05,0.00041937828063964844,0.0011653900146484375,0.01667168181821289,0.02221032973300781,0.03399658203125,0.030853271484375,0.18259305695,0.193496402325,0.0002982616424560547,0.0148468017578125,-5.751848220825195e-05,0.00043483826743164063,-0.0005397872526855469,-0.0002455711364746094,0.319580078125,0.3076171875,0.020464864709375,0.02031036974375,6.681680679321289e-05,-0.00012636184692382812,0.302620932425,0.318866916025,0.319351069675,-0.0007739067077636719,0.015289306640625,0.0187225341796875,-0.00035452842712402344,3.236532211303711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,5.7220458984375e-06,2.5033950805664062e-06,100.0,-0.0068359375,-0.0126953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.05699749381875,0.548828125,0.0,0.0,0.0,0.0,0.0,0.0571927057875,0.548828125,0.026763916015625,0.00018489360809326172,0.027618408203125,0.1817626953125,0.0238037109375,0.146728515625,0.00012767314910888672,0.017547607421875,-6.365776062011719e-05,0.0008563995361328125,0.001369476318359375,0.016186600532489014,0.020211035406298827,0.035247802734375,0.032196044921875,0.1820260770375,0.1937286201875,0.0003104209899902344,0.01537322998046875,-8.255243301391602e-05,0.000464034935180664,-0.0005324735187988281,-0.0002932548522949219,0.314453125,0.303955078125,0.0198839037703125,0.0194941804796875,2.8371810913085938e-05,-0.0001379251480102539,0.3082647398,0.318291828,0.318531762825,-0.0006952285766601562,0.0161590576171875,0.0193023681640625,-0.0003986358642578125,6.854534149169922e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.7418136596679688e-06,-3.814697265625e-06,2.1457672119140625e-06,100.0,-0.00439453125,-0.00537109375
