Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007709791876953125,0.0787353515625,0.0,0.0,0.0,0.0,0.0,0.0077566205578125,0.07879638671875,0.0013751983642578125,3.731250762939453e-05,0.0006680488586425781,0.00765228271484375,0.00417327880859375,0.007537841796875,0.00012129545211791992,0.0026732204615234375,-2.7894973754882812e-05,0.0019702911376953125,0.002643585205078125,0.016548326209014894,0.020440124005718995,0.002521514892578125,0.0023212432861328125,0.02625888768515625,0.0294912177734375,0.0010395050048828125,0.0016832351684570312,5.143880844116211e-05,0.0005625052458984375,4.863739013671875e-05,8.45789909362793e-05,0.0170135498046875,0.0160675048828125,0.0011844008057861329,0.0008086945424560547,9.715557098388672e-06,-1.341104507446289e-05,0.083017971378125,0.08333472911875,0.083421114853125,0.00010889768600463867,0.003063201904296875,0.003925323486328125,2.5510787963867188e-05,0.00022220611572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,5.960464477539063e-08,-1.1324882507324219e-06,-4.76837158203125e-07,20.03125,0.003173828125,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0132824336125,0.1614990234375,0.0,0.0,0.0,0.0,0.0,0.0133471639796875,0.16162109375,0.0027256011962890625,7.462501525878906e-05,0.001308441162109375,0.01485443115234375,0.008056640625,0.01418304443359375,0.0002346038818359375,0.00511065206015625,-5.6862831115722656e-05,0.00433349609375,0.005550384521484375,0.016387136684692383,0.02036195997154541,0.005123138427734375,0.0046844482421875,0.038885569179687496,0.0414619668875,0.0026702880859375,0.0034580230712890625,0.0001004338264465332,0.000584059131451416,9.113550186157227e-05,0.00018489360809326172,0.033599853515625,0.031524658203125,0.0016630825471191405,0.0012568820914550783,1.1563301086425781e-05,-3.6597251892089844e-05,0.1222075894625,0.1239415258625,0.124058719675,0.0002589225769042969,0.00589752197265625,0.007709503173828125,9.08970832824707e-05,0.0005679130554199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.7881393432617188e-07,3.039836883544922e-06,-1.0728836059570312e-06,40.0625,0.00742340087890625,0.006053924560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0191863773375,0.2484130859375,0.0,0.0,0.0,0.0,0.0,0.01926548029375,0.24853515625,0.00415802001953125,0.0001118779182434082,0.0017986297607421875,0.021514892578125,0.0120086669921875,0.01904296875,0.0003142356872558594,0.00788269906953125,-8.96453857421875e-05,0.00685882568359375,0.0082855224609375,0.01619486512157593,0.020218314639007567,0.00783538818359375,0.00713348388671875,0.052984377375,0.055139578921875,0.003997802734375,0.005218505859375,0.0001583099365234375,0.000663914231439209,0.00010722875595092773,0.00025153160095214844,0.04937744140625,0.045806884765625,0.0015436022303222656,0.0010595592479248047,3.790855407714844e-05,-3.153085708618164e-05,0.16099783037499998,0.16616294535625,0.166341770425,0.000347137451171875,0.0085601806640625,0.0112457275390625,0.00013136863708496094,0.0008993148803710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-5.960464477539062e-07,7.987022399902344e-06,-1.4901161193847656e-06,60.03125,0.01039886474609375,0.00527191162109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02497875379375,0.338134765625,0.0,0.0,0.0,0.0,0.0,0.025087597528125,0.33837890625,0.00547027587890625,0.00014913082122802734,0.0021152496337890625,0.0272979736328125,0.016265869140625,0.0221099853515625,0.0004336833953857422,0.01046412429375,-0.0001214742660522461,0.0085601806640625,0.01052093505859375,0.016139285659008788,0.020192585859472655,0.01049041748046875,0.0095367431640625,0.06682471276875,0.068392513275,0.006317138671875,0.00705718994140625,0.0002231597900390625,0.0006745351298278808,0.00012862682342529297,0.0003304481506347656,0.063232421875,0.058349609375,0.001513104652783203,0.000914578957611084,5.835294723510742e-05,-4.976987838745117e-05,0.2011427543875,0.2095402330625,0.209658421575,0.0004832744598388672,0.010955810546875,0.0145721435546875,0.00017178058624267578,0.0011463165283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-8.344650268554688e-07,3.039836883544922e-06,-2.0265579223632812e-06,80.0625,0.0124969482421875,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.03089260080625,0.4306640625,0.0,0.0,0.0,0.0,0.0,0.03103085591875,0.43115234375,0.00673675537109375,0.00018644332885742188,0.002288818359375,0.032684326171875,0.0209503173828125,0.024505615234375,0.0005249977111816406,0.01306208917421875,-0.00014913082122802734,0.00933837890625,0.0119171142578125,0.01610154284971924,0.020185098058898926,0.013153076171875,0.01189422607421875,0.08169935645,0.0829535499625,0.0090789794921875,0.008941650390625,0.00027871131896972656,0.000702387068371582,0.0001417398452758789,0.00040459632873535156,0.075927734375,0.06982421875,0.0015994946970458983,0.000932134276776123,0.00010222196578979492,-3.2961368560791016e-05,0.241853043425,0.2542692572375,0.25438761715,0.0006246566772460938,0.01303863525390625,0.0175933837890625,0.00017261505126953125,0.0012426376342773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.430511474609375e-06,3.814697265625e-06,-2.7418136596679688e-06,100.0625,0.019775390625,0.0107421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03095625511875,0.43896484375,0.0,0.0,0.0,0.0,0.0,0.031062953853125,0.439453125,0.006622314453125,0.00018644332885742188,0.0020999908447265625,0.03173828125,0.0217132568359375,0.022613525390625,0.0005340576171875,0.01311349067578125,-0.00015032291412353516,0.0074462890625,0.01025390625,0.01611447703743286,0.020302351610180663,0.01318359375,0.0118865966796875,0.08371482886250001,0.08530129859999999,0.00994110107421875,0.0090484619140625,0.00028514862060546875,0.000698880577935791,0.00013558071140136718,0.0004000663757324219,0.073974609375,0.06787109375,0.0014913292888916016,0.0008854584628540039,7.295608520507812e-05,-5.739927291870117e-05,0.2427567392875,0.2568207569,0.25718292593750003,0.000637054443359375,0.0123443603515625,0.01690673828125,0.0001264810562133789,0.0010213851928710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.6689300537109375e-06,-1.9073486328125e-06,-3.4570693969726562e-06,100.0625,0.018310546875,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.031046946765625,0.447509765625,0.0,0.0,0.0,0.0,0.0,0.0311677159890625,0.44775390625,0.006504058837890625,0.00018644332885742188,0.0020122528076171875,0.03118896484375,0.0226593017578125,0.021697998046875,0.0005269050598144531,0.0131473758828125,-0.00015425682067871094,0.0051116943359375,0.0082550048828125,0.0164125953013916,0.02097819744082031,0.01320648193359375,0.0118560791015625,0.08615974155,0.08833067493749999,0.01053619384765625,0.00914764404296875,0.0002818107604980469,0.0006929092448852539,0.0001366743196044922,0.00038933753967285156,0.072998046875,0.06689453125,0.0014311395047607422,0.0008740576603942871,8.511543273925781e-05,-4.029273986816406e-05,0.2437513806125,0.2591243981875,0.259486425625,0.0006475448608398438,0.01171875,0.0163421630859375,0.00011277198791503906,0.0009264945983886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.6689300537109375e-06,1.52587890625e-05,-3.6954879760742188e-06,100.0625,0.019287109375,0.0126953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0312882762359375,0.45556640625,0.0,0.0,0.0,0.0,0.0,0.0314234107484375,0.4560546875,0.00643157958984375,0.00018644332885742188,0.0019273757934570312,0.030609130859375,0.0243988037109375,0.0198974609375,0.0005311965942382812,0.01328277587890625,-0.00015878677368164062,0.00331878662109375,0.0060272216796875,0.01839735549375,0.022502154073828124,0.013214111328125,0.011810302734375,0.08927030304375,0.09217804295,0.01145172119140625,0.0092620849609375,0.00027751922607421875,0.0006709918700317383,0.00015073255703735352,0.0003848075866699219,0.07086181640625,0.06475830078125,0.0013210449004150391,0.0008365190166687011,6.562471389770508e-05,-4.762411117553711e-05,0.245980307425,0.261738009775,0.2621000931125,0.0006756782531738281,0.011138916015625,0.015777587890625,7.826089859008789e-05,0.0007338523864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.9073486328125e-06,3.814697265625e-06,-3.0994415283203125e-06,100.0625,0.01904296875,0.01416015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0318662682328125,0.462158203125,0.0,0.0,0.0,0.0,0.0,0.032015703834375,0.46240234375,0.006317138671875,0.00018644332885742188,0.0018138885498046875,0.0299835205078125,0.0256500244140625,0.020416259765625,0.0005426406860351562,0.013336181640625,-0.00016951560974121094,0.0023021697998046875,0.0045013427734375,0.021616643276171875,0.025207811987109374,0.01312255859375,0.01168060302734375,0.09273164344375,0.0968047920625,0.0121002197265625,0.0092620849609375,0.0003180503845214844,0.0006825455629272461,0.0001904116130371094,0.0003857612609863281,0.06915283203125,0.06329345703125,0.0011701910780517579,0.0007261679560363769,6.318092346191406e-05,-9.644031524658203e-05,0.2490606382375,0.26506917175,0.265309106575,0.0007171630859375,0.01068115234375,0.01535797119140625,7.092952728271484e-05,0.000576019287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.9073486328125e-06,3.814697265625e-06,-2.7418136596679688e-06,100.0625,0.0166015625,0.01904296875
