Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004421522833984375,0.057525634765625,0.0,0.0,0.0,0.0,0.0,0.004456907423046875,0.0576171875,0.0009860992431640625,3.74913215637207e-05,0.00010716915130615234,0.001247406005859375,0.0019121170043945312,6.026029586791992e-05,0.00012093782424926758,0.002182078188574219,-2.5928020477294922e-05,0.01047515869140625,0.0106658935546875,0.01654671688360596,0.02042236182157593,0.002658843994140625,0.0026035308837890625,0.019964637196875,0.0227468330078125,0.00482940673828125,0.0016078948974609375,0.00014710426330566406,0.0005244774825317383,0.00018727779388427734,0.0002346038818359375,0.00449371337890625,0.0033512115478515625,0.0008441774934082032,0.000501730621862793,9.000301361083984e-06,-1.7344951629638672e-05,0.081736233096875,0.08577613536875,0.085801485946875,0.0003199577331542969,0.003143310546875,0.003887176513671875,5.257129669189453e-05,3.820657730102539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1920928955078125e-07,-5.364418029785156e-07,-3.039836883544922e-06,-8.940696716308594e-07,20.015625,0.00429534912109375,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00688137160078125,0.1219482421875,0.0,0.0,0.0,0.0,0.0,0.00693084317890625,0.1220703125,0.0019168853759765625,7.49826431274414e-05,0.00017726421356201172,0.0021915435791015625,0.0034637451171875,0.00010442733764648438,0.00024437904357910156,0.0041169234224609375,-5.08427619934082e-05,0.019805908203125,0.020233154296875,0.016385944591796875,0.02032935623085327,0.00525665283203125,0.00511932373046875,0.02632758578125,0.02820970858671875,0.010040283203125,0.003238677978515625,0.0003018379211425781,0.0005806020620544433,0.0003764629364013672,0.0004811286926269531,0.00823211669921875,0.00585174560546875,0.0010190543603210448,0.0006090988120361329,2.574920654296875e-05,-3.0279159545898438e-05,0.1196441129,0.12876330320625,0.12881946186249998,0.0006613731384277344,0.0059661865234375,0.007495880126953125,0.00010567903518676758,7.003545761108398e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.0728836059570312e-06,-2.2649765014648438e-06,-2.0265579223632812e-06,40.03125,0.00644683837890625,0.006053924560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0092834232359375,0.193115234375,0.0,0.0,0.0,0.0,0.0,0.00935489679765625,0.193359375,0.002780914306640625,0.0001125335693359375,0.0002276897430419922,0.0029277801513671875,0.0046844482421875,0.00013172626495361328,0.000377655029296875,0.006147011813671875,-7.736682891845703e-05,0.02777099609375,0.0284881591796875,0.016196951284143068,0.020165326109802244,0.007785797119140625,0.007534027099609375,0.03265967034375,0.0337009802890625,0.0155029296875,0.0048675537109375,0.0004611015319824219,0.0006111641208129883,0.0005626678466796875,0.0007305145263671875,0.01139068603515625,0.007709503173828125,0.0011988489649414063,0.000713077447845459,2.6166439056396484e-05,-4.83393669128418e-05,0.15745779131249998,0.172205425825,0.172201145425,0.001026153564453125,0.00852203369140625,0.0108489990234375,0.00015783309936523438,0.00010472536087036133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.3113021850585938e-06,3.4570693969726562e-06,-3.0994415283203125e-06,60.03125,0.01171875,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.011596795785937499,0.2705078125,0.0,0.0,0.0,0.0,0.0,0.0116751219421875,0.270751953125,0.0035858154296875,0.0001499652862548828,0.000274658203125,0.003582000732421875,0.0056915283203125,0.00014925003051757812,0.0004968643188476562,0.00822871169609375,-0.00010651350021362305,0.0343017578125,0.03533935546875,0.01615037212293701,0.020119272146398925,0.0102386474609375,0.0098419189453125,0.0390079403078125,0.0393245201109375,0.021148681640625,0.0064697265625,0.0006170272827148438,0.000626195762915039,0.0007448196411132812,0.0009794235229492188,0.01413726806640625,0.00913238525390625,0.0013167669528930663,0.0007622890902099609,3.4928321838378906e-05,-6.347894668579102e-05,0.19491716845,0.215521678375,0.2156398668875,0.00141143798828125,0.01076507568359375,0.013916015625,0.0002129077911376953,0.00013518333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.7881393432617188e-06,1.5497207641601562e-06,-3.6954879760742188e-06,80.0625,0.01406097412109375,0.01015472412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01384090402890625,0.352783203125,0.0,0.0,0.0,0.0,0.0,0.0139562709578125,0.35302734375,0.00435638427734375,0.0001875162124633789,0.0003314018249511719,0.004238128662109375,0.00664520263671875,0.00015246868133544922,0.0006303787231445312,0.010353654115625,-0.0001405477523803711,0.039642333984375,0.040985107421875,0.016127351660906983,0.020096048719604492,0.01259613037109375,0.0120391845703125,0.045810684574999996,0.045630551915625,0.0269012451171875,0.00803375244140625,0.0007691383361816406,0.0006117880083129883,0.0009131431579589844,0.0012159347534179688,0.016845703125,0.01045989990234375,0.0014626424326416015,0.0008216272653625488,3.629922866821289e-05,-0.00010496377944946289,0.2319653481125,0.2589079291125,0.259026289025,0.00180816650390625,0.01270294189453125,0.0166778564453125,0.00026726722717285156,0.00016117095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,-1.1444091796875e-05,-4.76837158203125e-06,100.0625,0.020263671875,0.01220703125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01356886498203125,0.365966796875,0.0,0.0,0.0,0.0,0.0,0.013667934321875,0.3662109375,0.0042572021484375,0.0001875162124633789,0.00033092498779296875,0.00408935546875,0.0064697265625,0.0001366138458251953,0.0006284713745117188,0.01050423774609375,-0.00014507770538330078,0.03668212890625,0.0380859375,0.016152981637957763,0.020067986146923827,0.01242828369140625,0.01181793212890625,0.046452865971875,0.04666604469375,0.0272979736328125,0.0079803466796875,0.0007548332214355469,0.0005741280564208985,0.0008896986770996094,0.00119781494140625,0.0164642333984375,0.009918212890625,0.0013956042293823243,0.000753016942163086,3.629922866821289e-05,-9.763240814208984e-05,0.230427637725,0.25926216315,0.25938019156250003,0.0018396377563476562,0.0119171142578125,0.0159149169921875,0.00024819374084472656,0.0001285076141357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-3.5762786865234375e-06,-1.52587890625e-05,-4.5299530029296875e-06,100.125,0.016357421875,0.0146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01324756932421875,0.37744140625,0.0,0.0,0.0,0.0,0.0,0.01335307975859375,0.378173828125,0.004169464111328125,0.0001875162124633789,0.000335693359375,0.004039764404296875,0.0066070556640625,0.00017833709716796875,0.0006504058837890625,0.01065256387109375,-0.00015091896057128906,0.0341796875,0.03564453125,0.016022423296691894,0.019853815421777343,0.01233673095703125,0.01165771484375,0.047188794284375,0.0477270372421875,0.027557373046875,0.0079345703125,0.0007410049438476562,0.0005649976771972656,0.0008659967530761719,0.00116729736328125,0.016510009765625,0.00974273681640625,0.0013438783048095703,0.0007345231869750977,7.051229476928711e-05,-8.910894393920898e-05,0.2273939587375,0.2588802575625,0.258998144375,0.0018625259399414062,0.01111602783203125,0.015167236328125,0.00023877620697021484,0.00011169910430908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.337860107421875e-06,-7.62939453125e-06,-4.649162292480469e-06,100.125,0.020263671875,0.01806640625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0130692820953125,0.38818359375,0.0,0.0,0.0,0.0,0.0,0.0131738990296875,0.388427734375,0.004058837890625,0.0001876354217529297,0.0003228187561035156,0.004093170166015625,0.0070953369140625,0.00019419193267822266,0.0006365776062011719,0.01092529296875,-0.00016009807586669922,0.032012939453125,0.0335693359375,0.016058469232763672,0.019820064268225097,0.01230621337890625,0.01157379150390625,0.0481936428875,0.048995669903125,0.027679443359375,0.00787353515625,0.0007252693176269531,0.0005442723952392578,0.0008478088776855469,0.0011348724365234375,0.016937255859375,0.00991058349609375,0.0012073788428283692,0.0006338036197875976,0.00024139881134033203,5.4955482482910156e-05,0.2242517918,0.25856418165,0.258804194675,0.0018978118896484375,0.010345458984375,0.014434814453125,0.0001881122589111328,5.6743621826171875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.86102294921875e-06,7.62939453125e-06,-4.76837158203125e-06,100.125,0.01953125,0.02099609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01310558708046875,0.397216796875,0.0,0.0,0.0,0.0,0.0,0.0132016169203125,0.397705078125,0.00394439697265625,0.0001876354217529297,0.0003223419189453125,0.0042877197265625,0.007762908935546875,0.00018203258514404297,0.0006279945373535156,0.01125335693359375,-0.0001671314239501953,0.029876708984375,0.03155517578125,0.01617926916118164,0.019897872602648924,0.0123138427734375,0.01154327392578125,0.04915254188125,0.050204450265625,0.0277862548828125,0.00783538818359375,0.0006842613220214844,0.0005369910203857421,0.0008274660563964844,0.0010986328125,0.017486572265625,0.01021575927734375,0.0011201827810852051,0.0005918786913574218,0.0016946792602539062,0.0015201568603515625,0.222083099175,0.258477374875,0.2585952393875,0.0019435882568359375,0.0098114013671875,0.0139923095703125,0.00019490718841552734,6.133317947387695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-3.2186508178710938e-06,-1.33514404296875e-05,-3.0994415283203125e-06,100.125,0.029296875,0.01904296875
