Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00893430969921875,0.0897216796875,0.0,0.0,0.0,0.0,0.0,0.008973508985546875,0.08990478515625,0.0016145706176757812,3.725290298461914e-05,0.0006527900695800781,0.00746917724609375,0.0033931732177734375,0.006603240966796875,9.191036224365234e-05,0.0033293483912109375,-3.540515899658203e-05,0.00473785400390625,0.004474639892578125,0.016554763510650636,0.02044691893522339,0.00302886962890625,0.0027217864990234375,0.02845615331015625,0.03148248974609375,0.0016069412231445312,0.001922607421875,5.5849552154541016e-05,0.000518934250567627,1.823902130126953e-05,7.68899917602539e-05,0.0181884765625,0.0165863037109375,0.000900921115234375,0.0004957105527404785,1.4603137969970703e-05,-1.9311904907226562e-05,0.085520412784375,0.0865695924,0.08662546055625,8.14199447631836e-05,0.0035037994384765625,0.00443267822265625,2.8014183044433594e-05,0.00013303756713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-2.384185791015625e-07,1.5497207641601562e-06,-5.960464477539062e-07,20.03125,0.003124237060546875,0.002246856689453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01599086867109375,0.1824951171875,0.0,0.0,0.0,0.0,0.0,0.0160632284328125,0.1826171875,0.0031948089599609375,7.450580596923828e-05,0.0011653900146484375,0.01424407958984375,0.00702667236328125,0.0113067626953125,0.0001728534698486328,0.00639239034140625,-6.794929504394531e-05,0.0091552734375,0.00873565673828125,0.01638820956829834,0.020370006598590087,0.006092071533203125,0.00545501708984375,0.043508982265624996,0.045764945403125,0.003887176513671875,0.003936767578125,0.00011587142944335938,0.0005617073896606445,3.0279159545898438e-05,0.0001544952392578125,0.03472900390625,0.03143310546875,0.001097196049621582,0.0005739320716186524,3.1113624572753906e-05,-4.0531158447265625e-05,0.12727350743125,0.1307774633625,0.13089465717499998,0.0001779794692993164,0.006763458251953125,0.00867462158203125,5.990266799926758e-05,0.0002894401550292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.1920928955078125e-07,8.404254913330078e-06,-1.0132789611816406e-06,40.0625,0.007129669189453125,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.023123144915625,0.27783203125,0.0,0.0,0.0,0.0,0.0,0.023202247871875,0.2783203125,0.0047454833984375,0.00011169910430908203,0.0015163421630859375,0.0204925537109375,0.01103973388671875,0.014312744140625,0.00026798248291015625,0.0094772425265625,-0.00010406970977783203,0.01273345947265625,0.0123291015625,0.01620040835354004,0.020218374243652342,0.00916290283203125,0.00818634033203125,0.0587216820625,0.060083426578125,0.006816864013671875,0.00603485107421875,0.00018143653869628906,0.0005826731006103516,3.838539123535156e-05,0.00023412704467773438,0.04949951171875,0.0445556640625,0.0012664406321166992,0.0006550821284790039,5.251169204711914e-05,-4.6133995056152344e-05,0.16990896318749998,0.1764778867625,0.176595676675,0.00029659271240234375,0.00978851318359375,0.01271820068359375,9.78708267211914e-05,0.0004525184631347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-5.960464477539062e-07,-4.589557647705078e-06,-1.3709068298339844e-06,60.03125,0.01025390625,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0302888123875,0.376220703125,0.0,0.0,0.0,0.0,0.0,0.030397656121875,0.376708984375,0.00624847412109375,0.00014901161193847656,0.0017299652099609375,0.026153564453125,0.0155181884765625,0.01560211181640625,0.0003592967987060547,0.01251643142265625,-0.0001373291015625,0.0152587890625,0.01499176025390625,0.016166882609539794,0.020199023161108397,0.01221466064453125,0.0108795166015625,0.074057378784375,0.07455706405625,0.0103912353515625,0.00818634033203125,0.00025463104248046875,0.0006091488345092773,4.57763671875e-05,0.0003180503845214844,0.06219482421875,0.05560302734375,0.001347999786755371,0.0006716900301513671,5.835294723510742e-05,-7.325410842895508e-05,0.2135939262625,0.223578319,0.223818577825,0.0004420280456542969,0.0125732421875,0.0165252685546875,0.00011873245239257812,0.0005655288696289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.496906280517578e-06,-7.748603820800781e-07,6.079673767089844e-06,-2.205371856689453e-06,80.0625,0.01132965087890625,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.037514915259375003,0.47802734375,0.0,0.0,0.0,0.0,0.0,0.037653170371875,0.478515625,0.007709503173828125,0.0001863241195678711,0.001918792724609375,0.0311279296875,0.020233154296875,0.015716552734375,0.0004906654357910156,0.01547297784609375,-0.00016891956329345703,0.0166015625,0.0165252685546875,0.016134206195056153,0.020180091268737793,0.01523590087890625,0.01354217529296875,0.0898780673875,0.08960638199375,0.01467132568359375,0.0103607177734375,0.0003266334533691406,0.0006120264268920898,4.792213439941406e-05,0.00040149688720703125,0.0728759765625,0.06463623046875,0.0014266412271972655,0.0007093917192504882,7.295608520507812e-05,-7.200241088867188e-05,0.2583325356125,0.27196945255,0.2723319530875,0.0006132125854492188,0.01507568359375,0.02001953125,0.0001558065414428711,0.0006933212280273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.1457672119140625e-06,1.1444091796875e-05,-2.2649765014648438e-06,100.125,0.01416015625,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.037456499259375,0.48583984375,0.0,0.0,0.0,0.0,0.0,0.037593715571875,0.486572265625,0.007602691650390625,0.0001863241195678711,0.0017232894897460938,0.029510498046875,0.020904541015625,0.01233673095703125,0.0004487037658691406,0.01541756782421875,-0.00016677379608154297,0.01416015625,0.01422882080078125,0.01616698872947998,0.020148333208081053,0.01520538330078125,0.01346588134765625,0.09042869605000001,0.09036721656874999,0.0162353515625,0.010467529296875,0.0003447532653808594,0.0005884331711669922,4.7365837133789065e-05,0.00041103363037109375,0.06829833984375,0.05999755859375,0.0013913126949584961,0.0006950812274414063,7.784366607666016e-05,-8.666515350341797e-05,0.2603348642875,0.275131303775,0.27549347281250003,0.0006690025329589844,0.01439666748046875,0.019317626953125,0.00016069412231445312,0.0006651878356933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.6689300537109375e-06,-5.7220458984375e-06,-2.2649765014648438e-06,100.0625,0.021728515625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.037394603015625,0.494384765625,0.0,0.0,0.0,0.0,0.0,0.037530631028125,0.4951171875,0.007495880126953125,0.00018644332885742188,0.0015354156494140625,0.02752685546875,0.0213470458984375,0.008544921875,0.0004870891571044922,0.01541330605859375,-0.00016951560974121094,0.011810302734375,0.0118560791015625,0.016024867087127685,0.019929036483483886,0.01511383056640625,0.0133514404296875,0.0904322024875,0.09065001087499999,0.0177459716796875,0.01053619384765625,0.00036978721618652344,0.0005970649760864258,6.449309478149414e-05,0.00042700767517089844,0.063232421875,0.0548095703125,0.0013330302594604492,0.0006695541241699219,7.784366607666016e-05,-9.1552734375e-05,0.26267227905,0.277557015375,0.2779190428125,0.0007343292236328125,0.01371002197265625,0.0186004638671875,0.0002168416976928711,0.0006785392761230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.6689300537109375e-06,1.9073486328125e-05,-2.7418136596679688e-06,100.0625,0.015869140625,0.0166015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.037498603384375,0.50244140625,0.0,0.0,0.0,0.0,0.0,0.03760322031875,0.5029296875,0.00737762451171875,0.0001863241195678711,0.0012950897216796875,0.024566650390625,0.021636962890625,0.00311279296875,0.0005097389221191406,0.01552581787109375,-0.00017261505126953125,0.0097198486328125,0.0095977783203125,0.01606895965024414,0.019888728819006347,0.01495361328125,0.01312255859375,0.08988065460625,0.090469058575,0.0198516845703125,0.0105743408203125,0.00043392181396484375,0.0005843267165283203,9.708837673950196e-05,0.00045299530029296875,0.0555419921875,0.046966552734375,0.0012337837004638673,0.0005919611591552734,5.829334259033203e-05,-0.00011599063873291016,0.26673226055,0.2806589082125,0.2808989212375,0.0008301734924316406,0.0130157470703125,0.01788330078125,0.0002925395965576172,0.000701904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.7881393432617188e-06,1.1444091796875e-05,-2.384185791015625e-06,100.125,0.0166015625,0.01611328125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0376493492875,0.51025390625,0.0,0.0,0.0,0.0,0.0,0.037753008521875,0.5107421875,0.007358551025390625,0.00018644332885742188,0.0011949539184570312,0.022125244140625,0.02227783203125,0.0010919570922851562,0.0005016326904296875,0.01561737060546875,-0.00017535686492919922,0.00806427001953125,0.00751495361328125,0.016196316089587402,0.019951755201525877,0.0147247314453125,0.012847900390625,0.08943574500625,0.090579206125,0.0220947265625,0.01061248779296875,0.0004699230194091797,0.000591588875,0.0001363502002258301,0.0004718303680419922,0.049072265625,0.04034423828125,0.0011415808485595704,0.0005534933001220703,7.784366607666016e-05,-0.00012087821960449219,0.2724981382375,0.2839900701875,0.2842300050125,0.0009136199951171875,0.012359619140625,0.0171356201171875,0.00016558170318603516,0.0004534721374511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.9802322387695312e-06,7.62939453125e-06,-3.337860107421875e-06,100.125,0.01904296875,0.013671875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0375819569875,0.5166015625,0.0,0.0,0.0,0.0,0.0,0.0377150195,0.51708984375,0.00737762451171875,0.00018656253814697266,0.0010814666748046875,0.0195770263671875,0.023834228515625,0.0008325576782226562,0.0004973411560058594,0.01525115966796875,-0.00017499923706054688,0.00629425048828125,0.006069183349609375,0.016512390198065184,0.020282519950146485,0.0144500732421875,0.0125885009765625,0.088921964125,0.09105292703125001,0.026031494140625,0.01091766357421875,0.000457763671875,0.0005010930958251953,0.00016158145651245116,0.0004787445068359375,0.041595458984375,0.033935546875,0.0008626426440124512,0.0005173659077392578,2.8967857360839844e-05,-0.00015020370483398438,0.2808502874875,0.2878039405125,0.28816586735,0.0010995864868164062,0.0118865966796875,0.016693115234375,9.292364120483398e-05,0.0004050731658935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.6689300537109375e-06,-1.9073486328125e-06,-3.337860107421875e-06,100.125,0.01904296875,0.017578125
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.038682289034375,0.52392578125,0.0,0.0,0.0,0.0,0.0,0.038814143246875,0.52392578125,0.00786590576171875,0.00018644332885742188,0.0012636184692382812,0.0205230712890625,0.0250244140625,0.0008692741394042969,0.00044918060302734375,0.015350341796875,-0.00015544891357421875,0.004253387451171875,0.004306793212890625,0.016823139076165772,0.02062686346591797,0.01457977294921875,0.0126495361328125,0.0918478872375,0.0945222415375,0.0258941650390625,0.01104736328125,0.00042724609375,0.0005240421264160156,0.00017984731635742188,0.0004835925860839844,0.043548583984375,0.03594970703125,0.0007486060617675781,0.00044218528094482426,4.363059997558594e-05,-0.00014531612396240234,0.290063496675,0.291336629525,0.291820563375,0.0010347366333007812,0.01189422607421875,0.0165557861328125,-4.869699478149414e-05,1.341104507446289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.1920928955078125e-06,3.814697265625e-06,-3.4570693969726562e-06,100.125,0.011474609375,0.013671875
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.03979388878125,0.52734375,0.0,0.0,0.0,0.0,0.0,0.03992460229375,0.52734375,0.00836944580078125,0.00018644332885742188,0.0014162063598632812,0.02337646484375,0.0278167724609375,0.0009365081787109375,0.0005292892456054688,0.01503753662109375,-0.00012743473052978516,0.0010995864868164062,0.001697540283203125,0.01788388754111328,0.02186743919658203,0.01436614990234375,0.01232147216796875,0.0948822544625,0.09696634114375,0.025482177734375,0.01116180419921875,0.0004031658172607422,0.0005539280471679687,0.00021534936471557617,0.0005271163265136719,0.04632568359375,0.0382080078125,0.0005680928189147949,0.00036462548203125,4.851818084716797e-05,-0.0001379251480102539,0.296017318975,0.2957551517,0.29599455002499997,0.001102447509765625,0.0124053955078125,0.0169219970703125,-1.7881393432617188e-07,-2.562999725341797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-3.337860107421875e-06,-3.814697265625e-06,-2.9802322387695312e-06,100.125,-0.00390625,0.00927734375
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.040334289765625,0.52978515625,0.0,0.0,0.0,0.0,0.0,0.040464148378125,0.53076171875,0.008758544921875,0.0001863241195678711,0.0015268325805664062,0.02508544921875,0.029449462890625,0.0010776519775390625,0.0005517005920410156,0.0152130126953125,-0.000125885009765625,0.00046443939208984375,0.0006284713745117188,0.020316673455859375,0.023970738056835937,0.0144500732421875,0.012359619140625,0.0994719592375,0.102163201225,0.02520751953125,0.011383056640625,0.0003719329833984375,0.0005377838193115235,0.00023257058657836913,0.0005437032434570312,0.050201416015625,0.042144775390625,0.00042014357606201167,0.00027668830390625,5.829334259033203e-05,-0.00015985965728759766,0.3033561744,0.301913261425,0.30215233565,0.0010986328125,0.0124969482421875,0.01702880859375,-2.4259090423583984e-05,-2.7477741241455078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-2.86102294921875e-06,0.0,-2.2649765014648438e-06,100.125,0.0048828125,0.00390625
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.040209332509375,0.5302734375,0.0,0.0,0.0,0.0,0.0,0.0403691143,0.53076171875,0.0089569091796875,0.0001862049102783203,0.002002716064453125,0.0276031494140625,0.03125,0.003322601318359375,0.0006237030029296875,0.015106201171875,-0.00014019012451171875,0.0005650520324707031,0.0011243820190429688,0.019494363996972658,0.022900516124316407,0.01464080810546875,0.01258087158203125,0.102601223675,0.106432545975,0.0230865478515625,0.01134490966796875,0.00031948089599609375,0.0006209423553466797,0.00021209092185058595,0.0004921096680908203,0.05535888671875,0.047821044921875,0.0003939123755004883,0.0002851956161682129,5.1856040954589844e-05,-0.0001367330551147461,0.312978606675,0.309638299025,0.30987690385,0.0010709762573242188,0.012725830078125,0.0172576904296875,-7.367134094238281e-05,-4.5180320739746094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.7881393432617188e-06,7.62939453125e-06,-3.0994415283203125e-06,100.0625,-0.00146484375,-0.00244140625
