Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004314711310546875,0.06915283203125,0.0,0.0,0.0,0.0,0.0,0.004350095899609375,0.0692138671875,0.0013980865478515625,3.737211227416992e-05,0.0001838207244873047,0.002071380615234375,0.002727508544921875,9.238719940185547e-05,0.0001423358917236328,0.002648424929296875,-3.3855438232421875e-05,0.005889892578125,0.00576019287109375,0.016544213488525392,0.020439229936047364,0.0023746490478515625,0.0021877288818359375,0.0217193979390625,0.02444818798828125,0.00469207763671875,0.0017118453979492188,0.00013267993927001953,0.0005482597357971191,0.00011098384857177734,0.00014913082122802734,0.005313873291015625,0.0040435791015625,0.0008308260529785157,0.0004880215535644531,1.8477439880371094e-05,-1.3887882232666016e-05,0.099192287784375,0.100485608025,0.10054147618125,0.0003485679626464844,0.002849578857421875,0.003326416015625,3.0279159545898438e-05,4.172325134277344e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-4.76837158203125e-07,-1.5497207641601562e-06,-9.5367431640625e-07,20.015625,0.002735137939453125,0.002147674560546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00666774855390625,0.1434326171875,0.0,0.0,0.0,0.0,0.0,0.00671722013203125,0.1436767578125,0.0027217864990234375,7.474422454833984e-05,0.00031447410583496094,0.0038394927978515625,0.00516510009765625,0.0001647472381591797,0.00028133392333984375,0.005114466757421875,-6.949901580810547e-05,0.01111602783203125,0.010772705078125,0.016372891174591064,0.02035844329750366,0.00470733642578125,0.004299163818359375,0.029715036953125,0.0313148721609375,0.0098876953125,0.003475189208984375,0.0002694129943847656,0.0006255439642150879,0.00022029876708984375,0.0003008842468261719,0.0098419189453125,0.00710296630859375,0.0009825763177185058,0.0005788196524902344,4.088878631591797e-05,-2.199411392211914e-05,0.1537017300875,0.1576329321125,0.15762805561249998,0.00072479248046875,0.005374908447265625,0.006359100341796875,5.91278076171875e-05,5.841255187988281e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-7.748603820800781e-07,-1.5497207641601562e-06,-1.8477439880371094e-06,40.03125,0.006153106689453125,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0089782474546875,0.222412109375,0.0,0.0,0.0,0.0,0.0,0.009042091621875,0.2227783203125,0.00397491455078125,0.00011217594146728516,0.0004131793975830078,0.005340576171875,0.0072021484375,0.00023949146270751953,0.0004107952117919922,0.00769196420625,-0.00010919570922851562,0.0156097412109375,0.0150146484375,0.016176924123498537,0.020207049361145018,0.00696563720703125,0.006336212158203125,0.037359377375,0.0377140418125,0.01541900634765625,0.00525665283203125,0.0004062652587890625,0.0006452579776245117,0.0003256797790527344,0.00045108795166015625,0.01361083984375,0.00933074951171875,0.0011344759485839844,0.0006617578486938476,5.549192428588867e-05,-4.029273986816406e-05,0.20738454912499998,0.2150521055125,0.2150478251125,0.0011262893676757812,0.007617950439453125,0.0091400146484375,9.238719940185547e-05,1.0251998901367188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.6689300537109375e-06,4.589557647705078e-06,-2.8014183044433594e-06,60.03125,0.010986328125,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.011276361215624999,0.304443359375,0.0,0.0,0.0,0.0,0.0,0.0113699461609375,0.3046875,0.00514984130859375,0.0001494884490966797,0.0004858970642089844,0.006732940673828125,0.0088653564453125,0.00028228759765625,0.0005540847778320312,0.01031916579765625,-0.00014925003051757812,0.0193023681640625,0.0185089111328125,0.01612748393934326,0.0201767310239624,0.00917816162109375,0.0082855224609375,0.04460791589375,0.043642757415625,0.0211639404296875,0.007038116455078125,0.0005388259887695312,0.0006219042284912109,0.0004169940948486328,0.0005898475646972656,0.016754150390625,0.0108795166015625,0.0012111475223510742,0.000673955006652832,7.784366607666016e-05,-6.151199340820312e-05,0.260102715325,0.272162303375,0.2724025622,0.0015497207641601562,0.0095977783203125,0.0116424560546875,0.00013434886932373047,3.933906555175781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-2.682209014892578e-06,-1.3709068298339844e-05,-3.516674041748047e-06,80.0625,0.0115203857421875,0.01015472412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.013589134009375,0.388427734375,0.0,0.0,0.0,0.0,0.0,0.01368924214921875,0.388671875,0.00632476806640625,0.00018703937530517578,0.0005726814270019531,0.00809478759765625,0.01042938232421875,0.0003540515899658203,0.0006957054138183594,0.01286372491640625,-0.00019693374633789062,0.0220947265625,0.021209716796875,0.01609880103605957,0.020163759596069336,0.01134490966796875,0.0101776123046875,0.051975235356249996,0.049719907384375,0.0271148681640625,0.008819580078125,0.000659942626953125,0.0005799591280029297,0.0005021095275878906,0.0007200241088867188,0.01959228515625,0.01209259033203125,0.001294736148309326,0.0007148753465698242,0.00010710954666137695,-6.222724914550781e-05,0.311677262175,0.3290983588,0.329338789025,0.00200653076171875,0.011322021484375,0.01392364501953125,0.00016748905181884766,-5.4836273193359375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967254638671875e-05,-2.86102294921875e-06,7.62939453125e-06,-5.7220458984375e-06,100.0625,0.0224609375,0.01123046875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.013439165275,0.391845703125,0.0,0.0,0.0,0.0,0.0,0.013545864009375,0.39208984375,0.00624847412109375,0.00018703937530517578,0.0005602836608886719,0.00794219970703125,0.01026153564453125,0.00035762786865234375,0.0007185935974121094,0.01289986762890625,-0.00020802021026611328,0.0201416015625,0.019378662109375,0.01612896096611328,0.020125683443066405,0.0112762451171875,0.0100555419921875,0.052007065190625,0.0497788376625,0.027557373046875,0.00887298583984375,0.0006623268127441406,0.0005250138291259766,0.0004920164871582032,0.0007104873657226562,0.0186767578125,0.01100921630859375,0.001209876156262207,0.0006669478351074219,6.80685043334961e-05,-5.251169204711914e-05,0.308552637725,0.32762153815,0.32786163687500003,0.00208282470703125,0.0106964111328125,0.013336181640625,0.0001914501190185547,6.735324859619141e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-3.0994415283203125e-06,1.9073486328125e-06,-5.602836608886719e-06,100.0625,0.02197265625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01332386326953125,0.380615234375,0.0,0.0,0.0,0.0,0.0,0.0134370030984375,0.38134765625,0.0062103271484375,0.00018727779388427734,0.0005512237548828125,0.007755279541015625,0.010345458984375,0.00037288665771484375,0.0007243156433105469,0.012918494046875,-0.0002092123031616211,0.01849365234375,0.0178985595703125,0.015978435068847656,0.019896611556726073,0.01125335693359375,0.01001739501953125,0.0523462649875,0.050275255015625,0.0277099609375,0.0088958740234375,0.0006475448608398438,0.0005111150783203125,0.0005005010713134766,0.000701904296875,0.017822265625,0.01021575927734375,0.00115767339453125,0.0006392749646240235,4.851818084716797e-05,-0.00013065338134765625,0.3041761853,0.324676156,0.324916113125,0.002162933349609375,0.01004791259765625,0.01256561279296875,0.0001837015151977539,-1.4662742614746094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.6954879760742188e-06,-5.7220458984375e-06,-4.887580871582031e-06,100.125,0.020751953125,0.01171875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.015281806509375,0.340576171875,0.0,0.0,0.0,0.0,0.0,0.01538642344375,0.34130859375,0.006378173828125,0.00018727779388427734,0.0006108283996582031,0.007740020751953125,0.0109405517578125,0.00042724609375,0.0007319450378417969,0.0129852294921875,-0.00020253658294677734,0.01898193359375,0.0184326171875,0.01601644795819702,0.01985856886875,0.01132965087890625,0.01015472412109375,0.052923867496875,0.051070865215625,0.0278778076171875,0.00899505615234375,0.0006389617919921875,0.0005702600203613281,0.0005206985871582031,0.000682830810546875,0.0168304443359375,0.009796142578125,0.0011237535262084962,0.0006484663624023437,-2.473592758178711e-05,-0.00015020370483398438,0.300667807425,0.320331759775,0.3205717728,0.00226593017578125,0.010284423828125,0.0123443603515625,0.00015807151794433594,-9.518861770629883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-3.0994415283203125e-06,0.0,-4.649162292480469e-06,100.1875,0.025390625,0.02001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0251524010453125,0.288330078125,0.0,0.0,0.0,0.0,0.0,0.025301836646875,0.288818359375,0.006450653076171875,0.00018739700317382812,0.0007734298706054688,0.00821685791015625,0.0121612548828125,0.0005030632019042969,0.0006685256958007812,0.01268768310546875,-0.00021159648895263672,0.0223846435546875,0.0219268798828125,0.016132241096453857,0.01989119688243408,0.01125335693359375,0.01021575927734375,0.05257051063125,0.051119977609375,0.02740478515625,0.00901031494140625,0.0005903244018554688,0.0007232555353088379,0.0005900011516113281,0.0006799697875976562,0.017120361328125,0.01059722900390625,0.0010838835524169923,0.0006349132448852539,-4.4226646423339844e-05,-0.00017940998077392578,0.29996395855,0.314629718625,0.315113794075,0.002330780029296875,0.01238250732421875,0.0140533447265625,0.00016188621520996094,-0.00023102760314941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.86102294921875e-06,3.814697265625e-06,-5.0067901611328125e-06,100.25,0.0361328125,0.0302734375
