Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005192091681640625,0.0697021484375,0.0,0.0,0.0,0.0,0.0,0.005233198316601562,0.06988525390625,0.0013561248779296875,3.7550926208496094e-05,0.00013720989227294922,0.0017948150634765625,0.002593994140625,9.179115295410156e-05,0.00011605024337768555,0.002717089480078125,-3.802776336669922e-05,0.0058746337890625,0.006427764892578125,0.016548028185791017,0.020435892075939942,0.002857208251953125,0.0027141571044921875,0.02286380711875,0.025722296875,0.005931854248046875,0.0019512176513671875,0.00014340877532958984,0.0004626674658996582,0.00011283159255981445,0.00015616416931152344,0.0035247802734375,0.0022735595703125,0.000767704734161377,0.00044832486014404296,7.748603820800781e-06,-2.0265579223632812e-05,0.09122719989375,0.09529761974375,0.0953534879,0.0004241466522216797,0.002162933349609375,0.0028629302978515625,2.3126602172851562e-05,-6.318092346191406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-4.76837158203125e-07,1.1324882507324219e-06,-7.152557373046875e-07,20.03125,0.003856658935546875,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00843776808515625,0.1458740234375,0.0,0.0,0.0,0.0,0.0,0.008498683755078125,0.14599609375,0.0026950836181640625,7.50422477722168e-05,0.00022029876708984375,0.003063201904296875,0.00452423095703125,0.00014519691467285156,0.0002338886260986328,0.005236537069921875,-7.492303848266602e-05,0.01142120361328125,0.0124664306640625,0.016384871708190918,0.020357072390673827,0.00568389892578125,0.00536346435546875,0.031530832851562496,0.033496878996875,0.01253509521484375,0.003993988037109375,0.00029277801513671875,0.00044011391431884764,0.0002319812774658203,0.00033926963806152344,0.0061492919921875,0.0036468505859375,0.0008416709374694825,0.0004982341727539063,2.7239322662353516e-05,-5.227327346801758e-05,0.13752741368125,0.14658556883125,0.14664172748749998,0.0008955001831054688,0.0040283203125,0.00553131103515625,6.717443466186523e-05,3.552436828613281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-8.940696716308594e-07,1.5497207641601562e-06,-1.9669532775878906e-06,40.0625,0.00595855712890625,0.006053924560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0120300052671875,0.2264404296875,0.0,0.0,0.0,0.0,0.0,0.0121091082234375,0.226806640625,0.004058837890625,0.00011259317398071289,0.0002963542938232422,0.00397491455078125,0.005828857421875,0.0002315044403076172,0.00031948089599609375,0.0081649866671875,-0.00011581182479858398,0.0168609619140625,0.0178680419921875,0.016196176423760988,0.020211102476989744,0.00841522216796875,0.0078887939453125,0.03986181878125,0.04082683478125,0.019561767578125,0.005950927734375,0.0004382133483886719,0.00042436316408691406,0.0003604888916015625,0.000530242919921875,0.0081329345703125,0.004306793212890625,0.0009631125948547363,0.0005924972514648437,5.251169204711914e-05,-5.1975250244140625e-05,0.18174978349999998,0.197596050825,0.19783591105,0.0013170242309570312,0.00592041015625,0.00820159912109375,8.982419967651367e-05,8.20159912109375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-1.7285346984863281e-06,4.589557647705078e-06,-2.9206275939941406e-06,60.03125,0.01113128662109375,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.015602227914843749,0.31005859375,0.0,0.0,0.0,0.0,0.0,0.0157034422546875,0.310546875,0.005401611328125,0.0001500844955444336,0.0003676414489746094,0.004375457763671875,0.00632476806640625,0.0002772808074951172,0.0004215240478515625,0.0110897346453125,-0.00015783309936523438,0.0220184326171875,0.0232696533203125,0.016155736540966796,0.020183049116308593,0.011138916015625,0.0104217529296875,0.047079839721875,0.047243831634375,0.027496337890625,0.0080108642578125,0.0005960464477539062,0.00038014778928222655,0.0004730224609375,0.0007224082946777344,0.009490966796875,0.00443267822265625,0.0009902527088134765,0.0005977802706298828,0.00010520219802856445,-5.7578086853027344e-05,0.2266554497,0.2486027330625,0.2485988512625,0.0018186569213867188,0.00739288330078125,0.01059722900390625,0.00011539459228515625,0.00011426210403442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-2.5033950805664062e-06,3.039836883544922e-06,-3.516674041748047e-06,80.0625,0.0154266357421875,0.0078125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01941799143125,0.395263671875,0.0,0.0,0.0,0.0,0.0,0.0195409877546875,0.3955078125,0.006763458251953125,0.0001876354217529297,0.0004410743713378906,0.004520416259765625,0.006458282470703125,0.0003082752227783203,0.0005202293395996094,0.01409968683046875,-0.00019943714141845703,0.02734375,0.0286865234375,0.016131345172106935,0.020169839269836426,0.01392364501953125,0.01300811767578125,0.053958877934374996,0.053565122228125,0.036224365234375,0.01013946533203125,0.0007538795471191406,0.0003417789674804687,0.0006198883056640625,0.0009593963623046875,0.01067352294921875,0.0044403076171875,0.0010361115946289062,0.0006532441438720703,9.733438491821289e-05,-0.0001062154769897461,0.27237062155,0.29931320255,0.299553632775,0.0023593902587890625,0.00872802734375,0.01291656494140625,0.00015413761138916016,0.0001513957977294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.86102294921875e-06,1.33514404296875e-05,-4.410743713378906e-06,100.0625,0.01953125,0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0197105275796875,0.401611328125,0.0,0.0,0.0,0.0,0.0,0.019832485103125,0.40185546875,0.0067138671875,0.0001876354217529297,0.00044989585876464844,0.0037937164306640625,0.005443572998046875,0.0003123283386230469,0.0005426406860351562,0.01430367622265625,-0.00020551681518554688,0.0276031494140625,0.0286712646484375,0.016165379404071045,0.020145829813000487,0.0139923095703125,0.01306915283203125,0.052861557378125,0.052830595475,0.037872314453125,0.01023101806640625,0.000766754150390625,0.0003349942215820313,0.0006965796280273438,0.0010519027709960938,0.01025390625,0.003940582275390625,0.0009865971569335938,0.00062546300234375,0.00013399124145507812,-0.00011110305786132812,0.272908106475,0.29832466315,0.29880890250000003,0.00244140625,0.00830841064453125,0.012603759765625,0.0001481771469116211,0.0001074075698852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-4.172325134277344e-06,0.0,-4.410743713378906e-06,100.0625,0.02197265625,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0200758774296875,0.40625,0.0,0.0,0.0,0.0,0.0,0.0202119054421875,0.406494140625,0.00667572021484375,0.00018787384033203125,0.0004792213439941406,0.003437042236328125,0.005023956298828125,0.00031495094299316406,0.0005159378051757812,0.01442148476953125,-0.000209808349609375,0.0281829833984375,0.0290069580078125,0.0160158667857666,0.019907221183496093,0.01416015625,0.01322174072265625,0.052742993503125,0.053082872203125,0.039093017578125,0.01035308837890625,0.0007715225219726562,0.00034875202595214844,0.0007954248536621094,0.0011501312255859375,0.01074981689453125,0.0040130615234375,0.0009831509946289063,0.0005982669690185547,9.000301361083984e-05,-0.0001404285430908203,0.273170325925,0.297088265375,0.2973282225,0.0024871826171875,0.00799560546875,0.0123443603515625,0.00014781951904296875,4.458427429199219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-3.814697265625e-06,1.9073486328125e-06,-4.5299530029296875e-06,100.125,0.015625,0.017578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.021080146353125,0.40771484375,0.0,0.0,0.0,0.0,0.0,0.0212305396546875,0.408447265625,0.006641387939453125,0.0001876354217529297,0.0005435943603515625,0.003559112548828125,0.0055389404296875,0.0003223419189453125,0.0005054473876953125,0.01462554931640625,-0.00020766258239746094,0.0289459228515625,0.0295257568359375,0.016059184488500976,0.019868463239782714,0.01447296142578125,0.0135345458984375,0.055060097965625,0.05586212498125,0.039581298828125,0.010467529296875,0.0007276535034179688,0.00036402794943847657,0.0008101387421875,0.0011501312255859375,0.01248931884765625,0.005016326904296875,0.000976649262902832,0.0005292570728515624,5.340576171875e-05,-0.0001379251480102539,0.27454476055,0.2951852754,0.295425288425,0.0024871826171875,0.00795745849609375,0.012298583984375,7.003545761108398e-05,-8.970499038696289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-3.814697265625e-06,0.0,-5.245208740234375e-06,100.125,0.02587890625,0.01416015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.022360042646875,0.4013671875,0.0,0.0,0.0,0.0,0.0,0.0225094782484375,0.40185546875,0.006626129150390625,0.0001876354217529297,0.0006275177001953125,0.00421142578125,0.007061004638671875,0.00037360191345214844,0.00044727325439453125,0.014739990234375,-0.00019884109497070312,0.02978515625,0.0305023193359375,0.016178017463641357,0.01994281450480957,0.01488494873046875,0.013916015625,0.060047317271875,0.061495954171875,0.039093017578125,0.01053619384765625,0.0006494522094726562,0.00040848340624999996,0.0007478342509765625,0.001064300537109375,0.0158843994140625,0.0076904296875,0.0009578197287170411,0.00042713145319824215,2.4080276489257812e-05,-0.00019168853759765625,0.276770599175,0.292657062375,0.2928969972,0.002468109130859375,0.00823211669921875,0.01248931884765625,3.552436828613281e-05,-0.00011932849884033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-3.814697265625e-06,0.0,-5.125999450683594e-06,100.125,0.02587890625,0.0205078125
