Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00737791321484375,0.07672119140625,0.0,0.0,0.0,0.0,0.0,0.007417112501171875,0.0767822265625,0.0010175704956054688,3.737211227416992e-05,0.0004019737243652344,0.00557708740234375,0.002918243408203125,0.006816864013671875,0.00011587142944335938,0.002484392946875,-2.86102294921875e-05,0.0023746490478515625,0.0030078887939453125,0.016551783278411867,0.02043684575025635,0.002338409423828125,0.002178192138671875,0.0253509897359375,0.028865607421875,0.0012073516845703125,0.0014867782592773438,6.216764450073242e-05,0.0005455775267822266,8.058547973632812e-05,0.00012743473052978516,0.0145111083984375,0.0135498046875,0.000897404441192627,0.0005463745007995605,3.874301910400391e-06,-2.6106834411621094e-05,0.074473049503125,0.07631568615,0.076341036728125,0.00011938810348510742,0.0026569366455078125,0.0036220550537109375,5.0067901611328125e-06,8.302927017211914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-1.1920928955078125e-07,3.039836883544922e-06,-2.980232238769531e-07,20.03125,0.003124237060546875,0.003124237060546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01285518751875,0.156494140625,0.0,0.0,0.0,0.0,0.0,0.012904659096875,0.1566162109375,0.002002716064453125,7.474422454833984e-05,0.0007314682006835938,0.01107025146484375,0.006168365478515625,0.01334381103515625,0.00024580955505371094,0.004675776571875,-5.739927291870117e-05,0.0036525726318359375,0.005096435546875,0.016388567196166992,0.02035599950706787,0.004695892333984375,0.00435638427734375,0.038122629726562496,0.041492484465625,0.0028553009033203125,0.003040313720703125,0.0001289844512939453,0.0006146363142211914,0.0001556873321533203,0.0002512931823730469,0.028717041015625,0.0267333984375,0.0010957655381469726,0.000665723224572754,7.68899917602539e-06,-4.2498111724853516e-05,0.105331368759375,0.11112414305,0.1112413368625,0.00024819374084472656,0.00504302978515625,0.00702667236328125,1.0192394256591797e-05,0.0001556873321533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.980232238769531e-07,-1.5497207641601562e-06,-8.940696716308594e-07,40.0625,0.00839996337890625,0.004688262939453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.018362402728125,0.2388916015625,0.0,0.0,0.0,0.0,0.0,0.018441505684375,0.239013671875,0.002971649169921875,0.00011217594146728516,0.0010051727294921875,0.016754150390625,0.009796142578125,0.0198822021484375,0.00036072731018066406,0.0069137659640625,-9.125471115112305e-05,0.003810882568359375,0.0061798095703125,0.0162019580743042,0.02020120810595703,0.007076263427734375,0.006549835205078125,0.051855226984375,0.055139578921875,0.0048065185546875,0.004650115966796875,0.0001964569091796875,0.000658430604119873,0.0002269744873046875,0.00036907196044921875,0.04302978515625,0.03997802734375,0.0012819378397583008,0.0007877620677490234,-1.7881393432617188e-07,-6.663799285888672e-05,0.13707204912499998,0.14858482035625,0.148763645425,0.0003902912139892578,0.007160186767578125,0.01016998291015625,7.3909759521484375e-06,0.00017976760864257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-8.344650268554688e-07,4.589557647705078e-06,-1.0728836059570312e-06,60.0625,0.01039886474609375,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.023910638559375,0.322998046875,0.0,0.0,0.0,0.0,0.0,0.0240042235046875,0.3232421875,0.0039520263671875,0.0001494884490966797,0.0012111663818359375,0.022491455078125,0.01387786865234375,0.0253143310546875,0.0004954338073730469,0.009151868434375,-0.00012123584747314453,0.0032806396484375,0.00649261474609375,0.016148226355725097,0.020152233514959716,0.009521484375,0.0087738037109375,0.06645850183125,0.0696132164,0.007171630859375,0.006298065185546875,0.0002720355987548828,0.0007028473360961914,0.0003018379211425781,0.0004906654357910156,0.056640625,0.052490234375,0.001387219643017578,0.0008350067568359375,1.9252300262451172e-05,-8.499622344970703e-05,0.1696486137625,0.188177928375,0.1882961168875,0.0005583763122558594,0.0089874267578125,0.01303863525390625,1.9669532775878906e-05,0.0002319812774658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.3113021850585938e-06,-9.179115295410156e-06,-8.344650268554688e-07,80.125,0.016021728515625,0.01015472412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0294124982671875,0.405029296875,0.0,0.0,0.0,0.0,0.0,0.029535494590625,0.4052734375,0.00487518310546875,0.000186920166015625,0.001247406005859375,0.0271148681640625,0.018463134765625,0.02679443359375,0.0006208419799804688,0.011452286928125,-0.00014507770538330078,0.0032806396484375,0.006988525390625,0.016113761801898194,0.020130142576416016,0.01200103759765625,0.01102447509765625,0.08139418066875,0.0842963234,0.01047515869140625,0.0079803466796875,0.0003821849822998047,0.0007383882738159179,0.0003910064697265625,0.0006361007690429688,0.06658935546875,0.06134033203125,0.0014583508982177733,0.0008591781915710449,-5.185604095458984e-06,-0.00015020370483398438,0.2024243324875,0.22900070255,0.229241132775,0.0007910728454589844,0.01059722900390625,0.0157012939453125,2.7000904083251953e-05,0.0003027915954589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.6689300537109375e-06,1.1444091796875e-05,-1.3113021850585938e-06,100.125,0.017578125,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0300254689859375,0.39599609375,0.0,0.0,0.0,0.0,0.0,0.0301626852984375,0.396240234375,0.0048370361328125,0.00018703937530517578,0.0009474754333496094,0.0241851806640625,0.019287109375,0.017242431640625,0.0006318092346191406,0.0115342060078125,-0.00012254714965820312,0.00350189208984375,0.0072784423828125,0.016160611032489013,0.02014451851081543,0.01206207275390625,0.01105499267578125,0.08151756323750001,0.08408059547499999,0.01322174072265625,0.00820159912109375,0.00046515464782714844,0.0007367295273681641,0.0004274050522216797,0.0006847381591796875,0.057525634765625,0.052490234375,0.0013271780971801758,0.000798793309350586,-2.473592758178711e-05,-0.00016963481903076172,0.20235146585,0.231674272525,0.23191437125,0.0009436607360839844,0.01026153564453125,0.01528167724609375,6.121397018432617e-05,0.0003364086151123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.6689300537109375e-06,0.0,-1.1920928955078125e-06,100.1875,0.02294921875,0.01806640625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.033183177234375,0.3837890625,0.0,0.0,0.0,0.0,0.0,0.033319205246875,0.384033203125,0.00472259521484375,0.00018727779388427734,0.0007081031799316406,0.0205841064453125,0.0198822021484375,0.0058746337890625,0.0006146430969238281,0.011453650296875,-0.00012743473052978516,0.00484466552734375,0.00888824462890625,0.01598576644015503,0.01988981662722168,0.011932373046875,0.01094818115234375,0.080056225925,0.08228819446874999,0.0161590576171875,0.00839996337890625,0.0005006790161132812,0.000714903358807373,0.00047427502761230466,0.0007190704345703125,0.047332763671875,0.0421142578125,0.0012150726674499512,0.0007690938809448242,-3.451108932495117e-05,-0.00018918514251708984,0.2017591931125,0.232146859125,0.23226474593750002,0.001056671142578125,0.009918212890625,0.01474761962890625,5.692243576049805e-05,0.0002167224884033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.0265579223632812e-06,-5.7220458984375e-06,-1.9073486328125e-06,100.1875,0.024658203125,0.02197265625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.038108954946875,0.367919921875,0.0,0.0,0.0,0.0,0.0,0.0382746070375,0.368408203125,0.004608154296875,0.00018739700317382812,0.0005121231079101562,0.017181396484375,0.01953125,0.0009126663208007812,0.0005340576171875,0.01134490966796875,-0.00014209747314453125,0.0084991455078125,0.01192474365234375,0.01604881328031006,0.019836634359472655,0.01161956787109375,0.01064300537109375,0.077368447575,0.0793606601375,0.019683837890625,0.008453369140625,0.0005388259887695312,0.0006655082427124024,0.000546924630859375,0.000762939453125,0.036163330078125,0.03045654296875,0.00115486715078125,0.0007654106754516601,-0.00010281801223754883,-0.00021851062774658203,0.2031336277375,0.231952853525,0.2320707962375,0.001178741455078125,0.010101318359375,0.0146484375,4.869699478149414e-05,0.00010007619857788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.7881393432617188e-06,7.62939453125e-06,-2.384185791015625e-06,100.25,0.0205078125,0.02294921875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.042379573896875,0.347900390625,0.0,0.0,0.0,0.0,0.0,0.042635821021875,0.34814453125,0.004627227783203125,0.00018739700317382812,0.0005116462707519531,0.01507568359375,0.0183563232421875,0.0007233619689941406,0.0004851818084716797,0.011199951171875,-0.00015604496002197266,0.01161956787109375,0.01418304443359375,0.01617682537074585,0.019897872602648924,0.01132965087890625,0.01038360595703125,0.075458694225,0.077487165109375,0.0219268798828125,0.00836181640625,0.0005192756652832031,0.000723434349243164,0.000620041892578125,0.0007958412170410156,0.0281219482421875,0.0223388671875,0.001072260646685791,0.0007014320284545898,-0.00011259317398071289,-0.00023806095123291016,0.208411224175,0.232110187375,0.2322280518875,0.0012760162353515625,0.01084136962890625,0.014984130859375,2.4259090423583984e-05,3.170967102050781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967254638671875e-05,-2.5033950805664062e-06,3.814697265625e-06,-2.6226043701171875e-06,100.25,0.029052734375,0.02294921875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.041335619096875,0.312255859375,0.0,0.0,0.0,0.0,0.0,0.041590751921875,0.312744140625,0.004688262939453125,0.0001875162124633789,0.0005950927734375,0.01174163818359375,0.016265869140625,0.0005702972412109375,0.0005083084106445312,0.010284423828125,-0.00016772747039794922,0.014434814453125,0.01678466796875,0.016486879410101317,0.020210994376416016,0.01096343994140625,0.01019287109375,0.072595059828125,0.07570258523437501,0.0236663818359375,0.00827789306640625,0.00046253204345703125,0.0005597440662841797,0.0007240704892578125,0.0008215904235839844,0.0183258056640625,0.01366424560546875,0.0008937562685852051,0.0004795765629516601,-0.00012731552124023438,-0.00028204917907714844,0.22298895936250002,0.2340930030125,0.234210789225,0.0015773773193359375,0.01062774658203125,0.0140228271484375,1.3887882232666016e-05,-8.577108383178711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.7881393432617188e-06,-7.62939453125e-06,-2.2649765014648438e-06,100.3125,0.0166015625,0.02490234375
