Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0111544635078125,0.1055908203125,0.0,0.0,0.0,0.0,0.0,0.01121273628046875,0.10565185546875,0.002216339111328125,3.731250762939453e-05,0.000514984130859375,0.007476806640625,0.00890350341796875,0.0001780986785888672,7.826089859008789e-05,0.0037260769068359375,-2.6047229766845703e-05,0.009674072265625,0.0082855224609375,0.016561916068023683,0.020457945794506837,0.004528045654296875,0.00414276123046875,0.0306610483296875,0.033077033203125,0.00580596923828125,0.003215789794921875,5.125999450683594e-05,0.0006126923567993164,-1.1920928955078125e-05,7.456541061401367e-05,0.01486968994140625,0.01285552978515625,0.0007560818284301758,0.00043884772162475585,2.682209014892578e-05,-6.616115570068359e-06,0.09305825458125,0.09859351818125,0.098679903915625,9.614229202270508e-05,0.004180908203125,0.005115509033203125,2.980232238769531e-07,-1.3947486877441406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,-3.5762786865234375e-07,7.748603820800781e-07,-7.152557373046875e-07,20.03125,0.003662109375,0.003223419189453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02042354689375,0.2135009765625,0.0,0.0,0.0,0.0,0.0,0.020534053628125,0.213623046875,0.00440216064453125,7.450580596923828e-05,0.001010894775390625,0.0150299072265625,0.0181121826171875,0.00036907196044921875,0.00015306472778320312,0.007220179648046875,-5.0961971282958984e-05,0.0184326171875,0.01560211181640625,0.016409905658996582,0.02039504054939575,0.0090789794921875,0.00826263427734375,0.048544382656249996,0.049793265715625,0.0118255615234375,0.00656890869140625,9.322166442871094e-05,0.0007336071851928711,-2.9206275939941406e-05,0.00015652179718017578,0.0308380126953125,0.026763916015625,0.000828021473815918,0.0004938234290405274,4.184246063232422e-05,-3.0279159545898438e-05,0.1421050504,0.15378771726875,0.15390491108124998,0.000209808349609375,0.0081634521484375,0.010040283203125,-9.47713851928711e-06,-3.170967102050781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-6.556510925292969e-07,-7.748603820800781e-07,-1.7881393432617188e-06,40.0625,0.006542205810546875,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0302795169859375,0.32275390625,0.0,0.0,0.0,0.0,0.0,0.030404396309375,0.3232421875,0.00655364990234375,0.00011169910430908203,0.00164794921875,0.02313232421875,0.0281219482421875,0.0005970001220703125,0.00018286705017089844,0.0109726038546875,-9.113550186157227e-05,0.0265350341796875,0.022216796875,0.01622395218822632,0.020258666983520506,0.01346588134765625,0.012176513671875,0.0684873070625,0.06902507696875,0.016815185546875,0.009674072265625,0.00012111663818359375,0.000985123662133789,-7.808208465576172e-05,0.00018584728240966797,0.049560546875,0.043212890625,0.0009330718538879395,0.0005508932094116211,7.593631744384766e-05,-3.88026237487793e-05,0.19053884599999998,0.2099251523875,0.2100429423,0.0002168416976928711,0.0124664306640625,0.015106201171875,1.9490718841552734e-05,-1.1324882507324219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.3113021850585938e-06,1.1324882507324219e-06,-2.086162567138672e-06,60.0625,0.01377105712890625,0.01025390625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04048168348125,0.43359375,0.0,0.0,0.0,0.0,0.0,0.040651562371875,0.43408203125,0.008697509765625,0.000148773193359375,0.002735137939453125,0.033050537109375,0.03936767578125,0.000965118408203125,0.00026226043701171875,0.0143856330828125,-0.00011712312698364258,0.032745361328125,0.0278778076171875,0.016185360049420165,0.020236454878027343,0.0180206298828125,0.01629638671875,0.0919101619875,0.09274554061875,0.021148681640625,0.0129852294921875,0.00014388561248779297,0.0011266363604492187,-0.00012290477752685547,0.00021207332611083984,0.0736083984375,0.0657958984375,0.0009784509891479492,0.0005307846499023437,0.00010716915130615234,-4.00543212890625e-05,0.23983904345,0.2669132799375,0.267275609075,0.00023818016052246094,0.01678466796875,0.020263671875,4.45246696472168e-05,3.540515899658203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.682209014892578e-06,-1.2218952178955078e-05,-2.562999725341797e-06,80.125,0.0193328857421875,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.050851096900000003,0.544921875,0.0,0.0,0.0,0.0,0.0,0.051111422325,0.544921875,0.01104736328125,0.00018584728240966797,0.0048370361328125,0.046630859375,0.051666259765625,0.0026912689208984375,0.00036072731018066406,0.0175710613421875,-0.00012922286987304688,0.0369873046875,0.03253173828125,0.016151610751330567,0.02022837103100586,0.0228271484375,0.020660400390625,0.12204359473125,0.12512884293125,0.0230255126953125,0.0162200927734375,0.00014269351959228516,0.0010691940523193358,-0.00017774105072021484,0.00020754337310791016,0.10723876953125,0.09906005859375,0.001041595221948242,0.0005476247133300781,0.00011444091796875,-4.762411117553711e-05,0.2888501137375,0.3251921088,0.32567667965,0.0001995563507080078,0.0212860107421875,0.025604248046875,6.669759750366211e-05,8.970499038696289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.6689300537109375e-06,1.9073486328125e-06,-3.337860107421875e-06,100.125,0.0263671875,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.051525102775,0.546875,0.0,0.0,0.0,0.0,0.0,0.051753871821875,0.54736328125,0.0113372802734375,0.0001857280731201172,0.0073394775390625,0.058990478515625,0.05291748046875,0.02484130859375,0.00037789344787597656,0.01719521675,-0.00010943412780761719,0.029937744140625,0.027618408203125,0.016169730543139648,0.020193155900952147,0.0233917236328125,0.0211944580078125,0.13614402808125,0.142674345475,0.0170135498046875,0.0159149169921875,5.2034854888916016e-05,0.0007940691956420899,-0.00019737083431396485,0.00013554096221923828,0.1376953125,0.1304931640625,0.0010467978481567383,0.0005753951007324219,0.00013399124145507812,-2.0742416381835938e-05,0.2897538096,0.327865678775,0.32834991812500003,2.6881694793701172e-05,0.0216064453125,0.0257568359375,7.277727127075195e-05,9.644031524658203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.7881393432617188e-06,0.0,-1.430511474609375e-06,100.125,0.027099609375,0.0146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05207355809375,0.54833984375,0.0,0.0,0.0,0.0,0.0,0.05233165641875,0.548828125,0.01177978515625,0.00018548965454101562,0.01110076904296875,0.07958984375,0.051605224609375,0.06500244140625,0.00035572052001953125,0.0167331913125,-9.995698928833008e-05,0.0190887451171875,0.0188446044921875,0.0160270128543396,0.019948706016259764,0.024078369140625,0.0217742919921875,0.149880444675,0.1601080186875,0.01007080078125,0.0153350830078125,-5.2034854888916016e-05,0.0005891971629760742,-0.00021082075943603515,5.799531936645508e-05,0.1781005859375,0.1708984375,0.0012223444341125489,0.0007788094380432129,0.0001608133316040039,1.710653305053711e-05,0.2918470837375,0.3295589685,0.33004306625,-0.0001971721649169922,0.02215576171875,0.026031494140625,7.855892181396484e-05,5.739927291870117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.5497207641601562e-06,-5.7220458984375e-06,-8.344650268554688e-07,100.0625,0.0185546875,0.0146484375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0526658397125,0.5498046875,0.0,0.0,0.0,0.0,0.0,0.0529230445375,0.5498046875,0.01256561279296875,0.00018525123596191406,0.015625,0.102294921875,0.04754638671875,0.10906982421875,0.00045228004455566406,0.0162353515625,-8.863210678100586e-05,0.00664520263671875,0.00820159912109375,0.016050959047521973,0.019891351423376464,0.02459716796875,0.02215576171875,0.1602541897625,0.1733548007625,0.0034961700439453125,0.0146484375,-0.00010085105895996094,0.0005750283919433594,-0.0002706126768798828,-5.155801773071289e-05,0.2166748046875,0.2093505859375,0.0019530925536132813,0.002180067314550781,9.673833847045898e-05,-1.615285873413086e-05,0.29505257305,0.3303415254,0.330581538425,-0.0004284381866455078,0.0228271484375,0.0266265869140625,4.470348358154297e-05,-3.540515899658203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.7881393432617188e-06,7.62939453125e-06,5.960464477539062e-07,100.0625,0.01416015625,0.01171875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.053671077803125,0.5498046875,0.0,0.0,0.0,0.0,0.0,0.053866289771875,0.5498046875,0.013641357421875,0.00018513202667236328,0.0199737548828125,0.12322998046875,0.042236328125,0.14404296875,0.0004150867462158203,0.0156707763671875,-8.374452590942383e-05,0.001316070556640625,0.0027141571044921875,0.01645988782878418,0.020393664037890624,0.0252532958984375,0.02264404296875,0.1676217801625,0.1824981514375,0.0005373954772949219,0.01404571533203125,-0.0001399517059326172,0.0005720385515136718,-0.00030597586865234374,-0.00012052059173583984,0.2509765625,0.2427978515625,0.00888231685625,0.0098506257921875,6.80685043334961e-05,-3.540515899658203e-05,0.298254974175,0.32952229675,0.3300063722,-0.0005769729614257812,0.02392578125,0.02777099609375,-1.6689300537109375e-06,-5.739927291870117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.1920928955078125e-06,-1.9073486328125e-06,1.7881393432617188e-06,100.0625,0.0087890625,0.009765625
