Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006531050421875,0.0794677734375,0.0,0.0,0.0,0.0,0.0,0.0065816938,0.0794677734375,0.001354217529296875,3.7670135498046875e-05,1.1920928955078125e-06,0.0022258758544921875,0.003330230712890625,6.520748138427734e-05,8.738040924072266e-05,0.0030508754908203125,-3.147125244140625e-05,0.0091552734375,0.0093231201171875,0.01655047197622681,0.0204369649595459,0.0037136077880859375,0.003551483154296875,0.0223144907125,0.024879248779296877,0.007335662841796875,0.002460479736328125,0.00014901161193847656,0.0004658265120727539,0.0001760721206665039,0.0002892017364501953,0.003551483154296875,0.002223968505859375,0.0007679431527404786,0.000461914719152832,1.7523765563964844e-05,-2.4199485778808594e-05,0.073740627628125,0.078787609978125,0.07881296055625,0.0004317760467529297,0.0023288726806640625,0.003475189208984375,1.4424324035644531e-05,1.615285873413086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-2.384185791015625e-07,7.748603820800781e-07,-8.940696716308594e-07,20.03125,0.0035648345947265625,0.0028324127197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0107952509953125,0.16552734375,0.0,0.0,0.0,0.0,0.0,0.0108752401515625,0.1656494140625,0.0026836395263671875,7.539987564086914e-05,-5.3822994232177734e-05,0.0037746429443359375,0.005878448486328125,9.763240814208984e-05,0.00018799304962158203,0.005892664999609375,-6.365776062011719e-05,0.017242431640625,0.0176239013671875,0.016388507591522217,0.02035546306526489,0.007343292236328125,0.00698089599609375,0.030569529140625,0.03185655917265625,0.015380859375,0.004978179931640625,0.00029969215393066406,0.00044690884382324217,0.00034427642822265625,0.0005855560302734375,0.00597381591796875,0.003307342529296875,0.0008355912637023926,0.000528096099786377,3.504753112792969e-05,-5.227327346801758e-05,0.103927560165625,0.1153966039875,0.1155137978,0.0009140968322753906,0.0041961669921875,0.00653839111328125,3.0100345611572266e-05,2.8133392333984375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-5.960464477539062e-07,7.748603820800781e-07,-2.3245811462402344e-06,40.0625,0.006641387939453125,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01475369911484375,0.259765625,0.0,0.0,0.0,0.0,0.0,0.01486331964921875,0.260009765625,0.004241943359375,0.00011301040649414062,-7.396936416625977e-05,0.005100250244140625,0.00785064697265625,0.0001251697540283203,0.0002484321594238281,0.00927887826875,-9.900331497192383e-05,0.024627685546875,0.02471923828125,0.016201123609277345,0.020213307848846434,0.01097869873046875,0.01035308837890625,0.039770266046875,0.039575614078125,0.024261474609375,0.00745391845703125,0.00046515464782714844,0.00042507841982421875,0.0005326271057128906,0.0008974075317382812,0.00799560546875,0.0035953521728515625,0.0009466021082519531,0.0006449493388671875,6.42538070678711e-05,-7.253885269165039e-05,0.13572927568749998,0.15468833598125,0.15480612589375,0.0013408660888671875,0.00588226318359375,0.00927734375,3.600120544433594e-05,4.595518112182617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.8477439880371094e-06,5.7220458984375e-06,-2.9206275939941406e-06,60.03125,0.01010894775390625,0.007030487060546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0184022157078125,0.354248046875,0.0,0.0,0.0,0.0,0.0,0.01852631823125,0.354736328125,0.0056610107421875,0.0001506805419921875,-0.0001367330551147461,0.00566864013671875,0.00876617431640625,0.0001404285430908203,0.0003345012664794922,0.01251643142265625,-0.0001392364501953125,0.03143310546875,0.031707763671875,0.016151862239056396,0.02017208186166992,0.01456451416015625,0.0136871337890625,0.0479648494875,0.046267269134375,0.033843994140625,0.00994110107421875,0.0006227493286132812,0.0003815783007568359,0.0007009506225585938,0.0011968612670898438,0.009552001953125,0.0035762786865234375,0.0009637882465332031,0.0006733589602050781,8.177757263183594e-05,-0.00010454654693603516,0.16775652391875,0.1944035143125,0.194521702825,0.0018405914306640625,0.007080078125,0.0116119384765625,3.832578659057617e-05,5.906820297241211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-3.039836883544922e-06,-9.179115295410156e-06,-3.516674041748047e-06,80.125,0.0164031982421875,0.01015472412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0222408674078125,0.44775390625,0.0,0.0,0.0,0.0,0.0,0.0224096400984375,0.4482421875,0.00714874267578125,0.00018846988677978516,-0.00020503997802734375,0.006317138671875,0.00986480712890625,0.00015735626220703125,0.0004100799560546875,0.0158620769671875,-0.000179290771484375,0.0386962890625,0.03912353515625,0.016132120032489015,0.02016435564251709,0.01837158203125,0.017242431640625,0.057163223637499996,0.0541449562125,0.044036865234375,0.01251983642578125,0.0007686614990234375,0.0003398716188476562,0.0008611679077148438,0.001506805419921875,0.0120391845703125,0.004180908203125,0.0009835402979370116,0.0006965171159790039,9.733438491821289e-05,-0.00012087821960449219,0.20010499655,0.233639374425,0.23387980465,0.00235748291015625,0.00826263427734375,0.014007568359375,3.647804260253906e-05,9.399652481079102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-3.0994415283203125e-06,7.62939453125e-06,-5.602836608886719e-06,100.125,0.017822265625,0.01220703125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0224876271890625,0.4462890625,0.0,0.0,0.0,0.0,0.0,0.02267061986875,0.446533203125,0.0073394775390625,0.00018846988677978516,-0.00019073486328125,0.006412506103515625,0.01023101806640625,0.0002244710922241211,0.00040721893310546875,0.016005031203125,-0.00017714500427246094,0.03857421875,0.0391845703125,0.01616180312538452,0.020150359766003417,0.01885986328125,0.0177154541015625,0.0597890476125,0.05716409156875,0.045379638671875,0.01276397705078125,0.0007395744323730469,0.0003423851975341797,0.0008725325394042969,0.0015344619750976562,0.01418304443359375,0.0056304931640625,0.0009114953045166016,0.0006571726733642578,0.00010466575622558594,-0.00015020370483398438,0.2008866221,0.2325287647125,0.232646793125,0.00241851806640625,0.00812530517578125,0.01404571533203125,-5.9604644775390625e-06,0.00010251998901367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.337860107421875e-06,5.7220458984375e-06,-4.76837158203125e-06,100.125,0.0185546875,0.0166015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.023722728015625,0.4384765625,0.0,0.0,0.0,0.0,0.0,0.0239045323953125,0.43896484375,0.007659912109375,0.00018846988677978516,-0.00012385845184326172,0.00799560546875,0.012847900390625,0.00027823448181152344,0.0003619194030761719,0.0160007694375,-0.00016832351684570312,0.038604736328125,0.039703369140625,0.01600656846118164,0.01989780364962158,0.0195159912109375,0.0184326171875,0.06559089389375,0.06394713001562499,0.046173095703125,0.01314544677734375,0.0006761550903320312,0.0003711633723876953,0.000904620562890625,0.0015726089477539062,0.0195770263671875,0.0106048583984375,0.0008975587247314453,0.0006607326367431641,9.000301361083984e-05,-0.00013554096221923828,0.2012709118625,0.22848474975,0.22884677718750002,0.00247955322265625,0.00853729248046875,0.01464080810546875,-2.1219253540039062e-05,0.00016415119171142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-4.291534423828125e-06,-1.33514404296875e-05,-4.172325134277344e-06,100.125,0.016845703125,0.0185546875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0263139110015625,0.425048828125,0.0,0.0,0.0,0.0,0.0,0.0264795630921875,0.425537109375,0.00806427001953125,0.00018846988677978516,2.6524066925048828e-05,0.01171112060546875,0.018402099609375,0.0004088878631591797,0.00033020973205566406,0.0158538818359375,-0.00015366077423095703,0.0386962890625,0.0404052734375,0.01603534263059082,0.01986035700809326,0.0203704833984375,0.01934814453125,0.074927041325,0.07466095310625,0.0460205078125,0.0137481689453125,0.000583648681640625,0.00040551278220214845,0.0008969231049804688,0.0015478134155273438,0.02899169921875,0.0205078125,0.0008337173247314454,0.0006310618061279296,5.829334259033203e-05,-0.0001842975616455078,0.202523276175,0.2240182832125,0.2242582962375,0.00250244140625,0.00954437255859375,0.0157928466796875,-8.410215377807617e-05,0.00016558170318603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-3.337860107421875e-06,1.1444091796875e-05,-4.649162292480469e-06,100.1875,0.019775390625,0.0185546875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0310117760453125,0.403076171875,0.0,0.0,0.0,0.0,0.0,0.031222246803125,0.4033203125,0.00855255126953125,0.00018835067749023438,0.00020599365234375,0.0182952880859375,0.02703857421875,0.0005784034729003906,0.00027179718017578125,0.01537322998046875,-0.00013959407806396484,0.03936767578125,0.04156494140625,0.016134088840441894,0.019907409345812987,0.0212249755859375,0.0203094482421875,0.08613984656875,0.0877715889375,0.044342041015625,0.014434814453125,0.000457763671875,0.00043780889147949215,0.0008303270793457031,0.001438140869140625,0.041748046875,0.0345458984375,0.0008669226454345704,0.0006321714312255859,-3.695487976074219e-05,-0.000244140625,0.2056036069875,0.2197810858125,0.219898950325,0.002410888671875,0.0113677978515625,0.0176544189453125,-7.003545761108398e-05,0.0001710653305053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.814697265625e-06,-3.814697265625e-06,-3.933906555175781e-06,100.1875,0.018798828125,0.02099609375
