Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007038405158203125,0.07855224609375,0.0,0.0,0.0,0.0,0.0,0.007073789747265625,0.07861328125,0.0013227462768554688,3.725290298461914e-05,0.0005888938903808594,0.00609588623046875,0.003208160400390625,0.00814056396484375,0.00011605024337768555,0.0026388881861328125,-3.0934810638427734e-05,0.0016994476318359375,0.00220489501953125,0.016547253325408937,0.02043619009916382,0.002437591552734375,0.002246856689453125,0.02735752049765625,0.03094843212890625,0.0012826919555664062,0.0015506744384765625,6.347894668579102e-05,0.0005412859923583984,5.0067901611328125e-05,8.571147918701172e-05,0.0164794921875,0.0152740478515625,0.001114067324951172,0.0007433678517822266,7.748603820800781e-06,-2.0265579223632812e-05,0.0865274928625,0.0903537720875,0.090379122665625,9.59634780883789e-05,0.003204345703125,0.004039764404296875,1.8358230590820312e-05,0.00011539459228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.7881393432617188e-07,2.2649765014648438e-06,-3.5762786865234375e-07,20.03125,0.0035152435302734375,0.002147674560546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0120159541203125,0.1602783203125,0.0,0.0,0.0,0.0,0.0,0.0120654256984375,0.160400390625,0.0026073455810546875,7.450580596923828e-05,0.0010042190551757812,0.01142120361328125,0.00656890869140625,0.01318359375,0.0002371072769165039,0.005000025839453125,-6.330013275146484e-05,0.002857208251953125,0.0039005279541015625,0.016378195987976074,0.020355820693133544,0.0048675537109375,0.004467010498046875,0.041357493007812496,0.0447120889578125,0.003292083740234375,0.003154754638671875,0.00014162063598632812,0.0006076029661376953,9.655952453613281e-05,0.0001742839813232422,0.030487060546875,0.0279998779296875,0.0011814770173339843,0.0006668557128234864,1.8477439880371094e-06,-3.6597251892089844e-05,0.12959284336875,0.13840685789375,0.13852405170624998,0.00021457672119140625,0.00601959228515625,0.007720947265625,4.172325134277344e-05,0.00022280216217041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-2.980232238769531e-07,0.0,-9.5367431640625e-07,40.0625,0.00527191162109375,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.016897558978125,0.2451171875,0.0,0.0,0.0,0.0,0.0,0.016976661934375,0.2452392578125,0.0038604736328125,0.00011181831359863281,0.0012464523315429688,0.0157623291015625,0.0102081298828125,0.0142974853515625,0.00034618377685546875,0.007405861911328125,-9.453296661376953e-05,0.003513336181640625,0.00505828857421875,0.016196057214471437,0.02020818184939575,0.0072784423828125,0.00664520263671875,0.055273195734375,0.058252371890625,0.00621795654296875,0.004825592041015625,0.0002244710922241211,0.0006401319781738281,0.00014066696166992188,0.00026702880859375,0.041046142578125,0.037261962890625,0.001344522716772461,0.0007192763309020996,2.0325183868408203e-05,-5.78761100769043e-05,0.17369314287499998,0.188318707075,0.1885585673,0.0003693103790283203,0.00852203369140625,0.01111602783203125,5.984306335449219e-05,0.0003306865692138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-6.556510925292969e-07,9.179115295410156e-06,-1.3709068298339844e-06,60.0625,0.010986328125,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.021835443246875,0.3330078125,0.0,0.0,0.0,0.0,0.0,0.021913769403125,0.333251953125,0.00508880615234375,0.00014913082122802734,0.0013742446899414062,0.0188751220703125,0.0141143798828125,0.0115509033203125,0.0004634857177734375,0.0098385139421875,-0.00012242794036865234,0.0039520263671875,0.00591278076171875,0.016145305728131103,0.02016910162943115,0.00965118408203125,0.00876617431640625,0.068838872925,0.071322200775,0.01031494140625,0.006561279296875,0.0003209114074707031,0.0006769789202636719,0.00018453598022460938,0.0003731250762939453,0.04779052734375,0.04266357421875,0.0014391948932617187,0.0007388644648132324,3.0994415283203125e-05,-5.7578086853027344e-05,0.21933123095,0.2398136705625,0.239931859075,0.0005741119384765625,0.01071929931640625,0.01422119140625,9.97781753540039e-05,0.0004603862762451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.7285346984863281e-06,0.0,-2.086162567138672e-06,80.125,0.013671875,0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02686428049375,0.42431640625,0.0,0.0,0.0,0.0,0.0,0.0269872768171875,0.425048828125,0.006298065185546875,0.0001863241195678711,0.0014085769653320312,0.0208740234375,0.01806640625,0.006317138671875,0.0005865097045898438,0.0123220379046875,-0.00014388561248779297,0.0045166015625,0.006710052490234375,0.0161067284538147,0.0201505273649292,0.011962890625,0.0108184814453125,0.081943497075,0.084052182775,0.01558685302734375,0.00836181640625,0.0004315376281738281,0.0007106125093505859,0.0002397298812866211,0.0004973411560058594,0.051361083984375,0.044647216796875,0.0015401284708496093,0.0008066664995239257,1.9252300262451172e-05,-0.0001062154769897461,0.2659008949875,0.292233124425,0.29247355465,0.0008325576782226562,0.01265716552734375,0.0170440673828125,0.00015866756439208984,0.0006742477416992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.7881393432617188e-06,0.0,-2.5033950805664062e-06,100.125,0.020751953125,0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0268821584390625,0.433837890625,0.0,0.0,0.0,0.0,0.0,0.0270041159625,0.43408203125,0.006256103515625,0.00018644332885742188,0.0012083053588867188,0.0182037353515625,0.0179443359375,0.0013265609741210938,0.0005669593811035156,0.01241158637890625,-0.0001481771469116211,0.0041351318359375,0.006000518798828125,0.016118172525408935,0.02011125911903076,0.011810302734375,0.0106048583984375,0.08066307105000001,0.08273782203749999,0.01812744140625,0.00848388671875,0.0004611015319824219,0.0007205170639892578,0.00025598209384765624,0.0005316734313964844,0.0438232421875,0.03662109375,0.0014479371074951172,0.0008055286342102051,2.4080276489257812e-05,-0.00010132789611816406,0.26875771585,0.2949066944,0.29514679312500003,0.0009508132934570312,0.011962890625,0.016357421875,0.0002168416976928711,0.0008726119995117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-2.384185791015625e-06,9.5367431640625e-06,-3.4570693969726562e-06,100.125,0.01513671875,0.0185546875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.026896556140625,0.4443359375,0.0,0.0,0.0,0.0,0.0,0.0269868077859375,0.444580078125,0.0062103271484375,0.00018644332885742188,0.0010738372802734375,0.015777587890625,0.0174102783203125,0.0008244514465332031,0.0005846023559570312,0.01252939492578125,-0.0001493692398071289,0.00370025634765625,0.00505828857421875,0.016005316763641357,0.01991735397310791,0.0116119384765625,0.01031494140625,0.07889655795625,0.08100645618749999,0.020416259765625,0.00855255126953125,0.0004930496215820312,0.0007400565189025879,0.00027972546706542966,0.0005588531494140625,0.037017822265625,0.029296875,0.0013773761151733399,0.000793472180657959,4.363059997558594e-05,-9.1552734375e-05,0.272193763425,0.297088265375,0.2973282225,0.001056671142578125,0.01123046875,0.0155792236328125,0.0004127025604248047,0.001079559326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.86102294921875e-06,0.0,-3.6954879760742188e-06,100.125,0.0234375,0.0185546875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02697003893125,0.456298828125,0.0,0.0,0.0,0.0,0.0,0.027074655865625,0.45654296875,0.0062408447265625,0.00018644332885742188,0.0009899139404296875,0.0135955810546875,0.016326904296875,0.000606536865234375,0.0005731582641601562,0.01282501220703125,-0.00015676021575927734,0.0030517578125,0.0040435791015625,0.01611592811032715,0.02000376578342285,0.0113983154296875,0.010009765625,0.07694120148125,0.07917755466875,0.0224761962890625,0.00858306884765625,0.0005450248718261719,0.0007801875792602539,0.00029873089001464844,0.0005779266357421875,0.0302734375,0.022125244140625,0.0012640628600097657,0.0007065212864135742,4.363059997558594e-05,-0.00011110305786132812,0.2775965183625,0.300312228525,0.300308100925,0.0011606216430664062,0.01042938232421875,0.01467132568359375,0.00046753883361816406,0.001071929931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-3.2186508178710938e-06,-5.7220458984375e-06,-2.7418136596679688e-06,100.125,0.02294921875,0.01611328125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0270750084671875,0.46630859375,0.0,0.0,0.0,0.0,0.0,0.0271634089125,0.466796875,0.006317138671875,0.00018644332885742188,0.000988006591796875,0.01203155517578125,0.01523590087890625,0.0005054473876953125,0.0005841255187988281,0.01312255859375,-0.0001652240753173828,0.002185821533203125,0.0030612945556640625,0.016280716266589355,0.02017813364238281,0.01123046875,0.00978851318359375,0.0752145536,0.077731305734375,0.0237274169921875,0.00858306884765625,0.0005707740783691406,0.0007966884576721191,0.0003167734599609375,0.0005779266357421875,0.0250396728515625,0.016815185546875,0.0011693566130249024,0.0006290719896972656,5.340576171875e-05,-0.00011110305786132812,0.2842168882375,0.303399249875,0.303883325325,0.0012388229370117188,0.00972747802734375,0.0138702392578125,0.0001595020294189453,0.0006685256958007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-2.384185791015625e-06,1.52587890625e-05,-3.933906555175781e-06,100.125,0.014404296875,0.01953125
